Ge-72(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 105.346
1.03125E-05 103.754
1.06250E-05 102.234
1.09375E-05 100.779
1.12500E-05 99.3858
1.15625E-05 98.0496
1.18750E-05 96.7666
1.21875E-05 95.5335
1.25000E-05 94.3472
1.28125E-05 93.2047
1.31250E-05 92.1034
1.34375E-05 91.0409
1.37500E-05 90.0151
1.43750E-05 88.0651
1.50000E-05 86.2389
1.56250E-05 84.5240
1.62500E-05 82.9095
1.68750E-05 81.3860
1.75000E-05 79.9454
1.81250E-05 78.5804
1.87500E-05 77.2846
1.93750E-05 76.0525
2.00000E-05 74.8790
2.09375E-05 73.2188
2.18750E-05 71.6673
2.28125E-05 70.2132
2.37500E-05 68.8467
2.46875E-05 67.5595
2.56250E-05 66.3441
2.65625E-05 65.1942
2.75000E-05 64.1041
2.84375E-05 63.0689
2.93750E-05 62.0841
3.03125E-05 61.1458
3.12500E-05 60.2505
3.21875E-05 59.3951
3.31250E-05 58.5765
3.40625E-05 57.7924
3.50000E-05 57.0404
3.59375E-05 56.3183
3.68750E-05 55.6243
3.78125E-05 54.9566
3.87500E-05 54.3135
3.96875E-05 53.6937
4.06250E-05 53.0957
4.25000E-05 51.9605
4.43750E-05 50.8990
4.62500E-05 49.9037
4.81250E-05 48.9680
5.00000E-05 48.0863
5.15625E-05 47.3891
5.31250E-05 46.7235
5.46875E-05 46.0871
5.62500E-05 45.4779
5.78125E-05 44.8940
5.93750E-05 44.3337
6.09375E-05 43.7956
6.25000E-05 43.2781
6.40625E-05 42.7801
6.56250E-05 42.3004
6.71875E-05 41.8378
6.87500E-05 41.3914
7.18750E-05 40.5438
7.50000E-05 39.7508
7.81250E-05 39.0071
8.12500E-05 38.3077
8.43750E-05 37.6486
8.75000E-05 37.0260
9.06250E-05 36.4368
9.37500E-05 35.8782
9.68750E-05 35.3476
0.000100000 34.8428
0.000103125 34.3618
0.000106250 33.9029
0.000109375 33.4645
0.000112500 33.0450
0.000115625 32.6433
0.000118750 32.2581
0.000121875 31.8883
0.000125000 31.5330
0.000128125 31.1913
0.000131250 30.8623
0.000134375 30.5453
0.000137500 30.2397
0.000143750 29.6597
0.000150000 29.1179
0.000156250 28.6104
0.000162500 28.1337
0.000168750 27.6850
0.000175000 27.2618
0.000181250 26.8617
0.000187500 26.4828
0.000193750 26.1233
0.000200000 25.7818
0.000209375 25.3000
0.000218750 24.8512
0.000228125 24.4321
0.000237500 24.0395
0.000246875 23.6710
0.000256250 23.3241
0.000265625 22.9970
0.000275000 22.6879
0.000284375 22.3952
0.000293750 22.1177
0.000303125 21.8542
0.000312500 21.6034
0.000321875 21.3645
0.000331250 21.1366
0.000340625 20.9190
0.000350000 20.7108
0.000359375 20.5115
0.000368750 20.3205
0.000378125 20.1373
0.000387500 19.9613
0.000396875 19.7921
0.000406250 19.6293
0.000425000 19.3216
0.000443750 19.0353
0.000462500 18.7682
0.000481250 18.5183
0.000500000 18.2840
0.000515625 18.0996
0.000531250 17.9242
0.000546875 17.7571
0.000562500 17.5977
0.000578125 17.4456
0.000593750 17.3001
0.000609375 17.1608
0.000625000 17.0273
0.000640625 16.8993
0.000656250 16.7764
0.000671875 16.6583
0.000687500 16.5447
0.000718750 16.3299
0.000750000 16.1302
0.000781250 15.9440
0.000812500 15.7698
0.000843750 15.6065
0.000875000 15.4531
0.000906250 15.3086
0.000937500 15.1722
0.000968750 15.0433
0.00100000 14.9212
0.00103125 14.8054
0.00106250 14.6953
0.00109375 14.5905
0.00112500 14.4906
0.00115625 14.3953
0.00118750 14.3043
0.00121875 14.2172
0.00125000 14.1337
0.00128125 14.0537
0.00131250 13.9769
0.00134375 13.9032
0.00137500 13.8322
0.00143750 13.6982
0.00150000 13.5735
0.00156250 13.4573
0.00162500 13.3487
0.00168750 13.2468
0.00175000 13.1511
0.00181250 13.0609
0.00187500 12.9757
0.00193750 12.8952
0.00200000 12.8189
0.00209375 12.7116
0.00218750 12.6120
0.00228125 12.5193
0.00237500 12.4327
0.00246875 12.3516
0.00256250 12.2754
0.00265625 12.2037
0.00275000 12.1361
0.00284375 12.0721
0.00293750 12.0116
0.00303125 11.9542
0.00312500 11.8996
0.00321875 11.8476
0.00331250 11.7981
0.00340625 11.7508
0.00350000 11.7056
0.00359375 11.6624
0.00368750 11.6209
0.00378125 11.5812
0.00387500 11.5430
0.00396875 11.5063
0.00406250 11.4710
0.00425000 11.4043
0.00443750 11.3421
0.00462500 11.2841
0.00481250 11.2298
0.00500000 11.1789
0.00515625 11.1387
0.00531250 11.1005
0.00546875 11.0640
0.00562500 11.0292
0.00578125 10.9959
0.00593750 10.9641
0.00609375 10.9335
0.00625000 10.9042
0.00640625 10.8761
0.00656250 10.8490
0.00671875 10.8230
0.00687500 10.7979
0.00718750 10.7504
0.00750000 10.7061
0.00781250 10.6646
0.00812500 10.6258
0.00843750 10.5892
0.00875000 10.5548
0.00906250 10.5222
0.00937500 10.4914
0.00968750 10.4622
0.0100000 10.4345
0.0103125 10.4081
0.0106250 10.3830
0.0109375 10.3590
0.0112500 10.3361
0.0115625 10.3141
0.0118750 10.2931
0.0121875 10.2730
0.0125000 10.2536
0.0128125 10.2350
0.0131250 10.2171
0.0134375 10.1999
0.0137500 10.1833
0.0143750 10.1518
0.0150000 10.1224
0.0156250 10.0948
0.0162500 10.0690
0.0168750 10.0447
0.0175000 10.0217
0.0181250 10.0000
0.0187500 9.97945
0.0193750 9.95994
0.0200000 9.94140
0.0206625 9.92272
0.0213250 9.90495
0.0219875 9.88803
0.0226500 9.87188
0.0233125 9.85646
0.0239750 9.84171
0.0246375 9.82759
0.0253000 9.81404
0.0264578 9.79166
0.0276156 9.77075
0.0287734 9.75117
0.0299313 9.73278
0.0310891 9.71547
0.0322469 9.69913
0.0334047 9.68368
0.0345625 9.66904
0.0355274 9.65741
0.0364922 9.64626
0.0374570 9.63556
0.0384219 9.62527
0.0393867 9.61538
0.0403516 9.60586
0.0413164 9.59668
0.0422813 9.58783
0.0442109 9.57103
0.0461406 9.55533
0.0480703 9.54062
0.0500000 9.52679
0.0515625 9.51618
0.0531250 9.50605
0.0546875 9.49638
0.0562500 9.48713
0.0578125 9.47826
0.0593750 9.46975
0.0609375 9.46159
0.0625000 9.45374
0.0640625 9.44619
0.0656250 9.43891
0.0671875 9.43190
0.0687500 9.42514
0.0718750 9.41229
0.0750000 9.40028
0.0781250 9.38900
0.0812500 9.37840
0.0843750 9.36840
0.0875000 9.35895
0.0906250 9.35001
0.0937500 9.34153
0.0968750 9.33347
0.100000 9.32579
0.103125 9.31848
0.106250 9.31150
0.109375 9.30482
0.112500 9.29843
0.115625 9.29230
0.118750 9.28643
0.121875 9.28078
0.125000 9.27535
0.128125 9.27013
0.131250 9.26510
0.134375 9.26024
0.137500 9.25556
0.143750 9.24666
0.150000 9.23833
0.156250 9.23050
0.162500 9.22314
0.168750 9.21619
0.175000 9.20962
0.181250 9.20340
0.187500 9.19750
0.193750 9.19189
0.200000 9.18655
0.209375 9.17899
0.218750 9.17192
0.228125 9.16530
0.237500 9.15907
0.246875 9.15320
0.256250 9.14766
0.265625 9.14241
0.275000 9.13744
0.284375 9.13271
0.293750 9.12821
0.303125 9.12392
0.312500 9.11983
0.321875 9.11591
0.331250 9.11216
0.340625 9.10857
0.350000 9.10512
0.359375 9.10181
0.368750 9.09862
0.378125 9.09555
0.387500 9.09260
0.396875 9.08974
0.406250 9.08699
0.425000 9.08176
0.443750 9.07685
0.462500 9.07224
0.500000 9.06381
0.531250 9.05746
0.562500 9.05162
0.593750 9.04623
0.625000 9.04124
0.687500 9.03227
0.750000 9.02440
0.812500 9.01741
0.875000 9.01116
0.937500 9.00551
1.00000 9.00033
1.06250 8.99559
1.12500 8.99122
1.18750 8.98716
1.25000 8.98338
1.37500 8.97653
1.50000 8.97044
1.62500 8.96497
1.75000 8.96003
1.87500 8.95549
2.00000 8.95130
2.18750 8.94556
2.37500 8.94037
2.56250 8.93561
2.75000 8.93123
2.93750 8.92715
3.12500 8.92332
3.31250 8.91971
3.50000 8.91629
3.87500 8.90993
4.25000 8.90410
4.62500 8.89867
5.00000 8.89358
5.31250 8.88955
5.62500 8.88567
5.93750 8.88195
6.25000 8.87834
6.87500 8.87145
7.50000 8.86490
8.12500 8.85864
8.75000 8.85261
9.37500 8.84677
10.0000 8.84109
10.6250 8.83556
11.2500 8.83014
11.8750 8.82483
12.5000 8.81962
13.7500 8.80942
15.0000 8.79950
16.2500 8.78979
17.5000 8.78028
18.7500 8.77092
20.0000 8.76170
21.8750 8.74808
23.7500 8.73470
25.6250 8.72151
27.5000 8.70850
29.3750 8.69564
31.2500 8.68292
33.1250 8.67032
35.0000 8.65784
36.8750 8.64547
38.7500 8.63320
42.5000 8.60894
46.2500 8.58502
50.0000 8.56143
53.1250 8.54199
56.2500 8.52275
59.3750 8.50370
62.5000 8.48482
65.6250 8.46612
68.7500 8.44759
75.0000 8.41101
81.2500 8.37505
87.5000 8.33967
93.7500 8.30487
100.000 8.27061
106.250 8.23687
112.500 8.20364
118.750 8.17091
125.000 8.13866
131.250 8.10688
137.500 8.07555
143.750 8.04467
150.000 8.01421
162.500 7.95457
175.000 7.89654
187.500 7.84006
200.000 7.78505
206.488 7.75706
212.975 7.72946
219.463 7.70224
222.706 7.68878
225.950 7.67542
229.194 7.66218
230.917 7.65519
232.640 7.64825
234.364 7.64135
236.087 7.63451
237.810 7.62775
239.533 7.62108
240.395 7.61781
241.257 7.61459
242.118 7.61143
