Ar-36(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 980.030
1.03345E-05 964.156
1.06689E-05 949.036
1.10034E-05 934.613
1.13379E-05 920.835
1.16723E-05 907.654
1.20068E-05 895.030
1.23413E-05 882.924
1.26757E-05 871.302
1.31440E-05 855.785
1.36122E-05 841.078
1.40805E-05 827.114
1.45487E-05 813.831
1.50169E-05 801.176
1.54852E-05 789.102
1.59534E-05 777.566
1.64217E-05 766.528
1.68690E-05 756.418
1.73162E-05 746.704
1.77635E-05 737.360
1.82108E-05 728.365
1.86581E-05 719.696
1.91054E-05 711.334
2.00000E-05 695.465
2.06365E-05 684.811
2.12731E-05 674.640
2.19096E-05 664.918
2.25462E-05 655.613
2.31827E-05 646.696
2.38192E-05 638.141
2.44558E-05 629.924
2.50923E-05 622.023
2.59566E-05 611.767
2.68208E-05 602.014
2.76851E-05 592.725
2.85494E-05 583.863
2.94136E-05 575.397
3.02779E-05 567.299
3.11421E-05 559.543
3.20064E-05 552.105
3.30016E-05 543.908
3.39967E-05 536.076
3.49919E-05 528.584
3.59871E-05 521.407
3.69822E-05 514.524
3.79774E-05 507.916
3.89725E-05 501.565
3.99677E-05 495.455
4.12217E-05 488.075
4.24758E-05 481.028
4.37298E-05 474.289
4.49839E-05 467.837
4.62379E-05 461.652
4.74919E-05 455.716
4.87460E-05 450.013
5.00000E-05 444.529
5.18104E-05 436.970
5.36208E-05 429.801
5.54312E-05 422.990
5.72416E-05 416.510
5.90520E-05 410.334
6.08624E-05 404.439
6.26728E-05 398.805
6.44832E-05 393.413
6.71839E-05 385.785
6.98846E-05 378.610
7.02030E-05 377.792
7.13904E-05 374.790
7.25777E-05 371.864
7.49524E-05 366.225
7.73271E-05 360.852
7.97017E-05 355.725
8.20764E-05 350.827
8.44511E-05 346.140
8.68258E-05 341.651
8.92005E-05 337.346
9.19003E-05 332.659
9.46002E-05 328.179
9.73001E-05 323.890
0.000100000 319.780
0.000102664 315.889
0.000105327 312.150
0.000107991 308.553
0.000110654 305.090
0.000113318 301.753
0.000115981 298.535
0.000121308 292.427
0.000121518 292.195
0.000122050 291.610
0.000122582 291.028
0.000123646 289.876
0.000125773 287.618
0.000130028 283.274
0.000134283 279.144
0.000138538 275.211
0.000142793 271.460
