Gd-157(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 113.184
1.03125E-05 111.470
1.06250E-05 109.832
1.09375E-05 108.264
1.12500E-05 106.763
1.15625E-05 105.323
1.18750E-05 103.941
1.21875E-05 102.612
1.25000E-05 101.334
1.28125E-05 100.103
1.31250E-05 98.9158
1.34375E-05 97.7708
1.37500E-05 96.6651
1.43750E-05 94.5633
1.50000E-05 92.5948
1.56250E-05 90.7460
1.62500E-05 89.0054
1.68750E-05 87.3627
1.75000E-05 85.8093
1.81250E-05 84.3372
1.87500E-05 82.9397
1.93750E-05 81.6107
2.00000E-05 80.3448
2.09375E-05 78.5538
2.18750E-05 76.8798
2.28125E-05 75.3106
2.37500E-05 73.8358
2.46875E-05 72.4463
2.56250E-05 71.1342
2.65625E-05 69.8926
2.75000E-05 68.7155
2.84375E-05 67.5975
2.93750E-05 66.5338
3.03125E-05 65.5201
3.12500E-05 64.5528
3.21875E-05 63.6283
3.31250E-05 62.7437
3.40625E-05 61.8962
3.50000E-05 61.0832
3.59375E-05 60.3024
3.68750E-05 59.5519
3.78125E-05 58.8298
3.87500E-05 58.1342
3.96875E-05 57.4636
4.06250E-05 56.8166
4.25000E-05 55.5880
4.43750E-05 54.4389
4.62500E-05 53.3611
4.81250E-05 52.3476
5.00000E-05 51.3923
5.15625E-05 50.6367
5.31250E-05 49.9151
5.46875E-05 49.2250
5.62500E-05 48.5643
5.78125E-05 47.9308
5.93750E-05 47.3228
6.09375E-05 46.7387
6.25000E-05 46.1769
6.40625E-05 45.6360
6.56250E-05 45.1149
6.71875E-05 44.6123
6.87500E-05 44.1271
7.18750E-05 43.2055
7.50000E-05 42.3429
7.81250E-05 41.5333
8.12500E-05 40.7717
8.43750E-05 40.0535
8.75000E-05 39.3748
9.06250E-05 38.7321
9.37500E-05 38.1224
9.68750E-05 37.5430
0.000100000 36.9914
0.000103125 36.4656
0.000106250 35.9636
0.000109375 35.4837
0.000112500 35.0244
0.000115625 34.5842
0.000118750 34.1619
0.000121875 33.7562
0.000125000 33.3662
0.000128125 32.9909
0.000131250 32.6294
0.000134375 32.2808
0.000137500 31.9445
0.000143750 31.3058
0.000150000 30.7084
0.000156250 30.1481
0.000162500 29.6213
0.000168750 29.1248
0.000175000 28.6558
0.000181250 28.2119
0.000187500 27.7910
0.000193750 27.3912
0.000200000 27.0108
0.000209375 26.4734
0.000218750 25.9720
0.000228125 25.5027
0.000237500 25.0622
0.000246875 24.6479
0.000256250 24.2572
0.000265625 23.8881
0.000275000 23.5385
0.000284375 23.2070
0.000293750 22.8919
0.000303125 22.5921
0.000312500 22.3063
0.000321875 22.0335
0.000331250 21.7727
0.000340625 21.5231
0.000350000 21.2840
0.000359375 21.0546
0.000368750 20.8343
0.000378125 20.6225
0.000387500 20.4187
0.000396875 20.2224
0.000406250 20.0331
0.000425000 19.6743
0.000443750 19.3391
0.000462500 19.0253
0.000481250 18.7306
0.000500000 18.4531
0.000515625 18.2340
0.000531250 18.0249
0.000546875 17.8251
0.000562500 17.6340
0.000578125 17.4509
0.000593750 17.2754
0.000609375 17.1068
0.000625000 16.9449
0.000640625 16.7890
0.000656250 16.6390
0.000671875 16.4944
0.000687500 16.3549
0.000718750 16.0901
0.000750000 15.8425
0.000781250 15.6103
0.000812500 15.3921
0.000843750 15.1865
0.000875000 14.9923
0.000906250 14.8086
0.000937500 14.6343
0.000968750 14.4688
0.00100000 14.3114
0.00103125 14.1613
0.00106250 14.0181
0.00109375 13.8812
0.00112500 13.7502
0.00115625 13.6247
0.00118750 13.5043
0.00121875 13.3887
0.00125000 13.2776
0.00128125 13.1707
0.00131250 13.0677
0.00134375 12.9683
0.00137500 12.8725
0.00143750 12.6906
0.00150000 12.5204
0.00156250 12.3607
0.00162500 12.2105
0.00168750 12.0690
0.00175000 11.9352
0.00181250 11.8086
0.00187500 11.6885
0.00193750 11.5744
0.00200000 11.4658
0.00209375 11.3122
0.00218750 11.1688
0.00228125 11.0346
0.00237500 10.9085
0.00246875 10.7897
0.00256250 10.6777
0.00265625 10.5718
0.00275000 10.4714
0.00284375 10.3761
0.00293750 10.2855
0.00303125 10.1992
0.00312500 10.1168
0.00321875 10.0382
0.00331250 9.96296
0.00340625 9.89090
0.00350000 9.82181
0.00359375 9.75547
0.00368750 9.69172
0.00378125 9.63040
0.00387500 9.57134
0.00396875 9.51442
0.00406250 9.45951
0.00425000 9.35527
0.00443750 9.25780
0.00462500 9.16639
0.00481250 9.08046
0.00500000 8.99946
0.00515625 8.93541
0.00531250 8.87425
0.00546875 8.81576
0.00562500 8.75975
0.00578125 8.70606
0.00593750 8.65453
0.00609375 8.60501
0.00625000 8.55739
0.00640625 8.51154
0.00656250 8.46735
0.00671875 8.42474
0.00687500 8.38360
0.00718750 8.30543
0.00750000 8.23225
0.00781250 8.16355
0.00812500 8.09889
0.00843750 8.03789
0.00875000 7.98022
0.00906250 7.92559
0.00937500 7.87373
0.00968750 7.82444
0.0100000 7.77749
0.0103125 7.73271
0.0106250 7.68995
0.0109375 7.64904
0.0112500 7.60987
0.0115625 7.57232
0.0118750 7.53627
0.0121875 7.50163
0.0125000 7.46831
0.0128125 7.43623
0.0131250 7.40531
0.0134375 7.37548
0.0137500 7.34668
0.0143750 7.29196
0.0150000 7.24071
0.0156250 7.19259
0.0162500 7.14729
0.0168750 7.10455
0.0175000 7.06413
0.0181250 7.02584
0.0187500 6.98949
0.0193750 6.95492
0.0200000 6.92200
0.0206625 6.88876
0.0213250 6.85709
0.0219875 6.82687
0.0226500 6.79800
0.0233125 6.77038
0.0239750 6.74391
0.0246375 6.71853
0.0253000 6.69416
0.0264578 6.65380
0.0276156 6.61602
0.0287734 6.58056
0.0299313 6.54720
0.0310891 6.51573
0.0322469 6.48598
0.0334047 6.45780
0.0345625 6.43106
0.0355274 6.40978
0.0364922 6.38935
0.0374570 6.36972
0.0384219 6.35083
0.0393867 6.33264
0.0403516 6.31511
0.0413164 6.29820
0.0422813 6.28188
0.0442109 6.25085
0.0461406 6.22181
0.0480703 6.19453
0.0500000 6.16886
0.0515625 6.14915
0.0531250 6.13031
0.0546875 6.11229
0.0562500 6.09503
0.0578125 6.07848
0.0593750 6.06259
0.0609375 6.04731
0.0625000 6.03262
0.0640625 6.01847
0.0656250 6.00484
0.0671875 5.99169
0.0687500 5.97899
0.0718750 5.95484
0.0750000 5.93222
0.0781250 5.91096
0.0812500 5.89094
0.0843750 5.87205
0.0875000 5.85418
0.0906250 5.83724
0.0937500 5.82116
0.0968750 5.80587
0.100000 5.79130
0.103125 5.77740
0.106250 5.76412
0.109375 5.75141
0.112500 5.73924
0.115625 5.72756
0.118750 5.71635
0.121875 5.70557
0.125000 5.69520
0.128125 5.68522
0.131250 5.67560
0.134375 5.66632
0.137500 5.65736
0.143750 5.64032
0.150000 5.62434
0.156250 5.60932
0.162500 5.59517
0.168750 5.58182
0.175000 5.56919
0.181250 5.55721
0.187500 5.54584
0.193750 5.53503
0.200000 5.52473
0.209375 5.51016
0.218750 5.49651
0.228125 5.48370
0.237500 5.47166
0.246875 5.46030
0.256250 5.44957
0.265625 5.43941
0.275000 5.42977
0.284375 5.42060
0.293750 5.41188
0.303125 5.40356
0.312500 5.39561
0.321875 5.38800
0.331250 5.38072
0.340625 5.37374
0.350000 5.36703
0.359375 5.36059
0.368750 5.35439
0.378125 5.34841
0.387500 5.34266
0.396875 5.33710
0.406250 5.33175
0.425000 5.32156
0.443750 5.31199
0.462500 5.30299
0.500000 5.28653
0.531250 5.27413
0.562500 5.26272
0.593750 5.25219
0.625000 5.24243
0.687500 5.22486
0.750000 5.20943
0.812500 5.19572
0.875000 5.18343
0.937500 5.17231
1.00000 5.16213
1.06250 5.15278
1.12500 5.14415
1.25000 5.12865
1.37500 5.11506
1.50000 5.10296
1.62500 5.09205
1.75000 5.08213
1.87500 5.07302
2.00000 5.06456
