Er-166(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0322469 11.4705
0.0334047 11.2697
0.0345625 11.0791
0.0355274 10.9274
0.0364922 10.7817
0.0374570 10.6416
0.0384219 10.5069
0.0393867 10.3771
0.0403516 10.2520
0.0413164 10.1313
0.0422813 10.0148
0.0442109 9.79319
0.0461406 9.58567
0.0480703 9.39078
0.0500000 9.20727
0.0515625 9.06629
0.0531250 8.93158
0.0546875 8.80267
0.0562500 8.67918
0.0578125 8.56072
0.0593750 8.44698
0.0609375 8.33764
0.0625000 8.23244
0.0640625 8.13113
0.0656250 8.03348
0.0671875 7.93927
0.0687500 7.84829
0.0718750 7.67529
0.0750000 7.51313
0.0781250 7.36073
0.0812500 7.21717
0.0843750 7.08165
0.0875000 6.95345
0.0906250 6.83193
0.0937500 6.71653
0.0968750 6.60676
0.100000 6.50217
0.103125 6.40237
0.106250 6.30700
0.109375 6.21574
0.112500 6.12831
0.115625 6.04444
0.118750 5.96390
0.121875 5.88648
0.125000 5.81198
0.128125 5.74024
0.131250 5.67110
0.134375 5.60441
0.137500 5.54001
0.143750 5.41754
0.150000 5.30270
0.156250 5.19475
0.162500 5.09307
0.168750 4.99709
0.175000 4.90629
0.181250 4.82022
0.187500 4.73850
0.193750 4.66080
0.200000 4.58681
0.209375 4.48207
0.218750 4.38402
0.228125 4.29205
0.237500 4.20557
0.246875 4.12405
0.256250 4.04705
0.265625 3.97415
0.275000 3.90501
0.284375 3.83932
0.293750 3.77679
0.303125 3.71718
0.312500 3.66027
0.321875 3.60587
0.331250 3.55378
0.340625 3.50387
0.350000 3.45597
0.359375 3.40995
0.368750 3.36570
0.378125 3.32311
0.387500 3.28208
0.396875 3.24255
0.406250 3.20445
0.425000 3.13200
0.443750 3.06407
0.462500 3.00031
0.500000 2.88395
0.531250 2.79659
0.562500 2.71644
0.593750 2.64274
0.625000 2.57467
0.687500 2.45285
0.750000 2.34676
0.812500 2.25333
0.875000 2.17049
0.937500 2.09626
1.00000 2.02910
1.06250 1.96816
1.12500 1.91259
1.18750 1.86170
1.25000 1.81489
1.37500 1.73173
1.50000 1.66013
1.62500 1.59795
1.75000 1.54369
1.87500 1.49602
2.00000 1.45386
2.18750 1.39975
2.37500 1.35503
2.56250 1.31837
2.75000 1.28896
2.93750 1.26609
3.12500 1.24929
3.31250 1.23848
3.50000 1.23366
3.68750 1.23503
3.87500 1.24295
4.06250 1.25801
4.25000 1.28105
4.43750 1.31302
4.53125 1.33280
4.62500 1.35567
4.71875 1.38176
4.81250 1.41137
4.90625 1.44490
5.00000 1.48278
5.11778 1.53742
5.23556 1.60107
5.35334 1.67532
5.47112 1.76214
5.53001 1.81100
5.58890 1.86401
5.64779 1.92153
5.70668 1.98406
5.76557 2.05217
5.82446 2.12639
5.88335 2.20712
5.94224 2.29528
6.00394 2.39733
6.06563 2.51021
6.12733 2.63528
6.18902 2.77428
6.25072 2.92928
6.31241 3.10276
6.37411 3.29770
6.43580 3.51770
6.48908 3.73126
6.54236 3.97024
6.59565 4.23879
6.62229 4.38570
6.64893 4.54197
6.67557 4.70841
6.70221 4.88590
6.72885 5.07534
6.75549 5.27776
6.78213 5.49435
6.80877 5.72664
6.83541 5.97639
6.86205 6.24549
6.89290 6.58390
6.92375 6.95440
6.95460 7.36110
6.98544 7.80883
7.01629 8.30334
7.04714 8.85136
7.07799 9.46096
7.10883 10.1418
7.13828 10.8687
7.15300 11.2641
7.16772 11.6831
7.18245 12.1277
7.19717 12.5999
7.21189 13.1022
7.22661 13.6369
7.24134 14.2072
7.25606 14.8161
7.27078 15.4672
7.28550 16.1645
7.30023 16.9126
7.31495 17.7164
7.32967 18.5819
7.34439 19.5157
7.35982 20.5755
7.37524 21.7286
7.39067 22.9862
7.40609 24.3614
7.42151 25.8696
7.43694 27.5285
7.45236 29.3591
7.46778 31.3861
7.48321 33.6390
7.49092 34.8610
7.49863 36.1532
7.50634 37.5212
7.51405 38.9711
7.52177 40.5096
7.52948 42.1441
7.53719 43.8832
7.54490 45.7359
7.55261 47.7125
7.56032 49.8243
7.56804 52.0847
7.57575 54.5078
7.58346 57.1101
7.59117 59.9096
7.60099 63.7923
7.61080 68.0799
7.62062 72.8321
7.63043 78.1206
7.63534 80.9925
7.64025 84.0315
7.64515 87.2525
7.65006 90.6693
7.65497 94.3000
7.65988 98.1616
7.66478 102.276
7.66969 106.665
7.67740 114.181
7.68512 122.555
7.68897 127.104
7.69283 131.921
7.69668 137.027
7.70054 142.443
7.70440 148.197
7.70825 154.314
7.71211 160.825
7.71596 167.762
7.71982 175.162
7.72368 183.061
7.72753 191.502
7.73139 200.528
7.73507 209.738
7.73875 219.572
7.74243 230.077
7.74611 241.302
7.74979 253.308
7.75347 266.146
7.75715 279.878
7.76083 294.561
7.76451 310.265
7.76819 327.053
7.77188 344.989
7.77556 364.136
7.77924 384.568
7.78292 406.338
7.78660 429.519
7.79028 454.154
7.79413 481.590
7.79799 510.737
7.80185 541.633
7.80570 574.307
7.80956 608.769
7.81341 645.017
7.81727 683.023
7.82112 722.733
7.82410 754.559
7.82708 787.313
7.83006 820.966
7.83304 855.431
7.83602 890.661
7.83900 926.549
7.84198 963.026
7.84496 999.965
7.84882 1048.30
7.85267 1096.96
7.85653 1145.66
7.86038 1194.07
7.86432 1242.88
7.86826 1290.68
7.87220 1337.05
7.87614 1381.60
7.88030 1426.25
7.88446 1467.94
7.88862 1506.25
7.89278 1540.75
7.89958 1587.97
7.90299 1606.88
7.90639 1622.45
7.90979 1634.55
7.91319 1643.08
7.91660 1647.98
7.92000 1649.20
7.92605 1642.28
7.93210 1623.93
7.93815 1594.61
7.94420 1555.10
7.94871 1519.57
7.95323 1479.40
7.95774 1435.12
7.96225 1387.29
7.96677 1336.51
7.97128 1283.38
7.97579 1228.48
7.98030 1172.40
7.98576 1103.80
7.99122 1035.19
7.99667 967.387
8.00213 901.107
8.00758 836.956
8.01304 775.423
8.01850 716.890
8.02395 661.627
8.02941 609.807
8.03486 561.517
8.04032 516.763
8.04578 475.489
8.05123 437.589
8.05669 402.914
8.06214 371.288
8.06760 342.515
8.07306 316.388
8.07851 292.697
8.08397 271.235
8.08942 251.798
8.09488 234.196
8.10034 218.248
8.10579 203.787
8.11125 190.661
8.11571 180.813
8.12018 171.694
8.12464 163.240
8.12910 155.393
8.13357 148.100
8.13803 141.312
8.14250 134.986
8.14696 129.081
8.15142 123.562
8.15589 118.397
8.16035 113.556
8.16482 109.013
8.16928 104.744
8.17374 100.727
8.17821 96.9418
8.18267 93.3715
8.18813 89.2758
8.19358 85.4502
8.19904 81.8710
8.20450 78.5172
8.20995 75.3698
8.21541 72.4121
8.22086 69.6287
8.22632 67.0061
8.23178 64.5318
8.23723 62.1947
8.24814 57.8927
8.25906 54.0294
8.26997 50.5469
8.28187 47.1241
8.29377 44.0427
8.30568 41.2584
8.31758 38.7338
8.32949 36.4373
8.34139 34.3420
8.35329 32.4248
8.36520 30.6660
8.37611 29.1780
8.38702 27.7969
8.39793 26.5128
8.40885 25.3167
8.41976 24.2006
8.43067 23.1576
8.44158 22.1813
8.45249 21.2663
8.46341 20.4074
8.47432 19.6002
8.48523 18.8406
8.49614 18.1250
8.50705 17.4499
8.51797 16.8125
8.53979 15.6397
8.56161 14.5873
8.58344 13.6394
8.60526 12.7825
8.62708 12.0055
8.64891 11.2986
8.67073 10.6536
8.69256 10.0637
8.71438 9.52261
8.73124 9.13470
8.74811 8.77074
8.76497 8.42883
8.78184 8.10719
8.79870 7.80423
8.81556 7.51848
8.83243 7.24862
8.84929 6.99349
8.88302 6.52318
8.91675 6.10029
8.95047 5.71875
8.98420 5.37341
9.00602 5.16714
9.02785 4.97311
9.04967 4.79037
9.07150 4.61807
9.09332 4.45542
9.11514 4.30172
9.15879 4.01866
9.20244 3.76435
9.24609 3.53505
9.28974 3.32758
9.33338 3.13926
9.36314 3.02064
9.39290 2.90923
9.42266 2.80444
9.45242 2.70579
9.48218 2.61282
9.51194 2.52515
9.57146 2.36412
9.63098 2.21963
9.69050 2.08932
9.75002 1.97154
9.80954 1.86481
9.85715 1.78646
9.90477 1.71373
9.95239 1.64611
10.0000 1.58316
10.0537 1.51716
10.1074 1.45593
10.1611 1.39903
10.2149 1.34608
10.2686 1.29673
10.3223 1.25065
10.3760 1.20757
10.4297 1.16722
10.4834 1.12936
10.5371 1.09382
10.6445 1.02890
10.7520 0.971184
10.8594 0.919629
10.9326 0.887559
11.0059 0.857722
11.0791 0.829906
11.1524 0.803930
11.2988 0.756870
11.4453 0.715679
11.5918 0.679008
11.7383 0.646298
11.8848 0.617040
12.0313 0.590749
12.1484 0.571587
12.2656 0.553889
12.3828 0.537498
12.5000 0.522295
12.6563 0.503673
12.8125 0.486718
12.9688 0.471230
13.1250 0.457040
13.2813 0.444003
13.4375 0.432061
13.7500 0.410769
14.0625 0.392398
14.3750 0.376499
14.6875 0.362659
15.0000 0.350559
15.3125 0.339946
15.6250 0.330620
15.9375 0.322420
16.2500 0.315218
16.5625 0.308911
16.8750 0.303415
17.1875 0.298666
17.5000 0.294610
17.9688 0.289761
18.4375 0.286251
18.9063 0.284110
19.3750 0.283256
19.6875 0.283447
20.0000 0.284261
20.4508 0.286608
20.9015 0.290396
21.3522 0.295828
21.8030 0.303168
22.2537 0.312636
22.4791 0.318361
22.7045 0.324751
22.9298 0.331914
23.1552 0.340015
23.3806 0.349046
23.6059 0.359120
23.8518 0.371573
24.0977 0.385509
24.3435 0.401523
24.5894 0.419773
24.8352 0.440635
25.0811 0.464574
25.2040 0.477873
25.3270 0.492169
25.4499 0.507557
25.5728 0.524144
25.7470 0.549937
25.9211 0.578785
26.0953 0.611168
26.2694 0.647671
26.4436 0.688966
26.5307 0.711596
26.6177 0.735729
26.7048 0.761612
26.7919 0.789383
26.8790 0.819188
26.9660 0.851209
27.0787 0.896312
27.1914 0.946061
27.3041 1.00112
27.4168 1.06226
27.5295 1.13042
27.6421 1.20669
27.6985 1.24828
27.7548 1.29243
27.8112 1.33934
27.8675 1.38926
27.9546 1.47295
28.0417 1.56556
28.1287 1.66841
28.2158 1.78300
28.3029 1.91114
28.3464 1.98095
28.3900 2.05504
28.4335 2.13382
28.4770 2.21772
28.5206 2.30717
28.5641 2.40264
28.6205 2.53609
28.6768 2.68188
28.7331 2.84162
28.7895 3.01715
28.8458 3.21068
28.9022 3.42468
28.9585 3.66220
29.0149 3.92685
29.0686 4.20880
29.0955 4.36187
29.1224 4.52387
29.1493 4.69550
29.1762 4.87754
29.2031 5.07087
29.2300 5.27643
29.2569 5.49535
29.2838 5.72865
29.3107 5.97770
29.3376 6.24396
29.3644 6.52908
29.3913 6.83490
29.4182 7.16355
29.4451 7.51738
29.4733 7.91818
29.5015 8.35301
29.5296 8.82605
29.5578 9.34197
29.5860 9.90616
29.6141 10.5249
29.6423 11.2055
29.6705 11.9567
29.6987 12.7890
29.7268 13.7141
29.7409 14.2162
29.7550 14.7468
29.7691 15.3092
29.7832 15.9051
29.7973 16.5380
29.8113 17.2104
29.8254 17.9266
29.8395 18.6895
29.8536 19.5045
29.8677 20.3755
29.8818 21.3092
29.8959 22.3104
29.9151 23.7994
29.9343 25.4498
29.9535 27.2867
29.9631 28.2851
29.9727 29.3411
29.9823 30.4618
29.9919 31.6506
30.0015 32.9160
30.0111 34.2623
30.0207 35.7002
30.0303 37.2355
30.0399 38.8795
30.0495 40.6438
30.0636 43.4787
30.0707 45.0178
30.0777 46.6477
30.0847 48.3791
30.0918 50.2158
30.0988 52.1702
30.1059 54.2532
30.1129 56.4805
30.1200 58.8597
30.1270 61.4093
30.1340 64.1467
30.1411 67.0916
30.1481 70.2658
30.1552 73.6939
30.1622 77.4032
30.1683 80.8624
30.1744 84.5706
30.1805 88.5640
30.1865 92.8557
30.1926 97.4887
30.1987 102.479
30.2048 107.867
30.2078 110.722
30.2109 113.691
30.2139 116.788
30.2170 120.000
30.2200 123.340
30.2230 126.816
30.2261 130.432
30.2291 134.195
30.2322 138.110
30.2352 142.185
30.2382 146.439
30.2413 150.853
30.2443 155.445
30.2474 160.224
30.2504 165.196
30.2534 170.369
30.2565 175.751
30.2595 181.348
30.2619 185.944
30.2643 190.665
30.2667 195.533
30.2691 200.552
30.2715 205.726
30.2739 211.060
30.2763 216.556
30.2787 222.220
30.2811 228.080
30.2835 234.090
30.2883 246.653
30.2931 259.965
30.2979 274.055
30.3005 281.900
30.3031 289.978
30.3056 298.296
30.3082 306.858
30.3117 319.069
30.3152 331.724
30.3188 344.866
30.3223 358.503
30.3258 372.643
30.3293 387.294
30.3328 402.460
30.3364 418.146
30.3399 434.404
30.3434 451.142
30.3469 468.407
30.3504 486.199
30.3540 504.514
30.3575 523.350
30.3610 542.700
30.3645 562.556
30.3681 582.969
30.3716 603.810
30.3786 646.895
30.3857 691.734
30.3927 738.161
30.3997 786.041
30.4068 834.998
30.4138 884.824
30.4209 935.212
30.4279 985.894
30.4350 1036.36
30.4490 1135.25
30.4631 1228.69
30.4702 1272.21
30.4772 1313.06
30.4835 1347.16
30.4899 1378.41
30.4962 1406.66
30.5025 1431.55
30.5111 1459.73
30.5197 1480.89
30.5283 1494.71
30.5369 1500.94
30.5400 1501.30
30.5463 1498.96
30.5525 1492.56
30.5619 1475.45
30.5713 1449.70
30.5807 1415.84
30.5901 1374.54
30.5965 1342.48
30.6029 1307.66
30.6093 1270.35
30.6157 1230.85
30.6233 1181.81
30.6308 1130.71
30.6460 1024.44
30.6588 932.726
30.6716 841.797
30.6844 753.586
30.6971 669.730
30.7035 629.765
30.7099 591.288
30.7163 554.390
30.7227 519.192
30.7291 485.629
30.7355 453.786
30.7419 423.672
30.7483 395.323
30.7565 361.621
30.7646 330.641
30.7687 316.090
30.7728 302.206
30.7768 288.938
30.7809 276.268
30.7850 264.150
30.7891 252.626
30.7931 241.646
30.7972 231.193
30.8013 221.246
30.8053 211.787
30.8094 202.796
30.8135 194.254
30.8199 181.684
30.8263 170.104
30.8327 159.444
30.8391 149.634
30.8455 140.610
30.8519 132.308
30.8583 124.671
30.8647 117.653
30.8711 111.182
30.8775 105.220
30.8839 99.7225
30.8903 94.6493
30.8967 89.9624
30.9031 85.6272
30.9095 81.6121
30.9159 77.8940
30.9223 74.4350
30.9287 71.2176
30.9351 68.2202
30.9415 65.4235
30.9479 62.8097
30.9543 60.3631
30.9607 58.0694
30.9670 55.9189
30.9734 53.8934
30.9798 51.9857
30.9926 48.4896
31.0054 45.3600
31.0182 42.5484
31.0299 40.2268
31.0415 38.1045
31.0531 36.1545
31.0648 34.3606
31.0764 32.7027
31.0880 31.1692
31.0997 29.7461
31.1113 28.4225
31.1229 27.1880
31.1346 26.0362
31.1462 24.9588
31.1578 23.9492
31.1695 23.0009
31.1811 22.1103
31.1927 21.2720
31.2044 20.4819
31.2172 19.6635
31.2300 18.8945
31.2428 18.1709
31.2555 17.4896
31.2683 16.8464
31.2811 16.2393
31.3067 15.1213
31.3323 14.1169
31.3579 13.2118
31.3835 12.3927
31.4091 11.6489
31.4254 11.2105
31.4417 10.7969
31.4580 10.4063
31.4742 10.0371
31.5068 9.35614
31.5394 8.74370
31.5720 8.19048
31.6045 7.68927
31.6371 7.23352
31.6697 6.81783
31.6953 6.51620
31.7209 6.23462
31.7465 5.97125
31.7721 5.72457
31.7977 5.49309
31.8232 5.27577
31.8488 5.07140
31.8744 4.87896
31.9000 4.69747
31.9256 4.52626
31.9512 4.36449
31.9768 4.21147
32.0280 3.92924
32.0792 3.67531
32.1304 3.44592
32.1815 3.23806
32.2327 3.04910
32.2839 2.87686
32.3351 2.71937
32.3863 2.57504
32.4375 2.44248
32.4887 2.32047
32.5375 2.21279
32.5864 2.11284
32.6352 2.01985
32.6841 1.93318
32.7330 1.85228
32.7818 1.77666
32.8307 1.70588
32.8795 1.63956
32.9284 1.57732
32.9773 1.51885
33.0261 1.46383
33.0750 1.41202
33.1238 1.36316
33.1727 1.31703
33.2704 1.23222
33.3728 1.15274
33.4752 1.08157
33.5775 1.01758
33.6799 0.959853
33.7823 0.907596
33.8847 0.860157
33.9870 0.816963
34.0894 0.777532
34.1778 0.746199
34.2662 0.717176
34.3546 0.690233
34.4430 0.665113
34.5315 0.641635
34.6199 0.619692
34.7083 0.599172
34.7967 0.579961
34.9735 0.545053
35.1503 0.514248
35.3272 0.486949
35.5040 0.462673
35.7087 0.437806
35.9135 0.415932
36.1182 0.396624
36.3230 0.379537
36.5277 0.364380
36.7325 0.350912
36.9372 0.338934
37.1420 0.328336
37.3281 0.319739
37.5142 0.311927
37.7004 0.304916
37.8865 0.298647
38.0726 0.293028
38.2587 0.288042
38.6310 0.279738
39.0033 0.273451
39.3755 0.268960
39.7478 0.266108
40.1201 0.264804
40.5296 0.265104
40.9390 0.267195
41.3485 0.271137
41.7580 0.277052
41.9628 0.280798
42.1675 0.285115
42.3723 0.290049
42.5770 0.295629
42.7818 0.301915
42.9865 0.308983
43.1912 0.316890
43.3960 0.325722
43.6193 0.336519
43.8427 0.348619
44.0661 0.362396
44.2894 0.377999
44.5128 0.395703
44.7361 0.415857
44.9595 0.438893
45.0712 0.451656
45.1829 0.465351
45.3597 0.489171
45.5365 0.515982
45.7133 0.546301
45.8017 0.562968
45.8902 0.580763
45.9786 0.599791
46.0670 0.620164
46.1554 0.642009
46.2438 0.665453
46.3322 0.690647
46.4206 0.717794
46.5090 0.747164
46.5975 0.779029
46.6998 0.819403
46.8022 0.863977
46.9046 0.913367
47.0069 0.968310
47.1093 1.02970
47.2117 1.09859
47.2629 1.13626
47.3141 1.17632
47.3653 1.21899
47.4164 1.26449
47.4955 1.34103
47.5747 1.42613
47.6538 1.52111
47.7329 1.62758
47.7724 1.68572
47.8120 1.74749
47.8515 1.81324
47.8911 1.88331
47.9306 1.95816
47.9702 2.03819
48.0097 2.12394
48.0493 2.21597
48.1005 2.34544
48.1517 2.48807
48.2028 2.64577
48.2540 2.82072
48.3052 3.01567
48.3308 3.12159
48.3564 3.23375
48.3820 3.35272
48.4076 3.47896
48.4332 3.61314
48.4588 3.75596
48.5006 4.01037
48.5425 4.29391
48.5635 4.44805
48.5844 4.61132
48.6053 4.78447
48.6263 4.96833
48.6472 5.16385
48.6682 5.37204
48.6891 5.59406
48.7100 5.83121
48.7310 6.08493
48.7519 6.35686
48.7729 6.64884
48.7938 6.96296
48.8194 7.38054
48.8450 7.83962
48.8706 8.34649
48.8962 8.90785
48.9218 9.53266
48.9346 9.87194
48.9474 10.2308
48.9602 10.6114
48.9730 11.0151
48.9858 11.4446
48.9986 11.9015
49.0114 12.3891
49.0242 12.9102
49.0370 13.4679
49.0497 14.0658
49.0625 14.7092
49.0753 15.4022
49.0881 16.1518
49.1009 16.9637
49.1137 17.8475
49.1265 18.8120
49.1393 19.8686
49.1521 21.0299
49.1649 22.3139
49.1777 23.7378
49.1905 25.3269
49.2033 27.1064
49.2097 28.0788
49.2161 29.1121
49.2225 30.2113
49.2289 31.3822
49.2353 32.6307
49.2417 33.9636
49.2481 35.3882
49.2545 36.9096
49.2609 38.5413
49.2673 40.2901
49.2737 42.1659
49.2801 44.1793
49.2865 46.3419
49.2929 48.6657
49.2993 51.1640
49.3057 53.8464
49.3121 56.7359
49.3185 59.8442
49.3249 63.1879
49.3313 66.7842
49.3377 70.6512
49.3441 74.8079
49.3505 79.2738
49.3569 84.0614
49.3633 89.2062
49.3697 94.7223
49.3761 100.631
49.3825 106.943
49.3889 113.701
49.3953 120.915
49.4017 128.606
49.4080 136.782
49.4127 143.068
49.4174 149.620
49.4220 156.474
49.4267 163.605
49.4313 171.050
49.4360 178.782
49.4406 186.821
49.4453 195.171
49.4499 203.853
49.4546 212.831
49.4592 222.126
49.4639 231.737
49.4685 241.685
49.4732 251.925
49.4778 262.474
49.4825 273.328
49.4883 287.334
49.4941 301.794
49.5000 316.690
49.5058 331.973
49.5122 349.256
49.5186 366.971
49.5250 385.075
49.5314 403.517
49.5378 422.243
49.5442 441.164
49.5569 479.442
49.5697 517.810
49.5825 555.599
49.5953 592.128
49.6081 626.659
49.6209 658.535
49.6337 687.013
49.6450 708.800
49.6563 727.059
49.6633 736.540
49.6703 744.438
49.6774 750.706
49.6844 755.300
49.6922 758.399
49.7000 759.359
49.7125 756.433
49.7219 750.669
49.7313 741.939
49.7406 730.342
49.7500 716.054
49.7608 696.577
49.7715 674.137
49.7822 649.058
49.7930 621.781
49.8037 592.697
49.8145 562.226
49.8252 530.788
49.8359 498.790
49.8574 434.603
49.8789 372.459
49.8872 349.434
49.8955 327.161
49.9038 305.693
49.9121 285.096
49.9204 265.422
49.9287 246.710
49.9370 228.983
49.9453 212.256
49.9522 199.223
49.9590 186.884
49.9658 175.194
49.9727 164.175
49.9795 153.780
49.9863 144.023
49.9932 134.854
50.0000 126.278
50.0050 120.308
50.0101 114.631
50.0151 109.237
50.0202 104.126
50.0252 99.2672
50.0302 94.6606
50.0353 90.2958
50.0403 86.1706
50.0453 82.2582
50.0504 78.5570
50.0554 75.0570
50.0605 71.7548
50.0655 68.6280
50.0705 65.6738
50.0756 62.8835
50.0806 60.2532
50.0854 57.8748
50.0902 55.6230
50.0950 53.4910
50.0998 51.4764
50.1046 49.5646
50.1095 47.7540
50.1191 44.4170
50.1287 41.4162
50.1383 38.7197
50.1479 36.2874
50.1575 34.0939
50.1671 32.1073
50.1768 30.3075
50.1864 28.6694
50.1960 27.1777
50.2056 25.8128
50.2152 24.5630
50.2248 23.4131
50.2344 22.3544
50.2445 21.3301
50.2546 20.3853
50.2647 19.5099
50.2747 18.6981
50.2848 17.9421
50.2949 17.2376
50.3050 16.5792
50.3150 15.9625
50.3251 15.3831
50.3352 14.8390
50.3453 14.3261
50.3553 13.8429
50.3755 12.9541
50.3956 12.1573
50.4112 11.5958
50.4268 11.0763
50.4423 10.5945
50.4579 10.1471
50.4735 9.73008
50.4890 9.34102
50.5046 8.97739
50.5202 8.63717
50.5357 8.31795
50.5513 8.01820
50.5669 7.73634
50.5824 7.47113
50.6136 6.98482
50.6447 6.55085
50.6649 6.29432
50.6850 6.05494
50.7052 5.83125
50.7253 5.62201
50.7454 5.42585
50.7656 5.24191
