Ru-101(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 262.417
1.03125E-05 258.410
1.06250E-05 254.582
1.09375E-05 250.918
1.12500E-05 247.409
1.15625E-05 244.043
1.18750E-05 240.810
1.21875E-05 237.703
1.25000E-05 234.713
1.28125E-05 231.833
1.31250E-05 229.056
1.34375E-05 226.377
1.37500E-05 223.790
1.43750E-05 218.871
1.50000E-05 214.263
1.56250E-05 209.934
1.62500E-05 205.857
1.68750E-05 202.009
1.75000E-05 198.369
1.81250E-05 194.918
1.87500E-05 191.642
1.93750E-05 188.526
2.00000E-05 185.557
2.09375E-05 181.355
2.18750E-05 177.426
2.28125E-05 173.742
2.37500E-05 170.279
2.46875E-05 167.014
2.56250E-05 163.931
2.65625E-05 161.012
2.75000E-05 158.243
2.84375E-05 155.613
2.93750E-05 153.110
3.03125E-05 150.724
3.12500E-05 148.446
3.21875E-05 146.268
3.31250E-05 144.183
3.40625E-05 142.185
3.50000E-05 140.268
3.59375E-05 138.426
3.68750E-05 136.655
3.78125E-05 134.951
3.87500E-05 133.308
3.96875E-05 131.724
4.06250E-05 130.195
4.25000E-05 127.291
4.43750E-05 124.573
4.62500E-05 122.022
4.81250E-05 119.621
5.00000E-05 117.357
5.15625E-05 115.565
5.31250E-05 113.853
5.46875E-05 112.214
5.62500E-05 110.645
5.78125E-05 109.140
5.93750E-05 107.694
6.09375E-05 106.304
6.25000E-05 104.967
6.40625E-05 103.679
6.56250E-05 102.437
6.71875E-05 101.239
6.87500E-05 100.082
7.18750E-05 97.8823
7.50000E-05 95.8214
7.81250E-05 93.8854
8.12500E-05 92.0622
8.43750E-05 90.3413
8.75000E-05 88.7134
9.06250E-05 87.1705
9.37500E-05 85.7053
9.68750E-05 84.3117
0.000100000 82.9839
0.000103125 81.7169
0.000106250 80.5062
0.000109375 79.3478
0.000112500 78.2380
0.000115625 77.1735
0.000118750 76.1513
0.000121875 75.1687
0.000125000 74.2231
0.000128125 73.3124
0.000131250 72.4344
0.000134375 71.5872
0.000137500 70.7690
0.000143750 69.2135
0.000150000 67.7562
0.000156250 66.3873
0.000162500 65.0981
0.000168750 63.8812
0.000175000 62.7302
0.000181250 61.6391
0.000187500 60.6031
0.000193750 59.6177
0.000200000 58.6788
0.000209375 57.3501
0.000218750 56.1077
0.000228125 54.9427
0.000237500 53.8474
0.000246875 52.8152
0.000256250 51.8401
0.000265625 50.9170
0.000275000 50.0416
0.000284375 49.2099
0.000293750 48.4183
0.000303125 47.6637
0.000312500 46.9433
0.000321875 46.2546
0.000331250 45.5954
0.000340625 44.9636
0.000350000 44.3574
0.000359375 43.7750
0.000368750 43.2150
0.000378125 42.6759
0.000387500 42.1565
0.000396875 41.6557
0.000406250 41.1722
0.000425000 40.2538
0.000443750 39.3942
0.000462500 38.5875
0.000481250 37.8284
0.000500000 37.1123
0.000515625 36.5457
0.000531250 36.0043
0.000546875 35.4863
0.000562500 34.9900
0.000578125 34.5139
0.000593750 34.0568
0.000609375 33.6174
0.000625000 33.1945
0.000640625 32.7873
0.000656250 32.3946
0.000671875 32.0158
0.000687500 31.6499
0.000718750 30.9542
0.000750000 30.3026
0.000781250 29.6904
0.000812500 29.1139
0.000843750 28.5697
0.000875000 28.0549
0.000906250 27.5670
0.000937500 27.1037
0.000968750 26.6631
0.00100000 26.2432
0.00103125 25.8426
0.00106250 25.4597
0.00109375 25.0934
0.00112500 24.7425
0.00115625 24.4059
0.00118750 24.0827
0.00121875 23.7720
0.00125000 23.4730
0.00128125 23.1850
0.00131250 22.9074
0.00134375 22.6395
0.00137500 22.3808
0.00143750 21.8889
0.00150000 21.4281
0.00156250 20.9953
0.00162500 20.5876
0.00168750 20.2028
0.00175000 19.8389
0.00181250 19.4939
0.00187500 19.1663
0.00193750 18.8547
0.00200000 18.5578
0.00209375 18.1377
0.00218750 17.7448
0.00228125 17.3765
0.00237500 17.0301
0.00246875 16.7037
0.00256250 16.3954
0.00265625 16.1035
0.00275000 15.8268
0.00284375 15.5638
0.00293750 15.3135
0.00303125 15.0749
0.00312500 14.8471
0.00321875 14.6293
0.00331250 14.4209
0.00340625 14.2211
0.00350000 14.0295
0.00359375 13.8453
0.00368750 13.6683
0.00378125 13.4978
0.00387500 13.3336
0.00396875 13.1753
0.00406250 13.0224
0.00425000 12.7320
0.00443750 12.4603
0.00462500 12.2052
0.00481250 11.9652
0.00500000 11.7388
0.00515625 11.5597
0.00531250 11.3886
0.00546875 11.2248
0.00562500 11.0679
0.00578125 10.9174
0.00593750 10.7729
0.00609375 10.6340
0.00625000 10.5003
0.00640625 10.3715
0.00656250 10.2474
0.00671875 10.1276
0.00687500 10.0120
0.00718750 9.79209
0.00750000 9.58608
0.00781250 9.39256
0.00812500 9.21032
0.00843750 9.03830
0.00875000 8.87558
0.00906250 8.72135
0.00937500 8.57490
0.00968750 8.43560
0.0100000 8.30288
0.0103125 8.17625
0.0106250 8.05525
0.0109375 7.93948
0.0112500 7.82857
0.0115625 7.72219
0.0118750 7.62004
0.0121875 7.52185
0.0125000 7.42737
0.0128125 7.33637
0.0131250 7.24864
0.0134375 7.16399
0.0137500 7.08225
0.0143750 6.92683
0.0150000 6.78123
0.0156250 6.64446
0.0162500 6.51565
0.0168750 6.39407
0.0175000 6.27906
0.0181250 6.17005
0.0187500 6.06654
0.0193750 5.96808
0.0200000 5.87428
0.0206625 5.77954
0.0213250 5.68925
0.0219875 5.60308
0.0226500 5.52072
0.0233125 5.44190
0.0239750 5.36638
0.0246375 5.29393
0.0253000 5.22434
0.0264578 5.10908
0.0276156 5.00116
0.0287734 4.89984
0.0299313 4.80447
0.0310891 4.71449
0.0322469 4.62941
0.0334047 4.54879
0.0345625 4.47227
0.0355274 4.41137
0.0364922 4.35290
0.0374570 4.29671
0.0384219 4.24264
0.0393867 4.19058
0.0403516 4.14039
0.0413164 4.09197
0.0422813 4.04521
0.0442109 3.95635
0.0461406 3.87313
0.0480703 3.79498
0.0500000 3.72141
0.0515625 3.66490
0.0531250 3.61091
0.0546875 3.55925
0.0562500 3.50976
0.0578125 3.46231
0.0593750 3.41675
0.0609375 3.37296
0.0625000 3.33083
0.0640625 3.29026
0.0656250 3.25115
0.0671875 3.21343
0.0687500 3.17700
0.0718750 3.10775
0.0750000 3.04287
0.0781250 2.98191
0.0812500 2.92451
0.0843750 2.87032
0.0875000 2.81908
0.0906250 2.77052
0.0937500 2.72442
0.0968750 2.68057
0.100000 2.63881
0.103125 2.59897
0.106250 2.56090
0.109375 2.52449
0.112500 2.48961
0.115625 2.45616
0.118750 2.42405
0.121875 2.39319
0.125000 2.36351
0.128125 2.33492
0.131250 2.30738
0.134375 2.28082
0.137500 2.25517
0.143750 2.20642
0.150000 2.16074
0.156250 2.11783
0.162500 2.07742
0.168750 2.03930
0.175000 2.00325
0.181250 1.96910
0.187500 1.93669
0.193750 1.90589
0.200000 1.87657
0.209375 1.83508
0.218750 1.79629
0.228125 1.75992
0.237500 1.72575
0.246875 1.69356
0.256250 1.66317
0.265625 1.63443
0.275000 1.60719
0.284375 1.58132
0.293750 1.55671
0.303125 1.53328
0.312500 1.51092
0.321875 1.48955
0.331250 1.46912
0.340625 1.44954
0.350000 1.43077
0.359375 1.41275
0.368750 1.39544
0.378125 1.37879
0.387500 1.36276
0.396875 1.34732
0.406250 1.33244
0.425000 1.30419
0.443750 1.27775
0.462500 1.25296
0.500000 1.20780
0.531250 1.17398
0.562500 1.14301
0.625000 1.08840
0.687500 1.04167
0.750000 1.00113
0.812500 0.965556
0.875000 0.934143
0.937500 0.906089
1.00000 0.880776
1.06250 0.857881
1.12500 0.837064
1.25000 0.800603
1.37500 0.769706
1.50000 0.743195
1.62500 0.720214
1.75000 0.700181
1.87500 0.682554
2.00000 0.666888
2.18750 0.646602
2.37500 0.629516
2.56250 0.615047
2.75000 0.602810
2.93750 0.592446
3.12500 0.583670
3.31250 0.576325
3.50000 0.570257
3.87500 0.561477
4.25000 0.556606
4.43750 0.555486
4.71875 0.555358
5.00000 0.556980
5.31250 0.560812
5.62500 0.566721
5.93750 0.574766
6.25000 0.585031
6.56250 0.597642
6.87500 0.612780
7.18750 0.630680
7.50000 0.651641
7.81250 0.676043
8.12500 0.704354
8.43750 0.737160
8.75000 0.775051
8.90625 0.796163
9.06250 0.819054
9.21875 0.843762
9.37500 0.870456
9.53125 0.899331
9.68750 0.930605
9.84375 0.964529
10.0000 1.00151
10.1781 1.04766
10.3562 1.09850
10.5343 1.15426
10.7124 1.21668
10.8905 1.28629
11.0686 1.36416
11.2466 1.45165
11.3357 1.49949
11.4247 1.55038
11.5754 1.64417
11.7261 1.74894
11.8768 1.86647
11.9522 1.93069
12.0275 1.99896
12.1028 2.07165
12.1782 2.14914
12.2535 2.23191
12.3289 2.32044
12.4042 2.41534
12.4796 2.51726
12.5549 2.62698
12.6303 2.74529
12.7125 2.88524
12.7947 3.03833
12.8769 3.20723
12.9590 3.39489
13.0412 3.60548
13.0823 3.72136
13.1234 3.84586
13.1645 3.98081
13.2056 4.12884
13.2467 4.29407
13.2878 4.48304
13.3152 4.62713
13.3426 4.79026
13.3700 4.97701
13.3974 5.19165
13.4248 5.43712
13.4522 5.71261
13.5070 6.32281
13.5303 6.58271
13.5535 6.82660
13.5768 7.04437
13.6000 7.23012
13.6116 7.31083
13.6344 7.44846
13.6571 7.56808
13.7026 7.81465
13.7291 8.00624
13.7423 8.12473
13.7556 8.26072
13.7688 8.41525
13.7820 8.58798
13.8085 8.98280
13.8626 9.89650
13.8897 10.3224
13.9032 10.5074
13.9168 10.6673
13.9342 10.8312
13.9516 10.9441
13.9633 10.9911
13.9797 11.0216
13.9960 11.0154
14.0288 10.9266
14.0616 10.7998
14.0944 10.7046
14.1105 10.6848
14.1266 10.6875
14.1427 10.7142
14.1588 10.7655
14.1749 10.8410
14.1910 10.9394
14.2233 11.1997
14.2555 11.5348
14.2877 11.9349
14.3199 12.3933
14.3521 12.9064
14.3859 13.5021
14.4196 14.1581
14.4534 14.8780
14.4871 15.6665
14.5209 16.5300
14.5546 17.4763
14.5884 18.5148
14.6221 19.6566
14.6559 20.9154
14.6896 22.3062
14.7234 23.8479
14.7571 25.5628
14.7740 26.4937
14.7909 27.4782
14.8078 28.5206
14.8247 29.6249
14.8415 30.7974
14.8584 32.0424
14.8753 33.3676
14.8922 34.7783
14.9182 37.1480
14.9443 39.7744
14.9704 42.6974
14.9834 44.2845
14.9965 45.9641
15.0095 47.7437
15.0226 49.6315
15.0356 51.6365
15.0486 53.7689
15.0617 56.0399
15.0747 58.4619
15.0878 61.0489
15.1008 63.8164
15.1162 67.3294
15.1315 71.1467
15.1468 75.3080
15.1622 79.8564
15.1775 84.8424
15.1929 90.3249
15.2082 96.3732
15.2235 103.069
15.2320 107.064
15.2404 111.302
15.2489 115.804
15.2573 120.592
15.2657 125.692
15.2742 131.129
15.2826 136.935
15.2910 143.136
15.2995 149.783
15.3079 156.910
15.3164 164.562
15.3248 172.778
15.3332 181.633
15.3417 191.178
15.3501 201.477
15.3585 212.590
15.3639 220.135
15.3693 228.067
15.3747 236.409
15.3800 245.185
15.3854 254.418
15.3908 264.135
15.3961 274.361
15.4015 285.123
15.4069 296.451
15.4122 308.371
15.4176 320.914
15.4230 334.108
15.4284 347.983
15.4337 362.568
15.4391 377.892
15.4445 393.984
15.4529 420.894
15.4613 449.867
15.4698 480.993
15.4782 514.304
15.4867 549.931
15.4951 587.866
15.5035 628.106
15.5120 670.564
15.5204 715.265
15.5288 762.043
15.5373 810.730
15.5457 861.049
15.5542 912.850
15.5626 965.751
15.5710 1019.38
15.5795 1073.24
15.5961 1178.57
15.6127 1279.11
15.6211 1326.27
15.6294 1370.59
15.6377 1411.53
15.6460 1448.52
15.6528 1475.36
15.6595 1499.05
15.6663 1519.40
15.6730 1536.20
15.6798 1549.30
15.6865 1558.57
15.6933 1563.94
15.7000 1565.34
15.7090 1561.02
15.7180 1549.73
15.7270 1531.64
15.7360 1507.07
15.7450 1476.43
15.7540 1440.21
15.7630 1399.01
15.7720 1353.44
15.7810 1304.18
15.7900 1251.94
15.8038 1167.50
15.8176 1080.14
15.8315 992.140
15.8453 905.565
15.8566 836.911
15.8679 771.070
15.8792 708.539
15.8904 649.714
15.9017 594.846
15.9130 544.053
15.9243 497.345
15.9300 475.481
15.9356 454.638
15.9413 434.723
15.9469 415.780
15.9525 397.716
15.9582 380.566
15.9638 364.237
15.9695 348.755
15.9751 334.034
15.9808 320.090
15.9864 306.841
15.9921 294.301
15.9977 282.393
16.0033 271.124
16.0090 260.425
16.0146 250.301
16.0203 240.704
16.0259 231.604
16.0372 214.775
16.0485 199.622
16.0598 185.958
16.0711 173.614
16.0824 162.439
16.0937 152.300
16.1049 143.079
16.1162 134.674
16.1270 127.326
16.1378 120.569
16.1486 114.342
16.1593 108.597
16.1701 103.275
16.1809 98.3410
16.1917 93.7574
16.2025 89.4954
16.2132 85.5182
16.2240 81.8040
16.2348 78.3300
16.2456 75.0784
16.2563 72.0250
16.2671 69.1589
16.2779 66.4601
16.2887 63.9204
16.3000 61.4106
16.3113 59.0494
16.3225 56.8231
16.3338 54.7216
16.3451 52.7356
16.3564 50.8567
16.3790 47.3905
16.4016 44.2696
16.4242 41.4492
16.4467 38.8919
16.4693 36.5656
16.4847 35.0975
16.5001 33.7176
16.5155 32.4171
16.5309 31.1917
16.5463 30.0342
16.5617 28.9410
16.5925 26.9265
16.6233 25.1161
16.6541 23.4828
16.6848 22.0041
16.7156 20.6609
16.7382 19.7526
16.7608 18.9029
16.7834 18.1071
16.8060 17.3605
16.8285 16.6592
16.8511 15.9997
16.8737 15.3787
16.8963 14.7933
16.9189 14.2408
16.9414 13.7188
16.9866 12.7575
17.0318 11.8942
17.0769 11.1160
17.1221 10.4121
17.1672 9.77320
17.2124 9.19168
17.2576 8.66085
17.3027 8.17501
17.3479 7.72926
17.3930 7.31939
17.4382 6.94171
17.4793 6.62350
17.5203 6.32703
17.5614 6.05015
17.6024 5.79123
17.6435 5.54860
17.6845 5.32105
17.7256 5.10730
17.7666 4.90637
17.8077 4.71720
17.8487 4.53898
17.8898 4.37082
17.9309 4.21204
18.0130 3.91984
18.0951 3.65766
18.1402 3.52480
18.1854 3.39924
18.2757 3.16796
18.3660 2.96019
18.4564 2.77286
18.5467 2.60340
18.6370 2.44961
18.7273 2.30963
18.8176 2.18188
18.8833 2.09586
18.9490 2.01511
19.0147 1.93922
19.0804 1.86786
19.1461 1.80071
19.2118 1.73745
19.3431 1.62120
19.4745 1.51688
19.6059 1.42312
19.7373 1.33860
19.8686 1.26219
20.0000 1.19295
20.1067 1.14136
20.2134 1.09346
20.3202 1.04893
20.4269 1.00750
20.5336 0.968898
20.6403 0.932876
20.7470 0.899218
20.8537 0.867729
20.9604 0.838232
21.0671 0.810576
21.2806 0.760224
21.4940 0.715691
21.7074 0.676183
21.9208 0.641036
22.1343 0.609714
22.3477 0.581774
22.5611 0.556863
22.7746 0.534705
22.9880 0.515114
23.2014 0.498005
23.4148 0.483448
23.6477 0.470869
23.7641 0.466158
23.8805 0.462795
23.9581 0.461534
24.0357 0.461316
24.1060 0.462272
24.1764 0.464657
24.2467 0.468960
24.3170 0.475955
24.3522 0.480835
24.3874 0.486931
24.4225 0.494554
24.4577 0.504126
24.4929 0.516242
24.5280 0.531740
24.5456 0.541122
24.5632 0.551841
24.5808 0.564148
24.5984 0.578338
24.6214 0.600398
24.6329 0.613181
24.6445 0.627326
24.6560 0.642999
24.6675 0.660384
24.6790 0.679684
24.6905 0.701120
24.7021 0.724931
24.7136 0.751370
24.7251 0.780706
24.7366 0.813213
24.7481 0.849170
24.7597 0.888852
24.7712 0.932521
24.7827 0.980416
24.7960 1.04142
24.8094 1.10859
24.8227 1.18205
24.8361 1.26175
24.8494 1.34748
24.8627 1.43882
24.8761 1.53511
24.8894 1.63537
24.9209 1.88149
24.9367 2.00430
24.9525 2.12294
24.9706 2.25024
24.9888 2.36247
24.9979 2.41141
25.0070 2.45474
25.0161 2.49205
25.0251 2.52282
25.0339 2.54591
25.0426 2.56239
25.0513 2.57209
25.0600 2.57489
25.0695 2.57011
25.0789 2.55725
25.0884 2.53650
25.0978 2.50815
25.1072 2.47252
25.1167 2.43015
25.1261 2.38148
25.1356 2.32723
25.1508 2.22927
25.1661 2.12124
25.1814 2.00617
25.1966 1.88704
25.2293 1.63065
25.2457 1.50746
25.2620 1.39062
25.2770 1.29023
25.2920 1.19721
25.3070 1.11189
25.3220 1.03441
25.3370 0.964626
25.3520 0.902238
25.3670 0.846796
25.3820 0.797763
25.3949 0.760115
25.4079 0.726427
25.4208 0.696317
25.4338 0.669438
25.4467 0.645400
25.4596 0.623919
25.4726 0.604669
