Pd-110(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.0115625 13.5771
0.0118750 13.4550
0.0121875 13.3376
0.0125000 13.2247
0.0128125 13.1160
0.0131250 13.0111
0.0134375 12.9100
0.0137500 12.8123
0.0143750 12.6267
0.0150000 12.4527
0.0156250 12.2894
0.0162500 12.1356
0.0168750 11.9905
0.0175000 11.8532
0.0181250 11.7231
0.0187500 11.5996
0.0193750 11.4821
0.0200000 11.3702
0.0206625 11.2571
0.0213250 11.1494
0.0219875 11.0466
0.0226500 10.9484
0.0233125 10.8544
0.0239750 10.7643
0.0246375 10.6779
0.0253000 10.5949
0.0261130 10.4974
0.0269260 10.4043
0.0277391 10.3154
0.0285521 10.2304
0.0293651 10.1489
0.0301781 10.0707
0.0309911 9.99561
0.0318042 9.92344
0.0331138 9.81283
0.0344234 9.70860
0.0357331 9.61017
0.0370427 9.51700
0.0383524 9.42865
0.0396620 9.34472
0.0409716 9.26485
0.0422813 9.18873
0.0442109 9.08281
0.0461406 8.98361
0.0480703 8.89045
0.0500000 8.80275
0.0506000 8.77651
0.0527938 8.68441
0.0549875 8.59788
0.0571813 8.51639
0.0593750 8.43947
0.0595257 8.43434
0.0598975 8.42178
0.0602693 8.40933
0.0610129 8.38477
0.0625000 8.33699
0.0640625 8.28860
0.0656250 8.24195
0.0671875 8.19694
0.0687500 8.15347
0.0718750 8.07080
0.0750000 7.99335
0.0781250 7.92059
0.0812500 7.85207
0.0843750 7.78742
0.0875000 7.72629
0.0906250 7.66835
0.0937500 7.61333
0.0968750 7.56100
0.100000 7.51114
0.104688 7.44058
0.109375 7.37461
0.114063 7.31275
0.118750 7.25460
0.119051 7.25098
0.119795 7.24211
0.120539 7.23332
0.122026 7.21598
0.125000 7.18225
0.128125 7.14809
0.131250 7.11517
0.134375 7.08341
0.137500 7.05273
0.143750 6.99440
0.150000 6.93972
0.156250 6.88836
0.162500 6.84002
0.168750 6.79442
0.175000 6.75131
0.181250 6.71046
0.187500 6.67168
0.193750 6.63480
0.200000 6.59968
0.209375 6.55001
0.218750 6.50357
0.228125 6.46002
0.237500 6.41908
0.238103 6.41653
0.240409 6.40687
0.242715 6.39735
0.247327 6.37872
0.256551 6.34301
0.265776 6.30921
0.275000 6.27717
0.284375 6.24624
0.293750 6.21684
0.303125 6.18882
0.312500 6.16207
0.321875 6.13651
0.331250 6.11207
0.340625 6.08867
0.350000 6.06625
0.359375 6.04474
0.368750 6.02408
0.378125 6.00424
0.387500 5.98515
0.396875 5.96675
0.406250 5.94900
0.425000 5.91535
0.443750 5.88395
0.462500 5.85457
0.500000 5.80118
0.531250 5.76134
0.562500 5.72517
0.593750 5.69201
0.625000 5.66161
0.687500 5.60800
0.750000 5.56218
0.812500 5.52272
0.875000 5.48856
0.937500 5.45883
1.00000 5.43294
1.06250 5.41032
1.12500 5.39070
1.18750 5.37356
1.25000 5.35877
1.36810 5.33662
1.48621 5.32105
1.50000 5.31962
1.53125 5.31668
1.64063 5.30947
1.75000 5.30688
1.82741 5.30766
1.90482 5.31068
2.00000 5.31727
2.09375 5.32698
2.18750 5.34010
2.28125 5.35676
2.37500 5.37686
2.46875 5.40106
2.56250 5.42950
2.65625 5.46259
2.72827 5.49153
2.75000 5.50088
2.79688 5.52219
2.84375 5.54520
2.93750 5.59587
2.97241 5.61653
3.03836 5.65875
3.10431 5.70507
3.17026 5.75599
3.23621 5.81234
3.30216 5.87440
3.36810 5.94276
3.43405 6.01861
3.50000 6.10283
3.57031 6.20327
3.64063 6.31513
3.71094 6.44172
3.78125 6.58483
3.81641 6.66335
3.85156 6.74694
3.88672 6.83604
3.92188 6.93135
3.95703 7.03349
3.99219 7.14298
4.02734 7.26042
4.06250 7.38660
4.07093 7.41830
4.09332 7.50529
4.11570 7.59669
4.16047 7.79359
4.20523 8.01105
4.25000 8.25192
4.28809 8.47813
4.32617 8.72681
4.36426 9.00089
4.40234 9.30377
4.44043 9.63952
4.47852 10.0132
4.51660 10.4308
4.53565 10.6581
4.55469 10.8992
4.58229 11.2753
4.60989 11.6862
4.63749 12.1367
4.66508 12.6318
4.69268 13.1778
4.72028 13.7819
4.74788 14.4526
4.77548 15.2002
4.79915 15.9115
4.82282 16.6973
4.84649 17.5677
4.87016 18.5355
4.89383 19.6157
4.90567 20.2036
4.91750 20.8269
4.92934 21.4886
4.94117 22.1918
4.95301 22.9401
4.96484 23.7376
4.98242 25.0222
5.00000 26.4412
5.00960 27.2794
5.01919 28.1669
5.03238 29.4752
5.04557 30.8963
5.05877 32.4435
5.07196 34.1323
5.08515 35.9810
5.09834 38.0103
5.11153 40.2448
5.12472 42.7131
5.13843 45.5632
5.14529 47.1108
5.15214 48.7486
5.15900 50.4840
5.16585 52.3249
5.17271 54.2800
5.17956 56.3590
5.18642 58.5732
5.19327 60.9344
5.20013 63.4562
5.20698 66.1534
5.21384 69.0435
5.22069 72.1453
5.22755 75.4804
5.23440 79.0725
5.24395 84.5571
5.24872 87.5335
5.25349 90.6816
5.25826 94.0162
5.26304 97.5511
5.26781 101.304
5.27258 105.292
5.27735 109.536
5.28213 114.058
5.28690 118.882
5.29167 124.034
5.29644 129.546
5.30122 135.447
5.30599 141.778
5.31076 148.573
5.31597 156.572
5.32117 165.238
5.32638 174.641
5.33159 184.857
5.33809 198.894
5.34135 206.490
5.34460 214.502
5.34786 222.954
5.35111 231.871
5.35436 241.278
5.35762 251.204
5.36087 261.674
5.36413 272.717
5.36738 284.361
5.37063 296.634
5.37389 309.563
5.37714 323.176
5.38040 337.500
5.38365 352.555
5.38842 376.027
5.39319 401.195
5.39797 428.127
5.40274 456.850
5.40751 487.399
5.41228 519.757
5.41706 553.912
5.42183 589.790
5.42655 626.905
5.43127 665.500
5.43600 705.416
5.44072 746.444
5.44544 788.363
5.45016 830.888
5.45488 873.706
5.45960 916.460
5.46897 999.569
5.47833 1077.74
5.48301 1113.92
5.48769 1147.60
5.49237 1178.37
5.49705 1205.83
5.50411 1240.28
5.51118 1265.40
5.51471 1274.22
5.51824 1280.44
5.52177 1284.01
5.52530 1284.92
5.52972 1282.29
5.53413 1275.52
5.53854 1264.69
5.54296 1249.95
5.54835 1226.89
5.55375 1198.67
5.55914 1165.78
5.56454 1128.81
5.56993 1088.34
5.57533 1045.00
5.58072 999.453
5.58612 952.331
5.59205 899.408
5.59798 846.084
5.60985 740.954
5.61578 690.282
5.62171 641.484
5.62765 594.899
5.63358 550.784
5.63951 509.291
5.64544 470.520
5.65138 434.497
5.65731 401.200
5.66324 370.544
5.66917 342.433
5.67511 316.725
5.68104 293.281
5.68697 271.934
5.69290 252.524
5.69884 234.890
5.70477 218.878
5.71070 204.331
5.71663 191.114
5.72257 179.091
5.72850 168.145
5.73281 160.796
5.73713 153.918
5.74144 147.476
5.74576 141.438
5.75169 133.736
5.75762 126.665
