Se-76(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 4276.30
1.03125E-05 4211.01
1.06250E-05 4148.62
1.09375E-05 4088.93
1.12500E-05 4031.74
1.15625E-05 3976.88
1.18750E-05 3924.20
1.21875E-05 3873.57
1.25000E-05 3824.84
1.28125E-05 3777.91
1.31250E-05 3732.66
1.34375E-05 3689.00
1.37500E-05 3646.84
1.43750E-05 3566.68
1.50000E-05 3491.59
1.56250E-05 3421.04
1.62500E-05 3354.61
1.68750E-05 3291.90
1.75000E-05 3232.58
1.81250E-05 3176.36
1.87500E-05 3122.97
1.93750E-05 3072.19
2.00000E-05 3023.80
2.09375E-05 2955.33
2.18750E-05 2891.31
2.28125E-05 2831.27
2.37500E-05 2774.83
2.46875E-05 2721.63
2.56250E-05 2671.38
2.65625E-05 2623.82
2.75000E-05 2578.71
2.84375E-05 2535.84
2.93750E-05 2495.05
3.03125E-05 2456.16
3.12500E-05 2419.04
3.21875E-05 2383.55
3.31250E-05 2349.58
3.40625E-05 2317.02
3.50000E-05 2285.78
3.59375E-05 2255.77
3.68750E-05 2226.91
3.78125E-05 2199.13
3.87500E-05 2172.36
3.96875E-05 2146.55
4.06250E-05 2121.64
4.25000E-05 2074.31
4.43750E-05 2030.01
4.62500E-05 1988.44
4.81250E-05 1949.32
5.00000E-05 1912.42
5.15625E-05 1883.22
5.31250E-05 1855.32
5.46875E-05 1828.62
5.62500E-05 1803.05
5.78125E-05 1778.51
5.93750E-05 1754.96
6.09375E-05 1732.31
6.25000E-05 1710.52
6.40625E-05 1689.53
6.56250E-05 1669.30
6.71875E-05 1649.77
6.87500E-05 1630.92
7.18750E-05 1595.07
7.50000E-05 1561.48
7.81250E-05 1529.94
8.12500E-05 1500.23
8.43750E-05 1472.18
8.75000E-05 1445.65
9.06250E-05 1420.51
9.37500E-05 1396.63
9.68750E-05 1373.92
0.000100000 1352.28
0.000103125 1331.64
0.000106250 1311.91
0.000109375 1293.03
0.000112500 1274.95
0.000115625 1257.60
0.000118750 1240.94
0.000121875 1224.93
0.000125000 1209.52
0.000128125 1194.68
0.000131250 1180.37
0.000134375 1166.56
0.000137500 1153.23
0.000143750 1127.88
0.000150000 1104.14
0.000156250 1081.83
0.000162500 1060.82
0.000168750 1040.99
0.000175000 1022.23
0.000181250 1004.45
0.000187500 987.568
0.000193750 971.509
0.000200000 956.209
0.000209375 934.556
0.000218750 914.311
0.000228125 895.326
0.000237500 877.477
0.000246875 860.655
0.000256250 844.765
0.000265625 829.723
0.000275000 815.457
0.000284375 801.903
0.000293750 789.003
0.000303125 776.706
0.000312500 764.967
0.000321875 753.744
0.000331250 743.001
0.000340625 732.705
0.000350000 722.826
0.000359375 713.335
0.000368750 704.209
0.000378125 695.424
0.000387500 686.960
0.000396875 678.798
0.000406250 670.920
0.000425000 655.953
0.000443750 641.946
0.000462500 628.799
0.000481250 616.427
0.000500000 604.759
0.000515625 595.525
0.000531250 586.702
0.000546875 578.260
0.000562500 570.172
0.000578125 562.414
0.000593750 554.965
0.000609375 547.804
0.000625000 540.913
0.000640625 534.275
0.000656250 527.877
0.000671875 521.703
0.000687500 515.740
0.000718750 504.404
0.000750000 493.783
0.000781250 483.807
0.000812500 474.412
0.000843750 465.543
0.000875000 457.154
0.000906250 449.203
0.000937500 441.653
0.000968750 434.471
0.00100000 427.629
0.00103125 421.100
0.00106250 414.861
0.00109375 408.891
0.00112500 403.172
0.00115625 397.686
0.00118750 392.419
0.00121875 387.355
0.00125000 382.482
0.00128125 377.789
0.00131250 373.264
0.00134375 368.898
0.00137500 364.682
0.00143750 356.666
0.00150000 349.156
0.00156250 342.102
0.00162500 335.458
0.00168750 329.187
0.00175000 323.255
0.00181250 317.633
0.00187500 312.294
0.00193750 307.216
0.00200000 302.377
0.00209375 295.530
0.00218750 289.127
0.00228125 283.124
0.00237500 277.479
0.00246875 272.159
0.00256250 267.134
0.00265625 262.378
0.00275000 257.866
0.00284375 253.580
0.00293750 249.500
0.00303125 245.612
0.00312500 241.899
0.00321875 238.350
0.00331250 234.953
0.00340625 231.697
0.00350000 228.572
0.00359375 225.571
0.00368750 222.685
0.00378125 219.907
0.00387500 217.230
0.00396875 214.649
0.00406250 212.158
0.00425000 207.425
0.00443750 202.995
0.00462500 198.837
0.00481250 194.925
0.00500000 191.235
0.00515625 188.315
0.00531250 185.525
0.00546875 182.855
0.00562500 180.298
0.00578125 177.844
0.00593750 175.488
0.00609375 173.224
0.00625000 171.045
0.00640625 168.946
0.00656250 166.922
0.00671875 164.970
0.00687500 163.084
0.00718750 159.499
0.00750000 156.140
0.00781250 152.985
0.00812500 150.014
0.00843750 147.209
0.00875000 144.556
0.00906250 142.042
0.00937500 139.654
0.00968750 137.383
0.0100000 135.219
0.0103125 133.154
0.0106250 131.181
0.0109375 129.293
0.0112500 127.484
0.0115625 125.750
0.0118750 124.084
0.0121875 122.482
0.0125000 120.942
0.0128125 119.457
0.0131250 118.027
0.0134375 116.646
0.0137500 115.313
0.0143750 112.778
0.0150000 110.403
0.0156250 108.172
0.0162500 106.071
0.0168750 104.087
0.0175000 102.211
0.0181250 100.433
0.0187500 98.7442
0.0193750 97.1379
0.0200000 95.6075
0.0206625 94.0617
0.0213250 92.5884
0.0219875 91.1823
0.0226500 89.8384
0.0233125 88.5521
0.0239750 87.3196
0.0246375 86.1372
0.0253000 85.0015
0.0264578 83.1202
0.0276156 81.3587
0.0287734 79.7046
0.0299313 78.1475
0.0310891 76.6783
0.0322469 75.2890
0.0334047 73.9726
0.0345625 72.7227
0.0355274 71.7282
0.0364922 70.7732
0.0374570 69.8554
0.0384219 68.9723
0.0393867 68.1217
0.0403516 67.3018
0.0413164 66.5108
0.0422813 65.7470
0.0442109 64.2950
0.0461406 62.9350
0.0480703 61.6577
0.0500000 60.4552
0.0515625 59.5313
0.0531250 58.6486
0.0546875 57.8039
0.0562500 56.9947
0.0578125 56.2187
0.0593750 55.4735
0.0609375 54.7572
0.0625000 54.0680
0.0640625 53.4042
0.0656250 52.7643
0.0671875 52.1469
0.0687500 51.5507
0.0718750 50.4170
0.0750000 49.3547
0.0781250 48.3566
0.0812500 47.4164
0.0843750 46.5289
0.0875000 45.6893
0.0906250 44.8935
0.0937500 44.1378
0.0968750 43.4189
0.100000 42.7341
0.103125 42.0806
0.106250 41.4561
0.109375 40.8586
0.112500 40.2862
0.115625 39.7372
0.118750 39.2100
0.121875 38.7032
0.125000 38.2157
0.128125 37.7461
0.131250 37.2935
0.134375 36.8569
0.137500 36.4352
0.143750 35.6334
0.150000 34.8819
0.156250 34.1757
0.162500 33.5105
0.168750 32.8825
0.175000 32.2885
0.181250 31.7255
0.187500 31.1910
0.193750 30.6827
0.200000 30.1986
0.209375 29.5133
0.218750 28.8722
0.228125 28.2708
0.237500 27.7052
0.246875 27.1722
0.256250 26.6687
0.265625 26.1921
0.275000 25.7400
0.284375 25.3105
0.293750 24.9016
0.303125 24.5119
0.312500 24.1399
0.321875 23.7841
0.331250 23.4436
0.340625 23.1173
0.350000 22.8041
0.359375 22.5032
0.368750 22.2139
