Gd-160(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 137.050
1.03125E-05 134.974
1.06250E-05 132.990
1.09375E-05 131.091
1.12500E-05 129.273
1.15625E-05 127.529
1.18750E-05 125.854
1.21875E-05 124.245
1.25000E-05 122.696
1.28125E-05 121.205
1.31250E-05 119.768
1.34375E-05 118.381
1.37500E-05 117.041
1.43750E-05 114.495
1.50000E-05 112.111
1.56250E-05 109.871
1.62500E-05 107.763
1.68750E-05 105.773
1.75000E-05 103.891
1.81250E-05 102.108
1.87500E-05 100.415
1.93750E-05 98.8046
2.00000E-05 97.2710
2.09375E-05 95.1013
2.18750E-05 93.0733
2.28125E-05 91.1723
2.37500E-05 89.3856
2.46875E-05 87.7021
2.56250E-05 86.1125
2.65625E-05 84.6083
2.75000E-05 83.1821
2.84375E-05 81.8275
2.93750E-05 80.5387
3.03125E-05 79.3106
3.12500E-05 78.1385
3.21875E-05 77.0184
3.31250E-05 75.9465
3.40625E-05 74.9195
3.50000E-05 73.9344
3.59375E-05 72.9883
3.68750E-05 72.0789
3.78125E-05 71.2038
3.87500E-05 70.3609
3.96875E-05 69.5483
4.06250E-05 68.7643
4.25000E-05 67.2755
4.43750E-05 65.8829
4.62500E-05 64.5767
4.81250E-05 63.3483
5.00000E-05 62.1905
5.15625E-05 61.2747
5.31250E-05 60.4001
5.46875E-05 59.5637
5.62500E-05 58.7628
5.78125E-05 57.9950
5.93750E-05 57.2580
6.09375E-05 56.5499
6.25000E-05 55.8689
6.40625E-05 55.2133
6.56250E-05 54.5815
6.71875E-05 53.9722
6.87500E-05 53.3841
7.18750E-05 52.2666
7.50000E-05 51.2208
7.81250E-05 50.2393
8.12500E-05 49.3159
8.43750E-05 48.4450
8.75000E-05 47.6220
9.06250E-05 46.8426
9.37500E-05 46.1032
9.68750E-05 45.4004
0.000100000 44.7315
0.000103125 44.0938
0.000106250 43.4849
0.000109375 42.9028
0.000112500 42.3456
0.000115625 41.8116
0.000118750 41.2993
0.000121875 40.8072
0.000125000 40.3340
0.000128125 39.8786
0.000131250 39.4400
0.000134375 39.0170
0.000137500 38.6089
0.000143750 37.8339
0.000150000 37.1089
0.000156250 36.4289
0.000162500 35.7894
0.000168750 35.1867
