Mg-24(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000134375 0.690087
0.000137500 0.682200
0.000143750 0.667205
0.000150000 0.653157
0.000156250 0.639961
0.000162500 0.627533
0.000168750 0.615802
0.000175000 0.604706
0.000181250 0.594188
0.000187500 0.584201
0.000193750 0.574702
0.000200000 0.565651
0.000209375 0.552842
0.000218750 0.540865
0.000228125 0.529635
0.000237500 0.519077
0.000246875 0.509125
0.000256250 0.499725
0.000265625 0.490827
0.000275000 0.482388
0.000284375 0.474370
0.000293750 0.466739
0.000303125 0.459465
0.000312500 0.452520
0.000321875 0.445882
0.000331250 0.439527
0.000340625 0.433436
0.000350000 0.427592
0.000359375 0.421977
0.000368750 0.416579
0.000378125 0.411382
0.000387500 0.406375
0.000396875 0.401547
0.000406250 0.396887
0.000425000 0.388033
0.000443750 0.379747
0.000462500 0.371970
0.000481250 0.364651
0.000500000 0.357749
0.000515625 0.352287
0.000531250 0.347067
0.000546875 0.342073
0.000562500 0.337289
0.000578125 0.332700
0.000593750 0.328293
0.000609375 0.324057
0.000625000 0.319980
0.000640625 0.316054
0.000656250 0.312269
0.000671875 0.308616
0.000687500 0.305089
0.000718750 0.298383
0.000750000 0.292101
0.000781250 0.286199
0.000812500 0.280641
0.000843750 0.275395
0.000875000 0.270433
0.000906250 0.265729
0.000937500 0.261263
0.000968750 0.257014
0.00100000 0.252967
0.00103125 0.249104
0.00106250 0.245414
0.00109375 0.241882
0.00112500 0.238499
0.00115625 0.235254
0.00118750 0.232138
0.00121875 0.229143
0.00125000 0.226260
0.00128125 0.223484
0.00131250 0.220807
0.00134375 0.218225
0.00137500 0.215731
0.00143750 0.210989
0.00150000 0.206546
0.00156250 0.202373
0.00162500 0.198443
0.00168750 0.194734
0.00175000 0.191225
0.00181250 0.187899
0.00187500 0.184741
0.00193750 0.181736
0.00200000 0.178874
0.00209375 0.174824
0.00218750 0.171036
0.00228125 0.167485
0.00237500 0.164146
0.00246875 0.160999
0.00256250 0.158027
0.00265625 0.155213
0.00275000 0.152544
0.00284375 0.150009
0.00293750 0.147596
0.00303125 0.145295
0.00312500 0.143099
0.00321875 0.141000
0.00331250 0.138990
0.00340625 0.137064
0.00350000 0.135216
0.00359375 0.133441
0.00368750 0.131733
0.00378125 0.130090
0.00387500 0.128507
0.00396875 0.126980
0.00406250 0.125506
0.00425000 0.122706
0.00443750 0.120086
0.00462500 0.117627
0.00481250 0.115313
0.00500000 0.113130
0.00515625 0.111402
0.00531250 0.109752
0.00546875 0.108173
0.00562500 0.106660
0.00578125 0.105208
0.00593750 0.103815
0.00609375 0.102475
0.00625000 0.101186
0.00640625 0.0999446
0.00656250 0.0987476
0.00671875 0.0975926
0.00687500 0.0964773
0.00718750 0.0943566
0.00750000 0.0923699
0.00781250 0.0905037
0.00812500 0.0887462
0.00843750 0.0870872
0.00875000 0.0855179
0.00906250 0.0840305
0.00937500 0.0826182
0.00968750 0.0812747
0.0100000 0.0799947
0.0103125 0.0787733
0.0106250 0.0776063
0.0109375 0.0764896
0.0112500 0.0754197
0.0115625 0.0743936
0.0118750 0.0734082
0.0121875 0.0724609
0.0125000 0.0715494
0.0128125 0.0706715
0.0131250 0.0698251
0.0134375 0.0690084
0.0137500 0.0682197
0.0143750 0.0667201
0.0150000 0.0653153
0.0156250 0.0639957
0.0162500 0.0627529
0.0168750 0.0615798
0.0175000 0.0604701
0.0181250 0.0594184
0.0187500 0.0584197
0.0193750 0.0574697
0.0200000 0.0565645
0.0206625 0.0556503
0.0213250 0.0547790
0.0219875 0.0539475
0.0226500 0.0531526
0.0233125 0.0523919
0.0239750 0.0516630
0.0246375 0.0509637
0.0253000 0.0502920
0.0264578 0.0491793
0.0276156 0.0481374
0.0287734 0.0471590
0.0299313 0.0462380
0.0310891 0.0453689
0.0322469 0.0445470
0.0334047 0.0437683
0.0345625 0.0430290
0.0355274 0.0424407
0.0364922 0.0418759
0.0374570 0.0413330
0.0384219 0.0408107
0.0393867 0.0403078
0.0403516 0.0398229
0.0413164 0.0393552
0.0422813 0.0389035
0.0442109 0.0380450
0.0461406 0.0372408
0.0480703 0.0364856
0.0500000 0.0357746
0.0515625 0.0352283
0.0531250 0.0347064
0.0546875 0.0342070
0.0562500 0.0337285
0.0578125 0.0332696
0.0593750 0.0328290
0.0609375 0.0324054
0.0625000 0.0319978
0.0640625 0.0316052
0.0656250 0.0312268
0.0671875 0.0308616
0.0687500 0.0305089
0.0718750 0.0298384
0.0750000 0.0292102
0.0781250 0.0286201
