Mo-92(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 40.5492
1.03125E-05 39.9430
1.06250E-05 39.3640
1.09375E-05 38.8102
1.12500E-05 38.2797
1.15625E-05 37.7711
1.18750E-05 37.2829
1.21875E-05 36.8137
1.25000E-05 36.3624
1.28125E-05 35.9278
1.31250E-05 35.5089
1.34375E-05 35.1049
1.37500E-05 34.7149
1.43750E-05 33.9737
1.50000E-05 33.2798
1.56250E-05 32.6284
1.62500E-05 32.0153
1.68750E-05 31.4370
1.75000E-05 30.8903
1.81250E-05 30.3725
1.87500E-05 29.8811
1.93750E-05 29.4140
2.00000E-05 28.9692
2.09375E-05 28.3403
2.18750E-05 27.7528
2.28125E-05 27.2025
2.37500E-05 26.6856
2.46875E-05 26.1989
2.56250E-05 25.7395
2.65625E-05 25.3052
2.75000E-05 24.8936
2.84375E-05 24.5029
2.93750E-05 24.1315
3.03125E-05 23.7778
3.12500E-05 23.4404
3.21875E-05 23.1182
3.31250E-05 22.8100
3.40625E-05 22.5150
3.50000E-05 22.2321
3.59375E-05 21.9607
3.68750E-05 21.6999
3.78125E-05 21.4491
3.87500E-05 21.2077
3.96875E-05 20.9751
4.06250E-05 20.7509
4.25000E-05 20.3254
4.43750E-05 19.9280
4.62500E-05 19.5557
4.81250E-05 19.2060
5.00000E-05 18.8768
5.15625E-05 18.6168
5.31250E-05 18.3687
5.46875E-05 18.1317
5.62500E-05 17.9050
5.78125E-05 17.6878
5.93750E-05 17.4796
6.09375E-05 17.2798
6.25000E-05 17.0879
6.40625E-05 16.9032
6.56250E-05 16.7255
6.71875E-05 16.5543
6.87500E-05 16.3892
7.18750E-05 16.0761
7.50000E-05 15.7836
7.81250E-05 15.5097
8.12500E-05 15.2525
8.43750E-05 15.0105
8.75000E-05 14.7823
9.06250E-05 14.5666
9.37500E-05 14.3624
9.68750E-05 14.1687
0.000100000 13.9848
0.000103125 13.8098
0.000106250 13.6430
0.000109375 13.4840
0.000112500 13.3320
0.000115625 13.1867
0.000118750 13.0476
0.000121875 12.9142
0.000125000 12.7863
0.000128125 12.6634
0.000131250 12.5453
0.000134375 12.4316
0.000137500 12.3221
0.000143750 12.1149
0.000150000 11.9219
0.000156250 11.7416
0.000162500 11.5727
0.000168750 11.4142
0.000175000 11.2651
0.000181250 11.1245
0.000187500 10.9918
0.000193750 10.8662
0.000200000 10.7472
0.000209375 10.5799
0.000218750 10.4247
0.000228125 10.2802
0.000237500 10.1455
0.000246875 10.0195
0.000256250 9.90139
0.000265625 9.79042
0.000275000 9.68595
0.000284375 9.58742
0.000293750 9.49432
0.000303125 9.40622
0.000312500 9.32271
0.000321875 9.24344
0.000331250 9.16809
0.000340625 9.09636
0.000350000 9.02802
0.000359375 8.96280
0.000368750 8.90052
0.000378125 8.84096
0.000387500 8.78395
0.000396875 8.72933
0.000406250 8.67695
0.000425000 8.57838
0.000443750 8.48728
0.000462500 8.40282
0.000481250 8.32430
0.000500000 8.25111
0.000515625 8.19380
0.000531250 8.13956
