Kr-86(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 34.2417
1.03125E-05 33.7302
1.06250E-05 33.2417
1.09375E-05 32.7744
1.12500E-05 32.3268
1.15625E-05 31.8977
1.18750E-05 31.4858
1.21875E-05 31.0899
1.25000E-05 30.7091
1.28125E-05 30.3425
1.31250E-05 29.9891
1.34375E-05 29.6483
1.37500E-05 29.3192
1.43750E-05 28.6939
1.50000E-05 28.1085
1.56250E-05 27.5590
1.62500E-05 27.0418
1.68750E-05 26.5540
1.75000E-05 26.0929
1.81250E-05 25.6561
1.87500E-05 25.2416
1.93750E-05 24.8476
2.00000E-05 24.4725
2.09375E-05 23.9420
2.18750E-05 23.4466
2.28125E-05 22.9825
2.37500E-05 22.5465
2.46875E-05 22.1361
2.56250E-05 21.7488
2.65625E-05 21.3825
2.75000E-05 21.0355
2.84375E-05 20.7061
2.93750E-05 20.3930
3.03125E-05 20.0947
3.12500E-05 19.8103
3.21875E-05 19.5387
3.31250E-05 19.2789
3.40625E-05 19.0302
3.50000E-05 18.7918
3.59375E-05 18.5630
3.68750E-05 18.3432
3.78125E-05 18.1319
3.87500E-05 17.9285
3.96875E-05 17.7325
4.06250E-05 17.5435
4.25000E-05 17.1850
4.43750E-05 16.8502
4.62500E-05 16.5365
4.81250E-05 16.2419
5.00000E-05 15.9646
5.15625E-05 15.7456
5.31250E-05 15.5367
5.46875E-05 15.3371
5.62500E-05 15.1461
5.78125E-05 14.9633
5.93750E-05 14.7880
6.09375E-05 14.6198
6.25000E-05 14.4582
6.40625E-05 14.3028
6.56250E-05 14.1532
6.71875E-05 14.0091
6.87500E-05 13.8702
7.18750E-05 13.6067
7.50000E-05 13.3606
7.81250E-05 13.1302
8.12500E-05 12.9139
8.43750E-05 12.7104
8.75000E-05 12.5185
9.06250E-05 12.3372
9.37500E-05 12.1655
9.68750E-05 12.0028
0.000100000 11.8482
0.000103125 11.7012
0.000106250 11.5612
0.000109375 11.4276
0.000112500 11.3000
0.000115625 11.1780
0.000118750 11.0612
0.000121875 10.9493
0.000125000 10.8419
0.000128125 10.7388
0.000131250 10.6397
0.000134375 10.5444
0.000137500 10.4526
0.000143750 10.2789
0.000150000 10.1172
0.000156250 9.96612
0.000162500 9.82473
0.000168750 9.69205
0.000175000 9.56729
0.000181250 9.44972
0.000187500 9.33874
0.000193750 9.23377
0.000200000 9.13435
0.000209375 8.99464
0.000218750 8.86511
0.000228125 8.74468
0.000237500 8.63240
0.000246875 8.52745
0.000256250 8.42913
0.000265625 8.33682
0.000275000 8.24997
0.000284375 8.16812
0.000293750 8.09083
0.000303125 8.01774
0.000312500 7.94850
0.000321875 7.88283
0.000331250 7.82044
0.000340625 7.76110
0.000350000 7.70460
0.000368750 7.59929
0.000387500 7.50316
0.000406250 7.41505
0.000425000 7.33400
0.000443750 7.25920
0.000462500 7.18995
0.000481250 7.12568
0.000500000 7.06585
0.000515625 7.01908
0.000531250 6.97486
0.000546875 6.93300
0.000562500 6.89331
0.000593750 6.81983
0.000625000 6.75328
0.000656250 6.69274
0.000687500 6.63745
0.000718750 6.58674
0.000750000 6.54009
0.000781250 6.49704
0.000812500 6.45718
0.000843750 6.42018
0.000875000 6.38575
0.000906250 6.35362
0.000937500 6.32359
0.000968750 6.29545
0.00100000 6.26903
0.00106250 6.22077
0.00112500 6.17779
0.00118750 6.13927
0.00125000 6.10456
0.00131250 6.07313
0.00137500 6.04453
0.00143750 6.01840
0.00150000 5.99443
0.00156250 5.97237
0.00162500 5.95200
0.00168750 5.93314
0.00175000 5.91561
0.00181250 5.89930
0.00187500 5.88406
0.00200000 5.85645
0.00209375 5.83790
0.00218750 5.82093
0.00228125 5.80536
0.00237500 5.79102
0.00246875 5.77776
0.00256250 5.76547
0.00275000 5.74341
0.00293750 5.72416
0.00312500 5.70722
0.00331250 5.69219
0.00350000 5.67877
0.00368750 5.66671
0.00387500 5.65582
0.00406250 5.64594
0.00425000 5.63692
0.00443750 5.62867
0.00462500 5.62108
0.00500000 5.60761
0.00531250 5.59784
0.00562500 5.58915
0.00593750 5.58138
0.00625000 5.57438
0.00656250 5.56804
0.00687500 5.56229
0.00718750 5.55703
0.00750000 5.55221
0.00812500 5.54367
0.00875000 5.53636
0.00937500 5.53002
0.0100000 5.52447
0.0106250 5.51957
0.0112500 5.51521
0.0118750 5.51132
0.0125000 5.50781
0.0137500 5.50174
0.0150000 5.49669
0.0162500 5.49241
0.0175000 5.48874
0.0187500 5.48556
0.0200000 5.48277
0.0213250 5.48018
0.0226500 5.47788
0.0239750 5.47584
0.0253000 5.47402
0.0274227 5.47146
0.0295453 5.46926
0.0316680 5.46736
0.0337906 5.46570
0.0359133 5.46423
0.0380359 5.46293
0.0422813 5.46071
0.0461406 5.45905
0.0500000 5.45764
0.0562500 5.45577
0.0625000 5.45427
0.0687500 5.45304
0.0750000 5.45202
0.0812500 5.45115
0.0875000 5.45041
0.0937500 5.44977
0.100000 5.44920
0.112500 5.44826
0.125000 5.44750
0.137500 5.44688
0.150000 5.44637
0.162500 5.44593
0.175000 5.44555
0.200000 5.44494
0.218750 5.44457
0.237500 5.44426
0.256250 5.44400
0.275000 5.44377
0.312500 5.44339
0.350000 5.44310
0.387500 5.44285
0.425000 5.44266
0.500000 5.44235
0.562500 5.44215
0.625000 5.44200
0.750000 5.44176
0.875000 5.44159
1.00000 5.44146
1.12500 5.44136
1.25000 5.44128
1.50000 5.44115
1.75000 5.44107
2.00000 5.44100
2.37500 5.44092
2.75000 5.44086
3.12500 5.44082
3.50000 5.44078
4.25000 5.44073
5.00000 5.44069
6.25000 5.44064
7.50000 5.44060
8.75000 5.44057
10.0000 5.44054
12.5000 5.44050
15.0000 5.44046
17.5000 5.44043
20.0000 5.44040
27.5000 5.44032
35.0000 5.44025
42.5000 5.44018
50.0000 5.44011
62.5000 5.43999
75.0000 5.43988
87.5000 5.43977
100.000 5.43966
125.000 5.43944
150.000 5.43922
175.000 5.43901
200.000 5.43879
275.000 5.43814
350.000 5.43749
425.000 5.43683
500.000 5.43618
625.000 5.43510
750.000 5.43401
875.000 5.43292
1000.00 5.43183
1250.00 5.42965
1500.00 5.42746
1750.00 5.42527
2000.00 5.42307
2750.00 5.41645
3500.00 5.40977
4250.00 5.40304
5000.00 5.39625
5052.24 5.39578
5104.48 5.39531
5156.72 5.39483
5208.96 5.39436
5261.19 5.39388
5287.31 5.39365
5313.43 5.39341
5339.55 5.39317
5365.67 5.39294
5378.73 5.39282
5391.79 5.39270
5417.91 5.39247
5432.16 5.39234
5446.40 5.39222
5460.65 5.39209
5474.90 5.39197
5489.14 5.39186
5496.27 5.39180
5503.39 5.39174
5510.51 5.39169
5517.64 5.39164
5524.76 5.39159
5531.88 5.39155
5537.23 5.39152
5542.57 5.39150
5547.91 5.39149
5553.25 5.39148
5558.60 5.39149
5563.94 5.39153
5566.61 5.39156
5569.28 5.39160
5571.95 5.39166
5574.62 5.39174
5577.00 5.39183
5579.37 5.39195
5581.75 5.39212
5584.12 5.39234
5586.50 5.39265
5587.68 5.39285
5588.87 5.39309
5590.06 5.39339
5591.25 5.39375
5592.43 5.39422
5593.62 5.39481
5594.66 5.39548
5595.70 5.39635
5596.74 5.39750
5597.78 5.39909
5598.30 5.40013
5598.82 5.40142
5599.34 5.40305
5599.85 5.40523
5600.11 5.40665
5600.37 5.40841
5600.63 5.41063
5600.89 5.41350
5601.15 5.41734
5601.41 5.42253
5601.67 5.42968
5601.93 5.43954
5602.16 5.45156
5602.40 5.46761
5602.63 5.48893
5602.86 5.51703
5603.09 5.55368
5603.32 5.60092
5603.56 5.66103
5603.79 5.73604
5604.02 5.82904
5604.13 5.88290
5604.25 5.94204
5604.37 6.00667
5604.48 6.07700
5604.60 6.15320
5604.71 6.23535
5604.83 6.32351
5604.95 6.41767
5605.06 6.51771
5605.18 6.62348
5605.29 6.73470
5605.41 6.85103
5605.64 7.09605
5605.81 7.28208
5605.98 7.47310
5606.31 7.85939
5606.48 8.04856
5606.64 8.23065
5606.81 8.40223
5606.98 8.55898
5607.11 8.67003
5607.24 8.76920
5607.37 8.85518
5607.50 8.92680
5607.62 8.97967
5607.74 9.01833
5607.87 9.04418
5607.98 9.05276
5608.00 9.05303
5608.06 9.05144
5608.11 9.04689
5608.22 9.02877
5608.31 9.00427
5608.40 8.97152
5608.50 8.92636
5608.60 8.87251
5608.70 8.80935
5608.80 8.73865
5608.94 8.63214
5609.09 8.49773
5609.24 8.35032
5609.39 8.19239
5609.54 8.02758
5610.14 7.33466
5610.35 7.09972
5610.56 6.87713
5610.77 6.66829
5610.98 6.47771
5611.19 6.30512
5611.40 6.15280
5611.61 6.01921
5611.82 5.90487
5612.03 5.80748
5612.24 5.72644
5612.45 5.65925
5612.66 5.60475
5612.87 5.56064
5613.08 5.52567
5613.29 5.49807
5613.50 5.47647
5613.73 5.45789
5613.97 5.44400
5614.20 5.43366
5614.43 5.42600
5614.67 5.42025
5614.90 5.41594
5615.14 5.41264
5615.37 5.41010
5615.61 5.40808
5615.84 5.40647
5616.31 5.40401
5616.78 5.40221
5617.25 5.40081
5617.72 5.39968
5618.19 5.39874
5619.12 5.39726
5620.06 5.39617
5621.00 5.39532
5622.07 5.39456
5623.15 5.39397
5624.22 5.39350
5625.29 5.39312
5626.36 5.39281
5627.43 5.39254
5629.58 5.39213
5631.72 5.39182
5633.87 5.39158
5636.01 5.39139
5638.16 5.39124
5640.57 5.39110
5642.98 5.39098
5645.39 5.39088
5647.81 5.39080
5652.63 5.39065
5657.46 5.39054
5662.28 5.39045
5667.11 5.39036
5671.93 5.39029
5676.76 5.39022
5683.19 5.39013
5689.62 5.39006
5696.06 5.38998
5702.49 5.38991
5708.92 5.38984
5715.36 5.38978
5728.22 5.38965
5741.09 5.38952
5753.96 5.38939
5766.83 5.38927
5779.69 5.38915
5798.99 5.38897
5818.29 5.38879
5837.59 5.38861
5856.89 5.38843
5876.19 5.38825
5895.49 5.38807
5914.79 5.38789
5934.09 5.38772
5972.69 5.38736
6011.29 5.38700
6088.49 5.38629
6142.11 5.38580
6195.72 5.38530
6302.94 5.38431
6517.39 5.38233
6946.28 5.37835
7804.07 5.37032
10000.0 5.34930
11341.5 5.33611
11364.4 5.33589
11387.3 5.33566
11410.3 5.33544
11433.2 5.33521
11444.7 5.33510
11456.1 5.33499
11467.6 5.33488
11479.1 5.33477
11490.6 5.33466
11502.0 5.33455
11513.5 5.33444
11519.2 5.33439
11525.0 5.33434
11531.7 5.33428
11538.4 5.33423
11545.1 5.33417
11551.9 5.33412
11558.6 5.33408
11565.3 5.33405
11568.7 5.33403
11572.0 5.33403
11575.4 5.33402
11578.7 5.33403
11581.7 5.33404
11584.7 5.33407
11587.7 5.33411
11590.6 5.33417
11593.6 5.33427
11595.1 5.33433
11596.5 5.33442
11598.0 5.33452
11599.5 5.33465
11601.0 5.33482
11602.5 5.33504
11603.8 5.33530
11605.0 5.33563
11606.3 5.33610
11607.0 5.33640
11607.6 5.33678
11608.3 5.33729
11608.9 5.33800
11609.2 5.33849
11609.5 5.33910
11609.9 5.33990
11610.2 5.34095
11610.5 5.34240
11610.8 5.34430
11611.2 5.34686
11611.5 5.35030
11611.8 5.35493
11612.1 5.36111
11612.4 5.36928
11612.8 5.38000
