60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
7.187500e-04 4.46834219e+02
7.500000e-04 4.37422380e+02
7.812500e-04 4.28580027e+02
8.125000e-04 4.20253170e+02
8.437500e-04 4.12394659e+02
8.750000e-04 4.04959858e+02
9.062500e-04 3.97911502e+02
9.375000e-04 3.91220858e+02
9.687500e-04 3.84855059e+02
1.000000e-03 3.78790360e+02
1.031250e-03 3.73003738e+02
1.062500e-03 3.67474437e+02
1.093750e-03 3.62182832e+02
1.125000e-03 3.57113613e+02
1.156250e-03 3.52252463e+02
1.187500e-03 3.47583215e+02
1.218750e-03 3.43094109e+02
1.250000e-03 3.38775929e+02
1.281250e-03 3.34615380e+02
1.312500e-03 3.30605347e+02
1.343750e-03 3.26735731e+02
1.375000e-03 3.22997704e+02
1.437500e-03 3.15891809e+02
1.500000e-03 3.09235688e+02
1.562500e-03 3.02982134e+02
1.625000e-03 2.97092860e+02
1.687500e-03 2.91533661e+02
1.750000e-03 2.86275531e+02
1.812500e-03 2.81289595e+02
1.875000e-03 2.76557851e+02
1.937500e-03 2.72054550e+02
2.000000e-03 2.67764701e+02
2.093750e-03 2.61694592e+02
2.187500e-03 2.56018340e+02
2.281250e-03 2.50694187e+02
2.375000e-03 2.45689594e+02
2.468750e-03 2.40971981e+02
2.562500e-03 2.36516411e+02
2.656250e-03 2.32297934e+02
2.750000e-03 2.28297980e+02
2.843750e-03 2.24496560e+02
2.937500e-03 2.20878798e+02
3.031250e-03 2.17430307e+02
3.125000e-03 2.14137950e+02
3.218750e-03 2.10990040e+02
3.312500e-03 2.07976952e+02
3.406250e-03 2.05089123e+02
3.500000e-03 2.02317984e+02
3.593750e-03 1.99655749e+02
3.687500e-03 1.97096031e+02
3.781250e-03 1.94631727e+02
3.875000e-03 1.92257353e+02
3.968750e-03 1.89967475e+02
4.062500e-03 1.87757825e+02
4.250000e-03 1.83558796e+02
4.437500e-03 1.79628691e+02
4.625000e-03 1.75939470e+02
4.812500e-03 1.72468229e+02
5.000000e-03 1.69194091e+02
5.155850e-03 1.66609453e+02
5.156250e-03 1.66602988e+02
5.311710e-03 1.64139246e+02
5.312500e-03 1.64127036e+02
5.467560e-03 1.61775409e+02
5.468750e-03 1.61757796e+02
5.623410e-03 1.59510469e+02
5.625000e-03 1.59487675e+02
5.644530e-03 1.59212605e+02
5.664060e-03 1.58938443e+02
5.737310e-03 1.57917423e+02
5.781250e-03 1.57311575e+02
5.810550e-03 1.56914465e+02
5.937500e-03 1.55221755e+02
5.957030e-03 1.54965631e+02
6.093750e-03 1.53210512e+02
6.103520e-03 1.53087104e+02
6.250000e-03 1.51274919e+02
6.406250e-03 1.49411766e+02
6.562500e-03 1.47615399e+02
6.718750e-03 1.45882152e+02
6.875000e-03 1.44208111e+02
7.187500e-03 1.41025097e+02
7.500000e-03 1.38042880e+02
7.812500e-03 1.35241140e+02
8.125000e-03 1.32602208e+02
8.437500e-03 1.30110998e+02
8.750000e-03 1.27754299e+02
9.062500e-03 1.25520183e+02
9.375000e-03 1.23398523e+02
9.687500e-03 1.21380239e+02
1.000000e-02 1.19457180e+02
1.031250e-02 1.17621975e+02
1.062500e-02 1.15868282e+02
1.093750e-02 1.14190235e+02
1.125000e-02 1.12582371e+02
1.156250e-02 1.11040091e+02
1.187500e-02 1.09559070e+02
1.218750e-02 1.08135332e+02
1.250000e-02 1.06765158e+02
1.281250e-02 1.05445364e+02
1.312500e-02 1.04172936e+02
1.343750e-02 1.02944929e+02
1.375000e-02 1.01758977e+02
1.437500e-02 9.95037740e+01
