O-18(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 0.00775671
1.03125E-05 0.00763828
1.06250E-05 0.00752512
1.09375E-05 0.00741683
1.12500E-05 0.00731310
1.15625E-05 0.00721360
1.18750E-05 0.00711805
1.21875E-05 0.00702620
1.25000E-05 0.00693781
1.28125E-05 0.00685268
1.31250E-05 0.00677061
1.34375E-05 0.00669142
1.37500E-05 0.00661495
1.43750E-05 0.00646954
1.50000E-05 0.00633333
1.56250E-05 0.00620537
1.62500E-05 0.00608486
1.68750E-05 0.00597112
1.75000E-05 0.00586352
1.81250E-05 0.00576154
1.87500E-05 0.00566470
1.93750E-05 0.00557259
2.00000E-05 0.00548482
2.09375E-05 0.00536062
2.18750E-05 0.00524449
2.28125E-05 0.00513560
2.37500E-05 0.00503322
2.46875E-05 0.00493673
2.56250E-05 0.00484558
2.65625E-05 0.00475930
2.75000E-05 0.00467747
2.84375E-05 0.00459973
2.93750E-05 0.00452573
3.03125E-05 0.00445520
3.12500E-05 0.00438786
3.21875E-05 0.00432349
3.31250E-05 0.00426186
3.40625E-05 0.00420281
3.50000E-05 0.00414614
3.59375E-05 0.00409170
3.68750E-05 0.00403935
3.78125E-05 0.00398896
3.87500E-05 0.00394041
3.96875E-05 0.00389359
4.06250E-05 0.00384841
4.25000E-05 0.00376256
4.43750E-05 0.00368221
4.62500E-05 0.00360680
4.81250E-05 0.00353584
5.00000E-05 0.00346891
5.15625E-05 0.00341594
5.31250E-05 0.00336533
5.46875E-05 0.00331691
5.62500E-05 0.00327052
5.78125E-05 0.00322602
5.93750E-05 0.00318329
6.09375E-05 0.00314221
6.25000E-05 0.00310268
6.40625E-05 0.00306461
6.56250E-05 0.00302791
6.87500E-05 0.00295829
7.18750E-05 0.00289327
7.50000E-05 0.00283235
7.81250E-05 0.00277513
8.12500E-05 0.00272123
8.43750E-05 0.00267037
8.75000E-05 0.00262225
9.06250E-05 0.00257664
9.37500E-05 0.00253333
9.68750E-05 0.00249214
0.000100000 0.00245289
0.000103125 0.00241544
0.000106250 0.00237965
0.000109375 0.00234541
0.000112500 0.00231260
0.000115625 0.00228114
0.000118750 0.00225092
0.000121875 0.00222188
0.000125000 0.00219393
0.000128125 0.00216701
0.000131250 0.00214106
0.000137500 0.00209183
0.000143750 0.00204585
0.000150000 0.00200277
0.000156250 0.00196231
0.000162500 0.00192420
0.000168750 0.00188823
0.000175000 0.00185421
0.000181250 0.00182196
0.000187500 0.00179134
0.000193750 0.00176221
0.000200000 0.00173445
0.000209375 0.00169518
0.000218750 0.00165845
0.000228125 0.00162402
0.000237500 0.00159164
0.000246875 0.00156113
0.000256250 0.00153231
0.000265625 0.00150502
0.000275000 0.00147915
0.000284375 0.00145456
0.000293750 0.00143116
0.000303125 0.00140886
0.000312500 0.00138756
0.000321875 0.00136721
0.000331250 0.00134772
0.000340625 0.00132904
0.000350000 0.00131112
0.000359375 0.00129391
0.000368750 0.00127736
0.000378125 0.00126142
0.000387500 0.00124607
0.000406250 0.00121697
0.000425000 0.00118983
0.000443750 0.00116442
0.000462500 0.00114057
0.000481250 0.00111813
0.000500000 0.00109696
0.000515625 0.00108022
0.000531250 0.00106421
0.000546875 0.00104890
0.000562500 0.00103423
0.000578125 0.00102016
0.000593750 0.00100664
0.000609375 0.000993654
0.000625000 0.000981155
0.000656250 0.000957509
0.000687500 0.000935494
0.000718750 0.000914931
0.000750000 0.000895668
0.000781250 0.000877571
0.000812500 0.000860530
0.000843750 0.000844443
0.000875000 0.000829227
0.000906250 0.000814805
0.000937500 0.000801109
