16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
7.187500e-05 1.36717535e+01
7.500000e-05 1.33886979e+01
7.812500e-05 1.31228842e+01
8.125000e-05 1.28727123e+01
8.437500e-05 1.26365976e+01
8.750000e-05 1.24134392e+01
9.062500e-05 1.22018448e+01
9.375000e-05 1.20011064e+01
9.687500e-05 1.18101452e+01
1.000000e-04 1.16283440e+01
1.031250e-04 1.14549163e+01
1.062500e-04 1.12891684e+01
1.093750e-04 1.11306924e+01
1.125000e-04 1.09789894e+01
1.156250e-04 1.08334686e+01
1.187500e-04 1.06937307e+01
1.218750e-04 1.05594724e+01
1.250000e-04 1.04303923e+01
1.281250e-04 1.03060970e+01
1.312500e-04 1.01861919e+01
1.343750e-04 1.00706651e+01
1.375000e-04 9.95906779e+00
1.437500e-04 9.74703323e+00
1.500000e-04 9.54853019e+00
1.562500e-04 9.36218552e+00
1.625000e-04 9.18681102e+00
1.687500e-04 9.02139119e+00
1.750000e-04 8.86500999e+00
1.812500e-04 8.71689748e+00
1.875000e-04 8.57633816e+00
1.937500e-04 8.44272445e+00
2.000000e-04 8.31551651e+00
2.093750e-04 8.13562942e+00
2.187500e-04 7.96759920e+00
2.281250e-04 7.81018845e+00
2.375000e-04 7.66234207e+00
2.468750e-04 7.52313314e+00
2.562500e-04 7.39175425e+00
2.656250e-04 7.26751761e+00
2.750000e-04 7.14979607e+00
2.843750e-04 7.03805118e+00
2.937500e-04 6.93180429e+00
3.031250e-04 6.83060789e+00
3.125000e-04 6.73410237e+00
3.218750e-04 6.64191994e+00
3.312500e-04 6.55376079e+00
3.406250e-04 6.46934678e+00
3.500000e-04 6.38841818e+00
3.593750e-04 6.31074622e+00
3.687500e-04 6.23612167e+00
3.781250e-04 6.16436448e+00
3.875000e-04 6.09527657e+00
3.968750e-04 6.02870784e+00
4.062500e-04 5.96451882e+00
4.250000e-04 5.84273232e+00
4.437500e-04 5.72894077e+00
4.625000e-04 5.62231803e+00
4.812500e-04 5.52215580e+00
5.000000e-04 5.42784703e+00
5.156250e-04 5.35332738e+00
5.312500e-04 5.28221218e+00
5.468750e-04 5.21426183e+00
5.625000e-04 5.14925692e+00
5.781250e-04 5.08697979e+00
5.937500e-04 5.02724998e+00
6.093750e-04 4.96991782e+00
6.250000e-04 4.91480544e+00
6.406250e-04 4.86180173e+00
6.562500e-04 4.81075889e+00
6.718750e-04 4.76157598e+00
6.875000e-04 4.71413376e+00
7.187500e-04 4.62409471e+00
7.500000e-04 4.53995405e+00
7.812500e-04 4.46109483e+00
8.125000e-04 4.38699927e+00
8.437500e-04 4.31721908e+00
8.750000e-04 4.25136633e+00
9.062500e-04 4.18908249e+00
9.375000e-04 4.13005991e+00
9.687500e-04 4.07403894e+00
