Os-184(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 150952
1.03125E-05 148647
1.06250E-05 146445
1.09375E-05 144338
1.12500E-05 142319
1.15625E-05 140383
1.18750E-05 138523
1.21875E-05 136736
1.25000E-05 135016
1.28125E-05 133359
1.31250E-05 131762
1.34375E-05 130221
1.37500E-05 128733
1.43750E-05 125903
1.50000E-05 123252
1.56250E-05 120762
1.62500E-05 118417
1.68750E-05 116204
1.75000E-05 114110
1.81250E-05 112125
1.87500E-05 110240
1.93750E-05 108448
2.00000E-05 106740
2.09375E-05 104323
2.18750E-05 102063
2.28125E-05 99943.9
2.37500E-05 97951.5
2.46875E-05 96073.7
2.56250E-05 94300.0
2.65625E-05 92621.0
2.75000E-05 91028.6
2.84375E-05 89515.6
2.93750E-05 88075.6
3.03125E-05 86702.9
3.12500E-05 85392.6
3.21875E-05 84139.8
3.31250E-05 82940.7
3.40625E-05 81791.4
3.50000E-05 80688.6
3.59375E-05 79629.2
3.68750E-05 78610.5
3.78125E-05 77629.9
3.87500E-05 76685.1
3.96875E-05 75774.0
4.06250E-05 74894.7
4.25000E-05 73224.0
4.43750E-05 71660.4
4.62500E-05 70192.9
4.81250E-05 68812.0
5.00000E-05 67509.5
5.15625E-05 66478.9
5.31250E-05 65494.0
5.46875E-05 64551.6
5.62500E-05 63648.8
5.78125E-05 62782.9
5.93750E-05 61951.4
6.09375E-05 61152.0
6.25000E-05 60382.8
6.40625E-05 59642.0
6.56250E-05 58927.7
6.71875E-05 58238.5
6.87500E-05 57573.0
7.18750E-05 56307.6
7.50000E-05 55122.1
7.81250E-05 54008.5
8.12500E-05 52959.8
8.43750E-05 51969.9
8.75000E-05 51033.6
9.06250E-05 50146.0
9.37500E-05 49303.3
9.68750E-05 48501.6
0.000100000 47737.9
0.000103125 47009.1
0.000106250 46312.7
0.000109375 45646.4
0.000112500 45008.0
0.000115625 44395.7
0.000118750 43807.7
0.000121875 43242.5
0.000125000 42698.7
0.000128125 42174.8
0.000131250 41669.8
0.000134375 41182.5
0.000137500 40711.9
0.000143750 39817.1
0.000150000 38978.9
0.000156250 38191.5
0.000162500 37450.0
0.000168750 36750.0
0.000175000 36087.9
0.000181250 35460.4
0.000187500 34864.5
0.000193750 34297.7
0.000200000 33757.6
0.000209375 32993.3
0.000218750 32278.8
0.000228125 31608.7
0.000237500 30978.7
0.000246875 30384.9
0.000256250 29824.1
0.000265625 29293.2
0.000275000 28789.7
0.000284375 28311.2
0.000293750 27855.9
0.000303125 27421.9
0.000312500 27007.6
0.000321875 26611.5
0.000331250 26232.3
0.000340625 25868.9
0.000350000 25520.2
0.000359375 25185.2
0.000368750 24863.1
0.000378125 24553.1
0.000387500 24254.3
0.000396875 23966.2
0.000406250 23688.2
0.000425000 23159.9
0.000443750 22665.5
0.000462500 22201.5
0.000481250 21764.9
0.000500000 21353.1
0.000515625 21027.2
0.000531250 20715.8
0.000546875 20417.8
0.000562500 20132.4
0.000578125 19858.6
0.000593750 19595.6
0.000609375 19342.9
0.000625000 19099.7
0.000640625 18865.4
0.000656250 18639.6
0.000671875 18421.7
0.000687500 18211.3
0.000718750 17811.2
0.000750000 17436.3
0.000781250 17084.2
0.000812500 16752.7
0.000843750 16439.7
0.000875000 16143.6
0.000906250 15863.0
0.000937500 15596.5
0.000968750 15343.1
0.00100000 15101.6
0.00103125 14871.2
0.00106250 14651.0
0.00109375 14440.3
0.00112500 14238.5
0.00115625 14044.9
0.00118750 13859.0
0.00121875 13680.3
0.00125000 13508.3
0.00128125 13342.7
0.00131250 13183.0
0.00134375 13028.9
0.00137500 12880.1
0.00143750 12597.2
0.00150000 12332.2
0.00156250 12083.2
0.00162500 11848.8
0.00168750 11627.5
0.00175000 11418.1
0.00181250 11219.7
0.00187500 11031.3
0.00193750 10852.0
0.00200000 10681.3
0.00209375 10439.6
0.00218750 10213.7
0.00228125 10001.8
0.00237500 9802.59
0.00246875 9614.84
0.00256250 9437.49
0.00265625 9269.61
0.00275000 9110.40
0.00284375 8959.12
0.00293750 8815.15
0.00303125 8677.91
0.00312500 8546.89
0.00321875 8421.64
0.00331250 8301.75
0.00340625 8186.84
0.00350000 8076.59
0.00359375 7970.67
0.00368750 7868.82
0.00378125 7770.78
0.00387500 7676.33
0.00396875 7585.24
0.00406250 7497.32
0.00425000 7330.29
0.00443750 7173.96
0.00462500 7027.24
0.00481250 6889.17
0.00500000 6758.95
0.00515625 6655.90
0.00531250 6557.44
0.00546875 6463.22
0.00562500 6372.96
0.00578125 6286.39
0.00593750 6203.25
0.00609375 6123.34
0.00625000 6046.44
0.00640625 5972.38
0.00656250 5900.97
0.00671875 5832.07
0.00687500 5765.54
0.00718750 5639.03
0.00750000 5520.52
0.00781250 5409.18
0.00812500 5304.33
0.00843750 5205.35
0.00875000 5111.73
0.00906250 5022.98
0.00937500 4938.71
0.00968750 4858.55
0.0100000 4782.18
0.0103125 4709.30
0.0106250 4639.67
0.0109375 4573.05
0.0112500 4509.22
0.0115625 4448.01
0.0118750 4389.23
0.0121875 4332.72
0.0125000 4278.36
0.0128125 4225.99
0.0131250 4175.51
0.0134375 4126.80
0.0137500 4079.76
0.0143750 3990.32
0.0150000 3906.53
0.0156250 3827.81
0.0162500 3753.67
0.0168750 3683.68
0.0175000 3617.47
0.0181250 3554.71
0.0187500 3495.12
0.0193750 3438.44
0.0200000 3384.43
0.0206625 3329.88
0.0213250 3277.90
0.0219875 3228.28
0.0226500 3180.86
0.0233125 3135.47
0.0239750 3091.98
0.0246375 3050.26
0.0253000 3010.19
0.0264578 2943.80
0.0276156 2881.64
0.0287734 2823.28
0.0299313 2768.34
0.0310891 2716.51
0.0322469 2667.50
0.0334047 2621.07
0.0345625 2576.98
0.0355274 2541.90
0.0364922 2508.21
0.0374570 2475.82
0.0384219 2444.66
0.0393867 2414.65
0.0403516 2385.72
0.0413164 2357.81
0.0422813 2330.85
0.0442109 2279.62
0.0461406 2231.64
0.0480703 2186.58
0.0500000 2144.16
0.0515625 2111.57
0.0531250 2080.42
0.0546875 2050.63
0.0562500 2022.08
0.0578125 1994.70
0.0593750 1968.41
0.0609375 1943.13
0.0625000 1918.82
0.0640625 1895.41
0.0656250 1872.84
0.0671875 1851.07
0.0687500 1830.04
0.0718750 1790.07
0.0750000 1752.60
