Ge-74(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 26.1003
1.03125E-05 25.7018
1.06250E-05 25.3210
1.09375E-05 24.9567
1.12500E-05 24.6076
1.15625E-05 24.2728
1.18750E-05 23.9513
1.21875E-05 23.6422
1.25000E-05 23.3448
1.28125E-05 23.0584
1.31250E-05 22.7822
1.34375E-05 22.5158
1.37500E-05 22.2584
1.43750E-05 21.7692
1.50000E-05 21.3108
1.56250E-05 20.8803
1.62500E-05 20.4748
1.68750E-05 20.0920
1.75000E-05 19.7300
1.81250E-05 19.3868
1.87500E-05 19.0610
1.93750E-05 18.7510
2.00000E-05 18.4557
2.09375E-05 18.0378
2.18750E-05 17.6470
2.28125E-05 17.2806
2.37500E-05 16.9361
2.46875E-05 16.6115
2.56250E-05 16.3048
2.65625E-05 16.0144
2.75000E-05 15.7391
2.84375E-05 15.4775
2.93750E-05 15.2285
3.03125E-05 14.9912
3.12500E-05 14.7646
3.21875E-05 14.5480
3.31250E-05 14.3406
3.40625E-05 14.1419
3.50000E-05 13.9512
3.59375E-05 13.7680
3.68750E-05 13.5919
3.78125E-05 13.4223
3.87500E-05 13.2590
3.96875E-05 13.1014
4.06250E-05 12.9494
4.25000E-05 12.6605
4.43750E-05 12.3902
4.62500E-05 12.1364
4.81250E-05 11.8976
5.00000E-05 11.6724
5.15625E-05 11.4942
5.31250E-05 11.3239
5.46875E-05 11.1610
5.62500E-05 11.0049
5.78125E-05 10.8551
5.93750E-05 10.7114
6.09375E-05 10.5731
6.25000E-05 10.4401
6.40625E-05 10.3120
6.56250E-05 10.1885
6.71875E-05 10.0694
6.87500E-05 9.95428
7.18750E-05 9.73547
7.50000E-05 9.53049
7.81250E-05 9.33794
8.12500E-05 9.15660
8.43750E-05 8.98543
8.75000E-05 8.82352
9.06250E-05 8.67006
9.37500E-05 8.52433
9.68750E-05 8.38572
0.000100000 8.25365
0.000103125 8.12763
0.000106250 8.00722
0.000109375 7.89200
0.000112500 7.78161
0.000115625 7.67574
0.000118750 7.57407
0.000121875 7.47633
0.000125000 7.38229
0.000128125 7.29170
0.000131250 7.20438
0.000134375 7.12011
0.000137500 7.03874
0.000143750 6.88402
0.000150000 6.73908
0.000156250 6.60292
0.000162500 6.47470
0.000168750 6.35366
0.000175000 6.23917
0.000181250 6.13066
0.000187500 6.02761
0.000193750 5.92960
0.000200000 5.83621
0.000209375 5.70405
0.000218750 5.58049
0.000228125 5.46462
0.000237500 5.35568
0.000246875 5.25300
0.000256250 5.15601
0.000265625 5.06421
0.000275000 4.97714
0.000284375 4.89441
0.000293750 4.81567
0.000303125 4.74062
0.000312500 4.66897
0.000321875 4.60047
0.000331250 4.53490
0.000340625 4.47206
0.000350000 4.41176
0.000359375 4.35384
0.000368750 4.29814
0.000378125 4.24452
0.000387500 4.19286
0.000396875 4.14304
0.000406250 4.09496
0.000425000 4.00361
0.000443750 3.91811
0.000462500 3.83787
0.000481250 3.76237
0.000500000 3.69115
0.000515625 3.63479
0.000531250 3.58094
0.000546875 3.52941
0.000562500 3.48005
0.000578125 3.43270
0.000593750 3.38723
0.000609375 3.34352
0.000625000 3.30146
0.000640625 3.26095
0.000656250 3.22190
0.000671875 3.18421
0.000687500 3.14782
0.000718750 3.07863
0.000750000 3.01381
0.000781250 2.95292
0.000812500 2.89558
