Ne-22(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.00209375 0.158159
0.00218750 0.154732
0.00228125 0.151519
0.00237500 0.148499
0.00246875 0.145652
0.00256250 0.142963
0.00265625 0.140417
0.00275000 0.138003
0.00284375 0.135709
0.00293750 0.133526
0.00303125 0.131445
0.00312500 0.129458
0.00321875 0.127559
0.00331250 0.125741
0.00340625 0.123998
0.00350000 0.122326
0.00359375 0.120720
0.00368750 0.119176
0.00378125 0.117689
0.00387500 0.116257
0.00396875 0.114875
0.00406250 0.113542
0.00425000 0.111009
0.00443750 0.108639
0.00462500 0.106414
0.00481250 0.104320
0.00500000 0.102345
0.00515625 0.100783
0.00531250 0.0992895
0.00546875 0.0978608
0.00562500 0.0964920
0.00578125 0.0951791
0.00593750 0.0939184
0.00609375 0.0927065
0.00625000 0.0915403
0.00640625 0.0904170
0.00656250 0.0893342
0.00671875 0.0882893
0.00687500 0.0872802
0.00718750 0.0853617
0.00750000 0.0835644
0.00781250 0.0818760
0.00812500 0.0802860
0.00843750 0.0787852
0.00875000 0.0773655
0.00906250 0.0760199
0.00937500 0.0747421
0.00968750 0.0735267
0.0100000 0.0723687
0.0103125 0.0712638
0.0106250 0.0702079
0.0109375 0.0691977
0.0112500 0.0682298
0.0115625 0.0673015
0.0118750 0.0664100
0.0121875 0.0655530
0.0125000 0.0647284
0.0128125 0.0639341
0.0131250 0.0631684
0.0134375 0.0624296
0.0137500 0.0617160
0.0143750 0.0603594
0.0150000 0.0590885
0.0156250 0.0578946
0.0162500 0.0567703
0.0168750 0.0557090
0.0175000 0.0547051
0.0181250 0.0537536
0.0187500 0.0528501
0.0193750 0.0519906
0.0200000 0.0511718
0.0206625 0.0503447
0.0213250 0.0495565
0.0219875 0.0488042
0.0226500 0.0480851
0.0233125 0.0473969
0.0239750 0.0467374
0.0246375 0.0461048
0.0253000 0.0454971
0.0264578 0.0444905
0.0276156 0.0435478
0.0287734 0.0426627
0.0299313 0.0418294
0.0310891 0.0410432
0.0322469 0.0402996
0.0334047 0.0395951
