Yb-174(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 842.432
1.03125E-05 829.612
1.06250E-05 817.362
1.09375E-05 805.641
1.12500E-05 794.413
1.15625E-05 783.644
1.18750E-05 773.303
1.21875E-05 763.363
1.25000E-05 753.799
1.28125E-05 744.587
1.31250E-05 735.706
1.34375E-05 727.138
1.37500E-05 718.864
1.43750E-05 703.133
1.50000E-05 688.398
1.56250E-05 674.557
1.62500E-05 661.524
1.68750E-05 649.223
1.75000E-05 637.588
1.81250E-05 626.562
1.87500E-05 616.092
1.93750E-05 606.134
2.00000E-05 596.648
2.09375E-05 583.224
2.18750E-05 570.675
2.28125E-05 558.909
2.37500E-05 547.848
2.46875E-05 537.426
2.56250E-05 527.581
2.65625E-05 518.264
2.75000E-05 509.429
2.84375E-05 501.036
2.93750E-05 493.048
3.03125E-05 485.436
3.12500E-05 478.169
3.21875E-05 471.223
3.31250E-05 464.576
3.40625E-05 458.205
3.50000E-05 452.093
3.59375E-05 446.222
3.68750E-05 440.578
3.78125E-05 435.145
3.87500E-05 429.912
3.96875E-05 424.866
4.06250E-05 419.996
4.25000E-05 410.746
4.43750E-05 402.091
4.62500E-05 393.970
4.81250E-05 386.330
5.00000E-05 379.126
5.15625E-05 373.427
5.31250E-05 367.982
5.46875E-05 362.773
5.62500E-05 357.784
5.78125E-05 353.000
5.93750E-05 348.406
6.09375E-05 343.992
6.25000E-05 339.745
6.40625E-05 335.655
6.56250E-05 331.712
6.71875E-05 327.909
6.87500E-05 324.237
7.18750E-05 317.258
7.50000E-05 310.722
7.81250E-05 304.584
8.12500E-05 298.807
8.43750E-05 293.355
8.75000E-05 288.201
9.06250E-05 283.317
9.37500E-05 278.680
9.68750E-05 274.272
0.000100000 270.074
0.000103125 266.069
0.000106250 262.244
0.000109375 258.585
0.000112500 255.081
0.000115625 251.721
0.000118750 248.495
0.000121875 245.396
0.000125000 242.414
0.000128125 239.543
0.000131250 236.776
0.000134375 234.108
0.000137500 231.531
0.000143750 226.635
0.000150000 222.050
0.000156250 217.746
0.000162500 213.696
0.000168750 209.874
0.000175000 206.261
0.000181250 202.839
0.000187500 199.591
0.000193750 196.503
0.000200000 193.563
0.000209375 189.404
0.000218750 185.518
0.000228125 181.877
0.000237500 178.457
0.000246875 175.235
0.000256250 172.193
0.000265625 169.316
0.000275000 166.589
0.000284375 164.000
0.000293750 161.537
0.000303125 159.190
0.000312500 156.951
0.000321875 154.812
0.000331250 152.765
0.000340625 150.805
0.000350000 148.924
0.000359375 147.119
0.000368750 145.384
0.000378125 143.714
0.000387500 142.106
0.000396875 140.556
0.000406250 139.061
0.000425000 136.222
0.000443750 133.567
0.000462500 131.077
0.000481250 128.735
0.000500000 126.528
0.000515625 124.783
0.000531250 123.116
0.000546875 121.522
0.000562500 119.995
0.000578125 118.532
0.000593750 117.127
0.000609375 115.777
0.000625000 114.479
0.000640625 113.229
0.000656250 112.024
0.000671875 110.862
0.000687500 109.741
0.000718750 107.609
0.000750000 105.614
0.000781250 103.741
0.000812500 101.978
0.000843750 100.314
0.000875000 98.7418
0.000906250 97.2521
0.000937500 95.8383
0.000968750 94.4940
0.00100000 93.2139
0.00103125 91.9929
0.00106250 90.8266
0.00109375 89.7111
0.00112500 88.6428
0.00115625 87.6185
0.00118750 86.6352
0.00121875 85.6903
0.00125000 84.7814
0.00128125 83.9061
0.00131250 83.0626
0.00134375 82.2489
0.00137500 81.4633
0.00143750 79.9702
0.00150000 78.5722
0.00156250 77.2595
0.00162500 76.0238
0.00168750 74.8579
0.00175000 73.7555
0.00181250 72.7109
0.00187500 71.7194
0.00193750 70.7765
0.00200000 69.8785
0.00209375 68.6081
0.00218750 67.4208
0.00228125 66.3079
0.00237500 65.2619
0.00246875 64.2764
0.00256250 63.3458
0.00265625 62.4653
0.00275000 61.6303
0.00284375 60.8373
0.00293750 60.0827
0.00303125 59.3636
0.00312500 58.6773
0.00321875 58.0213
0.00331250 57.3936
0.00340625 56.7920
0.00350000 56.2150
0.00359375 55.6607
0.00368750 55.1279
0.00378125 54.6151
0.00387500 54.1210
0.00396875 53.6447
0.00406250 53.1851
0.00425000 52.3120
0.00443750 51.4952
0.00462500 50.7287
0.00481250 50.0076
0.00500000 49.3277
0.00515625 48.7898
0.00531250 48.2759
0.00546875 47.7843
0.00562500 47.3134
0.00578125 46.8617
0.00593750 46.4282
0.00609375 46.0114
0.00625000 45.6105
0.00640625 45.2243
0.00656250 44.8521
0.00671875 44.4930
0.00687500 44.1463
0.00718750 43.4871
0.00750000 42.8698
