Te-123(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 20589.7
1.03125E-05 20275.3
1.06250E-05 19974.9
1.09375E-05 19687.5
1.12500E-05 19412.2
1.15625E-05 19148.1
1.18750E-05 18894.4
1.21875E-05 18650.6
1.25000E-05 18416.0
1.28125E-05 18190.1
1.31250E-05 17972.2
1.34375E-05 17762.0
1.37500E-05 17559.0
1.43750E-05 17173.1
1.50000E-05 16811.5
1.56250E-05 16471.9
1.62500E-05 16152.0
1.68750E-05 15850.1
1.75000E-05 15564.5
1.81250E-05 15293.8
1.87500E-05 15036.7
1.93750E-05 14792.2
2.00000E-05 14559.3
2.09375E-05 14229.6
2.18750E-05 13921.4
2.28125E-05 13632.3
2.37500E-05 13360.6
2.46875E-05 13104.4
2.56250E-05 12862.5
2.65625E-05 12633.5
2.75000E-05 12416.3
2.84375E-05 12209.9
2.93750E-05 12013.5
3.03125E-05 11826.3
3.12500E-05 11647.6
3.21875E-05 11476.7
3.31250E-05 11313.1
3.40625E-05 11156.4
3.50000E-05 11006.0
3.59375E-05 10861.5
3.68750E-05 10722.5
3.78125E-05 10588.8
3.87500E-05 10459.9
3.96875E-05 10335.6
4.06250E-05 10215.7
4.25000E-05 9987.83
4.43750E-05 9774.56
4.62500E-05 9574.40
4.81250E-05 9386.05
5.00000E-05 9208.40
5.23438E-05 8999.90
5.46875E-05 8804.96
5.70313E-05 8622.16
5.93750E-05 8450.29
5.95886E-05 8435.14
6.03165E-05 8384.10
6.10443E-05 8333.97
6.25000E-05 8236.36
6.48108E-05 8088.21
6.71216E-05 7947.79
6.94323E-05 7814.44
7.17431E-05 7687.58
7.18750E-05 7680.52
7.22656E-05 7659.74
7.26563E-05 7639.12
7.34375E-05 7598.39
7.50000E-05 7518.83
7.81250E-05 7366.95
8.12500E-05 7223.91
8.43750E-05 7088.90
8.75000E-05 6961.18
9.06250E-05 6840.13
9.37500E-05 6725.19
9.68750E-05 6615.85
0.000100000 6511.68
0.000103125 6412.28
0.000106250 6317.30
0.000109375 6226.42
0.000112500 6139.36
0.000115625 6055.84
0.000118750 5975.65
0.000121875 5898.56
0.000125000 5824.39
0.000128125 5752.94
0.000131250 5684.06
0.000134375 5617.59
0.000137500 5553.41
0.000143750 5431.38
0.000150000 5317.06
0.000156250 5209.67
0.000162500 5108.53
0.000168750 5013.07
0.000175000 4922.77
0.000181250 4837.19
0.000187500 4755.91
0.000193750 4678.61
0.000200000 4604.96
0.000207662 4519.24
0.000215325 4438.14
0.000222987 4361.25
0.000230650 4288.24
0.000238312 4218.77
0.000245974 4152.57
0.000253637 4089.40
0.000261299 4029.03
0.000268150 3977.26
0.000275000 3927.44
0.000284375 3862.19
0.000293750 3800.10
0.000303125 3740.91
0.000312500 3684.41
0.000321875 3630.39
0.000331250 3578.69
0.000340625 3529.13
0.000350000 3481.58
0.000359375 3435.90
0.000368750 3391.98
0.000378125 3349.70
0.000387500 3308.96
0.000396875 3269.68
0.000406250 3231.76
0.000425000 3159.73
0.000443750 3092.32
0.000462500 3029.04
0.000481250 2969.51
0.000500000 2913.36
0.000515625 2868.92
0.000531250 2826.46
0.000546875 2785.84
0.000562500 2746.92
0.000578125 2709.58
0.000593750 2673.74
0.000609375 2639.28
0.000625000 2606.12
0.000640625 2574.18
0.000656250 2543.40
0.000671875 2513.69
0.000687500 2485.00
0.000718750 2430.45
0.000750000 2379.36
0.000781250 2331.36
0.000812500 2286.16
0.000843750 2243.49
0.000875000 2203.14
0.000905723 2165.51
0.000936446 2129.76
0.000967168 2095.73
0.000997891 2063.28
0.00100000 2061.10
0.00100781 2053.12
0.00101563 2045.22
0.00103125 2029.70
0.00106250 1999.69
0.00109375 1970.98
0.00112500 1943.47
0.00115625 1917.09
0.00118750 1891.75
0.00121875 1867.40
0.00125000 1843.97
0.00128125 1821.40
0.00131250 1799.64
0.00134375 1778.65
0.00137500 1758.37
0.00143750 1719.83
0.00150000 1683.72
0.00156250 1649.80
0.00162500 1617.86
0.00168750 1587.72
0.00175000 1559.20
0.00181250 1532.18
0.00187500 1506.52
0.00193750 1482.11
0.00200000 1458.85
0.00208203 1429.94
0.00216406 1402.69
0.00224609 1376.94
0.00232813 1352.57
0.00241016 1329.46
0.00249219 1307.50
0.00257422 1286.60
0.00265625 1266.67
0.00275000 1245.01
0.00284375 1224.42
0.00293750 1204.83
0.00303125 1186.16
0.00312500 1168.33
0.00321875 1151.30
0.00331250 1134.99
0.00340625 1119.36
0.00350000 1104.36
0.00359375 1089.96
0.00368750 1076.11
0.00378125 1062.78
0.00387500 1049.93
0.00396875 1037.55
0.00406250 1025.60
0.00425000 1002.89
0.00443750 981.647
0.00462500 961.711
0.00481250 942.954
0.00500000 925.265
0.00515625 911.270
0.00531250 897.898
0.00546875 885.106
0.00562500 872.852
0.00578125 861.100
0.00593750 849.817
0.00609375 838.972
0.00625000 828.537
0.00640625 818.488
0.00656250 808.802
0.00671875 799.457
0.00687500 790.433
0.00718750 773.280
0.00750000 757.214
0.00781250 742.127
0.00812500 727.922
0.00843750 714.518
0.00875000 701.842
0.00906250 689.830
0.00937500 678.428
0.00968750 667.585
0.0100000 657.257
0.0103125 647.406
0.0106250 637.995
0.0109375 628.993
0.0112500 620.372
0.0115625 612.105
0.0118750 604.169
0.0121875 596.542
0.0125000 589.205
0.0128125 582.140
0.0131250 575.331
0.0137500 562.421
0.0143750 550.369
0.0150000 539.083
0.0156250 528.488
0.0162500 518.514
0.0168750 509.106
0.0175000 500.211
0.0181250 491.784
0.0187500 483.788
0.0193750 476.186
0.0200000 468.948
0.0206625 461.642
0.0213250 454.683
0.0219875 448.045
0.0226500 441.705
0.0233125 435.641
0.0239750 429.834
0.0246375 424.266
0.0253000 418.922
0.0264112 410.421
0.0275223 402.450
0.0286335 394.955
0.0297447 387.892
