Mo-94(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 52.1733
1.03125E-05 51.3894
1.06250E-05 50.6405
1.09375E-05 49.9242
1.12500E-05 49.2380
1.15625E-05 48.5801
1.18750E-05 47.9484
1.21875E-05 47.3414
1.25000E-05 46.7574
1.28125E-05 46.1950
1.31250E-05 45.6530
1.34375E-05 45.1301
1.37500E-05 44.6253
1.43750E-05 43.6658
1.50000E-05 42.7674
1.56250E-05 41.9239
1.62500E-05 41.1299
1.68750E-05 40.3808
1.75000E-05 39.6725
1.81250E-05 39.0016
1.87500E-05 38.3647
1.93750E-05 37.7593
2.00000E-05 37.1827
2.09375E-05 36.3673
2.18750E-05 35.6054
2.28125E-05 34.8914
2.37500E-05 34.2207
2.46875E-05 33.5890
2.56250E-05 32.9928
2.65625E-05 32.4288
2.75000E-05 31.8943
2.84375E-05 31.3868
2.93750E-05 30.9041
3.03125E-05 30.4444
3.12500E-05 30.0058
3.21875E-05 29.5868
3.31250E-05 29.1860
3.40625E-05 28.8022
3.50000E-05 28.4341
3.59375E-05 28.0808
3.68750E-05 27.7413
3.78125E-05 27.4148
3.87500E-05 27.1004
3.96875E-05 26.7974
4.06250E-05 26.5052
4.25000E-05 25.9506
4.43750E-05 25.4323
4.62500E-05 24.9465
4.81250E-05 24.4901
5.00000E-05 24.0601
5.15625E-05 23.7204
5.31250E-05 23.3961
5.46875E-05 23.0862
5.62500E-05 22.7896
5.78125E-05 22.5054
5.93750E-05 22.2329
6.09375E-05 21.9712
6.25000E-05 21.7197
6.40625E-05 21.4777
6.56250E-05 21.2447
6.71875E-05 21.0201
6.87500E-05 20.8035
7.18750E-05 20.3923
7.50000E-05 20.0080
7.81250E-05 19.6478
8.12500E-05 19.3093
8.43750E-05 18.9906
8.75000E-05 18.6897
9.06250E-05 18.4052
9.37500E-05 18.1356
9.68750E-05 17.8798
0.000100000 17.6365
0.000103125 17.4050
0.000106250 17.1842
0.000109375 16.9733
0.000112500 16.7718
0.000115625 16.5789
0.000118750 16.3941
0.000121875 16.2168
0.000125000 16.0465
0.000128125 15.8829
0.000131250 15.7255
0.000134375 15.5739
0.000137500 15.4278
0.000143750 15.1510
0.000150000 14.8926
0.000156250 14.6510
0.000162500 14.4243
0.000168750 14.2112
0.000175000 14.0105
0.000181250 13.8209
0.000187500 13.6416
0.000193750 13.4718
0.000200000 13.3105
0.000209375 13.0835
0.000218750 12.8723
0.000228125 12.6755
0.000237500 12.4914
0.000246875 12.3188
0.000256250 12.1567
0.000265625 12.0041
0.000275000 11.8601
0.000284375 11.7239
0.000293750 11.5950
0.000303125 11.4728
0.000312500 11.3567
0.000321875 11.2462
0.000331250 11.1410
0.000340625 11.0406
0.000350000 10.9447
0.000359375 10.8531
0.000368750 10.7653
0.000378125 10.6813
0.000387500 10.6006
0.000396875 10.5232
0.000406250 10.4488
0.000425000 10.3084
0.000443750 10.1781
0.000462500 10.0568
0.000481250 9.94360
0.000500000 9.83764
0.000515625 9.75439
0.000531250 9.67533
0.000546875 9.60015
0.000562500 9.52856
0.000578125 9.46030
0.000593750 9.39513
0.000609375 9.33283
0.000625000 9.27322
0.000640625 9.21612
0.000656250 9.16136
0.000671875 9.10880
0.000687500 9.05831
0.000718750 8.96302
0.000750000 8.87462
0.000781250 8.79235
0.000812500 8.71558
0.000843750 8.64375
0.000875000 8.57636
0.000906250 8.51302
0.000937500 8.45334
0.000968750 8.39700
0.00100000 8.34372
0.00103125 8.29324
0.00106250 8.24533
0.00109375 8.19980
0.00112500 8.15646
0.00115625 8.11515
0.00118750 8.07572
0.00121875 8.03804
0.00125000 8.00199
0.00128125 7.96746
0.00131250 7.93434
0.00134375 7.90256
0.00137500 7.87203
0.00143750 7.81440
0.00150000 7.76092
0.00156250 7.71113
0.00162500 7.66463
0.00168750 7.62111
0.00175000 7.58025
0.00181250 7.54181
0.00187500 7.50556
0.00193750 7.47132
0.00200000 7.43890
0.00209375 7.39338
0.00218750 7.35120
0.00228125 7.31197
0.00237500 7.27538
0.00246875 7.24115
0.00256250 7.20904
0.00265625 7.17886
0.00275000 7.15042
0.00284375 7.12356
0.00293750 7.09815
0.00303125 7.07406
0.00312500 7.05120
0.00321875 7.02945
0.00331250 7.00873
0.00340625 6.98898
0.00350000 6.97011
0.00359375 6.95206
0.00368750 6.93479
0.00378125 6.91823
0.00387500 6.90233
0.00396875 6.88707
0.00406250 6.87239
0.00425000 6.84466
0.00443750 6.81888
0.00462500 6.79485
0.00481250 6.77237
0.00500000 6.75129
0.00515625 6.73470
0.00531250 6.71891
0.00546875 6.70387
0.00562500 6.68952
0.00578125 6.67582
0.00593750 6.66270
0.00609375 6.65014
0.00625000 6.63810
0.00640625 6.62654
0.00656250 6.61543
0.00671875 6.60474
0.00687500 6.59446
0.00718750 6.57499
0.00750000 6.55685
0.00781250 6.53990
0.00812500 6.52403
0.00843750 6.50911
0.00875000 6.49506
0.00906250 6.48180
0.00937500 6.46927
0.00968750 6.45739
0.0100000 6.44611
0.0103125 6.43540
0.0106250 6.42519
0.0109375 6.41545
0.0112500 6.40616
0.0115625 6.39727
0.0118750 6.38875
0.0121875 6.38060
0.0125000 6.37277
0.0128125 6.36524
0.0131250 6.35801
0.0134375 6.35105
0.0137500 6.34434
0.0143750 6.33163
0.0150000 6.31978
0.0156250 6.30869
0.0162500 6.29828
0.0168750 6.28849
0.0175000 6.27927
0.0181250 6.27055
0.0187500 6.26230
0.0193750 6.25447
0.0200000 6.24704
0.0206625 6.23955
0.0213250 6.23243
0.0219875 6.22566
0.0226500 6.21920
0.0233125 6.21303
0.0239750 6.20714
0.0246375 6.20149
0.0253000 6.19608
0.0264578 6.18715
0.0276156 6.17881
0.0287734 6.17100
0.0299313 6.16368
0.0310891 6.15679
0.0322469 6.15028
0.0334047 6.14414
0.0345625 6.13832
0.0355274 6.13370
0.0364922 6.12927
0.0374570 6.12502
0.0384219 6.12094
0.0393867 6.11702
0.0403516 6.11324
0.0413164 6.10960
0.0422813 6.10609
0.0442109 6.09944
0.0461406 6.09322
0.0480703 6.08740
0.0500000 6.08193
0.0515625 6.07773
0.0531250 6.07373
0.0546875 6.06991
0.0562500 6.06625
0.0578125 6.06275
0.0593750 6.05939
0.0609375 6.05617
0.0625000 6.05308
