Br-79(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 574.834
1.03125E-05 566.064
1.06250E-05 557.684
1.09375E-05 549.665
1.12500E-05 541.984
1.15625E-05 534.615
1.18750E-05 527.540
1.21875E-05 520.739
1.25000E-05 514.194
1.28125E-05 507.891
1.31250E-05 501.814
1.34375E-05 495.950
1.37500E-05 490.288
1.43750E-05 479.522
1.50000E-05 469.436
1.56250E-05 459.963
1.62500E-05 451.041
1.68750E-05 442.620
1.75000E-05 434.654
1.81250E-05 427.104
1.87500E-05 419.935
1.93750E-05 413.116
2.00000E-05 406.619
2.09375E-05 397.425
2.18750E-05 388.829
2.28125E-05 380.768
2.37500E-05 373.190
2.46875E-05 366.048
2.56250E-05 359.302
2.65625E-05 352.917
2.75000E-05 346.861
2.84375E-05 341.107
2.93750E-05 335.631
3.03125E-05 330.412
3.12500E-05 325.429
3.21875E-05 320.666
3.31250E-05 316.106
3.40625E-05 311.736
3.50000E-05 307.543
3.59375E-05 303.516
3.68750E-05 299.643
3.78125E-05 295.915
3.87500E-05 292.324
3.96875E-05 288.860
4.06250E-05 285.517
4.25000E-05 279.167
4.43750E-05 273.224
4.62500E-05 267.647
4.81250E-05 262.399
5.00000E-05 257.449
5.15625E-05 253.533
5.31250E-05 249.790
5.46875E-05 246.210
5.62500E-05 242.780
5.78125E-05 239.490
5.93750E-05 236.331
6.09375E-05 233.295
6.25000E-05 230.373
6.40625E-05 227.559
6.56250E-05 224.846
6.71875E-05 222.229
6.87500E-05 219.701
7.18750E-05 214.896
7.50000E-05 210.394
7.81250E-05 206.166
8.12500E-05 202.185
8.43750E-05 198.428
8.75000E-05 194.874
9.06250E-05 191.505
9.37500E-05 188.307
9.68750E-05 185.265
0.000100000 182.368
0.000103125 179.603
0.000106250 176.961
0.000109375 174.434
0.000112500 172.013
0.000115625 169.691
0.000118750 167.461
0.000121875 165.318
0.000125000 163.256
0.000128125 161.270
0.000131250 159.356
0.000134375 157.509
0.000137500 155.725
0.000143750 152.335
0.000150000 149.159
0.000156250 146.177
0.000162500 143.368
0.000168750 140.718
0.000175000 138.211
0.000181250 135.836
0.000187500 133.580
0.000193750 131.435
0.000200000 129.392
0.000209375 126.501
0.000218750 123.799
0.000228125 121.265
0.000237500 118.884
0.000246875 116.640
0.000256250 114.521
0.000265625 112.515
0.000275000 110.614
0.000284375 108.807
0.000293750 107.089
0.000303125 105.451
0.000312500 103.887
0.000321875 102.393
0.000331250 100.963
0.000340625 99.5920
0.000350000 98.2773
0.000359375 97.0146
0.000368750 95.8006
0.000378125 94.6322
0.000387500 93.5067
0.000396875 92.4216
0.000406250 91.3744
0.000425000 89.3854
0.000443750 87.5245
0.000462500 85.7786
0.000481250 84.1363
0.000500000 82.5877
0.000515625 81.3626
0.000531250 80.1923
0.000546875 79.0727
0.000562500 78.0004
0.000578125 76.9721
0.000593750 75.9850
0.000609375 75.0362
0.000625000 74.1234
0.000640625 73.2445
0.000656250 72.3972
0.000671875 71.5799
0.000687500 70.7908
0.000718750 69.2909
0.000750000 67.8863
0.000781250 66.5673
0.000812500 65.3256
0.000843750 64.1539
0.000875000 63.0459
0.000906250 61.9960
0.000937500 60.9994
0.000968750 60.0517
0.00100000 59.1490
0.00103125 58.2879
0.00106250 57.4653
0.00109375 56.6784
0.00112500 55.9247
0.00115625 55.2019
0.00118750 54.5080
0.00121875 53.8411
0.00125000 53.1995
0.00128125 52.5816
0.00131250 51.9861
0.00134375 51.4116
0.00137500 50.8568
0.00143750 49.8024
0.00150000 48.8149
0.00156250 47.8876
0.00162500 47.0146
0.00168750 46.1907
0.00175000 45.4116
0.00181250 44.6734
0.00187500 43.9725
0.00193750 43.3060
0.00200000 42.6711
0.00209375 41.7729
0.00218750 40.9333
0.00228125 40.1462
0.00237500 39.4064
0.00246875 38.7093
0.00256250 38.0510
0.00265625 37.4279
0.00275000 36.8372
0.00284375 36.2760
0.00293750 35.7420
0.00303125 35.2330
0.00312500 34.7472
0.00321875 34.2829
0.00331250 33.8385
0.00340625 33.4126
0.00350000 33.0040
0.00359375 32.6116
0.00368750 32.2343
0.00378125 31.8711
0.00387500 31.5213
0.00396875 31.1839
0.00406250 30.8584
0.00425000 30.2400
0.00443750 29.6613
0.00462500 29.1184
0.00481250 28.6075
0.00500000 28.1258
0.00515625 27.7446
0.00531250 27.3804
0.00546875 27.0320
0.00562500 26.6983
0.00578125 26.3782
0.00593750 26.0708
0.00609375 25.7754
0.00625000 25.4912
0.00640625 25.2175
0.00656250 24.9536
0.00671875 24.6990
0.00687500 24.4531
0.00718750 23.9857
0.00750000 23.5479
0.00781250 23.1367
0.00812500 22.7496
0.00843750 22.3841
0.00875000 22.0385
0.00906250 21.7109
0.00937500 21.3999
0.00968750 21.1041
0.0100000 20.8223
0.0103125 20.5535
0.0106250 20.2966
0.0109375 20.0508
0.0112500 19.8153
0.0115625 19.5895
0.0118750 19.3727
0.0121875 19.1643
0.0125000 18.9638
0.0128125 18.7707
0.0131250 18.5845
0.0134375 18.4048
0.0137500 18.2314
0.0143750 17.9016
0.0150000 17.5927
0.0156250 17.3025
0.0162500 17.0292
0.0168750 16.7713
0.0175000 16.5274
0.0181250 16.2962
0.0187500 16.0766
0.0193750 15.8678
0.0200000 15.6688
0.0206625 15.4679
0.0213250 15.2764
0.0219875 15.0937
0.0226500 14.9190
0.0233125 14.7518
0.0239750 14.5917
0.0246375 14.4380
0.0253000 14.2905
0.0264578 14.0460
0.0276156 13.8172
0.0287734 13.6023
0.0299313 13.4001
0.0310891 13.2092
0.0322469 13.0288
0.0334047 12.8578
0.0345625 12.6955
0.0355274 12.5663
0.0364922 12.4423
0.0374570 12.3231
0.0384219 12.2084
0.0393867 12.0980
0.0403516 11.9915
0.0413164 11.8888
0.0422813 11.7897
0.0442109 11.6011
0.0461406 11.4246
0.0480703 11.2588
0.0500000 11.1027
0.0515625 10.9827
0.0531250 10.8681
0.0546875 10.7585
0.0562500 10.6535
0.0578125 10.5527
0.0593750 10.4560
0.0609375 10.3630
0.0625000 10.2736
0.0640625 10.1874
0.0656250 10.1044
0.0671875 10.0243
0.0687500 9.94688
0.0718750 9.79975
0.0750000 9.66188
0.0781250 9.53235
0.0812500 9.41033
0.0843750 9.29515
0.0875000 9.18618
0.0906250 9.08290
0.0937500 8.98483
0.0968750 8.89154
0.100000 8.80266
0.103125 8.71785
0.106250 8.63680
0.109375 8.55926
0.112500 8.48497
0.115625 8.41371
0.118750 8.34528
0.121875 8.27950
0.125000 8.21622
0.128125 8.15527
0.131250 8.09653
0.134375 8.03985
0.137500 7.98511
0.143750 7.88103
0.150000 7.78347
0.156250 7.69178
0.162500 7.60540
0.168750 7.52386
0.175000 7.44672
0.181250 7.37361
0.187500 7.30419
0.193750 7.23817
0.200000 7.17528
0.209375 7.08625
0.218750 7.00295
0.228125 6.92480
0.237500 6.85130
0.246875 6.78201
0.256250 6.71655
0.265625 6.65457
0.275000 6.59578
0.284375 6.53991
0.293750 6.48673
0.303125 6.43602
0.312500 6.38760
0.321875 6.34131
0.331250 6.29698
0.340625 6.25448
0.350000 6.21370
0.359375 6.17451
0.368750 6.13682
0.378125 6.10053
0.387500 6.06558
0.396875 6.03188
0.406250 5.99937
0.425000 5.93755
0.443750 5.87959
0.462500 5.82515
0.500000 5.72568
0.531250 5.65090
0.562500 5.58222
0.593750 5.51897
0.625000 5.46048
0.687500 5.35555
0.750000 5.26384
0.812500 5.18278
0.875000 5.11061
0.937500 5.04563
1.00000 4.98652
1.06250 4.93259
1.12500 4.88311
1.18750 4.83750
1.25000 4.79526
1.37500 4.71933
1.50000 4.65281
1.62500 4.59384
1.75000 4.54119
1.87500 4.49367
2.00000 4.45030
2.18750 4.39205
2.37500 4.34053
2.56250 4.29445
2.75000 4.25296
2.93750 4.21524
3.12500 4.18065
3.31250 4.14884
3.50000 4.11942
3.68750 4.09209
3.87500 4.06661
4.25000 4.02038
4.62500 3.97939
5.00000 3.94272
5.31250 3.91489
5.62500 3.88916
5.93750 3.86530
6.25000 3.84308
6.87500 3.80286
7.50000 3.76735
8.12500 3.73574
8.75000 3.70743
9.37500 3.68195
10.0000 3.65890
10.6250 3.63807
11.5625 3.61070
12.5000 3.58717
13.1250 3.57372
13.7500 3.56196
14.3750 3.55188
15.0000 3.54353
15.6250 3.53697
16.2500 3.53232
16.8750 3.52971
17.5000 3.52935
18.1250 3.53147
18.7500 3.53638
19.3750 3.54448
20.0000 3.55620
20.5804 3.57092
21.1608 3.58997
21.4510 3.60119
21.7412 3.61398
22.0314 3.62805
22.3216 3.64385
22.9020 3.68078
23.1922 3.70254
23.4824 3.72632
23.7726 3.75287
24.0627 3.78174
24.3529 3.81419
24.6431 3.85019
24.9792 3.89680
25.3152 3.94940
25.6512 4.00884
25.9872 4.07615
26.3232 4.15253
26.6592 4.23941
26.9952 4.33854
27.3313 4.45200
27.6367 4.56973
27.9422 4.70375
28.0949 4.77773
28.2477 4.85688
28.4004 4.94168
28.5531 5.03260
28.7059 5.13022
28.8586 5.23516
29.0113 5.34811
29.1641 5.46985
29.3168 5.60117
29.4695 5.74267
29.6223 5.89553
29.7750 6.06180
29.9430 6.26177
30.1110 6.48143
30.2790 6.72325
30.4470 6.99015
30.6151 7.28555
30.7831 7.61349
30.9511 7.97871
31.1191 8.38681
31.2718 8.80071
31.4245 9.26161
31.5773 9.77671
31.7300 10.3545
31.8064 10.6701
31.8828 11.0053
31.9591 11.3619
32.0355 11.7415
32.1119 12.1463
32.1882 12.5784
32.2646 13.0401
32.3409 13.5342
32.4402 14.2296
32.5395 14.9918
32.6388 15.8299
32.7381 16.7552
32.8373 17.7802
32.9366 18.9191
33.0359 20.1886
33.1352 21.6088
33.2192 22.9465
33.3032 24.4271
33.3872 26.0716
33.4292 26.9628
33.4712 27.9046
33.5132 28.9010
33.5552 29.9559
33.5972 31.0739
33.6392 32.2603
33.6812 33.5204
33.7232 34.8606
33.7652 36.2877
33.8072 37.8094
33.8530 39.5873
33.8988 41.5006
33.9447 43.5633
33.9905 45.7914
34.0363 48.2031
34.0821 50.8189
34.1279 53.6624
34.1738 56.7604
34.2158 59.8510
34.2578 63.2084
34.2998 66.8660
34.3418 70.8586
34.3628 72.9948
34.3838 75.2304
34.4048 77.5728
34.4258 80.0287
34.4468 82.6058
34.4678 85.3120
34.4888 88.1562
34.5098 91.1480
34.5308 94.2992
34.5518 97.6183
34.5728 101.119
34.5938 104.815
34.6148 108.721
34.6358 112.853
34.6568 117.229
34.6778 121.870
34.6988 126.796
34.7198 132.032
34.7408 137.605
34.7618 143.544
34.7828 149.884
34.8038 156.660
34.8248 163.915
34.8458 171.696
34.8668 180.059
34.8878 189.056
34.9088 198.758
34.9298 209.242
34.9508 220.595
34.9718 232.918
34.9928 246.325
35.0138 260.949
35.0348 276.942
35.0558 294.479
35.0768 313.767
35.0873 324.140
35.0978 335.042
35.1083 346.508
35.1188 358.579
35.1293 371.294
35.1398 384.698
35.1503 398.840
35.1608 413.770
35.1713 429.545
35.1818 446.224
35.1923 463.886
35.2028 482.568
35.2133 502.358
35.2238 523.333
35.2343 545.575
35.2448 569.171
35.2553 594.213
35.2658 620.797
35.2763 649.052
35.2868 679.029
35.2973 710.865
35.3078 744.671
35.3183 780.563
35.3288 818.659
35.3393 859.079
35.3498 901.939
35.3651 968.915
35.3804 1041.61
35.3957 1120.45
35.4109 1205.61
35.4262 1297.46
35.4415 1396.03
35.4567 1501.47
35.4720 1613.77
35.4825 1694.91
35.4930 1779.14
35.5140 1956.42
35.5350 2144.27
