Os-187(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.718750 6.24445
0.750000 5.93725
0.781250 5.65381
0.812500 5.39166
0.843750 5.14868
0.875000 4.92299
0.906250 4.71296
0.937500 4.51714
0.968750 4.33425
1.00000 4.16317
1.03125 4.00289
1.06250 3.85250
1.09375 3.71119
1.12500 3.57825
1.15625 3.45306
1.18750 3.33558
1.25000 3.11921
1.31250 2.92483
1.37500 2.75010
1.43750 2.59247
1.50000 2.44976
1.56250 2.32016
1.62500 2.20212
1.68750 2.09429
1.75000 1.99555
1.81250 1.90490
1.87500 1.82149
1.93750 1.74458
2.00000 1.67369
2.09375 1.57695
2.18750 1.49023
2.28125 1.41237
2.37500 1.34220
2.46875 1.27875
2.56250 1.22121
2.65625 1.16888
2.75000 1.12115
2.84375 1.07751
2.93750 1.03752
3.03125 1.00078
3.12500 0.966972
3.21875 0.935789
3.31250 0.906977
3.40625 0.880310
3.50000 0.855697
3.68750 0.811492
3.87500 0.773066
4.06250 0.739595
4.25000 0.710316
4.43750 0.684610
4.62500 0.661972
4.81250 0.641985
5.00000 0.624292
5.15625 0.611098
5.31250 0.599230
5.62500 0.578738
5.93750 0.561947
6.25000 0.548303
6.56250 0.537332
6.87500 0.528663
7.18750 0.522008
7.50000 0.517140
7.81250 0.513883
8.12500 0.512099
8.43750 0.511685
8.75000 0.512563
9.06250 0.514680
9.37500 0.518003
9.68750 0.522516
10.0000 0.528222
10.3125 0.535140
10.6250 0.543304
10.9375 0.552767
11.2500 0.563598
11.5625 0.575884
11.8750 0.589736
12.1875 0.605286
12.5000 0.622694
12.8125 0.642151
13.1250 0.663888
13.4375 0.688176
13.7500 0.715344
14.0625 0.745785
14.3750 0.779970
14.6875 0.818474
15.0000 0.861995
15.2344 0.898546
15.4688 0.938301
15.7031 0.982681
15.9375 1.03189
16.1719 1.08668
16.4063 1.14788
16.6406 1.21658
16.8750 1.29399
17.0313 1.35122
17.1875 1.41356
17.3438 1.48166
17.5000 1.55625
17.6660 1.64357
17.8320 1.74042
17.9981 1.84823
18.1641 1.96876
18.3301 2.10405
18.4131 2.17771
18.4961 2.25587
18.5791 2.33945
18.6621 2.42875
18.7451 2.52414
18.8281 2.62618
18.9356 2.76918
19.0430 2.92597
19.1504 3.09844
19.2578 3.28876
19.3652 3.49952
19.4727 3.73377
19.5801 3.99519
19.6338 4.13743
19.6875 4.28819
19.7656 4.52414
19.8438 4.78199
19.9219 5.06463
20.0000 5.37522
20.0548 5.61189
20.1096 5.86584
20.1644 6.13881
20.2192 6.43265
20.2740 6.74965
20.3288 7.09212
20.3836 7.46266
20.4384 7.86438
20.4886 8.26367
20.5388 8.69639
20.5891 9.16635
20.6393 9.67776
20.6895 10.2355
20.7398 10.8453
20.7900 11.5137
20.8402 12.2484
20.8642 12.6253
20.8882 13.0203
20.9122 13.4350
20.9361 13.8706
20.9601 14.3287
20.9721 14.5666
20.9841 14.8106
20.9961 15.0612
21.0081 15.3184
21.0200 15.5825
21.0320 15.8535
21.0417 16.0786
21.0514 16.3084
21.0611 16.5436
21.0708 16.7839
21.0806 17.0298
21.0903 17.2812
21.1000 17.5383
21.1097 17.8014
21.1222 18.1512
21.1348 18.5116
21.1473 18.8833
21.1599 19.2665
21.1713 19.6257
21.1827 19.9953
21.1941 20.3758
21.2055 20.7672
21.2181 21.2117
21.2307 21.6710
21.2432 22.1458
21.2558 22.6369
21.2683 23.1449
21.2809 23.6703
21.2872 23.9401
21.2935 24.2147
21.2997 24.4942
21.3060 24.7782
