Bi-209(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 39.7878
1.03125E-05 39.2103
1.06250E-05 38.6588
1.09375E-05 38.1315
1.12500E-05 37.6268
1.15625E-05 37.1430
1.18750E-05 36.6788
1.21875E-05 36.2329
1.25000E-05 35.8042
1.28125E-05 35.3916
1.31250E-05 34.9941
1.34375E-05 34.6109
1.37500E-05 34.2411
1.43750E-05 33.5388
1.50000E-05 32.8819
1.56250E-05 32.2657
1.62500E-05 31.6864
1.68750E-05 31.1403
1.75000E-05 30.6246
1.81250E-05 30.1365
1.87500E-05 29.6738
1.93750E-05 29.2343
2.00000E-05 28.8162
2.09375E-05 28.2256
2.18750E-05 27.6747
2.28125E-05 27.1593
2.37500E-05 26.6758
2.46875E-05 26.2211
2.56250E-05 25.7926
2.65625E-05 25.3879
2.75000E-05 25.0049
2.84375E-05 24.6418
2.93750E-05 24.2971
3.03125E-05 23.9692
3.12500E-05 23.6568
3.21875E-05 23.3589
3.31250E-05 23.0743
3.40625E-05 22.8022
3.50000E-05 22.5417
3.59375E-05 22.2919
3.68750E-05 22.0523
3.78125E-05 21.8222
3.87500E-05 21.6009
3.96875E-05 21.3880
4.06250E-05 21.1830
4.25000E-05 20.7947
4.43750E-05 20.4329
4.62500E-05 20.0948
4.81250E-05 19.7780
5.00000E-05 19.4804
5.15625E-05 19.2459
5.31250E-05 19.0226
5.46875E-05 18.8097
5.62500E-05 18.6064
5.78125E-05 18.4121
5.93750E-05 18.2262
6.09375E-05 18.0481
6.25000E-05 17.8774
6.40625E-05 17.7134
6.56250E-05 17.5559
6.71875E-05 17.4045
6.87500E-05 17.2587
7.18750E-05 16.9830
7.50000E-05 16.7264
7.81250E-05 16.4870
8.12500E-05 16.2631
8.43750E-05 16.0531
8.75000E-05 15.8558
9.06250E-05 15.6699
9.37500E-05 15.4946
9.68750E-05 15.3289
0.000100000 15.1721
0.000103125 15.0233
0.000106250 14.8821
0.000109375 14.7478
0.000112500 14.6200
0.000115625 14.4981
0.000118750 14.3817
0.000121875 14.2706
0.000125000 14.1643
0.000128125 14.0625
0.000131250 13.9650
0.000134375 13.8714
0.000137500 13.7816
0.000143750 13.6122
0.000150000 13.4554
0.000156250 13.3098
0.000162500 13.1741
0.000168750 13.0475
0.000175000 12.9289
0.000181250 12.8178
0.000187500 12.7134
0.000193750 12.6151
0.000200000 12.5224
0.000209375 12.3928
0.000218750 12.2735
0.000228125 12.1632
0.000237500 12.0609
0.000246875 11.9659
0.000256250 11.8773
0.000265625 11.7946
0.000275000 11.7171
0.000284375 11.6445
0.000293750 11.5762
0.000303125 11.5120
0.000312500 11.4513
0.000321875 11.3940
0.000331250 11.3398
0.000340625 11.2885
0.000350000 11.2397
0.000359375 11.1934
0.000368750 11.1493
0.000378125 11.1074
0.000387500 11.0673
0.000396875 11.0291
0.000406250 10.9926
0.000425000 10.9242
0.000443750 10.8614
0.000462500 10.8035
0.000481250 10.7500
0.000500000 10.7004
0.000515625 10.6617
0.000531250 10.6252
0.000546875 10.5907
0.000562500 10.5581
