Bi-209(n,tot) ENDFB-8.0
0.000578125 10.5272
0.000593750 10.4979
0.000609375 10.4700
0.000625000 10.4435
0.000640625 10.4182
0.000656250 10.3942
0.000671875 10.3712
0.000687500 10.3492
0.000718750 10.3080
0.000750000 10.2702
0.000781250 10.2353
0.000812500 10.2030
0.000843750 10.1730
0.000875000 10.1451
0.000906250 10.1191
0.000937500 10.0947
0.000968750 10.0719
0.00100000 10.0505
0.00103125 10.0303
0.00106250 10.0113
0.00109375 9.99329
0.00112500 9.97628
0.00115625 9.96016
0.00118750 9.94486
0.00121875 9.93032
0.00125000 9.91648
0.00128125 9.90329
0.00131250 9.89071
0.00134375 9.87869
0.00137500 9.86720
0.00143750 9.84567
0.00150000 9.82587
0.00156250 9.80759
0.00162500 9.79066
0.00168750 9.77495
0.00175000 9.76031
0.00181250 9.74664
0.00187500 9.73384
0.00193750 9.72184
0.00200000 9.71056
0.00209375 9.69485
0.00218750 9.68042
0.00228125 9.66714
0.00237500 9.65485
0.00246875 9.64346
0.00256250 9.63286
0.00265625 9.62298
0.00275000 9.61374
0.00284375 9.60508
0.00293750 9.59694
0.00303125 9.58929
0.00312500 9.58207
0.00321875 9.57525
0.00331250 9.56880
0.00340625 9.56268
0.00350000 9.55688
0.00359375 9.55136
0.00368750 9.54611
0.00378125 9.54110
0.00387500 9.53632
0.00396875 9.53176
0.00406250 9.52740
0.00425000 9.51921
0.00443750 9.51168
0.00462500 9.50473
0.00481250 9.49828
0.00500000 9.49230
0.00515625 9.48762
0.00531250 9.48320
0.00546875 9.47902
0.00562500 9.47505
0.00578125 9.47129
0.00593750 9.46771
0.00609375 9.46430
0.00625000 9.46106
0.00640625 9.45796
0.00656250 9.45500
0.00671875 9.45216
0.00687500 9.44945
0.00718750 9.44436
0.00750000 9.43966
0.00781250 9.43531
0.00812500 9.43127
0.00843750 9.42751
0.00875000 9.42400
0.00906250 9.42071
0.00937500 9.41763
0.00968750 9.41473
0.0100000 9.41200
0.0103125 9.40942
0.0106250 9.40698
0.0109375 9.40467
0.0112500 9.40247
0.0115625 9.40039
0.0118750 9.39841
0.0121875 9.39652
0.0125000 9.39471
0.0128125 9.39299
0.0131250 9.39134
0.0134375 9.38977
0.0137500 9.38825
0.0143750 9.38541
0.0150000 9.38278
0.0156250 9.38035
0.0162500 9.37809
0.0168750 9.37597
0.0175000 9.37400
0.0181250 9.37215
0.0187500 9.37041
0.0193750 9.36877
0.0200000 9.36723
0.0206625 9.36568
0.0213250 9.36422
0.0219875 9.36284
0.0226500 9.36154
0.0233125 9.36030
0.0239750 9.35912
0.0246375 9.35800
0.0253000 9.35693
0.0264578 9.35518
0.0276156 9.35355
0.0287734 9.35205
0.0299313 9.35065
0.0310891 9.34934
0.0322469 9.34812
0.0334047 9.34697
0.0345625 9.34589
0.0355274 9.34504
0.0364922 9.34423
0.0374570 9.34345
0.0384219 9.34271
0.0393867 9.34200
0.0403516 9.34132
0.0413164 9.34067
0.0422813 9.34005
0.0442109 9.33887
0.0461406 9.33778
0.0480703 9.33676
0.0500000 9.33582
0.0515625 9.33510
0.0531250 9.33441
0.0546875 9.33377
0.0562500 9.33315
0.0578125 9.33256
0.0593750 9.33200
0.0609375 9.33146
0.0625000 9.33095
0.0640625 9.33046
0.0656250 9.32998
0.0671875 9.32953
0.0687500 9.32910
0.0718750 9.32828
0.0750000 9.32752
0.0781250 9.32681
0.0812500 9.32614
0.0843750 9.32552
0.0875000 9.32494
0.0906250 9.32439
0.0937500 9.32388
0.0968750 9.32339
0.100000 9.32293
0.103125 9.32249
0.106250 9.32207
0.109375 9.32168
0.112500 9.32130
0.115625 9.32094
0.118750 9.32059
0.121875 9.32026
0.125000 9.31995
0.128125 9.31965
0.131250 9.31936
0.134375 9.31908
0.137500 9.31881
0.143750 9.31830
0.150000 9.31783
0.156250 9.31739
0.162500 9.31697
0.168750 9.31659
0.175000 9.31622
0.181250 9.31588
0.187500 9.31555
0.193750 9.31525
0.200000 9.31495
0.209375 9.31454
0.218750 9.31416
0.228125 9.31381
0.237500 9.31347
0.246875 9.31316
0.256250 9.31286
0.265625 9.31259
0.275000 9.31232
0.284375 9.31207
0.293750 9.31184
0.303125 9.31161
0.312500 9.31140
0.321875 9.31120
0.331250 9.31100
0.340625 9.31082
0.350000 9.31064
0.359375 9.31047
0.368750 9.31030
0.387500 9.30999
0.406250 9.30970
0.425000 9.30943
0.443750 9.30918
0.462500 9.30895
0.500000 9.30852
0.531250 9.30819
0.562500 9.30789
0.593750 9.30762
0.625000 9.30737
0.687500 9.30691
0.750000 9.30650
0.812500 9.30614
0.875000 9.30581
0.937500 9.30552
1.00000 9.30524
1.06250 9.30499
1.12500 9.30475
1.18750 9.30453
1.25000 9.30433
1.37500 9.30394
1.50000 9.30360
1.62500 9.30328
1.75000 9.30298
1.87500 9.30270
2.00000 9.30244
2.18750 9.30208
2.37500 9.30173
2.56250 9.30141
2.75000 9.30110
2.93750 9.30081
3.12500 9.30052
3.31250 9.30025
3.50000 9.29998
3.87500 9.29947
4.25000 9.29898
4.62500 9.29851
5.00000 9.29805
5.31250 9.29768
5.62500 9.29731
5.93750 9.29695
6.25000 9.29659
6.87500 9.29589
7.50000 9.29521
8.12500 9.29453
8.75000 9.29386
9.37500 9.29320
10.0000 9.29255
10.6250 9.29190
11.2500 9.29125
11.8750 9.29061
12.5000 9.28997
13.7500 9.28869
15.0000 9.28743
16.2500 9.28616
17.5000 9.28490
18.7500 9.28365
20.0000 9.28239
21.8750 9.28050
23.7500 9.27862
25.6250 9.27673
27.5000 9.27485
29.3750 9.27295
31.2500 9.27106
33.1250 9.26916
35.0000 9.26725
38.7500 9.26342
42.5000 9.25957
46.2500 9.25569
50.0000 9.25179
53.1250 9.24851
56.2500 9.24521
62.5000 9.23856
68.7500 9.23182
75.0000 9.22499
81.2500 9.21807
87.5000 9.21105
93.7500 9.20393
100.000 9.19671
112.500 9.18196
125.000 9.16677
137.500 9.15112
150.000 9.13497
162.500 9.11830
175.000 9.10109
187.500 9.08330
200.000 9.06489
218.750 9.03605
237.500 9.00561
256.250 8.97342
275.000 8.93929
293.750 8.90303
312.500 8.86442
331.250 8.82318
350.000 8.77901
368.750 8.73157
387.500 8.68044
406.250 8.62511
425.000 8.56502
443.750 8.49948
462.500 8.42765
481.250 8.34851
500.000 8.26083
510.465 8.20751
520.929 8.15072
531.394 8.09014
541.859 8.02537
552.324 7.95594
562.788 7.88133
573.253 7.80108
583.718 7.71396
590.113 7.65690
596.508 7.59698
602.903 7.53380
609.298 7.46687
615.693 7.39635
622.088 7.32138
628.483 7.24183
634.878 7.15754
640.692 7.07575
646.506 6.98905
652.319 6.89715
658.133 6.79943
663.947 6.69473
669.761 6.58299
675.574 6.46374
681.388 6.33616
684.586 6.26172
687.783 6.18436
690.981 6.10383
694.178 6.01985
697.376 5.93251
700.573 5.84137
703.771 5.74637
706.968 5.64748
710.166 5.54417
713.363 5.43668
716.561 5.32472
719.758 5.20808
722.956 5.08711
726.154 4.96155
727.752 4.89724
729.351 4.83178
730.950 4.76550
732.549 4.69839
734.438 4.61800
736.328 4.53680
738.217 4.45513
740.106 4.37323
741.996 4.29164
743.885 4.21099
745.775 4.13207
747.664 4.05587
749.118 3.99991
750.571 3.94704
752.025 3.89811
753.478 3.85421
754.931 3.81665
756.385 3.78696
757.838 3.76703
759.292 3.75924
760.600 3.76505
761.908 3.78564
763.216 3.82417
764.524 3.88446
765.178 3.92409
765.832 3.97124
766.486 4.02630
767.140 4.08992
767.794 4.16248
768.448 4.24688
769.102 4.34370
769.756 4.45400
770.556 4.60938
771.355 4.79036
772.155 5.00061
772.954 5.24444
773.753 5.52686
774.153 5.68435
774.553 5.85378
774.952 6.03605
775.352 6.23216
775.752 6.44317
776.152 6.67026
776.769 7.05584
777.387 7.48820
778.005 7.97347
778.622 8.51865
778.931 8.81612
779.240 9.13123
779.549 9.46524
779.858 9.81961
780.167 10.1966
780.475 10.5977
780.784 11.0246
781.093 11.4787
781.493 12.1103
781.893 12.7958
782.292 13.5405
782.692 14.3504
783.092 15.2323
783.491 16.1938
783.891 17.2435
784.291 18.3907
784.690 19.6471
785.090 21.0250
785.490 22.5385
785.889 24.2042
786.289 26.0407
786.689 28.0697
787.089 30.3163
787.288 31.5298
787.488 32.8089
787.688 34.1586
787.888 35.5824
788.088 37.0869
788.288 38.6760
788.487 40.3574
788.687 42.1360
788.887 44.0208
789.087 46.0175
789.287 48.1366
789.487 50.3853
789.687 52.7758
789.886 55.3170
790.086 58.0233
790.286 60.9054
790.486 63.9790
790.686 67.2598
790.940 71.7643
791.194 76.6720
791.449 82.0288
791.703 87.8867
791.958 94.3138
792.212 101.376
792.466 109.158
792.721 117.745
792.920 125.130
793.120 133.132
793.320 141.827
793.520 151.279
793.720 161.581
793.920 172.818
794.120 185.109
794.319 198.561
794.519 213.327
794.719 229.547
794.919 247.415
795.119 267.113
795.319 288.888
795.419 300.624
795.518 312.976
795.618 325.980
795.718 339.677
795.818 354.107
795.918 369.315
796.018 385.363
796.118 402.269
796.218 420.099
796.318 438.906
796.418 458.765
796.518 479.696
796.618 501.774
796.717 525.060
796.817 549.639
796.917 575.521
797.017 602.790
797.117 631.501
797.217 661.707
797.317 693.455
797.417 726.784
797.517 761.725
797.626 801.934
797.736 844.067
797.845 888.177
797.955 934.124
798.174 1031.27
798.393 1134.14
798.831 1347.17
799.050 1449.90
799.160 1498.25
799.269 1543.75
799.452 1611.51
799.543 1640.79
799.635 1666.56
799.726 1688.56
799.817 1706.49
799.909 1720.17
800.000 1729.47
800.146 1735.04
800.265 1731.12
800.384 1719.85
800.502 1701.59
800.621 1676.82
800.740 1646.16
800.859 1610.35
800.977 1570.13
801.096 1526.30
801.334 1430.82
801.571 1329.77
801.808 1227.86
802.046 1128.77
802.173 1077.83
802.300 1028.68
802.426 981.408
802.553 936.208
802.680 893.066
802.807 852.067
802.934 813.131
803.061 776.281
803.188 741.400
803.314 708.472
803.441 677.363
803.568 648.037
803.695 620.358
803.822 594.278
803.949 569.666
804.075 546.475
804.208 523.595
804.341 502.080
804.474 481.824
804.606 462.744
804.739 444.761
804.872 427.802
805.004 411.798
805.137 396.684
805.270 382.402
805.403 368.896
805.535 356.114
805.668 344.009
805.801 332.536
805.933 321.654
806.066 311.325
806.199 301.515
806.464 283.312
806.730 266.824
806.995 251.843
807.260 238.194
807.526 225.725
807.791 214.307
808.057 203.826
808.322 194.182
808.636 183.744
808.949 174.233
809.263 165.541
809.577 157.581
809.890 150.271
810.204 143.542
810.518 137.327
810.831 131.574
811.097 127.030
811.362 122.762
811.628 118.747
811.893 114.965
812.159 111.399
812.424 108.031
812.689 104.848
812.955 101.835
813.220 98.9796
813.486 96.2722
813.751 93.7015
814.016 91.2584
814.547 86.7210
815.078 82.5999
815.609 78.8434
816.140 75.4096
816.671 72.2601
817.201 69.3643
817.732 66.6938
818.263 64.2257
818.794 61.9390
819.325 59.8154
819.759 58.1879
820.193 56.6524
820.628 55.2032
821.062 53.8339
821.496 52.5343
821.931 51.2985
822.365 50.1240
822.799 49.0073
823.234 47.9442
823.668 46.9318
824.537 45.0449
825.405 43.3232
826.274 41.7470
826.805 40.8479
827.335 39.9936
827.866 39.1806
828.397 38.4066
828.928 37.6686
829.459 36.9645
830.520 35.6494
831.582 34.4457
832.644 33.3404
833.706 32.3225
834.767 31.3826
835.925 30.4362
837.084 29.5635
838.242 28.7564
839.400 28.0082
840.558 27.3128
841.716 26.6651
842.874 26.0640
844.032 25.4981
845.094 25.0113
846.156 24.5512
847.218 24.1156
848.279 23.7046
849.341 23.3148
850.402 22.9442
852.526 22.2588
854.649 21.6365
856.772 21.0705
858.896 20.5532
861.019 20.0783
863.142 19.6419
865.266 19.2387
867.389 18.8654
869.512 18.5193
871.636 18.1968
873.759 17.8962
875.882 17.6153
878.006 17.3519
881.287 16.9764
884.569 16.6346
887.850 16.3237
891.132 16.0364
894.413 15.7719
897.695 15.5277
900.976 15.3015
904.258 15.0914
908.504 14.8415
912.751 14.6118
916.998 14.4007
921.244 14.2066
925.491 14.0264
929.737 13.8596
933.984 13.7045
938.231 13.5594
942.863 13.4124
947.496 13.2750
956.762 13.0269
966.027 12.8086
975.292 12.6150
981.469 12.4975
987.646 12.3881
1000.00 12.1906
1008.79 12.0650
1017.58 11.9502
1026.37 11.8443
1035.16 11.7463
1052.74 11.5707
1070.31 11.4177
1091.80 11.2557
1113.28 11.1148
1134.77 10.9907
1156.25 10.8802
1179.69 10.7723
1203.13 10.6751
1226.56 10.5870
1250.00 10.5053
1292.97 10.3710
1335.94 10.2509
1378.91 10.1407
1421.88 10.0376
1484.38 9.89511
1500.00 9.86025
1542.97 9.76476
1585.94 9.66851
1628.91 9.56986
1671.88 9.46709
1710.94 9.36826
1750.00 9.26296
1791.02 9.14272
1832.03 9.01031
1873.05 8.86207
1914.06 8.69340
1935.55 8.59477
1957.03 8.48780
1978.52 8.37127
2000.00 8.24366
2021.17 8.10507
2042.33 7.95207
2063.49 7.78261
2074.08 7.69110
2084.66 7.59431
2097.59 7.46865
2110.52 7.33462
2123.46 7.19211
2136.39 7.04137
2148.74 6.89076
2154.91 6.81373
2161.08 6.73611
2167.26 6.65860
2173.43 6.58207
2179.60 6.50798
2185.77 6.43781
2191.07 6.38294
2196.36 6.33506
2201.65 6.29698
2206.94 6.27250
2213.41 6.26875
2216.64 6.28135
2219.87 6.30651
2223.11 6.34665
2226.34 6.40544
2229.57 6.48680
2232.81 6.59557
2235.31 6.70274
2237.80 6.83379
2240.30 6.99317
2242.80 7.18600
2245.30 7.41877
2247.80 7.69588
2249.05 7.85636
2250.30 8.03252
2251.55 8.22584
2252.79 8.43804
2254.41 8.74399
2256.03 9.08963
2257.65 9.48051
2259.26 9.92283
2260.88 10.4247
2262.49 10.9945
2264.11 11.6434
2264.92 12.0010
2265.73 12.3831
2267.20 13.1478
2267.93 13.5671
2268.67 14.0135
2269.40 14.4891
2270.14 14.9960
2270.87 15.5368
2271.61 16.1134
2272.34 16.7301
2273.08 17.3894
2273.81 18.0948
2274.55 18.8502
2275.28 19.6591
2276.02 20.5247
2276.75 21.4527
2277.49 22.4506
2278.29 23.6404
2279.10 24.9303
2279.91 26.3338
2280.72 27.8589
2281.53 29.5228
2282.34 31.3363
2283.14 33.3183
2283.95 35.4879
2284.76 37.8699
2285.57 40.4832
2286.38 43.3624
2287.19 46.5325
2288.00 50.0383
2288.80 53.9131
2289.61 58.2093
2290.02 60.5323
2290.42 62.9821
2290.82 65.5733
2291.23 68.3019
2291.63 71.1837
2292.04 74.2287
2292.44 77.4476
2292.84 80.8521
2293.25 84.4545
2293.65 88.2680
2294.06 92.3170
2294.46 96.5966
2294.87 101.132
2295.27 105.942
2295.67 111.042
2296.08 116.453
2296.48 122.194
2296.89 128.287
2297.28 134.654
2297.68 141.405
2298.08 148.563
2298.48 156.151
2298.88 164.190
2299.27 172.705
2299.67 181.717
2300.07 191.223
2300.47 201.290
2300.86 211.911
2301.26 223.100
2301.66 234.836
2302.06 247.180
2302.46 260.100
2303.25 287.563
2304.09 318.882
2304.94 351.814
2305.78 385.347
2306.63 418.126
2307.05 433.751
2307.47 448.540
2307.89 462.247
2308.31 474.634
2308.74 485.474
2309.16 494.568
2309.58 501.747
2310.00 506.877
2310.56 510.442
2311.13 510.218
2311.58 507.322
2312.04 502.152
2312.50 494.898
2312.95 485.793
2313.41 475.096
2313.87 463.075
2314.78 436.159
2316.61 377.621
2317.52 348.721
2317.98 334.779
2318.44 321.270
2319.14 301.544
2319.84 283.058
2320.53 265.796
2321.23 249.795
2321.93 234.968
2322.63 221.299
2323.33 208.695
2324.03 197.082
2324.72 186.486
2325.41 176.716
2326.10 167.702
2326.79 159.378
2327.48 151.687
2328.17 144.571
2328.86 137.981
2329.55 131.878
2330.49 124.242
2331.44 117.325
2332.38 111.047
2333.32 105.342
2334.26 100.130
2335.20 95.3518
2336.15 90.9692
2337.09 86.9413
2337.78 84.1907
2338.47 81.5981
2339.85 76.8406
2341.23 72.5863
2342.62 68.7691
2344.00 65.3258
2345.38 62.2128
2346.76 59.3848
2348.14 56.8109
2349.52 54.4577
2350.91 52.3016
2352.29 50.3206
2353.67 48.4971
2355.05 46.8119
2356.43 45.2531
2357.81 43.8060
2359.19 42.4616
2361.46 40.4553
2363.72 38.6666
2365.98 37.0534
2368.24 35.5948
2370.50 34.2723
2372.76 33.0688
2375.02 31.9698
2377.28 30.9634
2380.05 29.8429
2382.81 28.8281
2385.57 27.9054
2388.33 27.0637
2391.10 26.2923
2393.86 25.5841
2399.39 24.3287
2405.42 23.1613
2411.45 22.1623
2417.47 21.2991
2423.50 20.5479
2429.03 19.9395
2434.56 19.3940
2440.08 18.9038
2445.61 18.4627
2451.14 18.0608
2456.66 17.6958
2467.72 17.0549
2478.77 16.5124
2489.82 16.0470
2500.88 15.6433
2511.93 15.2902
2530.01 14.8008
2548.10 14.3941
2566.19 14.0510
2584.28 13.7579
2606.38 13.4541
2628.49 13.1962
2650.59 12.9742
2672.70 12.7813
2696.82 12.5978
2720.93 12.4371
2769.16 12.1687
2813.38 11.9695
2857.59 11.8027
2901.80 11.6607
2946.01 11.5381
2990.23 11.4312
3034.44 11.3366
3078.65 11.2522
3122.86 11.1762
3163.06 11.1134
3203.25 11.0554
3225.36 11.0254
3247.46 10.9967
3258.52 10.9827
3269.57 10.9690
3280.62 10.9556
3291.67 10.9424
3300.72 10.9319
3305.24 10.9267
3309.76 10.9216
3314.28 10.9165
3316.54 10.9140
3318.80 10.9116
3321.07 10.9092
3323.33 10.9069
3325.59 10.9046
3327.85 10.9025
3329.36 10.9012
3330.86 10.9000
3332.37 10.8989
3333.88 10.8981
3335.38 10.8976
3336.14 10.8976
3336.89 10.8978
3337.65 10.8982
3338.40 10.8989
3339.15 10.9001
3339.91 10.9018
3340.47 10.9038
3341.04 10.9065
3341.60 10.9102
3342.17 10.9154
3342.73 10.9230
3343.02 10.9281
3343.30 10.9345
3343.58 10.9428
3343.86 10.9541
3344.00 10.9616
3344.15 10.9710
3344.29 10.9832
3344.43 10.9995
3344.55 11.0193
3344.68 11.0463
3344.81 11.0835
3344.93 11.1348
3344.99 11.1679
3345.06 11.2069
3345.12 11.2529
3345.18 11.3061
3345.24 11.3696
3345.31 11.4441
3345.37 11.5312
3345.43 11.6309
3345.50 11.7486
3345.56 11.8848
3345.62 12.0419
3345.68 12.2223
3345.75 12.4286
3345.81 12.6636
3345.87 12.9299
3345.94 13.2253
3346.00 13.5620
3346.06 13.9381
3346.12 14.3562
3346.19 14.8106
3346.25 15.3181
3346.31 15.8731
3346.38 16.4767
3346.44 17.1186
3346.49 17.6708
3346.54 18.2414
3346.59 18.8405
3346.63 19.4671
3346.68 20.1200
3346.73 20.7974
3346.83 22.2176
3346.93 23.7078
3347.03 25.2428
3347.22 28.3217
3347.31 29.5741
3347.39 30.7482
3347.47 31.8493
3347.55 32.8285
3347.64 33.7170
3347.72 34.4428
3347.77 34.7453
3347.81 34.9933
3347.87 35.2684
3347.92 35.3919
3347.96 35.4666
3348.00 35.4920
3348.04 35.4754
3348.08 35.4081
3348.12 35.2794
3348.18 35.0249
3348.23 34.7591
3348.28 34.4443
3348.36 33.7286
3348.45 32.8649
3348.53 31.9034
3348.61 30.8494
3348.69 29.7121
3348.77 28.5127
3348.96 25.4580
3349.06 23.9364
3349.16 22.4546
3349.25 21.0378
3349.30 20.3534
3349.35 19.7062
3349.40 19.0709
3349.45 18.4747
3349.50 17.8940
3349.54 17.3531
3349.60 16.7681
3349.65 16.2204
3349.71 15.7099
3349.76 15.2361
3349.82 14.7984
3349.87 14.3955
3349.93 14.0263
3349.98 13.6893
3350.04 13.3829
3350.09 13.1054
3350.15 12.8549
3350.20 12.6297
3350.26 12.4279
3350.31 12.2478
3350.37 12.0874
3350.42 11.9476
3350.53 11.7104
3350.64 11.5269
3350.75 11.3864
3350.86 11.2797
3350.97 11.1991
3351.08 11.1386
3351.19 11.0931
3351.30 11.0591
3351.44 11.0278
3351.57 11.0054
3351.71 10.9887
3351.84 10.9760
3351.98 10.9659
3352.11 10.9578
3352.38 10.9452
3352.66 10.9356
3352.93 10.9281
3353.20 10.9218
3353.47 10.9166
3354.01 10.9082
3354.55 10.9019
3355.09 10.8969
3355.63 10.8928
3356.24 10.8891
3356.85 10.8860
3357.46 10.8833
3358.07 10.8811
3359.28 10.8773
3360.50 10.8742
3361.72 10.8715
3362.93 10.8692
3364.15 10.8671
3365.37 10.8651
3367.26 10.8623
3369.15 10.8597
3371.05 10.8573
3372.94 10.8549
3374.84 10.8527
3376.73 10.8504
3380.51 10.8462
3384.30 10.8420
3388.09 10.8379
3391.87 10.8339
3395.66 10.8299
3401.34 10.8241
3407.02 10.8183
3418.38 10.8069
3429.74 10.7958
3441.10 10.7849
3463.82 10.7635
3486.54 10.7427
3521.16 10.7122
3590.40 10.6544
3659.64 10.6003
3798.12 10.5004
3971.22 10.3848
4118.36 10.2891
4191.92 10.2404
4265.49 10.1899
4291.46 10.1715
4317.42 10.1528
4340.14 10.1360
4351.50 10.1274
4362.86 10.1188
4374.22 10.1100
4385.58 10.1012
4396.94 10.0923
4402.62 10.0879
4408.30 10.0834
4412.09 10.0805
4415.87 10.0776
4419.66 10.0747
4423.44 10.0720
4427.23 10.0694
4429.12 10.0682
4431.02 10.0671
4432.91 10.0661
4434.80 10.0653
4436.70 10.0648
4438.59 10.0647
4439.88 10.0649
4441.16 10.0655
4442.45 10.0667
4443.73 10.0687
4445.01 10.0720
4445.66 10.0743
4446.30 10.0773
4446.94 10.0810
4447.58 10.0859
4448.23 10.0924
4448.87 10.1012
4449.38 10.1104
4449.88 10.1226
4450.39 10.1391
4450.64 10.1499
4450.90 10.1629
4451.15 10.1792
4451.41 10.2005
4451.66 10.2299
4451.79 10.2493
4451.91 10.2730
4452.04 10.3030
4452.17 10.3411
4452.29 10.3902
4452.42 10.4533
4452.55 10.5361
4452.67 10.6443
4452.80 10.7853
4452.93 10.9669
4453.02 11.1259
4453.10 11.3154
4453.19 11.5402
4453.28 11.8022
4453.37 12.1130
4453.46 12.4758
4453.55 12.8965
4453.64 13.3754
4453.73 13.9293
4453.81 14.5587
4453.90 15.2687
4453.99 16.0539
4454.08 16.9353
4454.17 17.9062
4454.26 18.9665
4454.35 20.1009
4454.43 21.2742
4454.52 22.5182
4454.60 23.8253
4454.69 25.1694
4454.85 27.9836
4455.02 30.8454
4455.12 32.3907
4455.21 33.8826
4455.30 35.2951
4455.39 36.5884
4455.49 37.7657
4455.58 38.7886
4455.64 39.3917
4455.71 39.8982
4455.80 40.4724
4455.87 40.7812
4455.95 40.9623
4456.00 40.9961
4456.08 40.9259
4456.14 40.7555
4456.22 40.4062
4456.31 39.8049
4456.38 39.2082
4456.45 38.5148
4456.56 37.2596
4456.67 35.8106
4456.76 34.4521
4456.85 33.0221
4457.03 30.0029
4457.21 26.9112
4457.30 25.4061
4457.40 23.9465
4457.49 22.5319
4457.58 21.2053
4457.67 19.9600
4457.76 18.8026
4457.86 17.6811
4457.95 16.6736
4458.05 15.7582
4458.14 14.9514
4458.24 14.2317
4458.33 13.6083
4458.43 13.0615
4458.52 12.5956
4458.62 12.1932
4458.72 11.8552
4458.81 11.5673
4458.91 11.3286
4459.00 11.1276
4459.10 10.9627
4459.19 10.8264
4459.29 10.7141
4459.39 10.6174
4459.49 10.5388
4459.59 10.4748
4459.69 10.4233
4459.79 10.3807
4459.89 10.3460
4460.08 10.2931
4460.28 10.2555
4460.48 10.2280
4460.68 10.2067
4460.88 10.1898
4461.28 10.1639
4461.68 10.1448
4462.08 10.1299
4462.47 10.1181
4463.07 10.1041
4463.67 10.0935
4464.27 10.0851
4464.86 10.0783
4465.46 10.0727
4466.06 10.0680
4467.25 10.0605
4468.45 10.0547
4469.64 10.0502
4470.84 10.0464
4472.03 10.0432
4473.69 10.0395
4475.35 10.0363
4477.01 10.0334
4478.67 10.0309
4480.33 10.0285
4481.99 10.0263
4485.31 10.0222
4488.63 10.0183
4491.95 10.0147
4495.27 10.0111
4498.59 10.0077
4503.90 10.0022
4509.22 9.99683
4514.53 9.99148
4519.84 9.98613
4530.46 9.97538
4541.09 9.96449
4562.33 9.94207
4583.58 9.91866
4592.08 9.90896
4619.70 9.87592
4647.32 9.84015
4674.94 9.80132
4702.56 9.75867
4749.30 9.67508
4772.67 9.62650
4796.04 9.57206
4819.41 9.51029
4842.78 9.43942
4866.15 9.35706
4889.52 9.25973
4912.89 9.14218
4924.58 9.07365
4936.26 8.99700
4947.95 8.91055
4959.63 8.81227
4971.32 8.69949
4983.00 8.56859
4991.50 8.45926
5000.00 8.33549
