Mg-24(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.000656250 6.79100
0.000671875 6.73457
0.000687500 6.68028
0.000718750 6.57763
0.000750000 6.48219
0.000781250 6.39319
0.000812500 6.30999
0.000843750 6.23203
0.000875000 6.15882
0.000906250 6.08992
0.000937500 6.02496
0.000968750 5.96360
0.00100000 5.90555
0.00103125 5.85055
0.00106250 5.79834
0.00109375 5.74873
0.00112500 5.70153
0.00115625 5.65655
0.00118750 5.61364
0.00121875 5.57267
0.00125000 5.53350
0.00128125 5.49602
0.00131250 5.46011
0.00134375 5.42568
0.00137500 5.39265
0.00143750 5.33042
0.00150000 5.27284
0.00156250 5.21940
0.00162500 5.16967
0.00168750 5.12328
0.00175000 5.07990
0.00181250 5.03924
0.00187500 5.00106
0.00193750 4.96515
0.00200000 4.93129
0.00209375 4.88401
0.00218750 4.84049
0.00228125 4.80029
0.00237500 4.76305
0.00246875 4.72846
0.00256250 4.69624
0.00265625 4.66616
0.00275000 4.63801
0.00284375 4.61162
0.00293750 4.58682
0.00303125 4.56348
0.00312500 4.54146
0.00321875 4.52067
0.00331250 4.50100
0.00340625 4.48236
0.00350000 4.46468
0.00359375 4.44788
0.00368750 4.43189
0.00378125 4.41667
0.00387500 4.40215
0.00396875 4.38829
0.00406250 4.37505
0.00425000 4.35025
0.00443750 4.32746
0.00462500 4.30646
0.00481250 4.28704
0.00500000 4.26902
0.00515625 4.25497
0.00531250 4.24172
0.00546875 4.22920
0.00562500 4.21735
0.00578125 4.20612
0.00593750 4.19546
0.00609375 4.18533
0.00625000 4.17569
0.00640625 4.16650
0.00656250 4.15773
0.00671875 4.14936
0.00687500 4.14136
0.00718750 4.12635
0.00750000 4.11256
0.00781250 4.09982
0.00812500 4.08804
0.00843750 4.07709
0.00875000 4.06690
0.00906250 4.05738
0.00937500 4.04847
0.00968750 4.04012
0.0100000 4.03226
0.0103125 4.02487
0.0106250 4.01789
0.0109375 4.01129
0.0112500 4.00505
0.0115625 3.99913
0.0118750 3.99350
0.0121875 3.98816
0.0125000 3.98307
0.0128125 3.97821
0.0131250 3.97358
0.0134375 3.96915
0.0137500 3.96492
0.0143750 3.95697
0.0150000 3.94966
0.0156250 3.94291
0.0162500 3.93665
0.0168750 3.93083
0.0175000 3.92541
0.0181250 3.92035
0.0187500 3.91560
0.0193750 3.91114
0.0200000 3.90695
0.0206625 3.90277
0.0213250 3.89884
0.0219875 3.89513
0.0226500 3.89162
0.0233125 3.88830
0.0239750 3.88516
0.0246375 3.88217
0.0253000 3.87934
0.0264578 3.87470
0.0276156 3.87043
0.0287734 3.86648
0.0299313 3.86282
0.0310891 3.85942
0.0322469 3.85624
0.0334047 3.85327
0.0345625 3.85049
0.0355274 3.84830
0.0364922 3.84622
0.0374570 3.84424
0.0384219 3.84235
0.0393867 3.84055
0.0403516 3.83882
0.0413164 3.83718
0.0422813 3.83560
0.0442109 3.83264
0.0461406 3.82991
0.0480703 3.82738
0.0500000 3.82503
0.0515625 3.82325
0.0531250 3.82157
0.0546875 3.81997
0.0562500 3.81846
0.0578125 3.81702
0.0593750 3.81565
0.0609375 3.81435
