Nd-145(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2113.96
1.03125E-05 2081.68
1.06250E-05 2050.84
1.09375E-05 2021.33
1.12500E-05 1993.06
1.15625E-05 1965.94
1.18750E-05 1939.90
1.21875E-05 1914.87
1.25000E-05 1890.78
1.28125E-05 1867.58
1.31250E-05 1845.21
1.34375E-05 1823.63
1.37500E-05 1802.79
1.43750E-05 1763.16
1.50000E-05 1726.04
1.56250E-05 1691.17
1.62500E-05 1658.32
1.68750E-05 1627.33
1.75000E-05 1598.00
1.81250E-05 1570.21
1.87500E-05 1543.82
1.93750E-05 1518.71
2.00000E-05 1494.79
2.09375E-05 1460.94
2.18750E-05 1429.30
2.28125E-05 1399.62
2.37500E-05 1371.72
2.46875E-05 1345.42
2.56250E-05 1320.58
2.65625E-05 1297.06
2.75000E-05 1274.76
2.84375E-05 1253.58
2.93750E-05 1233.41
3.03125E-05 1214.19
3.12500E-05 1195.83
3.21875E-05 1178.29
3.31250E-05 1161.50
3.40625E-05 1145.40
3.50000E-05 1129.96
3.59375E-05 1115.12
3.68750E-05 1100.85
3.78125E-05 1087.12
3.87500E-05 1073.89
3.96875E-05 1061.13
4.06250E-05 1048.82
4.25000E-05 1025.42
4.43750E-05 1003.52
4.62500E-05 982.969
4.81250E-05 963.630
5.00000E-05 945.389
5.15585E-05 930.991
5.31171E-05 917.231
5.46756E-05 904.063
5.62341E-05 891.447
5.64453E-05 889.778
5.72022E-05 883.872
5.79590E-05 878.082
5.94727E-05 866.836
6.09863E-05 856.011
6.25000E-05 845.581
6.40625E-05 835.206
6.56250E-05 825.203
6.71875E-05 815.551
6.87500E-05 806.230
7.18750E-05 788.508
7.50000E-05 771.906
7.81250E-05 756.310
8.12500E-05 741.623
8.43750E-05 727.760
8.75000E-05 714.646
9.06250E-05 702.216
9.37500E-05 690.413
9.68750E-05 679.186
0.000100000 668.490
0.000103125 658.283
0.000106250 648.530
0.000109375 639.198
0.000112500 630.258
0.000115625 621.683
0.000118750 613.448
0.000121875 605.532
0.000125000 597.915
0.000128125 590.578
0.000131250 583.505
0.000134375 576.680
0.000137500 570.089
0.000143750 557.558
0.000150000 545.819
0.000156250 534.791
0.000162500 524.405
0.000168750 514.602
0.000175000 505.330
0.000181250 496.540
0.000187500 488.194
0.000193750 480.256
0.000200000 472.692
0.000209375 461.988
0.000218750 451.980
0.000228125 442.595
0.000237500 433.771
0.000246875 425.455
0.000256250 417.600
0.000265625 410.164
0.000275000 403.112
0.000284375 396.412
0.000293750 390.034
0.000303125 383.956
0.000312500 378.152
0.000321875 372.604
0.000331250 367.294
0.000340625 362.204
0.000350000 357.320
0.000359375 352.628
0.000368750 348.117
0.000378125 343.774
0.000387500 339.590
0.000396875 335.555
0.000406250 331.660
0.000425000 324.262
0.000443750 317.337
0.000462500 310.838
0.000481250 304.722
0.000500000 298.954
0.000515585 294.401
0.000531171 290.049
0.000546756 285.885
0.000562341 281.896
0.000564453 281.368
0.000572022 279.500
0.000579590 277.669
0.000594727 274.113
0.000609863 270.690
0.000625000 267.391
0.000640625 264.110
0.000656250 260.947
0.000671875 257.895
0.000687500 254.947
0.000718750 249.343
0.000750000 244.093
0.000781250 239.161
0.000812500 234.517
0.000843750 230.133
0.000875000 225.986
0.000906250 222.055
0.000937500 218.322
0.000968750 214.772
0.00100000 211.389
0.00103125 208.162
0.00106250 205.078
0.00109375 202.127
0.00112500 199.299
0.00115625 196.587
0.00118750 193.983
0.00121875 191.480
0.00125000 189.071
0.00128125 186.751
0.00131250 184.514
0.00134375 182.356
0.00137500 180.272
0.00143750 176.309
0.00150000 172.597
0.00156250 169.109
0.00162500 165.825
0.00168750 162.725
0.00175000 159.792
0.00181250 157.013
0.00187500 154.373
0.00193750 151.863
0.00200000 149.471
0.00209375 146.085
0.00218750 142.920
0.00228125 139.952
