Te-125(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 64.8793
1.03125E-05 63.8887
1.06250E-05 62.9422
1.09375E-05 62.0365
1.12500E-05 61.1688
1.15625E-05 60.3365
1.18750E-05 59.5373
1.21875E-05 58.7691
1.25000E-05 58.0298
1.28125E-05 57.3178
1.31250E-05 56.6313
1.34375E-05 55.9689
1.37500E-05 55.3292
1.43750E-05 54.1131
1.50000E-05 52.9737
1.56250E-05 51.9034
1.62500E-05 50.8955
1.68750E-05 49.9441
1.75000E-05 49.0441
1.81250E-05 48.1911
1.87500E-05 47.3811
1.93750E-05 46.6106
2.00000E-05 45.8766
2.09375E-05 44.8377
2.18750E-05 43.8664
2.28125E-05 42.9555
2.37500E-05 42.0992
2.46875E-05 41.2921
2.56250E-05 40.5297
2.65625E-05 39.8081
2.75000E-05 39.1236
2.84375E-05 38.4733
2.93750E-05 37.8544
3.03125E-05 37.2644
3.12500E-05 36.7012
3.21875E-05 36.1628
3.31250E-05 35.6474
3.40625E-05 35.1534
3.50000E-05 34.6794
3.59375E-05 34.2240
3.68750E-05 33.7862
3.78125E-05 33.3647
3.87500E-05 32.9586
3.96875E-05 32.5670
4.06250E-05 32.1891
4.25000E-05 31.4710
4.43750E-05 30.7989
4.62500E-05 30.1682
4.81250E-05 29.5746
5.00000E-05 29.0148
5.15625E-05 28.5718
5.31250E-05 28.1485
5.46875E-05 27.7434
5.62500E-05 27.3554
5.78125E-05 26.9832
5.93750E-05 26.6258
6.09375E-05 26.2822
6.25000E-05 25.9516
6.40625E-05 25.6331
6.56250E-05 25.3261
6.71875E-05 25.0299
6.87500E-05 24.7439
7.18750E-05 24.2000
7.50000E-05 23.6904
7.81250E-05 23.2118
8.12500E-05 22.7610
8.43750E-05 22.3355
8.75000E-05 21.9330
9.06250E-05 21.5516
9.37500E-05 21.1893
9.68750E-05 20.8447
0.000100000 20.5164
0.000103125 20.2032
0.000106250 19.9039
0.000109375 19.6175
0.000112500 19.3431
0.000115625 19.0799
0.000118750 18.8271
0.000121875 18.5842
0.000125000 18.3504
0.000128125 18.1252
0.000131250 17.9082
0.000134375 17.6987
0.000137500 17.4964
0.000143750 17.1118
0.000150000 16.7515
0.000156250 16.4131
0.000162500 16.0943
0.000168750 15.7935
0.000175000 15.5089
0.000181250 15.2391
0.000187500 14.9830
0.000193750 14.7393
0.000200000 14.5072
0.000209375 14.1786
0.000218750 13.8715
0.000228125 13.5834
0.000237500 13.3126
0.000246875 13.0574
0.000256250 12.8163
0.000265625 12.5881
0.000275000 12.3717
0.000284375 12.1660
0.000293750 11.9703
0.000303125 11.7837
0.000312500 11.6056
0.000321875 11.4353
0.000331250 11.2723
0.000340625 11.1161
0.000350000 10.9662
0.000359375 10.8222
0.000368750 10.6838
0.000378125 10.5505
0.000387500 10.4221
0.000396875 10.2982
0.000406250 10.1787
0.000425000 9.95160
0.000443750 9.73907
0.000462500 9.53960
0.000481250 9.35190
0.000500000 9.17486
0.000515625 9.03476
0.000531250 8.90089
