Xe-131(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 1055.83
1.03125E-05 1039.71
1.06250E-05 1024.31
1.09375E-05 1009.57
1.12500E-05 995.450
1.15625E-05 981.906
1.18750E-05 968.900
1.21875E-05 956.397
1.25000E-05 944.367
1.28125E-05 932.779
1.31250E-05 921.608
1.34375E-05 910.828
1.37500E-05 900.418
1.43750E-05 880.627
1.50000E-05 862.085
1.56250E-05 844.667
1.62500E-05 828.265
1.68750E-05 812.782
1.75000E-05 798.136
1.81250E-05 784.254
1.87500E-05 771.072
1.93750E-05 758.534
2.00000E-05 746.588
2.09375E-05 729.682
2.18750E-05 713.874
2.28125E-05 699.052
2.37500E-05 685.116
2.46875E-05 671.981
2.56250E-05 659.574
2.65625E-05 647.830
2.75000E-05 636.692
2.84375E-05 626.109
2.93750E-05 616.037
3.03125E-05 606.436
3.12500E-05 597.270
3.21875E-05 588.508
3.31250E-05 580.120
3.40625E-05 572.081
3.50000E-05 564.367
3.59375E-05 556.957
3.68750E-05 549.832
3.78125E-05 542.973
3.87500E-05 536.364
3.96875E-05 529.992
4.06250E-05 523.841
4.25000E-05 512.155
4.43750E-05 501.218
4.62500E-05 490.953
4.81250E-05 481.294
5.00000E-05 472.184
5.15625E-05 464.974
5.31250E-05 458.085
5.46875E-05 451.494
5.62500E-05 445.179
5.78125E-05 439.122
5.93750E-05 433.305
6.09375E-05 427.714
6.25000E-05 422.334
6.40625E-05 417.152
6.56250E-05 412.156
6.71875E-05 407.335
6.87500E-05 402.680
7.18750E-05 393.829
7.50000E-05 385.536
7.81250E-05 377.747
8.12500E-05 370.411
8.43750E-05 363.487
8.75000E-05 356.937
9.06250E-05 350.729
9.37500E-05 344.834
9.68750E-05 339.227
0.000100000 333.884
0.000103125 328.787
0.000106250 323.916
0.000109375 319.255
0.000112500 314.789
0.000115625 310.506
0.000118750 306.394
0.000121875 302.440
0.000125000 298.635
0.000128125 294.971
0.000131250 291.438
0.000134375 288.030
0.000137500 284.738
0.000143750 278.479
0.000150000 272.616
0.000156250 267.108
0.000162500 261.921
0.000168750 257.025
0.000175000 252.393
0.000181250 248.003
0.000187500 243.835
0.000193750 239.870
0.000200000 236.092
0.000209375 230.746
0.000218750 225.748
0.000228125 221.060
0.000237500 216.653
0.000246875 212.500
0.000256250 208.576
0.000265625 204.863
0.000275000 201.340
0.000284375 197.994
0.000293750 194.809
0.000303125 191.773
0.000312500 188.874
0.000321875 186.103
0.000331250 183.451
0.000340625 180.909
0.000350000 178.469
0.000359375 176.126
0.000368750 173.873
0.000378125 171.704
0.000387500 169.614
0.000396875 167.599
0.000406250 165.654
0.000425000 161.959
0.000443750 158.500
0.000462500 155.254
0.000481250 152.200
0.000500000 149.319
0.000515625 147.039
0.000531250 144.861
0.000546875 142.776
0.000562500 140.779
0.000578125 138.864
0.000593750 137.025
0.000609375 135.256
0.000625000 133.555
0.000640625 131.916
0.000656250 130.336
0.000671875 128.812
0.000687500 127.340
0.000718750 124.541
0.000750000 121.919
0.000781250 119.456
0.000812500 117.136
0.000843750 114.947
0.000875000 112.875
0.000906250 110.912
0.000937500 109.048
0.000968750 107.275
0.00100000 105.586
0.00103125 103.974
0.00106250 102.433
0.00109375 100.959
0.00112500 99.5473
0.00115625 98.1929
0.00118750 96.8924
0.00121875 95.6422
0.00125000 94.4391
0.00128125 93.2804
0.00131250 92.1633
0.00134375 91.0854
0.00137500 90.0445
0.00143750 88.0653
0.00150000 86.2112
0.00156250 84.4695
0.00162500 82.8293
0.00168750 81.2810
0.00175000 79.8165
0.00181250 78.4284
0.00187500 77.1102
0.00193750 75.8564
0.00200000 74.6618
0.00209375 72.9712
0.00218750 71.3905
0.00228125 69.9083
0.00237500 68.5147
0.00246875 67.2013
0.00256250 65.9606
0.00265625 64.7862
0.00275000 63.6724
0.00284375 62.6141
0.00293750 61.6069
0.00303125 60.6468
0.00312500 59.7303
0.00321875 58.8541
0.00331250 58.0153
0.00340625 57.2115
0.00350000 56.4401
0.00359375 55.6992
0.00368750 54.9866
0.00378125 54.3008
0.00387500 53.6400
0.00396875 53.0027
0.00406250 52.3877
0.00425000 51.2192
0.00443750 50.1256
0.00462500 49.0992
0.00481250 48.1334
0.00500000 47.2224
0.00515625 46.5015
0.00531250 45.8127
0.00546875 45.1536
0.00562500 44.5222
0.00578125 43.9166
0.00593750 43.3350
0.00609375 42.7760
0.00625000 42.2380
0.00640625 41.7199
0.00656250 41.2204
0.00671875 40.7384
0.00687500 40.2729
0.00718750 39.3879
0.00750000 38.5588
0.00781250 37.7800
0.00812500 37.0465
0.00843750 36.3542
0.00875000 35.6993
0.00906250 35.0785
0.00937500 34.4890
0.00968750 33.9283
0.0100000 33.3942
0.0103125 32.8844
0.0106250 32.3974
0.0109375 31.9314
0.0112500 31.4849
0.0115625 31.0567
0.0118750 30.6456
0.0121875 30.2504
0.0125000 29.8700
0.0128125 29.5037
0.0131250 29.1506
0.0134375 28.8099
0.0137500 28.4808
0.0143750 27.8552
0.0150000 27.2691
0.0156250 26.7185
0.0162500 26.1999
0.0168750 25.7104
0.0175000 25.2474
0.0181250 24.8085
0.0187500 24.3917
0.0193750 23.9953
0.0200000 23.6176
0.0206625 23.2361
0.0213250 22.8726
0.0219875 22.5256
0.0226500 22.1939
0.0233125 21.8765
0.0239750 21.5724
0.0246375 21.2806
0.0253000 21.0004
0.0264578 20.5362
0.0276156 20.1015
0.0287734 19.6934
0.0299313 19.3093
0.0310891 18.9469
0.0322469 18.6042
0.0334047 18.2795
0.0345625 17.9712
0.0355274 17.7259
0.0364922 17.4903
0.0374570 17.2639
0.0384219 17.0461
0.0393867 16.8363
0.0403516 16.6340
0.0413164 16.4389
0.0422813 16.2505
0.0442109 15.8924
0.0461406 15.5570
0.0480703 15.2421
0.0500000 14.9455
0.0515625 14.7177
0.0531250 14.5001
0.0546875 14.2918
0.0562500 14.0923
0.0578125 13.9010
0.0593750 13.7173
0.0609375 13.5407
0.0625000 13.3708
0.0640625 13.2072
0.0656250 13.0496
0.0671875 12.8974
0.0687500 12.7505
0.0718750 12.4712
0.0750000 12.2095
0.0781250 11.9636
0.0812500 11.7319
0.0843750 11.5133
0.0875000 11.3065
0.0906250 11.1105
0.0937500 10.9244
0.0968750 10.7474
0.100000 10.5788
0.103125 10.4179
0.106250 10.2642
0.109375 10.1172
0.112500 9.97632
0.115625 9.84122
0.118750 9.71150
0.121875 9.58682
0.125000 9.46688
0.128125 9.35139
0.131250 9.24009
0.134375 9.13275
0.137500 9.02911
0.143750 8.83206
0.150000 8.64737
0.156250 8.47382
0.162500 8.31040
0.168750 8.15618
0.175000 8.01033
0.181250 7.87213
0.187500 7.74096
0.193750 7.61627
0.200000 7.49756
0.209375 7.32959
0.218750 7.17246
0.228125 7.02512
0.237500 6.88665
0.246875 6.75619
0.256250 6.63302
0.265625 6.51648
0.275000 6.40599
0.284375 6.30107
0.293750 6.20125
0.303125 6.10615
0.312500 6.01540
0.321875 5.92869
0.331250 5.84572
0.340625 5.76625
0.350000 5.69003
0.359375 5.61685
0.368750 5.54651
0.378125 5.47885
0.387500 5.41372
0.396875 5.35099
0.406250 5.29055
0.425000 5.17574
0.443750 5.06823
0.462500 4.96742
0.500000 4.78379
0.531250 4.64623
0.562500 4.52027
0.593750 4.40469
0.625000 4.29818
0.687500 4.10819
0.750000 3.94350
0.812500 3.79918
0.875000 3.67191
0.937500 3.55848
1.00000 3.45639
1.06250 3.36433
1.12500 3.28091
1.18750 3.20501
1.25000 3.13570
1.37500 3.01396
1.50000 2.91090
1.62500 2.82310
1.75000 2.74821
1.87500 2.68407
2.00000 2.62890
2.18750 2.56121
2.37500 2.50908
2.56250 2.47038
2.75000 2.44386
2.93750 2.42831
3.12500 2.42292
3.31250 2.42752
3.50000 2.44197
