Xe-132(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 241.299
1.03125E-05 237.615
1.06250E-05 234.095
1.09375E-05 230.726
1.12500E-05 227.499
1.15625E-05 224.404
1.18750E-05 221.431
1.21875E-05 218.574
1.25000E-05 215.824
1.28125E-05 213.176
1.31250E-05 210.623
1.34375E-05 208.160
1.37500E-05 205.781
1.43750E-05 201.257
1.50000E-05 197.020
1.56250E-05 193.039
1.62500E-05 189.290
1.68750E-05 185.752
1.75000E-05 182.405
1.81250E-05 179.232
1.87500E-05 176.220
1.93750E-05 173.354
2.00000E-05 170.624
2.09375E-05 166.760
2.18750E-05 163.148
2.28125E-05 159.760
2.37500E-05 156.575
2.46875E-05 153.574
2.56250E-05 150.738
2.65625E-05 148.054
2.75000E-05 145.508
2.84375E-05 143.090
2.93750E-05 140.788
3.03125E-05 138.594
3.12500E-05 136.499
3.21875E-05 134.496
3.31250E-05 132.579
3.40625E-05 130.742
3.50000E-05 128.979
3.59375E-05 127.286
3.68750E-05 125.657
3.78125E-05 124.090
3.87500E-05 122.580
3.96875E-05 121.123
4.06250E-05 119.717
4.25000E-05 117.047
4.43750E-05 114.547
4.62500E-05 112.201
4.81250E-05 109.994
5.00000E-05 107.912
5.15625E-05 106.264
5.31250E-05 104.690
5.46875E-05 103.183
5.62500E-05 101.740
5.78125E-05 100.356
5.93750E-05 99.0263
6.09375E-05 97.7484
6.25000E-05 96.5188
6.40625E-05 95.3345
6.56250E-05 94.1927
6.71875E-05 93.0909
6.87500E-05 92.0270
7.18750E-05 90.0041
7.50000E-05 88.1090
7.81250E-05 86.3288
8.12500E-05 84.6523
8.43750E-05 83.0699
8.75000E-05 81.5729
9.06250E-05 80.1541
9.37500E-05 78.8069
9.68750E-05 77.5253
0.000100000 76.3043
0.000103125 75.1393
0.000106250 74.0260
0.000109375 72.9608
0.000112500 71.9403
0.000115625 70.9614
0.000118750 70.0214
0.000121875 69.1179
0.000125000 68.2484
0.000128125 67.4109
0.000131250 66.6035
0.000134375 65.8245
0.000137500 65.0721
0.000143750 63.6417
0.000150000 62.3017
0.000156250 61.0429
0.000162500 59.8574
0.000168750 58.7384
0.000175000 57.6799
0.000181250 56.6767
0.000187500 55.7240
0.000193750 54.8178
0.000200000 53.9544
0.000209375 52.7326
0.000218750 51.5901
0.000228125 50.5188
0.000237500 49.5116
0.000246875 48.5624
0.000256250 47.6657
0.000265625 46.8169
0.000275000 46.0119
0.000284375 45.2470
0.000293750 44.5191
0.000303125 43.8252
0.000312500 43.1627
0.000321875 42.5294
0.000331250 41.9232
0.000340625 41.3422
0.000350000 40.7847
0.000359375 40.2491
0.000368750 39.7341
0.000378125 39.2384
0.000387500 38.7608
0.000396875 38.3002
0.000406250 37.8556
0.000425000 37.0110
0.000443750 36.2206
0.000462500 35.4787
0.000481250 34.7805
0.000500000 34.1221
0.000515625 33.6010
0.000531250 33.1031
0.000546875 32.6267
0.000562500 32.1703
0.000578125 31.7325
0.000593750 31.3121
0.000609375 30.9080
0.000625000 30.5191
0.000640625 30.1445
0.000656250 29.7834
0.000671875 29.4350
0.000687500 29.0985
0.000718750 28.4588
0.000750000 27.8594
0.000781250 27.2964
0.000812500 26.7662
0.000843750 26.2657
0.000875000 25.7923
0.000906250 25.3436
0.000937500 24.9175
0.000968750 24.5122
0.00100000 24.1260
0.00103125 23.7576
0.00106250 23.4055
0.00109375 23.0686
0.00112500 22.7458
0.00115625 22.4362
0.00118750 22.1389
0.00121875 21.8531
0.00125000 21.5781
0.00128125 21.3133
0.00131250 21.0579
0.00134375 20.8115
0.00137500 20.5735
0.00143750 20.1211
0.00150000 19.6973
0.00156250 19.2991
0.00162500 18.9241
0.00168750 18.5702
0.00175000 18.2354
0.00181250 17.9180
0.00187500 17.6167
0.00193750 17.3300
0.00200000 17.0569
0.00209375 16.6704
0.00218750 16.3090
0.00228125 15.9701
0.00237500 15.6515
0.00246875 15.3512
0.00256250 15.0675
0.00265625 14.7990
0.00275000 14.5443
0.00284375 14.3024
0.00293750 14.0721
0.00303125 13.8525
0.00312500 13.6429
0.00321875 13.4426
0.00331250 13.2508
0.00340625 13.0669
0.00350000 12.8905
0.00359375 12.7211
0.00368750 12.5582
0.00378125 12.4013
0.00387500 12.2502
0.00396875 12.1044
0.00406250 11.9638
0.00425000 11.6965
0.00443750 11.4464
0.00462500 11.2116
0.00481250 10.9907
0.00500000 10.7823
0.00515625 10.6174
0.00531250 10.4599
0.00546875 10.3091
0.00562500 10.1646
0.00578125 10.0261
0.00593750 9.89302
0.00609375 9.76511
0.00625000 9.64203
0.00640625 9.52348
0.00656250 9.40918
0.00671875 9.29890
0.00687500 9.19239
0.00718750 8.98987
0.00750000 8.80014
0.00781250 8.62190
0.00812500 8.45403
0.00843750 8.29556
0.00875000 8.14565
0.00906250 8.00355
0.00937500 7.86861
0.00968750 7.74024
0.0100000 7.61794
0.0103125 7.50123
0.0106250 7.38971
0.0109375 7.28300
0.0112500 7.18076
0.0115625 7.08270
0.0118750 6.98853
0.0121875 6.89801
0.0125000 6.81090
0.0128125 6.72699
0.0131250 6.64609
0.0134375 6.56804
0.0137500 6.49265
0.0143750 6.34930
0.0150000 6.21499
0.0156250 6.08881
0.0162500 5.96995
0.0168750 5.85774
0.0175000 5.75159
0.0181250 5.65096
0.0187500 5.55539
0.0193750 5.46447
0.0200000 5.37784
0.0206625 5.29033
0.0213250 5.20693
0.0219875 5.12731
0.0226500 5.05121
0.0233125 4.97837
0.0239750 4.90856
0.0246375 4.84158
0.0253000 4.77725
0.0264578 4.67066
0.0276156 4.57084
0.0287734 4.47709
0.0299313 4.38883
0.0310891 4.30554
0.0322469 4.22677
0.0334047 4.15212
0.0345625 4.08123
0.0355274 4.02480
0.0364922 3.97062
0.0374570 3.91853
0.0384219 3.86840
0.0393867 3.82011
0.0403516 3.77356
0.0413164 3.72863
0.0422813 3.68525
0.0442109 3.60276
0.0461406 3.52548
0.0480703 3.45288
0.0500000 3.38451
0.0515625 3.33197
0.0531250 3.28175
0.0546875 3.23369
0.0562500 3.18764
0.0578125 3.14345
0.0593750 3.10102
0.0609375 3.06022
0.0625000 3.02096
0.0640625 2.98314
0.0656250 2.94668
0.0671875 2.91149
0.0687500 2.87750
0.0718750 2.81285
0.0750000 2.75224
0.0781250 2.69525
0.0812500 2.64155
0.0843750 2.59083
0.0875000 2.54283
0.0906250 2.49731
0.0937500 2.45407
0.0968750 2.41292
0.100000 2.37370
