Ni-64(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 74.4459
1.03125E-05 73.3093
1.06250E-05 72.2232
1.09375E-05 71.1839
1.12500E-05 70.1883
1.15625E-05 69.2333
1.18750E-05 68.3163
1.21875E-05 67.4347
1.25000E-05 66.5865
1.28125E-05 65.7694
1.31250E-05 64.9817
1.34375E-05 64.2217
1.37500E-05 63.4877
1.43750E-05 62.0922
1.50000E-05 60.7848
1.56250E-05 59.5567
1.62500E-05 58.4002
1.68750E-05 57.3085
1.75000E-05 56.2758
1.81250E-05 55.2971
1.87500E-05 54.3676
1.93750E-05 53.4835
2.00000E-05 52.6412
2.09375E-05 51.4492
2.18750E-05 50.3346
2.28125E-05 49.2895
2.37500E-05 48.3069
2.46875E-05 47.3808
2.56250E-05 46.5060
2.65625E-05 45.6779
2.75000E-05 44.8926
2.84375E-05 44.1464
2.93750E-05 43.4362
3.03125E-05 42.7593
3.12500E-05 42.1130
3.21875E-05 41.4952
3.31250E-05 40.9037
3.40625E-05 40.3369
3.50000E-05 39.7930
3.59375E-05 39.2706
3.68750E-05 38.7681
3.78125E-05 38.2845
3.87500E-05 37.8186
3.96875E-05 37.3692
4.06250E-05 36.9355
4.25000E-05 36.1116
4.43750E-05 35.3404
4.62500E-05 34.6167
4.81250E-05 33.9356
5.00000E-05 33.2932
5.15625E-05 32.7849
5.31250E-05 32.2992
5.46875E-05 31.8344
5.62500E-05 31.3892
5.78125E-05 30.9621
5.93750E-05 30.5520
6.09375E-05 30.1577
6.25000E-05 29.7784
6.40625E-05 29.4130
6.56250E-05 29.0607
6.71875E-05 28.7208
6.87500E-05 28.3926
7.18750E-05 27.7685
7.50000E-05 27.1838
7.81250E-05 26.6346
8.12500E-05 26.1174
8.43750E-05 25.6291
8.75000E-05 25.1673
9.06250E-05 24.7296
9.37500E-05 24.3139
9.68750E-05 23.9186
0.000100000 23.5419
0.000103125 23.1824
0.000106250 22.8390
0.000109375 22.5103
0.000112500 22.1955
0.000115625 21.8935
0.000118750 21.6035
0.000121875 21.3247
0.000125000 21.0565
0.000128125 20.7981
0.000131250 20.5490
0.000134375 20.3087
0.000137500 20.0766
0.000143750 19.6353
0.000150000 19.2219
0.000156250 18.8335
0.000162500 18.4678
0.000168750 18.1226
0.000175000 17.7960
0.000181250 17.4865
0.000187500 17.1926
0.000193750 16.9130
0.000200000 16.6466
0.000209375 16.2697
0.000218750 15.9172
0.000228125 15.5867
0.000237500 15.2760
0.000246875 14.9831
0.000256250 14.7065
0.000265625 14.4446
0.000275000 14.1963
0.000284375 13.9603
0.000293750 13.7358
0.000303125 13.5217
0.000312500 13.3173
0.000321875 13.1219
0.000331250 12.9349
0.000340625 12.7557
0.000350000 12.5837
0.000359375 12.4185
0.000368750 12.2596
0.000378125 12.1066
0.000387500 11.9593
0.000396875 11.8172
0.000406250 11.6801
0.000425000 11.4195
0.000443750 11.1756
0.000462500 10.9468
0.000481250 10.7314
0.000500000 10.5283
0.000515625 10.3675
0.000531250 10.2139
0.000546875 10.0669
0.000562500 9.92614
0.000578125 9.79109
0.000593750 9.66140
0.000609375 9.53673
0.000625000 9.41677
0.000640625 9.30122
0.000656250 9.18982
0.000671875 9.08234
0.000687500 8.97854
0.000718750 8.78118
0.000750000 8.59630
0.000781250 8.42262
0.000812500 8.25906
0.000843750 8.10467
0.000875000 7.95863
0.000906250 7.82021
0.000937500 7.68877
0.000968750 7.56374
0.00100000 7.44462
0.00103125 7.33095
0.00106250 7.22234
0.00109375 7.11842
0.00112500 7.01885
0.00115625 6.92335
0.00118750 6.83165
0.00121875 6.74350
0.00125000 6.65867
0.00128125 6.57697
0.00131250 6.49820
0.00134375 6.42219
0.00137500 6.34879
0.00143750 6.20924
0.00150000 6.07851
0.00156250 5.95570
0.00162500 5.84004
0.00168750 5.73087
0.00175000 5.62760
0.00181250 5.52972
0.00187500 5.43678
0.00193750 5.34837
0.00200000 5.26414
0.00209375 5.14493
0.00218750 5.03348
0.00228125 4.92896
0.00237500 4.83070
0.00246875 4.73809
0.00256250 4.65061
0.00265625 4.56780
0.00275000 4.48926
0.00284375 4.41464
0.00293750 4.34363
0.00303125 4.27593
0.00312500 4.21130
0.00321875 4.14952
0.00331250 4.09037
0.00340625 4.03369
0.00350000 3.97930
0.00359375 3.92705
0.00368750 3.87681
0.00378125 3.82845
0.00387500 3.78185
0.00396875 3.73692
0.00406250 3.69355
0.00425000 3.61115
0.00443750 3.53404
0.00462500 3.46166
0.00481250 3.39356
0.00500000 3.32932
0.00515625 3.27849
0.00531250 3.22991
0.00546875 3.18344
0.00562500 3.13891
0.00578125 3.09620
0.00593750 3.05519
0.00609375 3.01577
0.00625000 2.97783
0.00640625 2.94130
0.00656250 2.90607
0.00671875 2.87208
0.00687500 2.83925
0.00718750 2.77684
0.00750000 2.71838
0.00781250 2.66345
0.00812500 2.61173
0.00843750 2.56291
0.00875000 2.51673
0.00906250 2.47295
0.00937500 2.43139
0.00968750 2.39185
0.0100000 2.35418
0.0103125 2.31823
0.0106250 2.28389
0.0109375 2.25103
0.0112500 2.21954
0.0115625 2.18934
0.0118750 2.16034
0.0121875 2.13247
0.0125000 2.10565
0.0128125 2.07981
0.0131250 2.05490
0.0134375 2.03087
0.0137500 2.00766
0.0143750 1.96353
0.0150000 1.92219
0.0156250 1.88336
0.0162500 1.84678
0.0168750 1.81226
0.0175000 1.77960
0.0181250 1.74865
0.0187500 1.71925
0.0193750 1.69129
0.0200000 1.66465
0.0206625 1.63775
0.0213250 1.61210
0.0219875 1.58763
0.0226500 1.56423
0.0233125 1.54185
0.0239750 1.52039
0.0246375 1.49981
0.0253000 1.48004
0.0264578 1.44730
0.0276156 1.41664
0.0287734 1.38785
0.0299313 1.36075
0.0310891 1.33517
0.0322469 1.31099
0.0334047 1.28808
0.0345625 1.26632
0.0355274 1.24901
0.0364922 1.23239
0.0374570 1.21642
0.0384219 1.20105
0.0393867 1.18624
0.0403516 1.17197
0.0413164 1.15821
0.0422813 1.14491
0.0442109 1.11964
0.0461406 1.09598
0.0480703 1.07375
0.0500000 1.05282
0.0515625 1.03674
0.0531250 1.02138
0.0546875 1.00668
0.0562500 0.992598
0.0578125 0.979093
0.0593750 0.966125
0.0609375 0.953660
0.0625000 0.941667
0.0640625 0.930116
0.0656250 0.918981
0.0671875 0.908236
0.0687500 0.897861
0.0718750 0.878133
0.0750000 0.859648
0.0781250 0.842281
0.0812500 0.825924
0.0843750 0.810481
0.0875000 0.795873
0.0906250 0.782028
0.0937500 0.768880
0.0968750 0.756374
0.100000 0.744459
0.103125 0.733090
0.106250 0.722227
0.109375 0.711833
0.112500 0.701875
0.115625 0.692324
0.118750 0.683154
0.121875 0.674339
0.125000 0.665858
0.128125 0.657691
0.131250 0.649819
0.134375 0.642223
0.137500 0.634889
0.143750 0.620943
0.150000 0.607873
0.156250 0.595592
0.162500 0.584023
0.168750 0.573103
0.175000 0.562774
0.181250 0.552985
0.187500 0.543692
0.193750 0.534855
0.200000 0.526436
0.209375 0.514521
0.218750 0.503377
0.228125 0.492923
0.237500 0.483093
0.246875 0.473829
0.256250 0.465078
0.265625 0.456795
0.275000 0.448939
0.284375 0.441476
0.293750 0.434372
0.303125 0.427601
0.312500 0.421137
