Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0150000 48.2729
0.0156250 47.2979
0.0162500 46.3798
0.0168750 45.5131
0.0175000 44.6932
0.0181250 43.9162
0.0187500 43.1783
0.0193750 42.4764
0.0200000 41.8076
0.0206625 41.1322
0.0213250 40.4885
0.0219875 39.8741
0.0226500 39.2869
0.0233125 38.7249
0.0239750 38.1863
0.0246375 37.6697
0.0253000 37.1735
0.0264578 36.3516
0.0276156 35.5819
0.0287734 34.8593
0.0299313 34.1790
0.0310891 33.5371
0.0322469 32.9301
0.0334047 32.3549
0.0345625 31.8089
0.0355274 31.3744
0.0364922 30.9573
0.0374570 30.5563
0.0384219 30.1706
0.0393867 29.7991
0.0403516 29.4409
0.0413164 29.0954
0.0422813 28.7618
0.0442109 28.1276
0.0461406 27.5337
0.0480703 26.9758
0.0500000 26.4507
0.0515625 26.0472
0.0531250 25.6617
0.0546875 25.2929
0.0562500 24.9395
0.0578125 24.6006
0.0593750 24.2752
0.0609375 23.9625
0.0625000 23.6616
0.0640625 23.3717
0.0656250 23.0923
0.0671875 22.8228
0.0687500 22.5624
0.0718750 22.0675
0.0750000 21.6037
0.0781250 21.1681
0.0812500 20.7577
0.0843750 20.3704
0.0875000 20.0039
0.0906250 19.6566
0.0937500 19.3269
0.0968750 19.0132
0.100000 18.7144
0.103125 18.4292
0.106250 18.1568
0.109375 17.8961
0.112500 17.6464
0.115625 17.4069
0.118750 17.1770
0.121875 16.9560
0.125000 16.7434
0.128125 16.5386
0.131250 16.3412
0.134375 16.1508
0.137500 15.9669
0.143750 15.6173
0.150000 15.2897
0.156250 14.9819
0.162500 14.6919
0.168750 14.4183
0.175000 14.1594
0.181250 13.9142
0.187500 13.6813
0.193750 13.4599
0.200000 13.2490
0.209375 12.9505
0.218750 12.6714
0.228125 12.4096
0.237500 12.1635
0.246875 11.9315
0.256250 11.7124
0.265625 11.5051
0.275000 11.3085
0.284375 11.1217
0.293750 10.9439
0.303125 10.7745
0.312500 10.6128
0.321875 10.4582
0.331250 10.3102
0.340625 10.1684
0.350000 10.0324
0.359375 9.90176
0.368750 9.77615
0.378125 9.65528
0.387500 9.53888
0.396875 9.42670
0.406250 9.31847
0.425000 9.11283
0.443750 8.92023
0.462500 8.73944
0.500000 8.40949
0.531250 8.16176
0.562500 7.93462
0.593750 7.72568
0.625000 7.53270
0.687500 7.18724
0.750000 6.88619
0.812500 6.62082
0.875000 6.38529
0.937500 6.17384
1.00000 5.98203
1.06250 5.80756
1.12500 5.64798
1.18750 5.50131
1.25000 5.36590
1.37500 5.12364
1.50000 4.91271
1.62500 4.72693
1.75000 4.56216
1.87500 4.41439
2.00000 4.28030
2.18750 4.10167
2.37500 3.94525
2.56250 3.80670
2.75000 3.68320
2.93750 3.57202
3.12500 3.47100
3.31250 3.37896
3.50000 3.29466
3.87500 3.14548
4.25000 3.01730
4.62500 2.90574
5.00000 2.80774
5.31250 2.73460
5.62500 2.66790
6.25000 2.55086
6.87500 2.45140
7.50000 2.36576
8.12500 2.29123
8.75000 2.22588
9.37500 2.16806
10.0000 2.11648
10.6250 2.07031
11.2500 2.02879
12.5000 1.95735
13.7500 1.89844
15.0000 1.84945
16.2500 1.80850
17.5000 1.77425
18.7500 1.74559
20.0000 1.72163
21.8750 1.69332
23.7500 1.67276
25.6250 1.65878
27.5000 1.65054
29.3750 1.64738
32.1875 1.65149
35.0000 1.66419
36.8750 1.67777
38.7500 1.69511
40.6250 1.71619
42.5000 1.74100
44.3750 1.76959
46.2500 1.80208
48.1250 1.83859
50.0000 1.87930
51.5625 1.91659
53.1250 1.95714
