Hg-198(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 99.7025
1.03125E-05 98.1802
1.06250E-05 96.7256
1.09375E-05 95.3338
1.12500E-05 94.0004
1.15625E-05 92.7214
1.18750E-05 91.4933
1.21875E-05 90.3127
1.25000E-05 89.1766
1.28125E-05 88.0824
1.31250E-05 87.0275
1.34375E-05 86.0096
1.37500E-05 85.0266
1.43750E-05 83.1577
1.50000E-05 81.4068
1.56250E-05 79.7620
1.62500E-05 78.2131
1.68750E-05 76.7511
1.75000E-05 75.3680
1.81250E-05 74.0572
1.87500E-05 72.8125
1.93750E-05 71.6284
2.00000E-05 70.5004
2.09375E-05 68.9039
2.18750E-05 67.4112
2.28125E-05 66.0116
2.37500E-05 64.6956
2.46875E-05 63.4553
2.56250E-05 62.2837
2.65625E-05 61.1747
2.75000E-05 60.1229
2.84375E-05 59.1236
2.93750E-05 58.1725
3.03125E-05 57.2659
3.12500E-05 56.4003
3.21875E-05 55.5729
3.31250E-05 54.7809
3.40625E-05 54.0217
3.50000E-05 53.2933
3.59375E-05 52.5936
3.68750E-05 51.9207
3.78125E-05 51.2730
3.87500E-05 50.6490
3.96875E-05 50.0472
4.06250E-05 49.4664
4.25000E-05 48.3629
4.43750E-05 47.3301
4.62500E-05 46.3608
4.81250E-05 45.4487
5.00000E-05 44.5884
5.15625E-05 43.9077
5.31250E-05 43.2571
5.46875E-05 42.6347
5.62500E-05 42.0384
5.78125E-05 41.4664
5.93750E-05 40.9172
6.09375E-05 40.3892
6.25000E-05 39.8811
6.40625E-05 39.3918
6.56250E-05 38.9200
6.71875E-05 38.4648
6.87500E-05 38.0252
7.18750E-05 37.1894
7.50000E-05 36.4064
7.81250E-05 35.6708
8.12500E-05 34.9781
8.43750E-05 34.3243
8.75000E-05 33.7058
9.06250E-05 33.1195
9.37500E-05 32.5629
9.68750E-05 32.0334
0.000100000 31.5289
0.000103125 31.0475
0.000106250 30.5875
0.000109375 30.1474
0.000112500 29.7257
0.000115625 29.3213
0.000118750 28.9329
0.000121875 28.5596
0.000125000 28.2003
0.000128125 27.8543
0.000131250 27.5207
0.000134375 27.1988
0.000137500 26.8880
0.000143750 26.2970
0.000150000 25.7433
0.000156250 25.2232
0.000162500 24.7334
0.000168750 24.2710
0.000175000 23.8337
0.000181250 23.4192
0.000187500 23.0256
0.000193750 22.6511
0.000200000 22.2944
0.000209375 21.7896
0.000218750 21.3176
0.000228125 20.8749
0.000237500 20.4588
0.000246875 20.0666
0.000256250 19.6961
0.000265625 19.3454
0.000275000 19.0128
0.000284375 18.6968
0.000293750 18.3960
0.000303125 18.1093
0.000312500 17.8357
0.000321875 17.5740
0.000331250 17.3235
0.000340625 17.0835
0.000350000 16.8531
0.000359375 16.6319
0.000368750 16.4191
0.000378125 16.2143
0.000387500 16.0170
0.000396875 15.8267
0.000406250 15.6430
0.000425000 15.2940
0.000443750 14.9675
0.000462500 14.6609
0.000481250 14.3725
0.000500000 14.1005
0.000515625 13.8852
0.000531250 13.6795
0.000546875 13.4827
0.000562500 13.2941
0.000578125 13.1132
0.000593750 12.9396
0.000609375 12.7726
0.000625000 12.6120
0.000640625 12.4572
0.000656250 12.3080
0.000671875 12.1641
0.000687500 12.0251
0.000718750 11.7608
0.000750000 11.5132
0.000781250 11.2806
0.000812500 11.0616
0.000843750 10.8548
0.000875000 10.6592
0.000906250 10.4739
0.000937500 10.2978
0.000968750 10.1304
0.00100000 9.97089
