Cd-108(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 64.3803
1.03125E-05 63.4051
1.06250E-05 62.4734
1.09375E-05 61.5820
1.12500E-05 60.7281
1.15625E-05 59.9091
1.18750E-05 59.1228
1.21875E-05 58.3671
1.25000E-05 57.6399
1.28125E-05 56.9396
1.31250E-05 56.2645
1.34375E-05 55.6132
1.37500E-05 54.9843
1.43750E-05 53.7889
1.50000E-05 52.6692
1.56250E-05 51.6176
1.62500E-05 50.6275
1.68750E-05 49.6932
1.75000E-05 48.8097
1.81250E-05 47.9724
1.87500E-05 47.1775
1.93750E-05 46.4216
2.00000E-05 45.7016
2.09375E-05 44.6829
2.18750E-05 43.7308
2.28125E-05 42.8383
2.37500E-05 41.9995
2.46875E-05 41.2092
2.56250E-05 40.4630
2.65625E-05 39.7568
2.75000E-05 39.0874
2.84375E-05 38.4515
2.93750E-05 37.8465
3.03125E-05 37.2701
3.12500E-05 36.7199
3.21875E-05 36.1942
3.31250E-05 35.6911
3.40625E-05 35.2091
3.50000E-05 34.7467
3.59375E-05 34.3028
3.68750E-05 33.8760
3.78125E-05 33.4653
3.87500E-05 33.0697
3.96875E-05 32.6884
4.06250E-05 32.3205
4.25000E-05 31.6219
4.43750E-05 30.9685
4.62500E-05 30.3557
4.81250E-05 29.7794
5.00000E-05 29.2362
5.15625E-05 28.8067
5.31250E-05 28.3964
5.46875E-05 28.0041
5.62500E-05 27.6285
5.78125E-05 27.2683
5.93750E-05 26.9227
6.09375E-05 26.5907
6.25000E-05 26.2713
6.40625E-05 25.9639
6.56250E-05 25.6677
6.71875E-05 25.3820
6.87500E-05 25.1063
7.18750E-05 24.5825
7.50000E-05 24.0923
7.81250E-05 23.6324
8.12500E-05 23.1996
8.43750E-05 22.7916
8.75000E-05 22.4060
9.06250E-05 22.0410
9.37500E-05 21.6947
9.68750E-05 21.3656
0.000100000 21.0524
0.000103125 20.7538
0.000106250 20.4688
0.000109375 20.1964
0.000112500 19.9356
0.000115625 19.6858
0.000118750 19.4461
0.000121875 19.2159
0.000125000 18.9947
0.000128125 18.7817
0.000131250 18.5766
0.000134375 18.3789
0.000137500 18.1882
0.000143750 17.8261
0.000150000 17.4874
0.000156250 17.1699
0.000162500 16.8714
0.000168750 16.5901
0.000175000 16.3245
0.000181250 16.0733
0.000187500 15.8351
0.000193750 15.6089
0.000200000 15.3937
0.000209375 15.0898
0.000218750 14.8064
0.000228125 14.5413
0.000237500 14.2926
0.000246875 14.0588
0.000256250 13.8384
0.000265625 13.6302
0.000275000 13.4332
0.000284375 13.2465
0.000293750 13.0691
0.000303125 12.9004
0.000312500 12.7396
0.000321875 12.5862
0.000331250 12.4397
0.000340625 12.2996
0.000350000 12.1653
0.000359375 12.0366
0.000368750 11.9131
0.000378125 11.7943
0.000387500 11.6802
0.000396875 11.5703
0.000406250 11.4644
0.000425000 11.2637
0.000443750 11.0764
0.000462500 10.9013
0.000481250 10.7369
0.000500000 10.5824
0.000515625 10.4604
0.000531250 10.3441
0.000546875 10.2331
0.000562500 10.1270
0.000578125 10.0254
0.000593750 9.92804
0.000609375 9.83466
0.000625000 9.74498
0.000640625 9.65876
0.000656250 9.57581
0.000671875 9.49590
0.000687500 9.41888
0.000718750 9.27282
0.000750000 9.13643
0.000781250 9.00872
0.000812500 8.88882
0.000843750 8.77596
0.000875000 8.66950
0.000906250 8.56887
0.000937500 8.47355
0.000968750 8.38311
0.00100000 8.29713
0.00103125 8.21529
0.00106250 8.13724
0.00109375 8.06273
0.00112500 7.99148
0.00115625 7.92327
0.00118750 7.85789
0.00121875 7.79516
0.00125000 7.73490
0.00128125 7.67696
0.00131250 7.62118
0.00134375 7.56745
0.00137500 7.51564
0.00143750 7.41735
0.00150000 7.32552
0.00156250 7.23948
0.00162500 7.15865
0.00168750 7.08254
0.00175000 7.01069
0.00181250 6.94274
0.00187500 6.87834
0.00193750 6.81720
0.00200000 6.75906
0.00209375 6.67695
0.00218750 6.60036
0.00228125 6.52870
0.00237500 6.46148
0.00246875 6.39824
0.00256250 6.33863
0.00265625 6.28230
0.00275000 6.22897
0.00284375 6.17838
0.00293750 6.13031
0.00303125 6.08455
0.00312500 6.04093
0.00321875 5.99929
0.00331250 5.95948
0.00340625 5.92137
0.00350000 5.88485
0.00359375 5.84980
0.00368750 5.81614
0.00378125 5.78377
0.00387500 5.75262
0.00396875 5.72260
0.00406250 5.69366
0.00425000 5.63875
0.00443750 5.58745
0.00462500 5.53938
0.00481250 5.49421
0.00500000 5.45168
0.00515625 5.41806
0.00531250 5.38596
0.00546875 5.35529
0.00562500 5.32593
0.00578125 5.29780
0.00593750 5.27081
0.00609375 5.24489
0.00625000 5.21997
0.00640625 5.19598
0.00656250 5.17288
0.00671875 5.15060
0.00687500 5.12910
0.00718750 5.08827
0.00750000 5.05006
0.00781250 5.01422
0.00812500 4.98050
0.00843750 4.94871
0.00875000 4.91867
0.00906250 4.89022
0.00937500 4.86323
0.00968750 4.83758
0.0100000 4.81317
0.0103125 4.78989
0.0106250 4.76766
0.0109375 4.74641
0.0112500 4.72607
0.0115625 4.70657
0.0118750 4.68785
0.0121875 4.66987
0.0125000 4.65259
0.0128125 4.63594
0.0131250 4.61991
0.0134375 4.60444
0.0137500 4.58952
0.0143750 4.56116
0.0150000 4.53461
0.0156250 4.50969
0.0162500 4.48625
0.0168750 4.46413
0.0175000 4.44322
0.0181250 4.42342
0.0187500 4.40463
0.0193750 4.38676
0.0200000 4.36975
0.0206625 4.35258
0.0213250 4.33622
0.0219875 4.32061
0.0226500 4.30571
0.0233125 4.29145
0.0239750 4.27779
0.0246375 4.26469
0.0253000 4.25211
0.0264578 4.23129
0.0276156 4.21181
0.0287734 4.19353
0.0299313 4.17633
0.0310891 4.16010
0.0322469 4.14477
0.0334047 4.13025
0.0345625 4.11647
0.0355274 4.10551
0.0364922 4.09498
0.0374570 4.08487
0.0384219 4.07514
0.0393867 4.06578
0.0403516 4.05675
0.0413164 4.04805
0.0422813 4.03964
0.0442109 4.02367
0.0461406 4.00872
0.0480703 3.99468
0.0500000 3.98146
0.0515625 3.97131
0.0531250 3.96162
0.0546875 3.95235
0.0562500 3.94346
0.0578125 3.93494
0.0593750 3.92676
0.0609375 3.91890
0.0625000 3.91134
0.0640625 3.90406
0.0656250 3.89704
0.0671875 3.89027
0.0687500 3.88374
0.0718750 3.87131
0.0750000 3.85966
0.0781250 3.84872
0.0812500 3.83842
0.0843750 3.82869
0.0875000 3.81949
0.0906250 3.81076
0.0937500 3.80248
0.0968750 3.79461
0.100000 3.78710
0.103125 3.77994
0.106250 3.77310
0.109375 3.76655
0.112500 3.76027
0.115625 3.75425
0.118750 3.74847
0.121875 3.74292
0.125000 3.73757
0.128125 3.73242
0.131250 3.72746
0.134375 3.72267
0.137500 3.71805
0.143750 3.70925
0.150000 3.70100
0.156250 3.69325
0.162500 3.68594
0.168750 3.67904
0.175000 3.67251
0.181250 3.66632
0.187500 3.66043
0.193750 3.65484
0.200000 3.64950
0.204688 3.64566
0.209375 3.64196
0.218750 3.63489
0.228125 3.62826
0.237500 3.62202
0.246875 3.61613
0.256250 3.61056
0.265625 3.60529
0.275000 3.60028
0.284375 3.59552
0.293750 3.59099
0.303125 3.58666
0.312500 3.58253
0.321875 3.57857
0.331250 3.57478
0.340625 3.57115
0.350000 3.56766
0.359375 3.56430
0.368750 3.56107
0.378125 3.55796
0.387500 3.55496
0.396875 3.55206
0.406250 3.54927
0.425000 3.54395
0.443750 3.53896
0.462500 3.53426
0.500000 3.52566
0.531250 3.51917
0.562500 3.51321
0.593750 3.50770
0.625000 3.50259
0.687500 3.49340
0.750000 3.48533
0.812500 3.47816
0.875000 3.47175
0.937500 3.46595
1.00000 3.46065
1.06250 3.45579
1.12500 3.45132
1.18750 3.44718
1.25000 3.44333
1.37500 3.43636
1.50000 3.43021
1.62500 3.42471
1.75000 3.41976
1.87500 3.41526
2.00000 3.41113
2.18750 3.40553
2.37500 3.40053
2.56250 3.39600
2.75000 3.39189
2.93750 3.38811
3.12500 3.38462
