Mo-96(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 58.0970
1.03125E-05 57.2204
1.06250E-05 56.3829
1.09375E-05 55.5817
1.12500E-05 54.8142
1.15625E-05 54.0782
1.18750E-05 53.3716
1.21875E-05 52.6925
1.25000E-05 52.0391
1.28125E-05 51.4099
1.31250E-05 50.8034
1.34375E-05 50.2183
1.37500E-05 49.6533
1.43750E-05 48.5795
1.50000E-05 47.5739
1.56250E-05 46.6295
1.62500E-05 45.7405
1.68750E-05 44.9017
1.75000E-05 44.1085
1.81250E-05 43.3569
1.87500E-05 42.6435
1.93750E-05 41.9652
2.00000E-05 41.3191
2.09375E-05 40.4052
2.18750E-05 39.5512
2.28125E-05 38.7508
2.37500E-05 37.9986
2.46875E-05 37.2901
2.56250E-05 36.6212
2.65625E-05 35.9884
2.75000E-05 35.3885
2.84375E-05 34.8189
2.93750E-05 34.2770
3.03125E-05 33.7608
3.12500E-05 33.2682
3.21875E-05 32.7975
3.31250E-05 32.3472
3.40625E-05 31.9158
3.50000E-05 31.5021
3.59375E-05 31.1050
3.68750E-05 30.7232
3.78125E-05 30.3559
3.87500E-05 30.0023
3.96875E-05 29.6614
4.06250E-05 29.3325
4.25000E-05 28.7083
4.43750E-05 28.1246
4.62500E-05 27.5774
4.81250E-05 27.0630
5.00000E-05 26.5783
5.15625E-05 26.1951
5.31250E-05 25.8292
5.46875E-05 25.4795
5.62500E-05 25.1447
5.78125E-05 24.8238
5.93750E-05 24.5160
6.09375E-05 24.2203
6.25000E-05 23.9360
6.40625E-05 23.6624
6.56250E-05 23.3988
6.71875E-05 23.1447
6.87500E-05 22.8996
7.18750E-05 22.4340
7.50000E-05 21.9985
7.81250E-05 21.5902
8.12500E-05 21.2062
8.43750E-05 20.8444
8.75000E-05 20.5026
9.06250E-05 20.1792
9.37500E-05 19.8727
9.68750E-05 19.5815
0.000100000 19.3045
0.000103125 19.0407
0.000106250 18.7889
0.000109375 18.5484
0.000112500 18.3183
0.000115625 18.0980
0.000118750 17.8868
0.000121875 17.6840
0.000125000 17.4892
0.000128125 17.3018
0.000131250 17.1215
0.000134375 16.9477
