69-Tm_n-tot
> 69-Tm-169:1.000000
1.000000e-05 5.26474000e+03
1.031250e-05 5.18438000e+03
1.062500e-05 5.10759000e+03
1.093750e-05 5.03411000e+03
1.125000e-05 4.96372000e+03
1.156250e-05 4.89620000e+03
1.187500e-05 4.83137000e+03
1.218750e-05 4.76905000e+03
1.250000e-05 4.70908000e+03
1.281250e-05 4.65131000e+03
1.312500e-05 4.59562000e+03
1.343750e-05 4.54189000e+03
1.375000e-05 4.49000000e+03
1.437500e-05 4.39134000e+03
1.500000e-05 4.29892000e+03
1.562500e-05 4.21209000e+03
1.625000e-05 4.13033000e+03
1.687500e-05 4.05315000e+03
1.750000e-05 3.98015000e+03
1.812500e-05 3.91096000e+03
1.875000e-05 3.84525000e+03
1.937500e-05 3.78275000e+03
2.000000e-05 3.72321000e+03
2.093750e-05 3.63894000e+03
2.187500e-05 3.56015000e+03
2.281250e-05 3.48627000e+03
2.375000e-05 3.41681000e+03
2.468750e-05 3.35135000e+03
2.562500e-05 3.28951000e+03
2.656250e-05 3.23098000e+03
2.750000e-05 3.17546000e+03
2.843750e-05 3.12272000e+03
2.937500e-05 3.07252000e+03
3.031250e-05 3.02467000e+03
3.125000e-05 2.97899000e+03
3.218750e-05 2.93532000e+03
3.312500e-05 2.89352000e+03
3.406250e-05 2.85346000e+03
3.500000e-05 2.81501000e+03
3.593750e-05 2.77809000e+03
3.687500e-05 2.74258000e+03
3.781250e-05 2.70839000e+03
3.875000e-05 2.67546000e+03
3.968750e-05 2.64370000e+03
4.062500e-05 2.61305000e+03
4.250000e-05 2.55482000e+03
4.437500e-05 2.50032000e+03
4.625000e-05 2.44917000e+03
4.812500e-05 2.40104000e+03
5.000000e-05 2.35565000e+03
5.156250e-05 2.31972000e+03
5.312500e-05 2.28540000e+03
5.468750e-05 2.25256000e+03
5.625000e-05 2.22109000e+03
5.781250e-05 2.19092000e+03
5.937500e-05 2.16194000e+03
6.093750e-05 2.13408000e+03
6.250000e-05 2.10727000e+03
6.406250e-05 2.08146000e+03
6.562500e-05 2.05657000e+03
6.718750e-05 2.03255000e+03
