Sn-117(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 53.8215
1.03125E-05 52.9998
1.06250E-05 52.2146
1.09375E-05 51.4632
1.12500E-05 50.7434
1.15625E-05 50.0530
1.18750E-05 49.3900
1.21875E-05 48.7527
1.25000E-05 48.1394
1.28125E-05 47.5487
1.31250E-05 46.9793
1.34375E-05 46.4298
1.37500E-05 45.8992
1.43750E-05 44.8903
1.50000E-05 43.9451
1.56250E-05 43.0572
1.62500E-05 42.2211
1.68750E-05 41.4318
1.75000E-05 40.6853
1.81250E-05 39.9776
1.87500E-05 39.3057
1.93750E-05 38.6665
2.00000E-05 38.0576
2.09375E-05 37.1958
2.18750E-05 36.3900
2.28125E-05 35.6344
2.37500E-05 34.9240
2.46875E-05 34.2545
2.56250E-05 33.6221
2.65625E-05 33.0234
2.75000E-05 32.4556
2.84375E-05 31.9161
2.93750E-05 31.4027
3.03125E-05 30.9133
3.12500E-05 30.4461
3.21875E-05 29.9994
3.31250E-05 29.5718
3.40625E-05 29.1620
3.50000E-05 28.7688
3.59375E-05 28.3911
3.68750E-05 28.0279
3.78125E-05 27.6782
3.87500E-05 27.3414
3.96875E-05 27.0165
4.06250E-05 26.7030
4.25000E-05 26.1073
4.43750E-05 25.5498
4.62500E-05 25.0265
4.81250E-05 24.5341
5.00000E-05 24.0697
5.15625E-05 23.7022
5.31250E-05 23.3511
5.46875E-05 23.0151
5.62500E-05 22.6932
5.78125E-05 22.3844
5.93750E-05 22.0879
6.09375E-05 21.8029
6.25000E-05 21.5286
6.40625E-05 21.2645
6.56250E-05 21.0098
6.71875E-05 20.7641
6.87500E-05 20.5267
7.18750E-05 20.0756
7.50000E-05 19.6529
7.81250E-05 19.2558
8.12500E-05 18.8819
8.43750E-05 18.5289
8.75000E-05 18.1950
9.06250E-05 17.8786
9.37500E-05 17.5781
9.68750E-05 17.2922
0.000100000 17.0199
0.000103125 16.7600
0.000106250 16.5117
0.000109375 16.2741
0.000112500 16.0465
0.000115625 15.8282
0.000118750 15.6185
0.000121875 15.4170
0.000125000 15.2231
0.000128125 15.0363
0.000131250 14.8562
0.000134375 14.6824
0.000137500 14.5146
0.000143750 14.1956
0.000150000 13.8967
0.000156250 13.6159
0.000162500 13.3515
0.000168750 13.1019
0.000175000 12.8658
0.000181250 12.6421
0.000187500 12.4296
0.000193750 12.2275
0.000200000 12.0349
0.000209375 11.7624
0.000218750 11.5076
0.000228125 11.2686
0.000237500 11.0440
0.000246875 10.8323
0.000256250 10.6323
0.000265625 10.4430
0.000275000 10.2634
0.000284375 10.0928
0.000293750 9.93045
0.000303125 9.77568
0.000312500 9.62793
0.000321875 9.48668
0.000331250 9.35148
0.000340625 9.22189
0.000350000 9.09755
0.000359375 8.97810
0.000368750 8.86324
0.000378125 8.75268
0.000387500 8.64615
0.000396875 8.54342
0.000406250 8.44427
0.000425000 8.25590
0.000443750 8.07960
0.000462500 7.91413
0.000481250 7.75843
0.000500000 7.61158
0.000515625 7.49536
0.000531250 7.38432
0.000546875 7.27807
0.000562500 7.17627
0.000578125 7.07863
0.000593750 6.98488
0.000609375 6.89475
0.000625000 6.80802
0.000640625 6.72449
0.000656250 6.64395
0.000671875 6.56624
0.000687500 6.49120
0.000718750 6.34853
0.000750000 6.21486
0.000781250 6.08930
0.000812500 5.97106
0.000843750 5.85944
0.000875000 5.75386
0.000906250 5.65379
0.000937500 5.55877
0.000968750 5.46838
0.00100000 5.38226
0.00103125 5.30009
0.00106250 5.22157
0.00109375 5.14644
0.00112500 5.07446
0.00115625 5.00542
0.00118750 4.93913
0.00121875 4.87540
0.00125000 4.81407
0.00128125 4.75500
0.00131250 4.69806
0.00134375 4.64311
0.00137500 4.59005
0.00143750 4.48916
0.00150000 4.39465
0.00156250 4.30587
0.00162500 4.22225
0.00168750 4.14333
0.00175000 4.06868
0.00181250 3.99792
0.00187500 3.93072
0.00193750 3.86681
