Hg-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.00593750 6595.15
0.00609375 6510.41
0.00625000 6428.86
0.00640625 6350.29
0.00656250 6274.54
0.00671875 6201.43
0.00687500 6130.82
0.00718750 5996.53
0.00750000 5870.69
0.00781250 5752.43
0.00812500 5641.02
0.00843750 5535.82
0.00875000 5436.27
0.00906250 5341.88
0.00937500 5252.22
0.00968750 5166.91
0.0100000 5085.61
0.0103125 5008.00
0.0106250 4933.82
0.0109375 4862.83
0.0112500 4794.80
0.0115625 4729.52
0.0118750 4666.82
0.0121875 4606.54
0.0125000 4548.51
0.0128125 4492.61
0.0131250 4438.69
0.0134375 4386.65
0.0137500 4336.39
0.0143750 4240.76
0.0150000 4151.12
0.0156250 4066.84
0.0162500 3987.42
0.0168750 3912.40
0.0175000 3841.39
0.0181250 3774.04
0.0187500 3710.04
0.0193750 3649.13
0.0200000 3591.06
0.0206625 3532.37
0.0213250 3476.40
0.0219875 3422.95
0.0226500 3371.83
0.0233125 3322.87
0.0239750 3275.92
0.0246375 3230.86
0.0253000 3187.54
0.0263613 3121.54
0.0274227 3059.33
0.0284840 3000.58
0.0295453 2944.97
0.0306067 2892.23
0.0316680 2842.12
0.0327293 2794.43
0.0337906 2748.96
0.0345625 2717.19
0.0355274 2678.91
0.0364922 2642.12
0.0374570 2606.73
0.0384219 2572.64
0.0393867 2539.77
0.0403516 2508.06
0.0413164 2477.44
0.0422813 2447.85
0.0442109 2391.52
0.0461406 2338.68
0.0480703 2288.96
0.0500000 2242.07
0.0515625 2206.00
0.0531250 2171.48
0.0546875 2138.41
0.0562500 2106.68
0.0578125 2076.21
0.0593750 2046.91
0.0609375 2018.71
0.0625000 1991.54
0.0640625 1965.34
0.0656250 1940.05
0.0671875 1915.62
0.0687500 1892.01
0.0703125 1869.16
0.0718750 1847.04
0.0750000 1804.80
0.0781250 1765.01
0.0812500 1727.43
0.0843750 1691.87
0.0875000 1658.15
0.0906250 1626.12
0.0937500 1595.64
0.0968750 1566.58
0.100000 1538.83
0.103125 1512.30
0.106250 1486.89
0.109375 1462.53
0.112500 1439.14
0.115625 1416.67
0.118750 1395.04
0.121875 1374.21
0.125000 1354.13
0.128125 1334.75
0.131250 1316.03
0.134375 1297.94
0.137500 1280.44
0.140625 1263.49
0.143750 1247.08
0.146875 1231.17
0.150000 1215.75
0.156250 1186.21
0.162500 1158.28
0.168750 1131.82
0.175000 1106.72
0.181250 1082.86
0.187500 1060.13
0.193750 1038.45
0.200000 1017.74
0.204688 1002.79
0.209375 988.333
0.214063 974.326
0.218750 960.750
0.223438 947.583
0.228125 934.807
0.232813 922.406
0.237500 910.359
0.246875 887.244
0.256250 865.322
0.265625 844.507
0.275000 824.714
0.284375 805.862
0.293750 787.880
0.303125 770.701
0.312500 754.269
0.321875 738.531
0.331250 723.440
0.340625 708.952
0.350000 695.031
0.359375 681.639
0.368750 668.745
0.378125 656.320
0.387500 644.336
0.396875 632.768
0.406250 621.594
0.415625 610.792
0.425000 600.343
0.434375 590.229
0.443750 580.432
0.453125 570.938
0.462500 561.733
0.471875 552.809
0.481250 544.160
0.500000 527.633
0.531250 501.989
0.562500 478.477
0.593750 456.887
0.625000 436.985
0.656250 418.578
0.687500 401.501
0.718750 385.614
0.750000 370.796
0.781250 356.944
0.812500 343.966
0.843750 331.783
0.875000 320.326
0.906250 309.532
0.937500 299.348
0.968750 289.724
1.00000 280.616
1.03125 271.988
1.06250 263.838
1.12500 248.700
1.18750 234.944
1.25000 222.432
1.31250 211.009
1.37500 200.548
1.43750 190.938
1.50000 182.085
1.56250 173.909
1.62500 166.341
1.68750 159.319
1.75000 152.790
1.81250 146.708
1.87500 141.032
1.93750 135.725
2.00000 130.766
2.09375 123.892
2.18750 117.616
2.28125 111.880
2.37500 106.622
2.46875 101.788
2.56250 97.3344
2.65625 93.2209
2.75000 89.4130
2.84375 85.8808
2.93750 82.5978
3.03125 79.5406
3.12500 76.6886
3.21875 74.0236
3.31250 71.5293
3.40625 69.1911
3.50000 66.9960
3.59375 64.9324
3.68750 62.9898
3.78125 61.1587
3.87500 59.4306
3.96875 57.7977
4.06250 56.2531
4.15625 54.7903
4.25000 53.4035
4.39063 51.4550
4.53125 49.6489
4.67188 47.9728
4.81250 46.4164
5.00000 44.5024
5.15625 43.0321
5.31250 41.6671
5.46875 40.3964
5.62500 39.2112
5.78125 38.1039
5.93750 37.0676
6.09375 36.0961
6.25000 35.1839
6.40625 34.3262
6.56250 33.5186
6.71875 32.7570
6.87500 32.0380
7.03125 31.3582
7.18750 30.7148
7.34375 30.1051
7.50000 29.5268
7.65625 28.9775
7.81250 28.4553
7.96875 27.9583
8.12500 27.4850
8.28125 27.0336
8.43750 26.6029
8.59375 26.1915
8.75000 25.7993
9.06250 25.0636
9.37500 24.3872
9.68750 23.7643
10.0000 23.1890
10.3125 22.6565
10.6250 22.1622
10.9375 21.7024
11.2500 21.2737
11.5625 20.8732
11.8750 20.4983
12.1875 20.1467
12.5000 19.8163
12.8125 19.5053
13.1250 19.2121
13.4375 18.9353
13.7500 18.6736
14.0625 18.4257
14.3750 18.1906
