Ba-134(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 368.484
1.03125E-05 362.878
1.06250E-05 357.522
1.09375E-05 352.397
1.12500E-05 347.487
1.15625E-05 342.778
1.18750E-05 338.257
1.21875E-05 333.911
1.25000E-05 329.729
1.28125E-05 325.701
1.31250E-05 321.818
1.34375E-05 318.071
1.37500E-05 314.453
1.43750E-05 307.575
1.50000E-05 301.133
1.56250E-05 295.081
1.62500E-05 289.383
1.68750E-05 284.005
1.75000E-05 278.918
1.81250E-05 274.097
1.87500E-05 269.519
1.93750E-05 265.166
2.00000E-05 261.018
2.09375E-05 255.150
2.18750E-05 249.663
2.28125E-05 244.520
2.37500E-05 239.684
2.46875E-05 235.128
2.56250E-05 230.824
2.65625E-05 226.752
2.75000E-05 222.889
2.84375E-05 219.220
2.93750E-05 215.729
3.03125E-05 212.401
3.12500E-05 209.225
3.21875E-05 206.189
3.31250E-05 203.283
3.40625E-05 200.499
3.50000E-05 197.827
3.59375E-05 195.262
3.68750E-05 192.795
3.78125E-05 190.420
3.87500E-05 188.133
3.96875E-05 185.928
4.06250E-05 183.799
4.25000E-05 179.757
4.43750E-05 175.975
4.62500E-05 172.426
4.81250E-05 169.088
5.00000E-05 165.940
5.15625E-05 163.449
5.31250E-05 161.070
5.46875E-05 158.795
5.62500E-05 156.615
5.78125E-05 154.525
5.93750E-05 152.518
6.09375E-05 150.589
6.25000E-05 148.734
6.40625E-05 146.947
6.56250E-05 145.225
6.71875E-05 143.564
6.87500E-05 141.960
7.18750E-05 138.912
7.50000E-05 136.057
7.81250E-05 133.377
8.12500E-05 130.854
8.43750E-05 128.474
8.75000E-05 126.223
9.06250E-05 124.091
9.37500E-05 122.067
9.68750E-05 120.143
0.000100000 118.310
0.000103125 116.562
0.000106250 114.892
0.000109375 113.296
0.000112500 111.766
0.000115625 110.300
0.000118750 108.893
0.000121875 107.541
0.000125000 106.240
0.000128125 104.988
0.000131250 103.781
0.000134375 102.617
0.000137500 101.493
0.000143750 99.3578
0.000150000 97.3590
0.000156250 95.4827
0.000162500 93.7170
0.000168750 92.0515
0.000175000 90.4772
0.000181250 88.9861
0.000187500 87.5712
0.000193750 86.2262
0.000200000 84.9456
0.000209375 83.1347
0.000218750 81.4432
0.000228125 79.8586
0.000237500 78.3701
0.000246875 76.9684
0.000256250 75.6455
0.000265625 74.3944
0.000275000 73.2088
0.000284375 72.0833
0.000293750 71.0129
0.000303125 69.9933
0.000312500 69.0208
0.000321875 68.0917
0.000331250 67.2030
0.000340625 66.3518
0.000350000 65.5357
0.000359375 64.7522
0.000368750 63.9993
0.000378125 63.2750
0.000387500 62.5777
0.000396875 61.9056
0.000406250 61.2573
0.000425000 60.0268
0.000443750 58.8764
0.000462500 57.7979
0.000481250 56.7842
0.000500000 55.8289
0.000515625 55.0737
0.000531250 54.3527
0.000546875 53.6633
0.000562500 53.0033
0.000578125 52.3707
0.000593750 51.7636
0.000609375 51.1805
0.000625000 50.6197
0.000640625 50.0799
0.000656250 49.5599
0.000671875 49.0584
0.000687500 48.5743
0.000718750 47.6548
0.000750000 46.7943
0.000781250 45.9868
0.000812500 45.2271
0.000843750 44.5106
0.000875000 43.8334
0.000906250 43.1922
0.000937500 42.5837
0.000968750 42.0054
0.00100000 41.4547
0.00103125 40.9297
0.00106250 40.4284
0.00109375 39.9489
0.00112500 39.4899
0.00115625 39.0499
0.00118750 38.6276
0.00121875 38.2219
0.00125000 37.8317
0.00128125 37.4560
0.00131250 37.0940
0.00134375 36.7449
0.00137500 36.4079
0.00143750 35.7676
0.00150000 35.1682
0.00156250 34.6056
0.00162500 34.0761
0.00168750 33.5767
0.00175000 33.1046
0.00181250 32.6574
0.00187500 32.2329
0.00193750 31.8295
0.00200000 31.4452
0.00209375 30.9018
0.00218750 30.3941
0.00228125 29.9183
0.00237500 29.4713
0.00246875 29.0502
0.00256250 28.6526
0.00265625 28.2765
0.00275000 27.9199
0.00284375 27.5813
0.00293750 27.2592
0.00303125 26.9523
0.00312500 26.6594
0.00321875 26.3795
0.00331250 26.1117
0.00340625 25.8551
0.00350000 25.6090
0.00359375 25.3726
0.00368750 25.1454
0.00378125 24.9268
0.00387500 24.7162
0.00396875 24.5131
0.00406250 24.3172
0.00425000 23.9452
0.00443750 23.5971
0.00462500 23.2706
0.00481250 22.9635
0.00500000 22.6740
0.00515625 22.4450
0.00531250 22.2262
0.00546875 22.0169
0.00562500 21.8165
0.00578125 21.6242
0.00593750 21.4397
0.00609375 21.2624
0.00625000 21.0918
0.00640625 20.9275
0.00656250 20.7691
0.00671875 20.6164
0.00687500 20.4689
0.00718750 20.1886
0.00750000 19.9260
0.00781250 19.6795
0.00812500 19.4474
0.00843750 19.2283
0.00875000 19.0212
0.00906250 18.8249
0.00937500 18.6386
0.00968750 18.4614
0.0100000 18.2926
0.0103125 18.1316
0.0106250 17.9778
0.0109375 17.8306
0.0112500 17.6897
0.0115625 17.5545
0.0118750 17.4247
0.0121875 17.3000
0.0125000 17.1800
0.0128125 17.0645
0.0131250 16.9531
0.0134375 16.8457
0.0137500 16.7419
0.0143750 16.5447
