Ni-61(n,g) ENDFB-8.0
Energy(eV) XS(b)
6.25000 0.158795
6.87500 0.151323
7.50000 0.144803
8.12500 0.139049
8.75000 0.133926
9.37500 0.129323
10.0000 0.125149
10.6250 0.121348
11.2500 0.117866
11.8750 0.114662
12.5000 0.111700
13.7500 0.106390
15.0000 0.101754
16.2500 0.0976602
17.5000 0.0940132
18.7500 0.0907343
20.0000 0.0877604
21.8750 0.0837834
23.7500 0.0802839
25.6250 0.0771717
27.5000 0.0743819
29.3750 0.0718603
31.2500 0.0695642
33.1250 0.0674633
35.0000 0.0655312
36.8750 0.0637461
38.7500 0.0620903
42.5000 0.0591083
46.2500 0.0564906
50.0000 0.0541687
53.1250 0.0524212
56.2500 0.0508176
59.3750 0.0493397
62.5000 0.0479716
68.7500 0.0455148
75.0000 0.0433647
81.2500 0.0414618
87.5000 0.0397621
93.7500 0.0382310
100.000 0.0368412
106.250 0.0355727
112.500 0.0344085
118.750 0.0333349
125.000 0.0323407
137.500 0.0305541
150.000 0.0289898
162.500 0.0276050
175.000 0.0263681
187.500 0.0252542
200.000 0.0242436
218.750 0.0228907
237.500 0.0216991
256.250 0.0206395
275.000 0.0196900
293.750 0.0188330
312.500 0.0180549
331.250 0.0173449
350.000 0.0166941
368.750 0.0160952
387.500 0.0155423
406.250 0.0150302
425.000 0.0145546
443.750 0.0141118
462.500 0.0136988
500.000 0.0129514
531.250 0.0123986
562.500 0.0119007
593.750 0.0114515
625.000 0.0110460
656.250 0.0106802
687.500 0.0103509
718.750 0.0100558
750.000 0.00979347
781.250 0.00956308
812.500 0.00936471
843.750 0.00919943
875.000 0.00906956
906.250 0.00897902
937.500 0.00893404
968.750 0.00894397
984.375 0.00897380
1000.00 0.00902373
1017.92 0.00911249
1035.84 0.00923781
1044.80 0.00930782
1053.76 0.00939710
1071.68 0.00961978
1089.60 0.00990836
1098.56 0.0100847
1107.52 0.0102894
1116.48 0.0105229
1125.44 0.0107888
1134.40 0.0110917
1143.36 0.0114393
1151.63 0.0118164
1159.90 0.0122353
1168.18 0.0127270
1176.45 0.0132914
1184.72 0.0139516
1188.85 0.0143198
1192.99 0.0147176
1197.12 0.0151526
1201.26 0.0156255
1205.39 0.0161365
1209.53 0.0166930
1213.67 0.0173068
1217.80 0.0179799
1221.94 0.0187138
1226.07 0.0195174
1229.86 0.0203318
1233.65 0.0212290
1237.44 0.0222173
1241.24 0.0233096
1245.03 0.0245196
1248.82 0.0258660
1252.61 0.0273688
1256.40 0.0290520
1260.02 0.0308570
1263.64 0.0328852
1265.45 0.0339955
1267.25 0.0351757
1269.06 0.0364346
1270.87 0.0377762
1272.68 0.0392099
1274.49 0.0407447
1276.30 0.0423872
1278.11 0.0441496
1279.92 0.0460476
1281.73 0.0480869
1283.54 0.0502795
1285.35 0.0526409
1287.24 0.0553420
1289.14 0.0582852
1291.03 0.0615019
1292.93 0.0650231
1294.82 0.0688924
1296.72 0.0731525
1298.61 0.0778603
1300.51 0.0830804
1302.41 0.0888931
1304.30 0.0953841
1305.25 0.0989207
1306.20 0.102671
1307.14 0.106653
1308.09 0.110880
1309.04 0.115384
1309.99 0.120184
1310.94 0.125306
1311.88 0.130774
1312.83 0.136633
1313.78 0.142905
1314.73 0.149646
1315.67 0.156883
1316.71 0.165408
1317.74 0.174667
1318.77 0.184773
1319.81 0.195829
1320.84 0.207945
1321.88 0.221256
1322.91 0.235925
1323.94 0.252126
1324.89 0.268547
1325.84 0.286665
1326.79 0.306721
1327.73 0.328978
1328.21 0.341056
1328.68 0.353824
1329.16 0.367335
1329.63 0.381647
1330.10 0.396827
1330.58 0.412944
1331.05 0.430078
1331.53 0.448277
1332.22 0.476999
1332.90 0.508557
1333.59 0.543379
1334.28 0.581922
1334.97 0.624808
1335.32 0.648070
1335.66 0.672602
1336.01 0.698654
1336.35 0.726191
1336.70 0.755500
1337.04 0.786550
1337.51 0.832606
1337.99 0.882871
1338.46 0.937873
1338.94 0.998226
1339.41 1.06465
1339.88 1.13799
1340.36 1.21925
1340.83 1.30940
1341.07 1.35842
1341.30 1.41026
1341.54 1.46514
1341.78 1.52333
1342.02 1.58507
1342.25 1.65068
1342.49 1.72048
1342.73 1.79451
1342.96 1.87381
1343.20 1.95852
1343.44 2.04915
1343.67 2.14626
1343.91 2.25051
1344.15 2.36261
1344.38 2.48338
1344.62 2.61319
1344.86 2.75420
1345.09 2.90708
1345.33 3.07324
1345.57 3.25427
1345.81 3.45202
1346.04 3.66866
1346.28 3.90668
1346.52 4.16904
1346.75 4.45922
1346.99 4.78135
1347.11 4.95668
1347.23 5.14041
1347.35 5.33644
1347.46 5.54234
1347.58 5.76254
1347.70 5.99439
1347.82 6.24298
1347.94 6.50542
1348.06 6.78760
1348.18 7.08637
1348.29 7.40860
1348.41 7.75085
1348.51 8.05072
1348.61 8.36875
1348.70 8.70647
1348.80 9.06552
1348.90 9.44776
1348.99 9.85521
1349.09 10.2901
1349.19 10.7499
1349.28 11.2470
1349.38 11.7797
1349.48 12.3514
1349.58 12.9656
1349.67 13.6263
1349.77 14.3381
1349.87 15.1055
1349.96 15.9251
1350.08 17.0322
1350.20 18.2401
1350.32 19.5815
1350.44 21.0470
1350.56 22.6755
1350.67 24.4541
1350.79 26.4282
1350.91 28.5797
1351.03 30.9599
1351.15 33.5429
1351.27 36.3849
1351.38 39.4486
1351.50 42.7934
1351.62 46.3663
1351.74 50.1934
1351.86 54.2676
1351.98 58.6132
1352.09 63.1365
1352.21 67.8855
1352.33 72.7438
1352.80 92.6958
1352.92 97.3594
1353.03 101.815
1353.15 105.992
1353.26 109.821
1353.38 113.235
1353.49 116.172
1353.61 118.578
1353.72 120.393
1353.86 121.787
1354.00 122.245
1354.04 122.213
1354.14 121.726
1354.25 120.677
1354.36 119.065
1354.47 116.948
1354.58 114.323
1354.69 111.282
1354.80 107.819
1354.90 104.052
1355.01 100.123
1355.11 95.9855
1355.32 87.3378
1355.74 69.7358
1355.85 65.3283
1355.96 61.1034
1356.07 57.0080
1356.17 53.1366
1356.28 49.4314
1356.39 45.9694
1356.50 42.7201
1356.61 39.6842
1356.72 36.8339
1356.82 34.2161
1356.93 31.7962
1357.04 29.5651
1357.15 27.4944
1357.26 25.6110
1357.37 23.8838
1357.47 22.3012
1357.55 21.2287
1357.63 20.2232
1357.71 19.2806
1357.79 18.4076
1357.87 17.5782
1357.95 16.8000
1358.03 16.0698
1358.10 15.3925
1358.18 14.7477
1358.26 14.1416
1358.34 13.5713
1358.42 13.0410
1358.50 12.5348
1358.58 12.0573
1358.66 11.6067
1358.73 11.1863
1358.84 10.6364
1358.95 10.1311
1359.06 9.66147
1359.17 9.22436
1359.28 8.81318
1359.38 8.43286
1359.49 8.07717
1359.60 7.74400
1359.71 7.42869
1359.82 7.13530
1359.92 6.85934
1360.03 6.59944
1360.14 6.35435
1360.25 6.12296
1360.46 5.69728
1360.68 5.31365
1360.90 4.96822
1361.12 4.65599
1361.33 4.37405
1361.55 4.11625
1361.76 3.88199
1361.98 3.66653
1362.20 3.46966
1362.40 3.29572
1362.61 3.13472
1362.82 2.98538
1363.02 2.84724
1363.23 2.71798
1363.44 2.59799
1363.64 2.48532
1363.85 2.38039
1364.06 2.28158
1364.26 2.18928
1364.47 2.10211
1364.68 2.02049
1364.88 1.94321
1365.09 1.87067
1365.30 1.80183
1365.50 1.73707
1365.72 1.67259
1365.94 1.61194
1366.37 1.49999
1366.80 1.39942
1367.23 1.30873
1367.67 1.22666
1368.10 1.15215
1368.53 1.08430
1368.97 1.02233
1369.28 0.980571
1369.60 0.941352
1369.91 0.904474
1370.23 0.869755
1370.54 0.837027
1370.86 0.806138
1371.17 0.776949
1371.49 0.749420
1372.12 0.698455
1372.75 0.652553
1373.38 0.611069
1374.00 0.573519
1374.44 0.549671
1374.87 0.527301
1375.30 0.506290
1375.74 0.486528
1376.17 0.467920
1376.60 0.450376
1377.04 0.433817
1377.47 0.418171
1378.33 0.389356
1379.20 0.363472
1380.07 0.340133
1380.93 0.319016
1381.80 0.299847
1382.66 0.282393
1383.53 0.266454
1384.40 0.251861
1385.26 0.238467
1386.13 0.226145
1386.99 0.214793
1387.86 0.204326
1388.73 0.194620
1389.59 0.185601
1390.46 0.177206
1391.32 0.169385
1392.19 0.162090
1393.06 0.155275
1393.92 0.148898
1394.79 0.142923
1395.65 0.137317
1396.52 0.132050
1397.39 0.127095
1398.25 0.122427
1399.12 0.118026
1399.98 0.113870
1401.72 0.106227
1402.98 0.101167
1404.23 0.0964870
1405.49 0.0921418
1406.75 0.0881065
1408.01 0.0843466
1409.27 0.0808430
1410.53 0.0775676
1411.79 0.0745059
1413.37 0.0709457
1414.94 0.0676591
1416.52 0.0646164
1418.09 0.0618076
1419.82 0.0589459
1421.55 0.0562868
1423.29 0.0538220
1425.02 0.0515357
1426.75 0.0494098
1428.48 0.0474291
1430.21 0.0455819
1431.94 0.0438570
1433.68 0.0422410
1435.41 0.0407269
1437.14 0.0393062
1438.87 0.0379705
1442.34 0.0355300
1445.80 0.0333588
1448.95 0.0315860
1452.10 0.0299797
1455.25 0.0285196
1458.40 0.0271884
1461.54 0.0259714
1464.69 0.0248557
1467.84 0.0238303
1470.99 0.0228895
1474.45 0.0219418
1477.92 0.0210632
1481.38 0.0202499
1484.85 0.0195062
1488.31 0.0188174
1491.77 0.0181746
1498.70 0.0170312
1505.63 0.0160334
1512.56 0.0151641
1519.48 0.0143994
1526.41 0.0137212
1532.08 0.0132241
1537.75 0.0127713
1543.41 0.0123575
1549.08 0.0119837
1554.75 0.0116334
1560.42 0.0113142
1566.09 0.0110123
1571.75 0.0107421
1583.09 0.0102493
1594.43 0.00982154
1605.76 0.00944802
1617.10 0.00912052
1628.43 0.00883203
1639.77 0.00857600
1651.11 0.00834718
1662.44 0.00814550
1673.78 0.00795934
1685.11 0.00779345
1696.45 0.00763790
1707.79 0.00750343
1719.12 0.00737416
1730.46 0.00726190
1753.13 0.00705899
1775.80 0.00688733
1798.47 0.00674173
1823.66 0.00660650
1848.86 0.00649523
1874.05 0.00639755
1899.24 0.00631968
1924.43 0.00625078
1949.62 0.00619799
2000.00 0.00612001
2035.61 0.00608957
2071.21 0.00607649
2120.17 0.00608697
2169.13 0.00612585
2218.09 0.00619554
2267.05 0.00630017
2316.01 0.00643844
2364.97 0.00662046
2389.45 0.00672675
2413.93 0.00685045
2462.89 0.00713406
2494.05 0.00735373
2525.20 0.00760674
2556.36 0.00789760
2571.94 0.00805238
2587.51 0.00822455
2618.67 0.00861129
2649.83 0.00906032
2665.40 0.00931163
2680.98 0.00958308
2696.56 0.00987673
2712.14 0.0101958
2729.94 0.0105959
2747.75 0.0110374
2765.55 0.0115260
2783.35 0.0120684
2801.16 0.0126725
2818.96 0.0133477
2836.76 0.0141056
2854.57 0.0149600
2872.37 0.0159264
2881.27 0.0164578
2890.17 0.0170267
2899.08 0.0176357
2907.98 0.0182883
2916.88 0.0189892
2925.78 0.0197429
2938.02 0.0208795
2950.26 0.0221396
2962.50 0.0235479
2968.62 0.0243167
2974.74 0.0251357
2980.86 0.0259982
2986.98 0.0269184
2993.10 0.0279069
2999.22 0.0289533
3005.34 0.0300709
3011.46 0.0312822
3017.58 0.0325750
3023.70 0.0339594
3030.38 0.0356139
3037.05 0.0373966
3043.73 0.0393719
3050.40 0.0415509
3057.08 0.0439750
3063.76 0.0466906
3067.10 0.0481804
3070.43 0.0497722
3073.77 0.0514781
3077.11 0.0533155
3080.73 0.0554816
3084.34 0.0578594
3087.96 0.0604738
3091.58 0.0634251
3095.19 0.0667836
3098.81 0.0706679
3100.62 0.0728610
3102.42 0.0752604
3104.23 0.0779043
3106.04 0.0808389
3107.71 0.0838520
3109.38 0.0872247
3111.05 0.0910529
3112.72 0.0954452
3114.39 0.100543
3116.05 0.106545
3117.72 0.113732
3118.56 0.117889
3119.39 0.122497
3120.30 0.128104
3121.20 0.134458
3122.11 0.141729
3123.01 0.150132
3123.91 0.159942
3124.82 0.171523
3125.72 0.185363
3126.17 0.193331
3126.63 0.202136
3127.25 0.215958
3127.88 0.232066
3128.50 0.251028
3128.82 0.261808
3129.13 0.273608
3129.44 0.286569
3129.76 0.300860
3130.07 0.316683
3130.38 0.334281
3130.69 0.353954
3131.01 0.376072
3131.32 0.401098
3131.63 0.429528
3132.00 0.468356
3132.18 0.490466
3132.36 0.514583
3132.55 0.541297
3132.73 0.570710
3132.91 0.603626
3133.09 0.640272
3133.28 0.681774
3133.46 0.728561
3133.64 0.782238
3133.82 0.843546
3134.01 0.914789
3134.19 0.997156
3134.28 1.04390
3134.37 1.09394
3134.46 1.14815
3134.55 1.20691
3134.65 1.27433
3134.75 1.34786
3134.84 1.42809
3134.94 1.51471
3135.03 1.61023
3135.13 1.71338
3135.22 1.82709
3135.32 1.94981
3135.41 2.08497
3135.51 2.23224
