55-Cs_n-tot
> 55-Cs-133:1.000000
2.843750e-04 2.78175000e+02
2.937500e-04 2.73746000e+02
3.031250e-04 2.69524000e+02
3.125000e-04 2.65495000e+02
3.218750e-04 2.61642000e+02
3.312500e-04 2.57955000e+02
3.406250e-04 2.54422000e+02
3.500000e-04 2.51032000e+02
3.593750e-04 2.47775000e+02
3.687500e-04 2.44644000e+02
3.781250e-04 2.41630000e+02
3.875000e-04 2.38727000e+02
3.968750e-04 2.35927000e+02
4.062500e-04 2.33225000e+02
4.250000e-04 2.28092000e+02
4.437500e-04 2.23289000e+02
4.625000e-04 2.18781000e+02
4.812500e-04 2.14540000e+02
5.000000e-04 2.10541000e+02
5.156250e-04 2.07376000e+02
5.312500e-04 2.04353000e+02
5.468750e-04 2.01460000e+02
5.625000e-04 1.98689000e+02
5.781250e-04 1.96031000e+02
5.937500e-04 1.93479000e+02
6.093750e-04 1.91026000e+02
6.250000e-04 1.88665000e+02
6.406250e-04 1.86392000e+02
6.562500e-04 1.84201000e+02
6.718750e-04 1.82087000e+02
6.875000e-04 1.80045000e+02
7.187500e-04 1.76164000e+02
7.500000e-04 1.72528000e+02
7.812500e-04 1.69113000e+02
8.125000e-04 1.65898000e+02
8.437500e-04 1.62863000e+02
8.750000e-04 1.59993000e+02
9.062500e-04 1.57272000e+02
9.375000e-04 1.54690000e+02
9.687500e-04 1.52233000e+02
1.000000e-03 1.49893000e+02
1.031250e-03 1.47660000e+02
1.062500e-03 1.45526000e+02
1.093750e-03 1.43485000e+02
1.125000e-03 1.41529000e+02
1.156250e-03 1.39654000e+02
1.187500e-03 1.37853000e+02
1.218750e-03 1.36122000e+02
1.250000e-03 1.34456000e+02
1.281250e-03 1.32852000e+02
1.312500e-03 1.31306000e+02
1.343750e-03 1.29814000e+02
1.375000e-03 1.28373000e+02
1.437500e-03 1.25634000e+02
1.500000e-03 1.23068000e+02
1.562500e-03 1.20658000e+02
1.625000e-03 1.18388000e+02
1.687500e-03 1.16246000e+02
1.750000e-03 1.14220000e+02
1.812500e-03 1.12300000e+02
1.875000e-03 1.10477000e+02
1.937500e-03 1.08743000e+02
2.000000e-03 1.07090000e+02
2.093750e-03 1.04753000e+02
2.187500e-03 1.02567000e+02
2.281250e-03 1.00518000e+02
2.375000e-03 9.85909000e+01
2.468750e-03 9.67753000e+01
2.562500e-03 9.50604000e+01
2.656250e-03 9.34372000e+01
2.750000e-03 9.18978000e+01
2.843750e-03 9.04353000e+01
2.937500e-03 8.90435000e+01
3.031250e-03 8.77168000e+01
3.125000e-03 8.64504000e+01
3.218750e-03 8.52398000e+01
3.312500e-03 8.40811000e+01
3.406250e-03 8.29706000e+01
3.500000e-03 8.19050000e+01
3.593750e-03 8.08815000e+01
3.687500e-03 7.98973000e+01
3.781250e-03 7.89500000e+01
3.875000e-03 7.80374000e+01
3.968750e-03 7.71573000e+01
4.062500e-03 7.63079000e+01
4.250000e-03 7.46943000e+01
4.437500e-03 7.31843000e+01
4.625000e-03 7.17671000e+01
4.812500e-03 7.04337000e+01
5.000000e-03 6.91761000e+01
5.156250e-03 6.81811000e+01
5.312500e-03 6.72303000e+01
5.468750e-03 6.63206000e+01
5.625000e-03 6.54491000e+01
5.781250e-03 6.46133000e+01
5.937500e-03 6.38107000e+01
6.093750e-03 6.30393000e+01
6.250000e-03 6.22970000e+01
6.406250e-03 6.15821000e+01
6.562500e-03 6.08928000e+01
6.718750e-03 6.02278000e+01
6.875000e-03 5.95857000e+01
7.187500e-03 5.83648000e+01
7.500000e-03 5.72212000e+01
7.812500e-03 5.61469000e+01
8.125000e-03 5.51353000e+01
8.437500e-03 5.41805000e+01
8.750000e-03 5.32774000e+01
9.062500e-03 5.24214000e+01
9.375000e-03 5.16087000e+01
9.687500e-03 5.08357000e+01
1.000000e-02 5.00993000e+01
1.031250e-02 4.93966000e+01
1.062500e-02 4.87253000e+01
1.093750e-02 4.80830000e+01
1.125000e-02 4.74677000e+01
1.156250e-02 4.68776000e+01
1.187500e-02 4.63110000e+01
1.218750e-02 4.57664000e+01
1.250000e-02 4.52424000e+01
1.281250e-02 4.47377000e+01
1.312500e-02 4.42512000e+01
1.343750e-02 4.37818000e+01
1.375000e-02 4.33286000e+01
1.437500e-02 4.24668000e+01
1.500000e-02 4.16596000e+01
1.562500e-02 4.09014000e+01
1.625000e-02 4.01874000e+01
1.687500e-02 3.95134000e+01
1.750000e-02 3.88760000e+01
1.812500e-02 3.82718000e+01
1.875000e-02 3.76982000e+01
1.937500e-02 3.71527000e+01
2.000000e-02 3.66329000e+01
2.066250e-02 3.61080000e+01
2.132500e-02 3.56079000e+01
2.198750e-02 3.51305000e+01
2.265000e-02 3.46744000e+01
2.331250e-02 3.42378000e+01
2.397500e-02 3.38196000e+01
2.463750e-02 3.34184000e+01
2.530000e-02 3.30331000e+01
2.645780e-02 3.23950000e+01
2.761560e-02 3.17975000e+01
2.877340e-02 3.12367000e+01
2.993130e-02 3.07089000e+01
3.108910e-02 3.02111000e+01
3.224690e-02 2.97404000e+01
3.340470e-02 2.92944000e+01
3.456250e-02 2.88712000e+01
3.552740e-02 2.85344000e+01
3.649220e-02 2.82111000e+01
3.745700e-02 2.79004000e+01
3.842190e-02 2.76014000e+01
3.938670e-02 2.73136000e+01
4.035160e-02 2.70361000e+01
4.131640e-02 2.67685000e+01
4.228130e-02 2.65101000e+01
4.421090e-02 2.60190000e+01
4.614060e-02 2.55593000e+01
4.807030e-02 2.51276000e+01
5.000000e-02 2.47213000e+01
5.156250e-02 2.44093000e+01
5.312500e-02 2.41113000e+01
5.468750e-02 2.38262000e+01
5.625000e-02 2.35531000e+01
5.781250e-02 2.32913000e+01
5.937500e-02 2.30400000e+01
6.093750e-02 2.27985000e+01
6.250000e-02 2.25662000e+01
6.406250e-02 2.23426000e+01
6.562500e-02 2.21271000e+01
6.875000e-02 2.17184000e+01
7.187500e-02 2.13367000e+01
7.500000e-02 2.09792000e+01
7.812500e-02 2.06435000e+01
8.125000e-02 2.03274000e+01
8.437500e-02 2.00292000e+01
8.750000e-02 1.97473000e+01
9.062500e-02 1.94803000e+01
9.375000e-02 1.92268000e+01
