V-51(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 287.311
1.03125E-05 282.932
1.06250E-05 278.748
1.09375E-05 274.745
1.12500E-05 270.909
1.15625E-05 267.231
1.18750E-05 263.699
1.21875E-05 260.303
1.25000E-05 257.036
1.28125E-05 253.889
1.31250E-05 250.855
1.34375E-05 247.928
1.37500E-05 245.102
1.43750E-05 239.728
1.50000E-05 234.693
1.56250E-05 229.964
1.62500E-05 225.511
1.68750E-05 221.308
1.75000E-05 217.332
1.81250E-05 213.564
1.87500E-05 209.986
1.93750E-05 206.583
2.00000E-05 203.341
2.09375E-05 198.753
2.18750E-05 194.464
2.28125E-05 190.442
2.37500E-05 186.661
2.46875E-05 183.098
2.56250E-05 179.732
2.65625E-05 176.547
2.75000E-05 173.526
2.84375E-05 170.656
2.93750E-05 167.924
3.03125E-05 165.321
3.12500E-05 162.836
3.21875E-05 160.460
3.31250E-05 158.186
3.40625E-05 156.007
3.50000E-05 153.916
3.59375E-05 151.908
3.68750E-05 149.977
3.78125E-05 148.119
3.87500E-05 146.328
3.96875E-05 144.601
4.06250E-05 142.935
4.25000E-05 139.770
4.43750E-05 136.807
4.62500E-05 134.028
4.81250E-05 131.413
5.00000E-05 128.946
5.15625E-05 126.995
5.31250E-05 125.131
5.46875E-05 123.347
5.62500E-05 121.639
5.78125E-05 120.000
5.93750E-05 118.427
6.09375E-05 116.915
6.25000E-05 115.460
6.40625E-05 114.058
6.56250E-05 112.708
6.71875E-05 111.405
6.87500E-05 110.147
7.18750E-05 107.755
7.50000E-05 105.515
7.81250E-05 103.411
8.12500E-05 101.430
8.43750E-05 99.5610
8.75000E-05 97.7934
9.06250E-05 96.1185
9.37500E-05 94.5284
9.68750E-05 93.0163
0.000100000 91.5760
0.000103125 90.2020
0.000106250 88.8894
0.000109375 87.6338
0.000112500 86.4312
0.000115625 85.2779
0.000118750 84.1708
0.000121875 83.1068
0.000125000 82.0832
0.000128125 81.0975
0.000131250 80.1474
0.000134375 79.2310
0.000137500 78.3461
