Sn-117(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 82.5268
1.03125E-05 81.2796
1.06250E-05 80.0881
1.09375E-05 78.9482
1.12500E-05 77.8563
1.15625E-05 76.8091
1.18750E-05 75.8037
1.21875E-05 74.8374
1.25000E-05 73.9076
1.28125E-05 73.0123
1.31250E-05 72.1492
1.34375E-05 71.3166
1.37500E-05 70.5126
1.43750E-05 68.9845
1.50000E-05 67.5533
1.56250E-05 66.2092
1.62500E-05 64.9439
1.68750E-05 63.7499
1.75000E-05 62.6208
1.81250E-05 61.5510
1.87500E-05 60.5354
1.93750E-05 59.5696
2.00000E-05 58.6498
2.09375E-05 57.3486
2.18750E-05 56.1325
2.28125E-05 54.9927
2.37500E-05 53.9215
2.46875E-05 52.9124
2.56250E-05 51.9597
2.65625E-05 51.0582
2.75000E-05 50.2037
2.84375E-05 49.3921
2.93750E-05 48.6201
3.03125E-05 47.8844
3.12500E-05 47.1825
3.21875E-05 46.5117
3.31250E-05 45.8700
3.40625E-05 45.2551
3.50000E-05 44.6655
3.59375E-05 44.0992
3.68750E-05 43.5550
3.78125E-05 43.0314
3.87500E-05 42.5271
3.96875E-05 42.0410
4.06250E-05 41.5720
4.25000E-05 40.6817
4.43750E-05 39.8491
4.62500E-05 39.0684
4.81250E-05 38.3344
5.00000E-05 37.6427
5.15625E-05 37.0957
5.31250E-05 36.5735
5.46875E-05 36.0741
5.62500E-05 35.5961
5.78125E-05 35.1378
5.93750E-05 34.6981
6.09375E-05 34.2758
6.25000E-05 33.8696
6.40625E-05 33.4787
6.56250E-05 33.1021
6.71875E-05 32.7389
6.87500E-05 32.3885
7.18750E-05 31.7229
7.50000E-05 31.1002
7.81250E-05 30.5160
8.12500E-05 29.9666
8.43750E-05 29.4488
8.75000E-05 28.9596
9.06250E-05 28.4965
9.37500E-05 28.0573
9.68750E-05 27.6402
0.000100000 27.2432
0.000103125 26.8650
0.000106250 26.5040
0.000109375 26.1590
0.000112500 25.8290
0.000115625 25.5128
0.000118750 25.2095
0.000121875 24.9184
0.000125000 24.6386
0.000128125 24.3694
0.000131250 24.1102
0.000134375 23.8604
0.000137500 23.6195
0.000143750 23.1622
0.000150000 22.7348
0.000156250 22.3343
0.000162500 21.9579
0.000168750 21.6035
0.000175000 21.2690
0.000181250 20.9527
0.000187500 20.6529
0.000193750 20.3684
0.000200000 20.0979
0.000209375 19.7161
0.000218750 19.3602
0.000228125 19.0276
0.000237500 18.7157
0.000246875 18.4226
0.000256250 18.1466
0.000265625 17.8860
0.000275000 17.6396
0.000284375 17.4060
0.000293750 17.1844
0.000303125 16.9736
0.000312500 16.7730
0.000321875 16.5816
0.000331250 16.3989
0.000340625 16.2242
0.000350000 16.0569
0.000359375 15.8966
0.000368750 15.7429
0.000378125 15.5952
0.000387500 15.4532
0.000396875 15.3166
0.000406250 15.1850
0.000425000 14.9358
0.000443750 14.7035
0.000462500 14.4863
0.000481250 14.2827
0.000500000 14.0914
0.000515625 13.9405
0.000531250 13.7967
0.000546875 13.6595
0.000562500 13.5284
0.000578125 13.4030
0.000593750 13.2829
0.000609375 13.1677
0.000625000 13.0572
0.000640625 12.9509
0.000656250 12.8487
0.000671875 12.7504
0.000687500 12.6556
0.000718750 12.4759
0.000750000 12.3083
0.000781250 12.1514
0.000812500 12.0043
0.000843750 11.8659
0.000875000 11.7354
0.000906250 11.6121
0.000937500 11.4954
0.000968750 11.3847
0.00100000 11.2795
0.00103125 11.1795
0.00106250 11.0841
0.00109375 10.9931
0.00112500 10.9061
0.00115625 10.8229
0.00118750 10.7431
0.00121875 10.6666
0.00125000 10.5932
0.00128125 10.5226
0.00131250 10.4547
0.00134375 10.3892
0.00137500 10.3262
0.00143750 10.2066
0.00150000 10.0949
0.00156250 9.99034
0.00162500 9.89217
0.00168750 9.79976
0.00175000 9.71258
0.00181250 9.63016
0.00187500 9.55208
0.00193750 9.47799
0.00200000 9.40755
0.00209375 9.30812
0.00218750 9.21543
0.00228125 9.12875
0.00237500 9.04748
0.00246875 8.97106
0.00256250 8.89905
0.00265625 8.83103
0.00275000 8.76666
0.00284375 8.70562
0.00293750 8.64764
0.00303125 8.59246
0.00312500 8.53988
0.00321875 8.48970
0.00331250 8.44174
0.00340625 8.39585
0.00350000 8.35188
0.00359375 8.30969
0.00368750 8.26919
0.00378125 8.23024
0.00387500 8.19277
0.00396875 8.15668
0.00406250 8.12189
0.00425000 8.05589
0.00443750 7.99426
0.00462500 7.93653
0.00481250 7.88231
0.00500000 7.83126
0.00515625 7.79093
0.00531250 7.75244
0.00546875 7.71566
0.00562500 7.68047
0.00578125 7.64675
0.00593750 7.61441
0.00609375 7.58335
0.00625000 7.55350
0.00640625 7.52478
0.00656250 7.49711
0.00671875 7.47045
0.00687500 7.44471
0.00718750 7.39586
0.00750000 7.35016
0.00781250 7.30730
0.00812500 7.26699
0.00843750 7.22900
0.00875000 7.19311
0.00906250 7.15913
0.00937500 7.12690
0.00968750 7.09628
0.0100000 7.06714
0.0103125 7.03936
0.0106250 7.01285
0.0109375 6.98750
0.0112500 6.96323
0.0115625 6.93998
0.0118750 6.91767
0.0121875 6.89624
0.0125000 6.87564
0.0128125 6.85581
0.0131250 6.83671
0.0134375 6.81829
0.0137500 6.80051
0.0143750 6.76674
0.0150000 6.73514
0.0156250 6.70549
0.0162500 6.67760
0.0168750 6.65129
0.0175000 6.62643
0.0181250 6.60288
0.0187500 6.58054
0.0193750 6.55931
0.0200000 6.53910
0.0206625 6.51870
0.0213250 6.49927
0.0219875 6.48074
0.0226500 6.46304
0.0233125 6.44611
0.0239750 6.42990
0.0246375 6.41436
0.0253000 6.39944
0.0264578 6.37474
0.0276156 6.35164
0.0287734 6.32996
0.0299313 6.30958
0.0310891 6.29036
0.0322469 6.27219
0.0334047 6.25499
0.0345625 6.23867
0.0355274 6.22570
0.0364922 6.21324
0.0374570 6.20127
0.0384219 6.18976
0.0393867 6.17868
0.0403516 6.16801
0.0413164 6.15771
0.0422813 6.14777
0.0442109 6.12889
0.0461406 6.11122
0.0480703 6.09463
0.0500000 6.07903
0.0515625 6.06704
0.0531250 6.05560
0.0546875 6.04465
0.0562500 6.03417
0.0578125 6.02412
0.0593750 6.01447
0.0609375 6.00520
0.0625000 5.99629
0.0640625 5.98770
0.0656250 5.97943
0.0671875 5.97146
0.0687500 5.96376
0.0718750 5.94912
0.0750000 5.93541
0.0781250 5.92253
0.0812500 5.91041
0.0843750 5.89897
0.0875000 5.88816
0.0906250 5.87791
0.0937500 5.86818
0.0968750 5.85894
0.100000 5.85013
0.103125 5.84173
0.106250 5.83370
0.109375 5.82602
0.112500 5.81867
0.115625 5.81162
0.118750 5.80485
0.121875 5.79835
0.125000 5.79209
0.128125 5.78607
0.131250 5.78027
0.134375 5.77467
0.137500 5.76927
0.143750 5.75900
0.150000 5.74938
0.156250 5.74034
0.162500 5.73183
0.168750 5.72380
0.175000 5.71620
0.181250 5.70901
0.187500 5.70219
0.193750 5.69570
0.200000 5.68952
0.209375 5.68079
0.218750 5.67262
0.228125 5.66497
0.237500 5.65778
0.246875 5.65101
0.256250 5.64462
0.265625 5.63857
0.275000 5.63285
0.284375 5.62742
0.293750 5.62225
0.303125 5.61734
0.312500 5.61265
0.321875 5.60818
0.331250 5.60391
0.340625 5.59982
0.350000 5.59591
0.359375 5.59215
0.368750 5.58855
0.378125 5.58510
0.387500 5.58178
0.396875 5.57859
0.406250 5.57553
0.425000 5.56973
0.443750 5.56434
0.462500 5.55933
0.500000 5.55034
0.531250 5.54377
0.562500 5.53792
0.593750 5.53277
0.625000 5.52827
0.656250 5.52440
0.687500 5.52115
0.718750 5.51856
0.750000 5.51664
0.781250 5.51547
0.804688 5.51514
0.828125 5.51535
0.851563 5.51615
0.875000 5.51765
0.906250 5.52091
0.921875 5.52320
0.937500 5.52603
0.953125 5.52948
0.968750 5.53365
0.984375 5.53864
1.00000 5.54461
1.01483 5.55134
1.02965 5.55929
1.04447 5.56871
1.05930 5.57989
1.06671 5.58625
1.07412 5.59322
1.08153 5.60084
1.08895 5.60921
1.09636 5.61840
1.10377 5.62850
1.11118 5.63963
1.11859 5.65192
1.12848 5.67034
1.13836 5.69147
1.14330 5.70320
1.14824 5.71579
1.15319 5.72932
1.15813 5.74388
1.16307 5.75955
1.16801 5.77644
1.17295 5.79465
1.17789 5.81431
1.18283 5.83554
1.18778 5.85848
1.19272 5.88329
1.19766 5.91012
1.20309 5.94218
1.20853 5.97711
1.21396 6.01516
1.21940 6.05655
1.22484 6.10150
1.23027 6.15017
1.23571 6.20270
1.24114 6.25913
1.24725 6.32715
1.25336 6.39976
1.25946 6.47647
1.26557 6.55641
1.27779 6.72094
1.28389 6.80209
1.29000 6.87967
1.29463 6.93461
1.29925 6.98507
1.30388 7.03003
1.30850 7.06848
1.31313 7.09957
1.31775 7.12255
1.32238 7.13690
1.32700 7.14229
1.33105 7.13957
1.33509 7.12998
1.33914 7.11374
1.34319 7.09118
1.34724 7.06276
1.35128 7.02899
1.35533 6.99050
1.35938 6.94795
1.36747 6.85332
1.37556 6.75055
1.39175 6.53961
1.39817 6.45910
1.40459 6.38229
1.41101 6.30992
1.41743 6.24242
1.42386 6.17994
1.43028 6.12246
1.43670 6.06983
1.44312 6.02178
1.44955 5.97791
1.45599 5.93801
1.46242 5.90173
1.46886 5.86873
1.47529 5.83870
1.48173 5.81135
1.48816 5.78640
1.49459 5.76361
1.50103 5.74276
1.50746 5.72365
1.51390 5.70610
1.52033 5.68995
1.52677 5.67507
1.53320 5.66133
1.53964 5.64861
1.54607 5.63683
1.55251 5.62589
1.55894 5.61573
1.56538 5.60625
1.57181 5.59742
1.58468 5.58143
1.59755 5.56740
1.60749 5.55768
1.61744 5.54883
1.62738 5.54074
1.63733 5.53331
1.64727 5.52648
1.65722 5.52018
1.67710 5.50894
1.69699 5.49921
1.71688 5.49072
1.73677 5.48325
1.75666 5.47663
1.77187 5.47207
1.78708 5.46787
1.81749 5.46041
1.84791 5.45396
1.87833 5.44830
1.90875 5.44329
1.93917 5.43881
1.96958 5.43478
2.00000 5.43113
2.04688 5.42610
2.09375 5.42165
2.14063 5.41766
2.18750 5.41407
2.28125 5.40774
2.37500 5.40226
2.46875 5.39741
2.56250 5.39305
2.65625 5.38907
2.75000 5.38541
2.93750 5.37876
3.12500 5.37281
3.31250 5.36738
3.50000 5.36237
3.68750 5.35768
3.87500 5.35327
4.06250 5.34908
4.25000 5.34509
4.62500 5.33758
5.00000 5.33061
5.31250 5.32512
5.62500 5.31988
5.93750 5.31484
6.25000 5.30999
6.56250 5.30529
6.87500 5.30073
7.50000 5.29198
8.12500 5.28364
8.75000 5.27563
9.37500 5.26790
10.0000 5.26040
10.4985 5.25457
10.9969 5.24886
11.4954 5.24323
11.9939 5.23769
12.4924 5.23226
12.9908 5.22691
13.4893 5.22164
13.9878 5.21649
14.3201 5.21320
14.5174 5.21139
14.6160 5.21057
14.7147 5.20984
14.8134 5.20931
14.8627 5.20916
14.9120 5.20915
14.9613 5.20935
14.9860 5.20957
15.0107 5.20990
15.0353 5.21040
15.0600 5.21111
15.0847 5.21213
15.0970 5.21280
15.1093 5.21359
15.1288 5.21515
15.1483 5.21718
15.1580 5.21841
15.1677 5.21979
15.1775 5.22135
15.1872 5.22309
15.1969 5.22502
15.2067 5.22715
15.2164 5.22947
15.2262 5.23199
15.2359 5.23470
15.2456 5.23757
15.2651 5.24372
15.2887 5.25152
