Mo-96(n,g) ENDFB-8.0
Energy(eV) XS(b)
132.230 268.768
132.255 249.653
132.280 232.255
132.305 216.543
132.328 203.376
132.351 191.326
132.374 180.287
132.397 170.206
132.420 160.906
132.443 152.389
132.466 144.508
132.489 137.268
132.512 130.545
132.535 124.348
132.558 118.573
132.581 113.231
132.604 108.235
132.627 103.597
132.650 99.2456
132.673 95.1918
132.696 91.3762
132.719 87.7953
132.742 84.4298
132.765 81.2754
132.788 78.2890
132.811 75.4824
132.856 70.3088
132.902 65.6571
132.948 61.4747
132.994 57.6907
133.040 54.2547
133.076 51.8087
133.111 49.5283
133.147 47.3986
133.182 45.4062
133.218 43.5393
133.253 41.7874
133.289 40.1409
133.324 38.5958
133.360 37.1355
133.395 35.7577
133.431 34.4563
133.466 33.2255
133.537 30.9560
133.608 28.9162
133.654 27.6998
133.700 26.5617
133.746 25.4928
133.792 24.4876
133.838 23.5392
133.884 22.6471
133.929 21.8051
133.975 21.0095
134.067 19.5428
134.159 18.2266
134.251 17.0396
134.343 15.9654
134.435 14.9889
134.526 14.1006
134.618 13.2884
134.710 12.5454
134.802 11.8626
134.894 11.2348
134.986 10.6558
135.077 10.1206
135.169 9.62419
135.261 9.16389
135.353 8.73529
135.445 8.33636
135.537 7.96363
135.628 7.61561
135.720 7.28949
135.812 6.98413
135.904 6.69722
135.996 6.42788
136.088 6.17415
136.180 5.93538
136.271 5.70992
136.363 5.49725
136.455 5.29621
136.547 5.10597
136.731 4.75472
136.914 4.43837
137.098 4.15247
137.282 3.89334
137.465 3.65751
137.649 3.44238
137.833 3.24559
138.016 3.06522
138.150 2.94320
138.283 2.82831
138.417 2.72000
138.551 2.61782
138.684 2.52132
138.818 2.43008
139.085 2.26180
139.352 2.11005
139.619 1.97290
139.886 1.84854
140.154 1.73553
140.337 1.66367
140.521 1.59615
140.705 1.53262
140.888 1.47278
141.072 1.41634
141.256 1.36306
141.439 1.31270
141.623 1.26509
141.990 1.17719
142.358 1.09806
142.725 1.02658
143.093 0.961799
143.460 0.902887
143.827 0.849169
144.195 0.800053
144.562 0.755043
144.929 0.713672
145.297 0.675581
145.664 0.640435
146.031 0.608039
146.399 0.578012
146.766 0.550027
147.134 0.523977
147.501 0.499717
147.868 0.477074
148.236 0.455918
148.603 0.436115
148.970 0.417560
149.338 0.400141
149.705 0.383779
150.072 0.368380
150.440 0.353879
150.807 0.340200
151.174 0.327290
151.542 0.315085
151.909 0.303542
152.644 0.282245
153.379 0.263078
154.113 0.245767
