Ca-42(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0781250 0.388685
0.0812500 0.381136
0.0843750 0.374010
0.0875000 0.367269
0.0906250 0.360879
0.0937500 0.354811
0.0968750 0.349040
0.100000 0.343541
0.103125 0.338294
0.106250 0.333280
0.109375 0.328483
0.112500 0.323888
0.115625 0.319480
0.118750 0.315248
0.121875 0.311181
0.125000 0.307267
0.128125 0.303497
0.131250 0.299864
0.134375 0.296358
0.137500 0.292972
0.143750 0.286534
0.150000 0.280502
0.156250 0.274835
0.162500 0.269496
0.168750 0.264457
0.175000 0.259690
0.181250 0.255172
0.187500 0.250883
0.193750 0.246804
0.200000 0.242918
0.209375 0.237418
0.218750 0.232274
0.228125 0.227450
0.237500 0.222913
0.246875 0.218638
0.256250 0.214599
0.265625 0.210775
0.275000 0.207150
0.284375 0.203705
0.293750 0.200426
0.303125 0.197301
0.312500 0.194317
0.321875 0.191465
0.331250 0.188735
0.340625 0.186118
0.350000 0.183608
0.359375 0.181196
0.368750 0.178877
0.378125 0.176646
0.387500 0.174496
0.396875 0.172424
0.406250 0.170425
0.425000 0.166625
0.443750 0.163067
0.462500 0.159726
0.500000 0.153625
0.531250 0.149042
0.562500 0.144840
0.593750 0.140972
0.625000 0.137398
0.687500 0.130997
0.750000 0.125414
0.812500 0.120490
0.875000 0.116114
0.937500 0.112183
1.00000 0.108615
1.06250 0.105366
1.12500 0.102393
1.18750 0.0996569
1.25000 0.0971293
1.37500 0.0926017
1.50000 0.0886528
1.62500 0.0851689
1.75000 0.0820741
1.87500 0.0792934
2.00000 0.0767654
2.18750 0.0733903
2.37500 0.0704269
2.56250 0.0677950
2.75000 0.0654430
2.93750 0.0633194
3.12500 0.0613840
3.31250 0.0596153
3.50000 0.0579908
3.87500 0.0551029
4.25000 0.0526061
4.62500 0.0504194
5.00000 0.0484860
5.31250 0.0470340
5.62500 0.0457019
5.93750 0.0444764
6.25000 0.0433438
6.87500 0.0413148
7.50000 0.0395447
8.12500 0.0379826
8.75000 0.0365930
9.37500 0.0353444
10.0000 0.0342123
10.6250 0.0331814
11.2500 0.0322375
11.8750 0.0313690
12.5000 0.0305662
13.7500 0.0291277
15.0000 0.0278724
16.2500 0.0267644
17.5000 0.0257779
18.7500 0.0248914
20.0000 0.0240874
21.8750 0.0230129
23.7500 0.0220679
25.6250 0.0212281
27.5000 0.0204759
29.3750 0.0197963
31.2500 0.0191778
33.1250 0.0186121
35.0000 0.0180921
38.7500 0.0171669
42.5000 0.0163659
46.2500 0.0156633
50.0000 0.0150408
53.1250 0.0145727
56.2500 0.0141433
59.3750 0.0137479
62.5000 0.0133821
68.7500 0.0127257
75.0000 0.0121519
81.2500 0.0116445
87.5000 0.0111917
93.7500 0.0107842
100.000 0.0104144
106.250 0.0100772
112.500 0.00976774
118.750 0.00948253
125.000 0.00921846
137.500 0.00874405
150.000 0.00832870
162.500 0.00796092
175.000 0.00763222
187.500 0.00733597
200.000 0.00706689
218.750 0.00670599
237.500 0.00638731
256.250 0.00610305
275.000 0.00584740
293.750 0.00561572
312.500 0.00540437
331.250 0.00521055
350.000 0.00503193
368.750 0.00486659
387.500 0.00471295
406.250 0.00456966
425.000 0.00443562
462.500 0.00419152
500.000 0.00397451
531.250 0.00381094
562.500 0.00366073
593.750 0.00352221
625.000 0.00339393
656.250 0.00327470
687.500 0.00316353
718.750 0.00305956
750.000 0.00296206
812.500 0.00278403
875.000 0.00262537
937.500 0.00248289
1000.00 0.00235409
1062.50 0.00223705
1125.00 0.00213015
1187.50 0.00203210
1250.00 0.00194182
1312.50 0.00185841
1375.00 0.00178110
1437.50 0.00170924
1500.00 0.00164227
1562.50 0.00157972
1625.00 0.00152117
1687.50 0.00146624
1750.00 0.00141462
1875.00 0.00132023
2000.00 0.00123606
2093.75 0.00117871
2187.50 0.00112572
2281.25 0.00107664
2375.00 0.00103108
2468.75 0.000988681
2562.50 0.000949155
2750.00 0.000877694
2955.00 0.000809595
3160.00 0.000749873
3330.00 0.000706182
3500.00 0.000666401
3687.50 0.000627086
3875.00 0.000591753
4062.50 0.000559899
4250.00 0.000531106
4437.50 0.000505020
4625.00 0.000481344
5000.00 0.000440262
5275.07 0.000414792
5550.14 0.000392681
5825.21 0.000373607
6100.28 0.000357385
6375.35 0.000343961
6650.42 0.000333465
6925.49 0.000325891
7200.56 0.000322673
7427.08 0.000324400
7653.61 0.000331439
7880.14 0.000347722
8106.67 0.000379678
8203.75 0.000401726
8300.83 0.000431809
8397.92 0.000473681
8495.00 0.000533737
8559.72 0.000589250
8624.44 0.000663590
8689.17 0.000766121
8753.89 0.000914075
8798.39 0.00105803
8842.88 0.00125756
8865.13 0.00138745
8887.38 0.00154731
8909.63 0.00174641
8931.87 0.00199855
8949.07 0.00224649
8966.26 0.00255870
8983.45 0.00296205
9000.64 0.00349999
9017.83 0.00424735
9026.43 0.00472193
9035.03 0.00530013
9043.62 0.00603869
9052.22 0.00698154
9060.81 0.00821701
9069.41 0.00986757
9073.96 0.0109851
9078.51 0.0123533
9083.06 0.0140396
9087.61 0.0161515
9092.16 0.0188488
9096.71 0.0223596
9101.26 0.0270781
9103.54 0.0300909
9105.81 0.0336909
9107.84 0.0375149
9109.86 0.0420838
9111.88 0.0476057
9113.91 0.0543666
9115.93 0.0627924
9116.94 0.0678101
9117.95 0.0734984
9118.96 0.0799933
9119.97 0.0874448
9120.98 0.0960655
9122.00 0.106123
9123.01 0.117987
9124.02 0.132115
9125.03 0.149199
9125.54 0.159153
9126.04 0.170235
9126.55 0.182700
9127.05 0.196805
9127.56 0.212907
9128.06 0.231448
9128.57 0.253148
9129.07 0.278800
9129.58 0.309719
9130.09 0.347441
9130.37 0.372583
9130.65 0.401024
9130.94 0.433570
9131.22 0.470704
9131.51 0.513523
9131.79 0.562694
9132.08 0.619689
9132.36 0.685391
9132.65 0.761729
9132.93 0.849816
9133.07 0.899281
9133.22 0.952115
9133.36 1.00891
9133.50 1.06994
9133.64 1.13596
9133.78 1.20634
9133.93 1.28183
9134.07 1.36273
9134.21 1.44938
9134.35 1.54209
9134.49 1.64120
9134.64 1.74703
9134.81 1.88639
9134.98 2.03698
9135.16 2.19941
9135.33 2.37429
9135.51 2.56220
9135.68 2.76368
9135.85 2.97926
9136.03 3.20803
9136.20 3.45306
9136.38 3.71340
9136.55 3.98933
9136.72 4.27931
9136.90 4.58678
9137.07 4.91009
9137.24 5.24909
9137.42 5.60145
9137.59 5.97085
9137.77 6.35475
9138.11 7.16315
9138.46 8.01931
9138.81 8.91073
9140.01 12.0955
9140.36 12.9788
9140.70 13.8076
9141.05 14.5672
9141.40 15.2346
9141.75 15.7964
9141.92 16.0322
