Tm-169(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 5233.09
1.03125E-05 5153.19
1.06250E-05 5076.85
1.09375E-05 5003.79
1.12500E-05 4933.81
1.15625E-05 4866.68
1.18750E-05 4802.22
1.21875E-05 4740.25
1.25000E-05 4680.62
1.28125E-05 4623.19
1.31250E-05 4567.82
1.34375E-05 4514.40
1.37500E-05 4462.80
1.43750E-05 4364.71
1.50000E-05 4272.81
1.56250E-05 4186.48
1.62500E-05 4105.18
1.68750E-05 4028.45
1.75000E-05 3955.86
1.81250E-05 3887.05
1.87500E-05 3821.72
1.93750E-05 3759.58
2.00000E-05 3700.37
2.09375E-05 3616.58
2.18750E-05 3538.23
2.28125E-05 3464.77
2.37500E-05 3395.70
2.46875E-05 3330.60
2.56250E-05 3269.11
2.65625E-05 3210.90
2.75000E-05 3155.69
2.84375E-05 3103.24
2.93750E-05 3053.32
3.03125E-05 3005.74
3.12500E-05 2960.31
3.21875E-05 2916.88
3.31250E-05 2875.31
3.40625E-05 2835.46
3.50000E-05 2797.23
3.59375E-05 2760.51
3.68750E-05 2725.19
3.78125E-05 2691.19
3.87500E-05 2658.44
3.96875E-05 2626.86
4.06250E-05 2596.37
4.25000E-05 2538.45
4.43750E-05 2484.25
4.62500E-05 2433.37
4.81250E-05 2385.50
5.00000E-05 2340.34
5.15625E-05 2304.61
5.31250E-05 2270.47
5.46875E-05 2237.80
5.62500E-05 2206.50
5.78125E-05 2176.48
5.93750E-05 2147.65
6.09375E-05 2119.94
6.25000E-05 2093.28
6.40625E-05 2067.59
6.56250E-05 2042.83
6.71875E-05 2018.94
6.87500E-05 1995.87
7.18750E-05 1952.00
7.50000E-05 1910.90
7.81250E-05 1872.29
8.12500E-05 1835.94
8.43750E-05 1801.62
8.75000E-05 1769.16
9.06250E-05 1738.39
9.37500E-05 1709.17
9.68750E-05 1681.38
0.000100000 1654.90
0.000103125 1629.64
0.000106250 1605.50
0.000109375 1582.40
0.000112500 1560.27
0.000115625 1539.04
0.000118750 1518.65
0.000121875 1499.06
0.000125000 1480.20
0.000128125 1462.04
0.000131250 1444.53
0.000134375 1427.64
0.000137500 1411.33
0.000143750 1380.31
0.000150000 1351.25
0.000156250 1323.95
0.000162500 1298.24
0.000168750 1273.98
0.000175000 1251.02
0.000181250 1229.27
0.000187500 1208.61
0.000193750 1188.96
0.000200000 1170.24
0.000209375 1143.74
0.000218750 1118.97
0.000228125 1095.74
0.000237500 1073.90
0.000246875 1053.31
0.000256250 1033.87
0.000265625 1015.46
0.000275000 998.008
0.000284375 981.422
0.000293750 965.638
0.000303125 950.591
0.000312500 936.227
0.000321875 922.495
0.000331250 909.350
0.000340625 896.752
