Ru-102(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 113.081
1.03125E-05 111.374
1.06250E-05 109.743
1.09375E-05 108.182
1.12500E-05 106.688
1.15625E-05 105.254
1.18750E-05 103.878
1.21875E-05 102.555
1.25000E-05 101.283
1.28125E-05 100.057
1.31250E-05 98.8761
1.34375E-05 97.7365
1.37500E-05 96.6361
1.43750E-05 94.5446
1.50000E-05 92.5858
1.56250E-05 90.7465
1.62500E-05 89.0149
1.68750E-05 87.3809
1.75000E-05 85.8358
1.81250E-05 84.3719
1.87500E-05 82.9822
1.93750E-05 81.6608
2.00000E-05 80.4022
2.09375E-05 78.6218
2.18750E-05 76.9580
2.28125E-05 75.3987
2.37500E-05 73.9334
2.46875E-05 72.5530
2.56250E-05 71.2497
2.65625E-05 70.0167
2.75000E-05 68.8479
2.84375E-05 67.7379
2.93750E-05 66.6821
3.03125E-05 65.6761
3.12500E-05 64.7162
3.21875E-05 63.7990
3.31250E-05 62.9214
3.40625E-05 62.0808
3.50000E-05 61.2746
3.59375E-05 60.5005
3.68750E-05 59.7565
3.78125E-05 59.0406
3.87500E-05 58.3513
3.96875E-05 57.6869
4.06250E-05 57.0459
4.25000E-05 55.8290
4.43750E-05 54.6912
4.62500E-05 53.6244
4.81250E-05 52.6215
5.00000E-05 51.6765
5.15625E-05 50.9293
5.31250E-05 50.2159
5.46875E-05 49.5339
5.62500E-05 48.8810
5.78125E-05 48.2553
5.93750E-05 47.6549
6.09375E-05 47.0782
6.25000E-05 46.5237
6.40625E-05 45.9900
6.56250E-05 45.4759
6.71875E-05 44.9802
6.87500E-05 44.5019
7.18750E-05 43.5936
7.50000E-05 42.7440
7.81250E-05 41.9471
8.12500E-05 41.1978
8.43750E-05 40.4916
8.75000E-05 39.8246
9.06250E-05 39.1933
9.37500E-05 38.5947
9.68750E-05 38.0262
0.000100000 37.4854
0.000103125 36.9701
0.000106250 36.4784
0.000109375 36.0087
0.000112500 35.5593
0.000115625 35.1288
0.000118750 34.7161
0.000121875 34.3199
0.000125000 33.9392
0.000128125 33.5730
0.000131250 33.2205
0.000134375 32.8808
0.000137500 32.5532
0.000143750 31.9317
0.000150000 31.3510
0.000156250 30.8069
0.000162500 30.2960
0.000168750 29.8149
0.000175000 29.3611
0.000181250 28.9320
0.000187500 28.5256
0.000193750 28.1401
0.000200000 27.7736
0.000209375 27.2566
0.000218750 26.7750
0.000228125 26.3250
0.000237500 25.9034
0.000246875 25.5074
0.000256250 25.1346
0.000265625 24.7829
0.000275000 24.4505
0.000284375 24.1357
0.000293750 23.8370
0.000303125 23.5532
0.000312500 23.2831
0.000321875 23.0257
0.000331250 22.7801
0.000340625 22.5453
0.000350000 22.3207
0.000359375 22.1056
0.000368750 21.8993
0.000378125 21.7012
0.000387500 21.5110
0.000396875 21.3280
0.000406250 21.1518
0.000425000 20.8185
0.000443750 20.5081
0.000462500 20.2182
0.000481250 19.9467
0.000500000 19.6918
0.000515625 19.4910
0.000531250 19.2997
0.000546875 19.1174
0.000562500 18.9434
0.000578125 18.7770
0.000593750 18.6178
0.000609375 18.4652
0.000625000 18.3188
0.000640625 18.1783
0.000656250 18.0433
0.000671875 17.9133
0.000687500 17.7882
0.000718750 17.5513
0.000750000 17.3306
0.000781250 17.1244
0.000812500 16.9311
0.000843750 16.7496
0.000875000 16.5786
0.000906250 16.4173
0.000937500 16.2648
0.000968750 16.1203
0.00100000 15.9831
0.00103125 15.8528
0.00106250 15.7287
0.00109375 15.6103
0.00112500 15.4974
0.00115625 15.3893
0.00118750 15.2859
0.00121875 15.1868
0.00125000 15.0918
0.00128125 15.0005
0.00131250 14.9127
0.00134375 14.8282
0.00137500 14.7468
0.00143750 14.5927
0.00150000 14.4490
0.00156250 14.3146
0.00162500 14.1886
0.00168750 14.0701
0.00175000 13.9585
0.00181250 13.8530
0.00187500 13.7533
0.00193750 13.6587
0.00200000 13.5689
0.00209375 13.4422
0.00218750 13.3243
0.00228125 13.2142
0.00237500 13.1110
0.00246875 13.0141
0.00256250 12.9229
0.00265625 12.8369
0.00275000 12.7555
0.00284375 12.6785
0.00293750 12.6053
0.00303125 12.5358
0.00312500 12.4695
0.00321875 12.4064
0.00331250 12.3460
0.00340625 12.2884
0.00350000 12.2331
0.00359375 12.1802
0.00368750 12.1294
0.00378125 12.0806
0.00387500 12.0336
0.00396875 11.9884
0.00406250 11.9449
0.00425000 11.8624
0.00443750 11.7854
0.00462500 11.7133
0.00481250 11.6457
0.00500000 11.5821
0.00515625 11.5319
0.00531250 11.4840
0.00546875 11.4383
0.00562500 11.3945
0.00578125 11.3526
0.00593750 11.3125
0.00609375 11.2740
0.00625000 11.2370
0.00640625 11.2014
0.00656250 11.1671
0.00671875 11.1341
0.00687500 11.1022
0.00718750 11.0418
0.00750000 10.9853
0.00781250 10.9323
