>,72-Hf-177:0.186000
>,72-Hf-178:0.272800
>,72-Hf-179:0.136200
>,72-Hf-180:0.350800
8.828130e-05,2.27757121e+03
8.906250e-05,2.26763605e+03
9.062500e-05,2.24777658e+03
9.375000e-05,2.21004612e+03
9.687500e-05,2.17415247e+03
1.000000e-04,2.13996149e+03
1.031250e-04,2.10734464e+03
1.044930e-04,2.09368051e+03
1.062500e-04,2.07616710e+03
1.089860e-04,2.05003898e+03
1.093750e-04,2.04633134e+03
1.125000e-04,2.01775602e+03
1.134780e-04,2.00916729e+03
1.156250e-04,1.99034880e+03
1.179710e-04,1.97057777e+03
1.187500e-04,1.96402335e+03
1.214860e-04,1.94186648e+03
1.218750e-04,1.93872054e+03
1.250000e-04,1.91437186e+03
1.281250e-04,1.89092249e+03
1.312500e-04,1.86831549e+03
1.343750e-04,1.84650164e+03
1.375000e-04,1.82543563e+03
1.437500e-04,1.78538919e+03
1.500000e-04,1.74786989e+03
1.550000e-04,1.71967099e+03
1.562500e-04,1.71263191e+03
1.600000e-04,1.69270723e+03
1.625000e-04,1.67944799e+03
1.672410e-04,1.65567235e+03
1.687500e-04,1.64812035e+03
1.744810e-04,1.62094059e+03
1.750000e-04,1.61848181e+03
1.765630e-04,1.61145429e+03
1.781250e-04,1.60443411e+03
1.812500e-04,1.59039820e+03
1.875000e-04,1.56372969e+03
1.937500e-04,1.53836437e+03
2.000000e-04,1.51419555e+03
2.068270e-04,1.48928486e+03
2.093750e-04,1.48000215e+03
2.136550e-04,1.46539067e+03
2.187500e-04,1.44802349e+03
2.204820e-04,1.44247657e+03
2.273100e-04,1.42064235e+03
2.281250e-04,1.41803984e+03
2.341370e-04,1.39995598e+03
2.375000e-04,1.38985426e+03
2.409640e-04,1.38002868e+03
2.468750e-04,1.36328521e+03
2.477920e-04,1.36082728e+03
2.546190e-04,1.34255279e+03
2.562500e-04,1.33819374e+03
2.648100e-04,1.31650371e+03
2.656250e-04,1.31444233e+03
2.750000e-04,1.29191331e+03
2.843580e-04,1.27054914e+03
2.843750e-04,1.27051039e+03
2.937160e-04,1.25021575e+03
2.937500e-04,1.25014194e+03
2.943360e-04,1.24892747e+03
2.949220e-04,1.24771312e+03
2.964890e-04,1.24446641e+03
2.980570e-04,1.24121859e+03
3.011920e-04,1.23472733e+03
3.031250e-04,1.23072780e+03
3.074610e-04,1.22215134e+03
3.125000e-04,1.21219881e+03
3.200000e-04,1.19801479e+03
3.218750e-04,1.19447584e+03
3.312500e-04,1.17751858e+03
3.344810e-04,1.17190944e+03
3.406250e-04,1.16126547e+03
3.489620e-04,1.14738931e+03
3.500000e-04,1.14566350e+03
3.523440e-04,1.14191599e+03
3.546880e-04,1.13816965e+03
3.593750e-04,1.13068214e+03
3.687500e-04,1.11627427e+03
3.781250e-04,1.10240656e+03
3.875000e-04,1.08904764e+03
3.968750e-04,1.07616520e+03
4.062500e-04,1.06373003e+03
4.250000e-04,1.04010655e+03
4.437500e-04,1.01799800e+03
4.625000e-04,9.97251128e+02
4.812500e-04,9.77726210e+02
5.000000e-04,9.59312893e+02
5.156250e-04,9.44743233e+02
5.312500e-04,9.30821574e+02
5.468750e-04,9.17502000e+02
5.625000e-04,9.04738322e+02
5.781250e-04,8.92498844e+02
5.937500e-04,8.80746217e+02
6.093750e-04,8.69448273e+02
6.250000e-04,8.58577538e+02
6.400000e-04,8.48524346e+02
6.406250e-04,8.48106109e+02
6.562500e-04,8.38017034e+02
6.675000e-04,8.30999563e+02
6.718750e-04,8.28275893e+02
6.875000e-04,8.18872355e+02
6.950000e-04,8.14574042e+02
7.187500e-04,8.00988974e+02
7.225000e-04,7.98975377e+02
7.500000e-04,7.84236555e+02
7.812500e-04,7.68501404e+02
8.125000e-04,7.53685160e+02
8.437500e-04,7.39699091e+02
8.750000e-04,7.26471088e+02
9.062500e-04,7.13932452e+02
9.375000e-04,7.02028866e+02
9.687500e-04,6.90705858e+02
1.000000e-03,6.79918468e+02
1.031250e-03,6.69623266e+02
1.062500e-03,6.59788214e+02
1.093750e-03,6.50377703e+02
1.125000e-03,6.41364174e+02
1.156250e-03,6.32716531e+02
1.187500e-03,6.24414406e+02
1.218750e-03,6.16434923e+02
1.250000e-03,6.08754366e+02
1.280000e-03,6.01654980e+02
1.281250e-03,6.01359628e+02
1.312500e-03,5.94231808e+02
1.335000e-03,5.89273889e+02
1.343750e-03,5.87349583e+02
1.375000e-03,5.80706769e+02
1.390000e-03,5.77670471e+02
1.437500e-03,5.68074060e+02
1.445000e-03,5.66652059e+02
1.500000e-03,5.56243562e+02
1.562500e-03,5.45129240e+02
