Ne-20(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 33.6748
1.03125E-05 33.1632
1.06250E-05 32.6743
1.09375E-05 32.2065
1.12500E-05 31.7585
1.15625E-05 31.3287
1.18750E-05 30.9161
1.21875E-05 30.5194
1.25000E-05 30.1378
1.28125E-05 29.7702
1.31250E-05 29.4159
1.34375E-05 29.0740
1.37500E-05 28.7439
1.43750E-05 28.1163
1.50000E-05 27.5284
1.56250E-05 26.9763
1.62500E-05 26.4564
1.68750E-05 25.9657
1.75000E-05 25.5017
1.81250E-05 25.0619
1.87500E-05 24.6443
1.93750E-05 24.2472
2.00000E-05 23.8689
2.09375E-05 23.3337
2.18750E-05 22.8333
2.28125E-05 22.3642
2.37500E-05 21.9233
2.46875E-05 21.5078
2.56250E-05 21.1154
2.65625E-05 20.7441
2.75000E-05 20.3920
2.84375E-05 20.0576
2.93750E-05 19.7393
3.03125E-05 19.4360
3.12500E-05 19.1465
3.21875E-05 18.8699
3.31250E-05 18.6051
3.40625E-05 18.3514
3.50000E-05 18.1080
3.59375E-05 17.8742
3.68750E-05 17.6495
3.78125E-05 17.4332
3.87500E-05 17.2248
3.96875E-05 17.0240
4.06250E-05 16.8302
4.25000E-05 16.4620
4.43750E-05 16.1177
4.62500E-05 15.7946
4.81250E-05 15.4907
5.00000E-05 15.2043
5.15625E-05 14.9777
5.31250E-05 14.7612
5.46875E-05 14.5542
5.62500E-05 14.3559
5.78125E-05 14.1658
5.93750E-05 13.9833
6.09375E-05 13.8080
6.25000E-05 13.6393
6.40625E-05 13.4769
6.56250E-05 13.3204
6.71875E-05 13.1695
6.87500E-05 13.0237
7.18750E-05 12.7468
7.50000E-05 12.4876
7.81250E-05 12.2442
8.12500E-05 12.0152
8.43750E-05 11.7993
8.75000E-05 11.5951
9.06250E-05 11.4017
9.37500E-05 11.2183
9.68750E-05 11.0439
0.000100000 10.8778
0.000103125 10.7195
0.000106250 10.5684
0.000109375 10.4238
0.000112500 10.2855
0.000115625 10.1528
0.000118750 10.0256
0.000121875 9.90335
0.000125000 9.78581
0.000128125 9.67268
0.000131250 9.56370
0.000134375 9.45861
0.000137500 9.35721
0.000143750 9.16462
0.000150000 8.98446
0.000156250 8.81547
0.000162500 8.65655
0.000168750 8.50677
0.000175000 8.36529
0.000181250 8.23139
0.000187500 8.10442
0.000193750 7.98382
0.000200000 7.86909
0.000209375 7.70701
0.000218750 7.55580
0.000228125 7.41431
0.000237500 7.28156
0.000246875 7.15673
0.000256250 7.03906
0.000265625 6.92791
0.000275000 6.82272
0.000284375 6.72299
0.000293750 6.62828
0.000303125 6.53818
0.000312500 6.45235
0.000321875 6.37048
0.000331250 6.29227
0.000340625 6.21746
0.000350000 6.14584
0.000359375 6.07718
0.000368750 6.01129
0.000378125 5.94800
0.000387500 5.88715
0.000396875 5.82859
0.000406250 5.77219
0.000425000 5.66536
0.000443750 5.56579
0.000462500 5.47272
0.000481250 5.38550
0.000500000 5.30357
0.000515625 5.23898
0.000531250 5.17746
0.000546875 5.11880
0.000562500 5.06279
0.000578125 5.00924
0.000593750 4.95799
0.000609375 4.90889
0.000625000 4.86179
0.000640625 4.81658
0.000656250 4.77314
0.000671875 4.73135
0.000687500 4.69113
0.000718750 4.61503
0.000750000 4.54419
0.000781250 4.47807
0.000812500 4.41620
0.000843750 4.35816
0.000875000 4.30361
0.000906250 4.25222
0.000937500 4.20372
0.000968750 4.15787
0.00100000 4.11445
0.00103125 4.07327
0.00106250 4.03415
0.00109375 3.99695
0.00112500 3.96152
0.00115625 3.92773
0.00118750 3.89547
0.00121875 3.86464
0.00125000 3.83515
0.00128125 3.80690
0.00131250 3.77982
0.00134375 3.75384
0.00137500 3.72888
0.00143750 3.68184
0.00150000 3.63824
0.00156250 3.59772
0.00162500 3.55997
0.00168750 3.52471
0.00175000 3.49170
0.00181250 3.46072
0.00187500 3.43161
0.00193750 3.40419
0.00200000 3.37831
0.00209375 3.34214
0.00218750 3.30879
0.00228125 3.27795
0.00237500 3.24934
0.00246875 3.22274
0.00256250 3.19794
0.00265625 3.17476
0.00275000 3.15305
0.00284375 3.13267
0.00293750 3.11352
0.00303125 3.09547
0.00312500 3.07843
0.00321875 3.06234
0.00331250 3.04710
0.00340625 3.03265
0.00350000 3.01893
0.00359375 3.00590
0.00368750 2.99349
0.00378125 2.98166
0.00387500 2.97038
0.00396875 2.95961
0.00406250 2.94931
0.00425000 2.93002
0.00443750 2.91229
0.00462500 2.89594
0.00481250 2.88081
0.00500000 2.86677
0.00515625 2.85582
0.00531250 2.84549
0.00546875 2.83572
0.00562500 2.82649
0.00578125 2.81773
0.00593750 2.80942
0.00609375 2.80151
0.00625000 2.79399
0.00640625 2.78683
0.00656250 2.77999
0.00671875 2.77346
0.00687500 2.76721
0.00718750 2.75551
0.00750000 2.74475
0.00781250 2.73482
0.00812500 2.72563
0.00843750 2.71709
0.00875000 2.70915
0.00906250 2.70173
0.00937500 2.69479
0.00968750 2.68827
0.0100000 2.68216
0.0103125 2.67639
0.0106250 2.67096
0.0109375 2.66582
0.0112500 2.66096
0.0115625 2.65634
0.0118750 2.65197
0.0121875 2.64780
0.0125000 2.64384
0.0128125 2.64006
0.0131250 2.63646
0.0134375 2.63301
0.0137500 2.62972
0.0143750 2.62354
0.0150000 2.61785
0.0156250 2.61260
0.0162500 2.60774
0.0168750 2.60322
0.0175000 2.59900
0.0181250 2.59507
0.0187500 2.59138
0.0193750 2.58792
0.0200000 2.58467
0.0206625 2.58142
0.0213250 2.57837
0.0219875 2.57549
0.0226500 2.57277
0.0233125 2.57020
0.0239750 2.56776
0.0246375 2.56545
0.0253000 2.56325
0.0264578 2.55965
0.0276156 2.55634
0.0287734 2.55328
0.0299313 2.55045
0.0310891 2.54781
0.0322469 2.54536
0.0334047 2.54306
0.0345625 2.54091
0.0355274 2.53921
0.0364922 2.53760
0.0374570 2.53607
0.0384219 2.53461
0.0393867 2.53322
0.0403516 2.53189
0.0413164 2.53062
0.0422813 2.52940
0.0442109 2.52711
0.0461406 2.52500
0.0480703 2.52305
0.0500000 2.52124
0.0515625 2.51987
0.0531250 2.51857
0.0546875 2.51734
0.0562500 2.51617
0.0578125 2.51506
0.0593750 2.51401
0.0609375 2.51300
0.0625000 2.51205
0.0640625 2.51113
0.0656250 2.51026
0.0671875 2.50942
0.0687500 2.50862
0.0718750 2.50711
0.0750000 2.50572
0.0781250 2.50443
0.0812500 2.50323
0.0843750 2.50211
0.0875000 2.50107
0.0906250 2.50009
0.0937500 2.49917
0.0968750 2.49831
0.100000 2.49749
0.103125 2.49672
0.106250 2.49600
0.109375 2.49530
0.112500 2.49465
0.115625 2.49403
0.118750 2.49343
0.121875 2.49286
0.125000 2.49232
0.128125 2.49181
0.131250 2.49131
0.134375 2.49084
0.137500 2.49038
0.143750 2.48953
0.150000 2.48874
0.156250 2.48800
0.162500 2.48732
0.168750 2.48668
0.175000 2.48608
0.181250 2.48552
0.187500 2.48500
0.193750 2.48450
0.200000 2.48403
0.209375 2.48337
0.218750 2.48277
0.228125 2.48221
0.237500 2.48168
0.246875 2.48120
0.256250 2.48074
0.265625 2.48031
0.275000 2.47991
0.284375 2.47953
0.293750 2.47917
0.303125 2.47884
0.312500 2.47852
0.321875 2.47821
0.331250 2.47792
0.340625 2.47765
0.350000 2.47739
0.359375 2.47714
0.368750 2.47690
0.378125 2.47667
0.387500 2.47645
0.406250 2.47604
0.425000 2.47566
0.443750 2.47531
0.462500 2.47498
0.500000 2.47439
0.531250 2.47396
0.562500 2.47356
0.593750 2.47320
0.625000 2.47287
0.687500 2.47229
0.750000 2.47180
0.812500 2.47137
0.875000 2.47099
0.937500 2.47065
1.00000 2.47035
1.06250 2.47008
1.12500 2.46984
1.18750 2.46962
1.25000 2.46941
1.37500 2.46905
1.50000 2.46874
1.62500 2.46847
1.75000 2.46823
1.87500 2.46802
2.00000 2.46783
2.18750 2.46758
2.37500 2.46736
2.56250 2.46717
2.75000 2.46700
2.93750 2.46685
3.12500 2.46671
3.31250 2.46658
3.50000 2.46647
3.87500 2.46627
4.25000 2.46610
4.62500 2.46595
5.00000 2.46582
5.31250 2.46572
5.62500 2.46563
