49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
5.937500e-02 1.32855312e+02
6.093750e-02 1.31431915e+02
6.250000e-02 1.30067061e+02
6.406250e-02 1.28782275e+02
6.562500e-02 1.27497629e+02
6.875000e-02 1.25121102e+02
7.187500e-02 1.22916366e+02
7.500000e-02 1.20865185e+02
7.812500e-02 1.18953160e+02
8.125000e-02 1.17165901e+02
8.437500e-02 1.15492846e+02
8.750000e-02 1.13922482e+02
9.062500e-02 1.12446172e+02
9.375000e-02 1.11057193e+02
9.687500e-02 1.09746913e+02
1.000000e-01 1.08509572e+02
1.031250e-01 1.07340369e+02
1.062500e-01 1.06233548e+02
1.093750e-01 1.05184312e+02
1.125000e-01 1.04189777e+02
1.156250e-01 1.03246107e+02
1.187500e-01 1.02350420e+02
1.218750e-01 1.01497924e+02
1.250000e-01 1.00687652e+02
1.312500e-01 9.91803551e+01
1.375000e-01 9.78093353e+01
1.437500e-01 9.65601967e+01
1.500000e-01 9.54215180e+01
1.562500e-01 9.43827411e+01
1.625000e-01 9.34344612e+01
1.687500e-01 9.25685205e+01
1.750000e-01 9.17781043e+01
1.812500e-01 9.10568782e+01
1.875000e-01 9.03998516e+01
1.937500e-01 8.98022252e+01
2.000000e-01 8.92598723e+01
2.093750e-01 8.85407185e+01
2.187500e-01 8.79243349e+01
2.281250e-01 8.74020825e+01
2.375000e-01 8.69665703e+01
2.468750e-01 8.66110794e+01
2.562500e-01 8.63297550e+01
2.656250e-01 8.61175091e+01
2.750000e-01 8.59701177e+01
2.843750e-01 8.58837415e+01
2.925780e-01 8.58557389e+01
2.937500e-01 8.58577548e+01
3.007810e-01 8.58699420e+01
3.031250e-01 8.58856283e+01
3.089840e-01 8.59249106e+01
3.125000e-01 8.59652167e+01
3.171880e-01 8.60190128e+01
3.218750e-01 8.60944599e+01
3.253910e-01 8.61510960e+01
3.312500e-01 8.62715874e+01
3.335940e-01 8.63198167e+01
3.406250e-01 8.64950834e+01
3.417970e-01 8.65243103e+01
3.500000e-01 8.67638082e+01
3.593750e-01 8.70792503e+01
3.640630e-01 8.72588123e+01
3.687500e-01 8.74383993e+01
3.781250e-01 8.78404895e+01
3.875000e-01 8.82849941e+01
3.898440e-01 8.84065896e+01
3.968750e-01 8.87713930e+01
4.015630e-01 8.90354490e+01
4.062500e-01 8.92994920e+01
4.132810e-01 8.97265935e+01
4.156250e-01 8.98690021e+01
4.250000e-01 9.04798268e+01
4.343750e-01 9.11321058e+01
4.437500e-01 9.18260186e+01
4.531250e-01 9.25619799e+01
4.625000e-01 9.33408192e+01
5.000000e-01 9.69087708e+01
5.312500e-01 1.00434313e+02
5.546880e-01 1.03425650e+02
5.625000e-01 1.04532143e+02
5.781250e-01 1.06745595e+02
5.937500e-01 1.09195032e+02
6.015630e-01 1.10419994e+02
6.250000e-01 1.14481392e+02
6.562500e-01 1.20559271e+02
6.875000e-01 1.27465766e+02
7.031250e-01 1.31272570e+02
7.187500e-01 1.35355976e+02
7.343750e-01 1.39730758e+02
7.500000e-01 1.44417554e+02
7.656250e-01 1.49440747e+02
7.812500e-01 1.54829552e+02
7.968750e-01 1.60617967e+02
8.125000e-01 1.66841862e+02
8.281250e-01 1.73544861e+02
8.437500e-01 1.80773309e+02
8.593750e-01 1.88581420e+02
8.750000e-01 1.97030788e+02
8.906250e-01 2.06190062e+02
9.062500e-01 2.16138945e+02
9.218750e-01 2.26966276e+02
9.375000e-01 2.38769849e+02
9.531250e-01 2.51674026e+02
9.609380e-01 2.58583609e+02
9.687500e-01 2.65827219e+02
9.765630e-01 2.73429293e+02
9.843750e-01 2.81410378e+02
9.921880e-01 2.89795359e+02
1.000000e+00 2.98610078e+02
1.010650e+00 3.11370515e+02
1.021300e+00 3.25058383e+02
1.029720e+00 3.36678908e+02
1.031960e+00 3.39770544e+02
1.042610e+00 3.55617574e+02
1.053260e+00 3.72725104e+02
1.059450e+00 3.83479419e+02
1.063910e+00 3.91228524e+02
1.074560e+00 4.11285926e+02
1.085210e+00 4.33071850e+02
1.089170e+00 4.41825248e+02
1.094230e+00 4.53010569e+02
1.103240e+00 4.74475227e+02
1.104030e+00 4.76505289e+02
1.112250e+00 4.97628722e+02
1.118890e+00 5.16068058e+02
1.121260e+00 5.22649727e+02
1.130280e+00 5.49752884e+02
1.133750e+00 5.61082343e+02
1.139290e+00 5.79170706e+02
1.148300e+00 6.11184438e+02
1.148610e+00 6.12385787e+02
1.157310e+00 6.46101748e+02
1.161820e+00 6.64767803e+02
1.163480e+00 6.71956346e+02
1.166330e+00 6.84298371e+02
1.170830e+00 7.04757458e+02
1.175340e+00 7.26195672e+02
1.178340e+00 7.41156441e+02
1.179850e+00 7.48686839e+02
1.184350e+00 7.72291384e+02
1.188860e+00 7.97090404e+02
1.193200e+00 8.22238120e+02
1.193360e+00 8.23165241e+02
1.197870e+00 8.50613986e+02
1.202380e+00 8.79519436e+02
1.206880e+00 9.10002172e+02
1.208060e+00 9.18417185e+02
1.211390e+00 9.42165021e+02
1.215900e+00 9.76151281e+02
1.220400e+00 1.01207852e+03
1.222920e+00 1.03333506e+03
1.224910e+00 1.05012123e+03
1.229420e+00 1.09044217e+03
1.235560e+00 1.14943898e+03
1.237780e+00 1.17258031e+03
1.241710e+00 1.21354731e+03
1.247850e+00 1.28339857e+03
1.254000e+00 1.35970070e+03
1.254130e+00 1.36147043e+03
1.260140e+00 1.44328742e+03
1.263210e+00 1.48810522e+03
1.266290e+00 1.53511481e+03
1.269360e+00 1.58447884e+03
1.270480e+00 1.60339221e+03
1.272430e+00 1.63632215e+03
1.275500e+00 1.69086470e+03
1.278580e+00 1.74824030e+03
1.283080e+00 1.83803611e+03
1.286830e+00 1.91876416e+03
1.287590e+00 1.93512522e+03
1.292100e+00 2.04035053e+03
1.296600e+00 2.15463956e+03
1.301110e+00 2.27907387e+03
1.303170e+00 2.34124221e+03
1.305610e+00 2.41487913e+03
1.310120e+00 2.56347181e+03
1.314630e+00 2.72648798e+03
1.319130e+00 2.90587053e+03
1.319520e+00 2.92251842e+03
1.321390e+00 3.00234344e+03
1.323640e+00 3.10374550e+03
1.325890e+00 3.21046903e+03
1.328150e+00 3.32276291e+03
1.330400e+00 3.44106736e+03
1.332650e+00 3.56579394e+03
1.334910e+00 3.69745953e+03
1.335870e+00 3.75675264e+03
1.337160e+00 3.83642820e+03
1.339410e+00 3.98326456e+03
1.341660e+00 4.13854254e+03
1.343920e+00 4.30293215e+03
1.346170e+00 4.47692144e+03
1.348420e+00 4.66127612e+03
1.350680e+00 4.85673319e+03
1.352210e+00 4.99740578e+03
1.352830e+00 5.05441060e+03
1.354980e+00 5.26363124e+03
1.357130e+00 5.48515061e+03
1.359280e+00 5.71976310e+03
1.361430e+00 5.96829183e+03
1.363580e+00 6.23159818e+03
1.365730e+00 6.51057227e+03
1.367880e+00 6.80597018e+03
1.368560e+00 6.90451294e+03
1.370040e+00 7.11898900e+03
1.372190e+00 7.45041311e+03
1.374340e+00 7.80116107e+03
1.376490e+00 8.17194113e+03
1.378640e+00 8.56395923e+03
1.380790e+00 8.97784708e+03
1.382940e+00 9.41431291e+03
1.384170e+00 9.67718055e+03
1.385090e+00 9.87379746e+03
1.387340e+00 1.03806883e+04
1.389600e+00 1.09140908e+04
1.391850e+00 1.14741006e+04
1.394100e+00 1.20606222e+04
1.396360e+00 1.26734640e+04
