Se-77(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 2115.63
1.03125E-05 2083.33
1.06250E-05 2052.46
1.09375E-05 2022.93
1.12500E-05 1994.64
1.15625E-05 1967.50
1.18750E-05 1941.44
1.21875E-05 1916.38
1.25000E-05 1892.28
1.28125E-05 1869.06
1.31250E-05 1846.67
1.34375E-05 1825.08
1.37500E-05 1804.22
1.43750E-05 1764.56
1.50000E-05 1727.41
1.56250E-05 1692.50
1.62500E-05 1659.64
1.68750E-05 1628.61
1.75000E-05 1599.27
1.81250E-05 1571.45
1.87500E-05 1545.04
1.93750E-05 1519.91
2.00000E-05 1495.98
2.09375E-05 1462.10
2.18750E-05 1430.43
2.28125E-05 1400.73
2.37500E-05 1372.80
2.46875E-05 1346.48
2.56250E-05 1321.62
2.65625E-05 1298.09
2.75000E-05 1275.77
2.84375E-05 1254.57
2.93750E-05 1234.39
3.03125E-05 1215.15
3.12500E-05 1196.78
3.21875E-05 1179.22
3.31250E-05 1162.42
3.40625E-05 1146.31
3.50000E-05 1130.85
3.59375E-05 1116.00
3.68750E-05 1101.73
3.78125E-05 1087.98
3.87500E-05 1074.74
3.96875E-05 1061.97
4.06250E-05 1049.65
4.25000E-05 1026.23
4.43750E-05 1004.32
4.62500E-05 983.747
4.81250E-05 964.392
5.00000E-05 946.137
5.15625E-05 931.691
5.31250E-05 917.887
5.46875E-05 904.680
5.62500E-05 892.026
5.78125E-05 879.889
5.93750E-05 868.234
6.09375E-05 857.031
6.25000E-05 846.250
6.40625E-05 835.866
6.56250E-05 825.855
6.71875E-05 816.196
6.87500E-05 806.867
7.18750E-05 789.132
7.50000E-05 772.516
7.81250E-05 756.908
8.12500E-05 742.210
8.43750E-05 728.335
8.75000E-05 715.211
9.06250E-05 702.771
9.37500E-05 690.959
9.68750E-05 679.723
0.000100000 669.018
0.000103125 658.803
0.000106250 649.043
0.000109375 639.703
0.000112500 630.756
0.000115625 622.174
0.000118750 613.932
0.000121875 606.010
0.000125000 598.387
0.000128125 591.044
0.000131250 583.966
0.000134375 577.135
0.000137500 570.539
0.000143750 557.998
0.000150000 546.249
0.000156250 535.213
0.000162500 524.819
0.000168750 515.008
0.000175000 505.728
0.000181250 496.932
0.000187500 488.579
0.000193750 480.634
0.000200000 473.065
0.000209375 462.352
0.000218750 452.336
0.000228125 442.943
0.000237500 434.113
0.000246875 425.790
0.000256250 417.929
0.000265625 410.487
0.000275000 403.429
0.000284375 396.723
0.000293750 390.341
0.000303125 384.257
0.000312500 378.449
0.000321875 372.897
0.000331250 367.582
0.000340625 362.488
0.000350000 357.600
0.000359375 352.905
0.000368750 348.390
0.000378125 344.044
0.000387500 339.856
0.000396875 335.818
0.000406250 331.920
0.000425000 324.516
0.000443750 317.585
0.000462500 311.081
0.000481250 304.960
0.000500000 299.187
0.000515625 294.619
0.000531250 290.254
0.000546875 286.077
0.000562500 282.076
0.000578125 278.238
0.000593750 274.552
0.000609375 271.009
0.000625000 267.600
0.000640625 264.316
0.000656250 261.150
0.000671875 258.095
0.000687500 255.145
0.000718750 249.537
0.000750000 244.282
0.000781250 239.346
0.000812500 234.698
0.000843750 230.310
0.000875000 226.160
0.000906250 222.226
0.000937500 218.491
0.000968750 214.937
0.00100000 211.552
0.00103125 208.322
0.00106250 205.235
0.00109375 202.281
0.00112500 199.452
0.00115625 196.738
0.00118750 194.131
