Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.00593750 9.52442
0.00609375 9.50690
0.00625000 9.49011
0.00640625 9.47401
0.00656250 9.45855
0.00671875 9.44369
0.00687500 9.42940
0.00718750 9.40238
0.00750000 9.37724
0.00781250 9.35379
0.00812500 9.33184
0.00843750 9.31125
0.00875000 9.29188
0.00906250 9.27362
0.00937500 9.25638
0.00968750 9.24005
0.0100000 9.22457
0.0103125 9.20987
0.0106250 9.19588
0.0109375 9.18255
0.0112500 9.16984
0.0115625 9.15769
0.0118750 9.14606
0.0121875 9.13493
0.0125000 9.12425
0.0128125 9.11400
0.0131250 9.10415
0.0134375 9.09468
0.0137500 9.08556
0.0143750 9.06829
0.0150000 9.05221
0.0156250 9.03717
0.0162500 9.02309
0.0168750 9.00985
0.0175000 8.99739
0.0181250 8.98562
0.0187500 8.97450
0.0193750 8.96395
0.0200000 8.95395
0.0206625 8.94387
0.0213250 8.93431
0.0219875 8.92521
0.0226500 8.91654
0.0233125 8.90827
0.0239750 8.90037
0.0246375 8.89282
0.0253000 8.88558
0.0264578 8.87363
0.0276156 8.86249
0.0287734 8.85208
0.0299313 8.84231
0.0310891 8.83313
0.0322469 8.82448
0.0334047 8.81631
0.0345625 8.80858
0.0355274 8.80244
0.0364922 8.79657
0.0374570 8.79093
0.0384219 8.78552
0.0393867 8.78033
0.0403516 8.77532
0.0413164 8.77051
0.0422813 8.76587
0.0442109 8.75707
0.0461406 8.74886
0.0480703 8.74118
0.0500000 8.73397
0.0515625 8.72844
0.0531250 8.72317
0.0546875 8.71814
0.0562500 8.71334
0.0578125 8.70873
0.0593750 8.70432
0.0609375 8.70009
0.0625000 8.69603
0.0640625 8.69212
0.0656250 8.68836
0.0671875 8.68474
0.0687500 8.68125
0.0718750 8.67462
0.0750000 8.66843
0.0781250 8.66263
0.0812500 8.65718
0.0843750 8.65205
0.0875000 8.64720
0.0906250 8.64262
0.0937500 8.63828
0.0968750 8.63416
0.100000 8.63023
0.103125 8.62650
0.106250 8.62294
0.109375 8.61953
0.112500 8.61628
0.115625 8.61316
0.118750 8.61017
0.121875 8.60730
0.125000 8.60454
0.128125 8.60189
0.131250 8.59934
0.134375 8.59688
0.137500 8.59450
0.143750 8.58999
0.150000 8.58578
0.156250 8.58183
0.162500 8.57811
0.168750 8.57460
0.175000 8.57129
0.181250 8.56816
0.187500 8.56519
0.193750 8.56237
0.200000 8.55969
0.209375 8.55590
0.218750 8.55235
0.228125 8.54904
0.237500 8.54592
0.246875 8.54299
0.256250 8.54022
0.265625 8.53760
0.275000 8.53512
0.284375 8.53277
0.293750 8.53053
0.303125 8.52840
0.312500 8.52637
0.321875 8.52442
0.331250 8.52257
0.340625 8.52079
0.350000 8.51908
0.359375 8.51744
0.368750 8.51586
0.378125 8.51435
0.387500 8.51289
0.396875 8.51148
0.406250 8.51012
0.425000 8.50755
0.443750 8.50513
0.462500 8.50287
0.500000 8.49874
0.531250 8.49563
0.562500 8.49278
0.593750 8.49016
