17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
3.968750e-03 1.02051099e+02
4.062500e-03 1.01034547e+02
4.250000e-03 9.91041042e+01
4.437500e-03 9.72991309e+01
4.625000e-03 9.56059369e+01
4.812500e-03 9.40138746e+01
5.000000e-03 9.25130612e+01
5.156250e-03 9.13262541e+01
5.312500e-03 9.01926753e+01
5.468750e-03 8.91077623e+01
5.625000e-03 8.80699878e+01
5.781250e-03 8.70740363e+01
5.937500e-03 8.61183832e+01
6.093750e-03 8.51999882e+01
6.250000e-03 8.43165688e+01
6.406250e-03 8.34658450e+01
6.562500e-03 8.26462943e+01
6.718750e-03 8.18556342e+01
6.875000e-03 8.10923495e+01
7.187500e-03 7.96410516e+01
7.500000e-03 7.82832682e+01
7.812500e-03 7.70076037e+01
8.125000e-03 7.58071325e+01
8.437500e-03 7.46744792e+01
8.750000e-03 7.36035612e+01
9.062500e-03 7.25889067e+01
9.375000e-03 7.16257994e+01
9.687500e-03 7.07100554e+01
1.000000e-02 6.98378769e+01
1.031250e-02 6.90059161e+01
1.062500e-02 6.82112086e+01
1.093750e-02 6.74510174e+01
1.125000e-02 6.67229108e+01
1.156250e-02 6.60247554e+01
1.187500e-02 6.53545767e+01
1.218750e-02 6.47104000e+01
1.250000e-02 6.40907811e+01
1.281250e-02 6.34940434e+01
1.312500e-02 6.29188944e+01
1.343750e-02 6.23641217e+01
1.375000e-02 6.18284327e+01
1.437500e-02 6.08101903e+01
1.500000e-02 5.98567208e+01
1.562500e-02 5.89613307e+01
1.625000e-02 5.81183187e+01
1.687500e-02 5.73228972e+01
1.750000e-02 5.65707310e+01
1.812500e-02 5.58579419e+01
1.875000e-02 5.51812648e+01
1.937500e-02 5.45378063e+01
2.000000e-02 5.39249076e+01
2.066250e-02 5.33060068e+01
2.132500e-02 5.27162191e+01
2.198750e-02 5.21534965e+01
2.265000e-02 5.16157813e+01
2.331250e-02 5.11011772e+01
2.397500e-02 5.06082374e+01
2.463750e-02 5.01353661e+01
2.530000e-02 4.96812706e+01
2.645780e-02 4.89292875e+01
2.761560e-02 4.82251931e+01
2.877340e-02 4.75643541e+01
2.993130e-02 4.69422811e+01
3.108910e-02 4.63554796e+01
3.224690e-02 4.58006796e+01
3.340470e-02 4.52750685e+01
3.456250e-02 4.47761412e+01
3.552740e-02 4.43792184e+01
3.649220e-02 4.39981827e+01
3.745700e-02 4.36320445e+01
3.842190e-02 4.32797431e+01
3.938670e-02 4.29405136e+01
4.035160e-02 4.26135984e+01
4.131640e-02 4.22982376e+01
4.228130e-02 4.19936710e+01
4.421090e-02 4.14149436e+01
4.614060e-02 4.08729271e+01
4.807030e-02 4.03639777e+01
5.000000e-02 3.98849014e+01
5.156250e-02 3.95168716e+01
5.312500e-02 3.91652617e+01
5.468750e-02 3.88288523e+01
5.625000e-02 3.85066585e+01
5.781250e-02 3.81976148e+01
5.937500e-02 3.79008830e+01
6.093750e-02 3.76157055e+01
6.250000e-02 3.73413223e+01
6.406250e-02 3.70770467e+01
6.562500e-02 3.68222726e+01
6.718750e-02 3.65764696e+01
6.875000e-02 3.63391003e+01
7.187500e-02 3.58878540e+01
7.500000e-02 3.54650340e+01
7.812500e-02 3.50679032e+01
8.125000e-02 3.46938811e+01
8.437500e-02 3.43408366e+01
8.750000e-02 3.40068685e+01
9.062500e-02 3.36903100e+01
