Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,334.706,(9),442.622,6.52245,(0),261.864,(1),none
1,182.467,(6),183.622,1.80743,(3),303.193,(0),none
2,161.909,(1),111.985,1.51501,(4),211.783,(2),none
3,170.332,(4),111.663,1.39144,(5),209.377,(3),none
4,177.35,(5),100.975,1.2087,(6),204.391,(4),none
5,234.14,(8),100.077,2.50841,(1),105.66,(8),none
6,207.841,(7),88.2106,2.41752,(2),103.598,(9),none
7,166.063,(3),77.7825,1.03527,(7),184.271,(7),none
8,163.763,(2),73.2849,0.865777,(8),202.434,(5),none
9,73.1725,(0),16.2192,0.202684,(9),198.346,(6),none
