Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
97,45.8915,(37),1.07105,0.0878636,(103),11.5403,(35),none
98,43.3818,(28),0.91363,0.344306,(62),13.1375,(24),none
99,49.3619,(50),0.864518,0.0650227,(110),5.97264,(107),none
100,40.8991,(16),0.842867,0.13737,(90),9.85979,(47),none
101,48.5407,(47),0.779595,0.047901,(115),16.3449,(17),none
102,47.944,(45),0.753798,0.0979007,(100),12.0738,(32),none
103,42.728,(25),0.753746,0.0765503,(104),9.20289,(56),none
104,46.0141,(38),0.691714,0.0464603,(116),23.6845,(12),none
105,42.8263,(26),0.680082,0.194147,(82),11.0975,(37),none
106,41.9618,(22),0.6366,0.214219,(77),11.2023,(36),none
107,52.5577,(58),0.627152,0.034316,(121),22.9628,(13),none
108,50.5238,(53),0.579156,0.13152,(92),8.46812,(71),none
109,54.7628,(63),0.528576,0.0741325,(106),8.45161,(72),none
110,44.8879,(34),0.506683,0.0566927,(111),87.4237,(4),none
111,47.3058,(43),0.429495,0.0372093,(119),25.1293,(11),none
112,41.6454,(19),0.299542,0.129997,(93),12.0818,(31),none
113,44.1935,(31),0.254926,0.0379798,(118),8.5698,(66),none
114,57.7434,(67),0.253163,0.0947288,(101),12.2753,(28),none
115,41.8214,(20),0.189903,0.0259476,(122),11.915,(33),none
116,39.6488,(10),0.189609,0.0757828,(105),8.702,(64),none
117,38.9861,(6),0.175879,0.0708446,(109),9.70857,(49),none
118,39.7569,(11),0.159555,0.0720317,(107),9.49706,(52),none
119,39.3281,(8),0.152839,0.0129067,(123),74.3273,(5),none
120,41.8847,(21),0.144271,0.0443598,(117),9.60504,(50),none
121,0.550184,(0),0.109746,0.31489,(65),4.994,(118),none
122,1.69578,(1),0.0,6.79318,(9),5.755,(110),none
123,37.9375,(2),0.0,1.46749,(26),12.3242,(27),none
