Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
95,35.0399,(42),0.103772,0.0371763,(106),0.361329,(24),none
96,33.1537,(32),0.103542,0.0854911,(94),0.059899,(69),none
97,32.9541,(31),0.10291,0.284008,(60),0.0131436,(113),none
98,31.5571,(24),0.0899086,0.0570763,(104),0.111516,(49),none
99,29.0644,(4),0.0871246,0.0732829,(99),0.16952,(40),none
100,38.9814,(58),0.0860315,0.188486,(74),0.0166156,(106),none
101,30.8791,(18),0.0848369,0.132416,(85),0.0304768,(91),none
102,30.2593,(12),0.0814624,0.0872386,(92),0.0416569,(85),none
103,28.5729,(1),0.0769116,0.051316,(105),0.205682,(35),none
104,32.1936,(28),0.0737244,0.155322,(81),0.0232159,(99),none
105,29.9428,(10),0.0685231,0.0862998,(93),0.0275881,(95),none
106,31.4717,(23),0.0662689,0.0714954,(100),0.0462185,(83),none
107,30.0948,(11),0.0647044,0.201418,(71),0.010681,(117),none
108,28.6612,(2),0.0591373,0.0678186,(101),0.0536752,(77),none
109,29.1539,(6),0.0570744,0.0307255,(108),0.209691,(34),none
110,31.1371,(20),0.0540941,0.0228306,(112),0.663632,(16),none
111,30.4312,(14),0.049481,0.0675731,(102),0.0504255,(80),none
112,32.0153,(26),0.0482908,0.0199567,(114),0.593045,(18),none
113,30.3517,(13),0.0460617,0.020328,(113),0.428733,(22),none
114,29.1102,(5),0.0370645,0.0186143,(115),0.320319,(25),none
115,31.1731,(21),0.0341529,0.0129276,(117),2.05714,(6),none
116,30.4797,(15),0.0251613,0.0173746,(116),0.187709,(37),none
117,34.376,(38),0.0181842,0.00714202,(118),9.76832,(0),none
118,32.051,(27),0.00630358,0.00494445,(119),8.75627,(1),none
119,28.3513,(0),0.0,0.776566,(31),0.0116158,(115),none
