Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
293,37.91,(277),0.0750305,0.025477,(362),51.9054,(38),none
294,35.4427,(261),0.0750014,0.0403564,(319),6.87143,(401),none
295,26.3824,(163),0.0737186,0.0589016,(271),14.8863,(140),none
296,29.8036,(203),0.0732441,0.0135759,(414),17.6097,(107),none
297,19.6137,(76),0.0722674,0.0235707,(372),9.54419,(329),none
298,40.0492,(289),0.0720576,0.0314752,(339),21.427,(81),none
299,17.0841,(43),0.0717277,0.0153706,(408),66.3195,(28),none
300,14.7125,(34),0.0711308,0.276883,(99),14.0906,(160),none
301,28.7501,(191),0.0709973,0.0526038,(287),6.69285,(409),none
302,25.5223,(153),0.0680367,0.0419804,(315),9.23841,(341),none
303,30.1584,(207),0.0662002,0.0464983,(302),6.87401,(400),none
304,46.9319,(326),0.0641495,0.0199483,(390),181.043,(10),none
305,30.003,(205),0.0615203,0.0281511,(349),10.6333,(291),none
306,25.665,(155),0.0614864,0.0641984,(258),11.4036,(261),none
307,24.6995,(142),0.0612309,0.0476463,(299),10.312,(303),none
308,30.6086,(212),0.0593836,0.0254808,(361),10.3546,(301),none
309,42.9246,(305),0.0588393,0.0220055,(380),14.3854,(154),none
310,22.5651,(111),0.0578931,0.017569,(396),10.5596,(295),none
311,27.4885,(176),0.0571003,0.0810367,(224),12.1792,(225),none
312,17.1872,(46),0.0556123,0.0630405,(261),10.0775,(313),none
313,30.388,(210),0.0538983,0.0247865,(367),7.67648,(379),none
314,67.3351,(380),0.0535505,0.297684,(95),8.30579,(363),none
315,27.8262,(181),0.0532341,0.0200847,(389),20.9814,(84),none
316,23.5797,(125),0.0516457,0.0143631,(411),21.9981,(76),none
317,44.8163,(318),0.0513502,0.0169019,(401),31.7601,(59),none
318,24.6214,(140),0.0493815,0.0305244,(341),8.94337,(347),none
319,28.1294,(183),0.0479084,0.0249309,(366),102.402,(18),none
320,17.7417,(54),0.047658,0.0699332,(244),11.2826,(266),none
321,32.1145,(233),0.0468861,0.0171639,(397),34.5109,(55),none
322,29.5858,(200),0.0467984,0.0413933,(318),9.26965,(338),none
323,24.4166,(138),0.0464155,0.116286,(172),8.0614,(368),none
324,32.612,(240),0.0450745,0.1075,(184),13.4309,(181),none
325,17.2468,(47),0.0450195,0.0560029,(277),10.0325,(316),none
326,31.6512,(227),0.0449423,0.0214324,(381),11.7862,(242),none
327,21.964,(104),0.0445089,0.0242414,(369),9.21431,(342),none
328,25.3036,(150),0.0443079,0.059416,(269),9.75057,(323),none
329,23.2759,(121),0.0437844,0.0269539,(355),10.8969,(280),none
330,31.4639,(224),0.0432759,0.0474794,(300),10.2067,(309),none
331,42.9951,(306),0.0420944,0.019205,(394),13.7294,(171),none
332,21.5011,(98),0.0414686,0.0708542,(241),11.4089,(260),none
333,24.5317,(139),0.0398052,0.0675045,(254),8.87894,(349),none
334,12.6442,(20),0.0396965,0.255232,(104),13.7214,(172),none
335,23.6443,(128),0.0394059,0.0273155,(354),11.0427,(276),none
336,23.6146,(126),0.0382896,0.0119249,(419),10.0592,(314),none
337,13.2895,(23),0.0367374,0.0199133,(391),21.9715,(77),none
338,41.2642,(295),0.0366321,0.0163685,(403),13.5713,(176),none
339,23.1672,(120),0.0365079,0.0868421,(218),9.40232,(331),none
