Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
268,4.39902,(392),0.0171003,0.0119903,(620),4.65304,(401),none
269,1.97418,(85),0.0169141,0.0240082,(394),3.62688,(672),none
270,1.97914,(86),0.0169141,0.0240082,(395),3.61137,(673),none
271,27.7331,(886),0.0168832,0.567095,(21),3.43517,(717),none
272,3.63979,(314),0.0167727,0.00869969,(689),3.16262,(793),none
273,6.21064,(597),0.0163774,0.00518275,(773),8.10431,(89),none
274,2.68878,(192),0.0162867,0.0163525,(529),4.4031,(461),none
275,8.52769,(737),0.0161806,0.023641,(404),8.18364,(87),none
276,8.33192,(730),0.0161772,0.0448048,(192),3.02035,(819),none
277,2.82319,(210),0.0160389,0.00990159,(664),2.82695,(855),none
278,7.25404,(676),0.0154417,0.015486,(549),2.79047,(857),none
279,7.06736,(667),0.0152999,0.0190032,(479),5.85358,(211),none
280,9.91744,(779),0.0151941,0.0205673,(452),6.8237,(148),none
281,3.0068,(238),0.0151941,0.0171009,(512),4.19614,(520),none
282,3.0086,(239),0.0151941,0.0171009,(513),4.29542,(487),none
283,2.30458,(140),0.0147391,0.0180039,(496),3.41967,(723),none
284,2.30818,(141),0.0147391,0.0180039,(497),3.80605,(630),none
285,1.70046,(42),0.0144613,0.0324174,(293),3.43475,(718),none
286,2.50621,(168),0.0144401,0.0192029,(470),3.66967,(659),none
287,2.51071,(169),0.0144401,0.0192029,(471),4.48727,(438),none
288,2.51671,(170),0.0144401,0.0192029,(472),4.60682,(411),none
289,3.55159,(305),0.0143017,0.0211471,(441),3.68595,(655),none
290,6.16835,(592),0.0142196,0.0278739,(341),7.07259,(132),none
291,6.56627,(631),0.0140595,0.0172944,(509),7.7294,(103),none
292,7.21826,(674),0.0140084,0.0193591,(467),17.5103,(13),none
293,8.97185,(752),0.0137016,0.0325813,(291),5.18118,(302),none
294,7.36631,(682),0.0136785,0.0101895,(651),2.98645,(825),none
295,6.97697,(661),0.0136393,0.0160403,(535),4.22186,(513),none
296,7.81731,(705),0.0135057,0.0235511,(408),4.53515,(423),none
297,3.23315,(266),0.0133161,0.010047,(657),2.87015,(848),none
298,2.73739,(199),0.0131428,0.0126002,(608),3.87352,(620),none
299,6.26269,(603),0.0130609,0.0121292,(614),11.1089,(44),none
300,12.1482,(826),0.0130304,0.0341084,(277),4.25741,(501),none
301,3.4448,(293),0.0128078,0.0145514,(560),3.7513,(647),none
302,2.52901,(171),0.0127611,0.0116999,(628),3.57219,(683),none
303,2.59367,(178),0.0126488,0.0108033,(638),3.51441,(702),none
304,6.11617,(586),0.0125573,0.0233828,(411),5.91249,(204),none
305,3.2753,(271),0.0124629,0.0134967,(588),4.04847,(564),none
306,9.35989,(765),0.012456,0.0528615,(155),3.39215,(729),none
307,3.09755,(250),0.012405,0.00810034,(703),3.59883,(675),none
308,14.9108,(849),0.0123578,0.0258744,(363),1.0644,(902),none
309,2.01215,(90),0.0123548,0.0156063,(545),2.95874,(832),none
310,9.13888,(759),0.0123512,0.0149082,(555),7.02397,(135),none
311,3.39965,(286),0.0121199,0.0142539,(571),5.67402,(234),none
312,2.015,(91),0.0120572,0.0157555,(540),3.67764,(658),none
313,2.67978,(191),0.011985,0.0108017,(641),3.33283,(754),none
314,2.63207,(185),0.0119316,0.00720117,(728),2.278,(886),none
315,6.17517,(593),0.0118618,0.0277752,(343),7.77299,(102),none
316,8.31775,(729),0.0118475,0.042161,(210),2.5113,(872),none
317,1.71727,(46),0.0117794,0.0180098,(494),2.99054,(823),none
318,6.44249,(623),0.0117479,0.0165653,(524),3.02508,(816),none
319,3.2546,(269),0.0116377,0.0252025,(376),4.08973,(552),none
320,3.2618,(270),0.0116377,0.0252025,(377),3.74054,(649),none
321,1.71487,(45),0.0116218,0.0183093,(487),3.33958,(749),none
322,1.72207,(47),0.0116218,0.0183093,(488),3.22673,(775),none
323,1.72808,(48),0.0116218,0.0183093,(489),3.3724,(735),none
324,10.0265,(785),0.0115678,0.065797,(125),4.12464,(543),none
325,6.55238,(629),0.0114587,0.0176041,(507),8.13799,(88),none
326,6.14991,(589),0.0110866,0.00558941,(763),8.00677,(91),none
327,3.96586,(350),0.0110059,0.019645,(464),4.81174,(372),none
328,7.78255,(702),0.0108968,0.00830455,(698),4.11185,(545),none
329,2.48581,(166),0.0108493,0.0117027,(623),4.01639,(582),none
