Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
0,287.195,(7),5483.11,4.79475,(3),3122.83,(0),none
1,702.931,(10),1823.93,37.1168,(0),149.157,(6),none
2,454.267,(9),874.811,11.9118,(1),195.043,(3),none
3,173.399,(4),560.531,1.63874,(5),930.191,(1),none
4,329.474,(8),358.603,6.35918,(2),165.067,(5),none
5,187.412,(6),73.5984,1.67944,(4),114.019,(9),none
6,177.432,(5),59.0111,1.2758,(6),119.169,(8),none
7,122.343,(2),55.1252,0.723897,(8),242.066,(2),none
8,134.816,(3),40.7984,0.73011,(7),134.972,(7),none
9,98.4109,(1),35.2249,0.518926,(9),185.44,(4),none
10,79.9046,(0),9.91978,0.232355,(10),102.399,(10),none
