>,14-Si-30:0.030920
9.687500e-04,8.42813298e-01
1.000000e-03,8.29540175e-01
1.031250e-03,8.16874492e-01
1.062500e-03,8.04772353e-01
1.093750e-03,7.93191922e-01
1.125000e-03,7.82097962e-01
1.156250e-03,7.71456452e-01
1.187500e-03,7.61238091e-01
1.218750e-03,7.51414642e-01
1.250000e-03,7.41962694e-01
1.281250e-03,7.32858746e-01
1.312500e-03,7.24081528e-01
1.343750e-03,7.15612367e-01
1.375000e-03,7.07433775e-01
1.437500e-03,6.91883931e-01
1.500000e-03,6.77315951e-01
1.562500e-03,6.63631384e-01
1.625000e-03,6.50744359e-01
1.687500e-03,6.38579852e-01
1.750000e-03,6.27072478e-01
1.812500e-03,6.16166699e-01
1.875000e-03,6.05809945e-01
1.937500e-03,5.95958210e-01
2.000000e-03,5.86572522e-01
2.093750e-03,5.73290586e-01
2.187500e-03,5.60870639e-01
2.281250e-03,5.49224840e-01
2.375000e-03,5.38276118e-01
2.468750e-03,5.27956416e-01
2.562500e-03,5.18208992e-01
2.656250e-03,5.08981309e-01
2.750000e-03,5.00230329e-01
2.843750e-03,4.91916188e-01
2.937500e-03,4.84002834e-01
3.031250e-03,4.76459028e-01
3.125000e-03,4.69257408e-01
3.218750e-03,4.62373674e-01
3.312500e-03,4.55783416e-01
3.406250e-03,4.49467178e-01
3.500000e-03,4.43406334e-01
3.593750e-03,4.37584458e-01
3.687500e-03,4.31986721e-01
3.781250e-03,4.26597762e-01
3.875000e-03,4.21405703e-01
3.968750e-03,4.16398873e-01
4.062500e-03,4.11565627e-01
4.250000e-03,4.02384731e-01
4.437500e-03,3.93791772e-01
4.625000e-03,3.85727241e-01
4.812500e-03,3.78138539e-01
5.000000e-03,3.70979863e-01
5.156250e-03,3.65315883e-01
5.312500e-03,3.59903483e-01
5.468750e-03,3.54725051e-01
5.625000e-03,3.49763148e-01
5.781250e-03,3.45004975e-01
5.937500e-03,3.40434936e-01
6.093750e-03,3.36041498e-01
6.250000e-03,3.31814692e-01
6.406250e-03,3.27742984e-01
6.562500e-03,3.23817498e-01
6.718750e-03,3.20030422e-01
6.875000e-03,3.16373081e-01
7.187500e-03,3.09418197e-01
7.500000e-03,3.02903964e-01
7.812500e-03,2.96783721e-01
8.125000e-03,2.91020291e-01
8.437500e-03,2.85580528e-01
8.750000e-03,2.80434335e-01
9.062500e-03,2.75557193e-01
9.375000e-03,2.70925755e-01
9.687500e-03,2.66519659e-01
1.000000e-02,2.62322138e-01
1.031250e-02,2.58317596e-01
1.062500e-02,2.54489654e-01
1.093750e-02,2.50828422e-01
1.125000e-02,2.47320242e-01
1.156250e-02,2.43954455e-01
1.187500e-02,2.40723217e-01
1.218750e-02,2.37617668e-01
1.250000e-02,2.34628243e-01
1.281250e-02,2.31748973e-01
1.312500e-02,2.28973999e-01
1.343750e-02,2.26295599e-01
1.375000e-02,2.23708837e-01
1.437500e-02,2.18791721e-01
1.500000e-02,2.14185677e-01
1.562500e-02,2.09857529e-01
1.625000e-02,2.05782775e-01
1.687500e-02,2.01935361e-01
1.750000e-02,1.98296523e-01
1.812500e-02,1.94847788e-01
1.875000e-02,1.91572685e-01
1.937500e-02,1.88457447e-01
2.000000e-02,1.85489416e-01
2.066250e-02,1.82491208e-01
2.132500e-02,1.79634364e-01
2.198750e-02,1.76907177e-01
2.265000e-02,1.74299958e-01
2.331250e-02,1.71805849e-01
2.397500e-02,1.69416003e-01
2.463750e-02,1.67122701e-01
2.530000e-02,1.64920115e-01
2.645780e-02,1.61270618e-01
2.761560e-02,1.57854075e-01
2.877340e-02,1.54646200e-01
2.993130e-02,1.51625574e-01
3.108910e-02,1.48775558e-01
3.224690e-02,1.46080534e-01
3.340470e-02,1.43526942e-01
3.456250e-02,1.41102964e-01
3.552740e-02,1.39173410e-01
3.649220e-02,1.37321794e-01
3.745700e-02,1.35541396e-01
3.842190e-02,1.33828286e-01
3.938670e-02,1.32179474e-01
4.035160e-02,1.30589216e-01
4.131640e-02,1.29055476e-01
4.228130e-02,1.27574394e-01
4.421090e-02,1.24758520e-01
4.614060e-02,1.22122003e-01
4.807030e-02,1.19645416e-01
5.000000e-02,1.17313159e-01
5.156250e-02,1.15522011e-01
5.312500e-02,1.13810804e-01
5.468750e-02,1.12172765e-01
5.625000e-02,1.10603926e-01
5.781250e-02,1.09099431e-01
5.937500e-02,1.07654433e-01
6.093750e-02,1.06265036e-01
6.250000e-02,1.04928275e-01
6.406250e-02,1.03641216e-01
6.562500e-02,1.02400010e-01
6.718750e-02,1.01202660e-01
6.875000e-02,1.00046267e-01
7.187500e-02,9.78475669e-02
7.500000e-02,9.57876161e-02
7.812500e-02,9.38523692e-02
8.125000e-02,9.20298371e-02
8.437500e-02,9.03092965e-02
8.750000e-02,8.86817651e-02
9.062500e-02,8.71390652e-02
9.375000e-02,8.56741724e-02
9.687500e-02,8.42806577e-02
1.000000e-01,8.29530501e-02
1.031250e-01,8.16862849e-02
1.062500e-01,8.04758788e-02
1.093750e-01,7.93177310e-02
1.125000e-01,7.82082428e-02
1.156250e-01,7.71440886e-02
1.187500e-01,7.61223526e-02
1.218750e-01,7.51402030e-02
1.250000e-01,7.41951974e-02
1.281250e-01,7.32850103e-02
1.312500e-01,7.24076683e-02
1.343750e-01,7.15610490e-02
1.375000e-01,7.07434821e-02
1.437500e-01,6.91889899e-02
1.500000e-01,6.77325810e-02
1.562500e-01,6.63642212e-02
1.625000e-01,6.50754219e-02
1.687500e-01,6.38588711e-02
1.750000e-01,6.27081337e-02
1.812500e-01,6.16174589e-02
1.875000e-01,6.05818804e-02
1.937500e-01,5.95969992e-02
2.000000e-01,5.86586257e-02
2.093750e-01,5.73306290e-02
2.187500e-01,5.60887343e-02
2.281250e-01,5.49240544e-02
2.375000e-01,5.38288931e-02
2.468750e-01,5.27966275e-02
2.562500e-01,5.18214960e-02
2.656250e-01,5.08985277e-02
2.750000e-01,5.00231406e-02
2.843750e-01,4.91914373e-02
2.937500e-01,4.83999066e-02
3.031250e-01,4.76453291e-02
3.125000e-01,4.69250718e-02
3.218750e-01,4.62365015e-02
3.312500e-01,4.55773835e-02
3.406250e-01,4.49457519e-02
3.500000e-01,4.43395752e-02
3.593750e-01,4.37574752e-02
3.687500e-01,4.31977140e-02
3.781250e-01,4.26590056e-02
3.875000e-01,4.21400966e-02
3.968750e-01,4.16398058e-02
4.062500e-01,4.11569704e-02
4.250000e-01,4.02395652e-02
4.437500e-01,3.93806568e-02
4.625000e-01,3.85744976e-02
5.000000e-01,3.71014178e-02
5.312500e-01,3.59948518e-02
5.625000e-01,3.49806230e-02
5.937500e-01,3.40471204e-02
6.250000e-01,3.31844147e-02
6.875000e-01,3.16392800e-02
7.500000e-01,3.02916839e-02
8.125000e-01,2.91032149e-02
8.750000e-01,2.80469665e-02
9.375000e-01,2.70979666e-02
1.000000e+00,2.62370080e-02
