>,28-Ni-60:0.262230
>,28-Ni-61:0.011399
>,28-Ni-62:0.036346
>,28-Ni-64:0.009255
1.187500e-02,5.70822968e+01
1.218750e-02,5.65727941e+01
1.250000e-02,5.60823878e+01
1.281250e-02,5.56102766e+01
1.312500e-02,5.51548689e+01
1.343750e-02,5.47158247e+01
1.375000e-02,5.42916845e+01
1.437500e-02,5.34852514e+01
1.500000e-02,5.27301075e+01
1.562500e-02,5.20210648e+01
1.625000e-02,5.13532008e+01
1.687500e-02,5.07229215e+01
1.750000e-02,5.01269021e+01
1.812500e-02,4.95620111e+01
1.875000e-02,4.90261205e+01
1.937500e-02,4.85163022e+01
2.000000e-02,4.80306338e+01
2.066250e-02,4.75405083e+01
2.132500e-02,4.70736341e+01
2.198750e-02,4.66282415e+01
2.265000e-02,4.62027380e+01
2.331250e-02,4.57957354e+01
2.397500e-02,4.54058369e+01
2.463750e-02,4.50319939e+01
2.500000e-02,4.48355756e+01
2.530000e-02,4.46730225e+01
2.590080e-02,4.43633110e+01
2.636680e-02,4.41240920e+01
2.645780e-02,4.40797853e+01
2.647500e-02,4.40714164e+01
2.650160e-02,4.40584738e+01
2.743350e-02,4.36078390e+01
2.761560e-02,4.35241577e+01
2.765000e-02,4.35083595e+01
2.770310e-02,4.34839734e+01
2.850030e-02,4.31208001e+01
2.877340e-02,4.30023043e+01
2.890470e-02,4.29453693e+01
2.956700e-02,4.26603556e+01
2.993130e-02,4.25108103e+01
3.000000e-02,4.24826249e+01
3.010630e-02,4.24390135e+01
3.063370e-02,4.22242200e+01
3.108910e-02,4.20470264e+01
3.130780e-02,4.19619784e+01
3.170050e-02,4.18102901e+01
3.224690e-02,4.16083085e+01
3.250940e-02,4.15113255e+01
3.276720e-02,4.14167206e+01
3.340470e-02,4.11925592e+01
3.371090e-02,4.10849450e+01
3.383400e-02,4.10419469e+01
3.456250e-02,4.07966260e+01
3.465140e-02,4.07667029e+01
3.491250e-02,4.06814822e+01
3.500000e-02,4.06530863e+01
3.546880e-02,4.05009492e+01
3.552740e-02,4.04827611e+01
3.585550e-02,4.03809673e+01
3.649220e-02,4.01843464e+01
3.679840e-02,4.00898254e+01
3.710360e-02,3.99960549e+01
3.745700e-02,3.98935351e+01
3.765000e-02,3.98375683e+01
3.774140e-02,3.98110638e+01
3.842190e-02,3.96146142e+01
3.868440e-02,3.95388619e+01
3.873840e-02,3.95233410e+01
3.938670e-02,3.93469759e+01
3.962740e-02,3.92815194e+01
4.000000e-02,3.91806498e+01
4.035160e-02,3.90854653e+01
4.037320e-02,3.90796198e+01
4.057030e-02,3.90290232e+01
4.131640e-02,3.88386560e+01
4.200810e-02,3.86622288e+01
4.228130e-02,3.85959950e+01
4.245630e-02,3.85535898e+01
4.364290e-02,3.82683693e+01
4.421090e-02,3.81383821e+01
4.434220e-02,3.81083535e+01
4.500000e-02,3.79590529e+01
4.527770e-02,3.78960234e+01
4.614060e-02,3.77092927e+01
4.622810e-02,3.76903695e+01
4.691250e-02,3.75433959e+01
4.807030e-02,3.73056633e+01
4.811410e-02,3.72966750e+01
4.845630e-02,3.72269451e+01
5.000000e-02,3.69253223e+01
5.156250e-02,3.66372236e+01
5.201250e-02,3.65542860e+01
5.234380e-02,3.64936402e+01
5.312500e-02,3.63587529e+01
5.402500e-02,3.62034235e+01
5.468750e-02,3.60898233e+01
5.500000e-02,3.60391745e+01
5.603750e-02,3.58710204e+01
5.625000e-02,3.58367949e+01
5.703130e-02,3.57110086e+01
5.781250e-02,3.55917978e+01
5.805000e-02,3.55555695e+01
5.937500e-02,3.53547087e+01
5.960050e-02,3.53215258e+01
6.000000e-02,3.52633396e+01
6.006250e-02,3.52542366e+01
6.032540e-02,3.52161593e+01
6.093750e-02,3.51288781e+01
6.105030e-02,3.51127997e+01
6.207500e-02,3.49701595e+01
6.250000e-02,3.49113437e+01
6.406250e-02,3.47020383e+01
6.408750e-02,3.46987971e+01
6.500000e-02,3.45811435e+01
6.562500e-02,3.45005589e+01
6.610000e-02,3.44412407e+01
6.718750e-02,3.43061220e+01
6.767500e-02,3.42473971e+01
6.875000e-02,3.41183657e+01
6.925000e-02,3.40609723e+01
7.000000e-02,3.39754171e+01
7.187500e-02,3.37615289e+01
7.240000e-02,3.37049554e+01
7.500000e-02,3.34268315e+01
7.507500e-02,3.34192326e+01
7.775000e-02,3.31499078e+01
7.812500e-02,3.31123620e+01
8.000000e-02,3.29343358e+01
8.042500e-02,3.28939832e+01
8.125000e-02,3.28161136e+01
8.310000e-02,3.26503030e+01
8.437500e-02,3.25366204e+01
8.499900e-02,3.24836980e+01
8.521250e-02,3.24655907e+01
8.732500e-02,3.22871750e+01
8.750000e-02,3.22724514e+01
8.943750e-02,3.21171666e+01
8.999900e-02,3.20723631e+01
9.062500e-02,3.20224130e+01
9.155000e-02,3.19519242e+01
9.375000e-02,3.17852322e+01
9.499900e-02,3.16946870e+01
9.577500e-02,3.16384315e+01
9.687500e-02,3.15593083e+01
9.999900e-02,3.13439585e+01
1.000000e-01,3.13438895e+01
1.000030e-01,3.13436923e+01
1.000060e-01,3.13434950e+01
1.000120e-01,3.13431005e+01
1.000250e-01,3.13422458e+01
1.000490e-01,3.13406677e+01
1.000980e-01,3.13374459e+01
1.001950e-01,3.13310681e+01
1.003910e-01,3.13181809e+01
1.007810e-01,3.12925379e+01
1.015630e-01,3.12411206e+01
1.025210e-01,3.11781311e+01
1.031250e-01,3.11385968e+01
1.050420e-01,3.10181624e+01
1.062500e-01,3.09425608e+01
1.075620e-01,3.08637114e+01
1.093750e-01,3.07551981e+01
1.100830e-01,3.07144733e+01
1.125000e-01,3.05762580e+01
1.151240e-01,3.04318592e+01
1.156250e-01,3.04044996e+01
1.187500e-01,3.02400461e+01
1.201660e-01,3.01680759e+01
1.218750e-01,3.00818117e+01
1.250000e-01,2.99291931e+01
1.252070e-01,2.99193948e+01
1.281250e-01,2.97822995e+01
1.302490e-01,2.96854301e+01
1.312500e-01,2.96400603e+01
1.343750e-01,2.95025091e+01
1.352900e-01,2.94633688e+01
1.375000e-01,2.93694599e+01
1.403310e-01,2.92525694e+01
1.406250e-01,2.92404948e+01
1.437500e-01,2.91157956e+01
1.440610e-01,2.91037455e+01
1.468750e-01,2.89951728e+01
1.477900e-01,2.89608905e+01
1.500000e-01,2.88784515e+01
1.515190e-01,2.88234411e+01
1.531250e-01,2.87655456e+01
1.552490e-01,2.86911688e+01
1.562500e-01,2.86562432e+01
1.589780e-01,2.85637489e+01
1.593750e-01,2.85503391e+01
1.625000e-01,2.84475895e+01
1.627070e-01,2.84410443e+01
1.687500e-01,2.82511836e+01
1.701660e-01,2.82087920e+01
1.750000e-01,2.80651304e+01
1.776240e-01,2.79906559e+01
1.812500e-01,2.78885054e+01
1.850830e-01,2.77853690e+01
1.875000e-01,2.77207527e+01
1.925420e-01,2.75920738e+01
1.937500e-01,2.75614530e+01
2.000000e-01,2.74101807e+01
2.046880e-01,2.73016601e+01
