>,38-Sr-87:0.070000
>,38-Sr-88:0.825800
>,38-Sr-89:0.000000
>,38-Sr-90:0.000000
1.875000e-04,1.41583020e+01
1.937500e-04,1.39280627e+01
2.000000e-04,1.37087459e+01
2.093750e-04,1.33984040e+01
2.187500e-04,1.31081640e+01
2.281250e-04,1.28360977e+01
2.375000e-04,1.25802001e+01
2.468750e-04,1.23390877e+01
2.562500e-04,1.21113048e+01
2.656250e-04,1.18956856e+01
2.750000e-04,1.16912291e+01
2.843750e-04,1.14969404e+01
2.937500e-04,1.13120444e+01
3.031250e-04,1.11357751e+01
3.125000e-04,1.09675138e+01
3.218750e-04,1.08066456e+01
3.312500e-04,1.06527038e+01
3.406250e-04,1.05050836e+01
3.500000e-04,1.03634682e+01
3.593750e-04,1.02274693e+01
3.687500e-04,1.00966358e+01
3.781250e-04,9.97072800e+00
3.875000e-04,9.84943836e+00
3.968750e-04,9.73239252e+00
4.062500e-04,9.61949732e+00
4.250000e-04,9.40495519e+00
4.437500e-04,9.20419514e+00
4.625000e-04,9.01575712e+00
4.812500e-04,8.83848174e+00
5.000000e-04,8.67122213e+00
5.156250e-04,8.53891850e+00
5.312500e-04,8.41247099e+00
5.468750e-04,8.29141905e+00
5.625000e-04,8.17552023e+00
5.781250e-04,8.06432170e+00
5.937500e-04,7.95758477e+00
6.093750e-04,7.85493512e+00
6.250000e-04,7.75620634e+00
6.406250e-04,7.66105054e+00
6.562500e-04,7.56934880e+00
6.718750e-04,7.48085849e+00
6.875000e-04,7.39541006e+00
7.187500e-04,7.23294493e+00
7.500000e-04,7.08074420e+00
7.812500e-04,6.93776998e+00
8.125000e-04,6.80312766e+00
8.437500e-04,6.67603964e+00
8.750000e-04,6.55582812e+00
9.062500e-04,6.44188506e+00
9.375000e-04,6.33368792e+00
9.687500e-04,6.23077269e+00
1.000000e-03,6.13272380e+00
1.031250e-03,6.03916419e+00
1.062500e-03,5.94976402e+00
1.093750e-03,5.86422167e+00
1.125000e-03,5.78227594e+00
1.156250e-03,5.70367161e+00
1.187500e-03,5.62819396e+00
1.218750e-03,5.55564208e+00
1.250000e-03,5.48582459e+00
1.281250e-03,5.41857997e+00
1.312500e-03,5.35375200e+00
1.343750e-03,5.29119625e+00
1.375000e-03,5.23078985e+00
1.437500e-03,5.11594280e+00
1.500000e-03,5.00835156e+00
1.562500e-03,4.90728193e+00
1.625000e-03,4.81210333e+00
1.687500e-03,4.72226924e+00
1.750000e-03,4.63729449e+00
1.812500e-03,4.55674852e+00
1.875000e-03,4.48027510e+00
1.937500e-03,4.40752853e+00
2.000000e-03,4.33821818e+00
2.093750e-03,4.24014174e+00
2.187500e-03,4.14844258e+00
2.281250e-03,4.06245014e+00
2.375000e-03,3.98161654e+00
2.468750e-03,3.90542644e+00
