>,24-Cr-53:0.095001
>,24-Cr-54:0.023650
2.463750e-02,6.65129503e+00
2.530000e-02,6.60880464e+00
2.645780e-02,6.53845480e+00
2.761560e-02,6.47261123e+00
2.877340e-02,6.41082487e+00
2.993130e-02,6.35268132e+00
3.108910e-02,6.29785284e+00
3.224690e-02,6.24602263e+00
3.340470e-02,6.19692454e+00
3.456250e-02,6.15032709e+00
3.552740e-02,6.11326192e+00
3.649220e-02,6.07769210e+00
3.745700e-02,6.04350380e+00
3.842190e-02,6.01060700e+00
3.938670e-02,5.97894269e+00
4.035160e-02,5.94843303e+00
4.131640e-02,5.91898856e+00
4.228130e-02,5.89057652e+00
4.421090e-02,5.83656240e+00
4.614060e-02,5.78598677e+00
4.807030e-02,5.73851005e+00
5.000000e-02,5.69382863e+00
5.156250e-02,5.65949333e+00
5.312500e-02,5.62671143e+00
5.468750e-02,5.59533897e+00
5.625000e-02,5.56529900e+00
5.781250e-02,5.53649498e+00
5.937500e-02,5.50884270e+00
6.093750e-02,5.48225916e+00
6.250000e-02,5.45667770e+00
6.406250e-02,5.43206065e+00
6.562500e-02,5.40832748e+00
6.718750e-02,5.38541968e+00
6.875000e-02,5.36331800e+00
7.187500e-02,5.32128433e+00
7.500000e-02,5.28191136e+00
7.812500e-02,5.24493993e+00
8.125000e-02,5.21011169e+00
8.437500e-02,5.17723697e+00
8.750000e-02,5.14616040e+00
9.062500e-02,5.11670717e+00
9.375000e-02,5.08873528e+00
9.687500e-02,5.06213219e+00
1.000000e-01,5.03679765e+00
1.031250e-01,5.01261832e+00
1.062500e-01,4.98952334e+00
1.093750e-01,4.96743663e+00
1.125000e-01,4.94627205e+00
1.156250e-01,4.92598057e+00
1.187500e-01,4.90649416e+00
1.218750e-01,4.88776415e+00
1.250000e-01,4.86975362e+00
1.281250e-01,4.85239961e+00
1.312500e-01,4.83568321e+00
1.343750e-01,4.81955021e+00
1.375000e-01,4.80397605e+00
1.437500e-01,4.77436430e+00
1.500000e-01,4.74661799e+00
1.562500e-01,4.72055977e+00
1.625000e-01,4.69599805e+00
1.687500e-01,4.67283901e+00
1.750000e-01,4.65092936e+00
1.812500e-01,4.63016281e+00
1.875000e-01,4.61045509e+00
1.937500e-01,4.59170538e+00
2.000000e-01,4.57385321e+00
2.093750e-01,4.54858335e+00
2.187500e-01,4.52496528e+00
2.281250e-01,4.50280676e+00
2.375000e-01,4.48197645e+00
2.468750e-01,4.46234648e+00
2.562500e-01,4.44380240e+00
2.656250e-01,4.42624954e+00
2.750000e-01,4.40961447e+00
2.843750e-01,4.39380800e+00
2.937500e-01,4.37876147e+00
3.031250e-01,4.36442449e+00
3.125000e-01,4.35073100e+00
3.218750e-01,4.33765314e+00
3.312500e-01,4.32512499e+00
3.406250e-01,4.31312153e+00
3.500000e-01,4.30160732e+00
3.593750e-01,4.29055686e+00
