>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
8.125000e-04,9.70309694e-01
8.437500e-04,9.52171947e-01
8.750000e-04,9.35012978e-01
9.062500e-04,9.18751188e-01
9.375000e-04,9.03309137e-01
9.687500e-04,8.88620191e-01
1.000000e-03,8.74626735e-01
1.031250e-03,8.61271416e-01
1.062500e-03,8.48511660e-01
1.093750e-03,8.36303811e-01
1.125000e-03,8.24606359e-01
1.156250e-03,8.13385767e-01
1.187500e-03,8.02614032e-01
1.218750e-03,7.92257953e-01
1.250000e-03,7.82290131e-01
1.280000e-03,7.73076774e-01
1.281250e-03,7.72694635e-01
1.312500e-03,7.63450560e-01
1.335000e-03,7.57006456e-01
1.343750e-03,7.54514954e-01
1.375000e-03,7.45895192e-01
1.390000e-03,7.41942676e-01
1.437500e-03,7.29497288e-01
1.445000e-03,7.27644407e-01
1.500000e-03,7.14131664e-01
1.562500e-03,6.99703886e-01
1.625000e-03,6.86116094e-01
1.687500e-03,6.73292892e-01
1.750000e-03,6.61158307e-01
1.812500e-03,6.49659460e-01
1.875000e-03,6.38741012e-01
1.937500e-03,6.28353332e-01
2.000000e-03,6.18458496e-01
2.070000e-03,6.07992811e-01
2.093750e-03,6.04458765e-01
2.140000e-03,5.97983345e-01
2.187500e-03,5.91363614e-01
2.210000e-03,5.88404850e-01
2.280000e-03,5.79241638e-01
2.281250e-03,5.79078701e-01
2.350000e-03,5.70606606e-01
2.375000e-03,5.67538688e-01
2.420000e-03,5.62304361e-01
2.468750e-03,5.56657060e-01
2.490000e-03,5.54319146e-01
2.560000e-03,5.46648687e-01
2.562500e-03,5.46375369e-01
2.568360e-03,5.45765801e-01
2.574220e-03,5.45156494e-01
2.585940e-03,5.43938534e-01
2.596190e-03,5.42873889e-01
2.609380e-03,5.41504608e-01
2.618170e-03,5.40593087e-01
2.656250e-03,5.36647217e-01
2.662110e-03,5.36069566e-01
2.750000e-03,5.27419195e-01
2.843750e-03,5.18650900e-01
2.937500e-03,5.10307181e-01
3.031250e-03,5.02354428e-01
3.125000e-03,4.94760595e-01
3.218750e-03,4.87501791e-01
3.312500e-03,4.80555349e-01
3.406250e-03,4.73894666e-01
3.500000e-03,4.67504684e-01
3.593750e-03,4.61366867e-01
3.687500e-03,4.55463548e-01
3.781250e-03,4.49782092e-01
3.875000e-03,4.44308218e-01
3.968750e-03,4.39030126e-01
4.062500e-03,4.33935036e-01
4.250000e-03,4.24252924e-01
4.437500e-03,4.15193867e-01
4.625000e-03,4.06691221e-01
4.812500e-03,3.98689772e-01
5.000000e-03,3.91142237e-01
5.120000e-03,3.86553763e-01
5.156250e-03,3.85172551e-01
5.261250e-03,3.81332192e-01
5.312500e-03,3.79464840e-01
5.402500e-03,3.76315429e-01
5.468750e-03,3.74005647e-01
5.543750e-03,3.71489454e-01
5.625000e-03,3.68773419e-01
5.685000e-03,3.66842643e-01
5.781250e-03,3.63756353e-01
5.826250e-03,3.62364967e-01
5.937500e-03,3.58936949e-01
5.967500e-03,3.58045213e-01
6.093750e-03,3.54305303e-01
6.108750e-03,3.53876233e-01
6.250000e-03,3.49849098e-01
6.406250e-03,3.45555502e-01
6.562500e-03,3.41417852e-01
6.718750e-03,3.37424270e-01
6.875000e-03,3.33569740e-01
7.187500e-03,3.26237482e-01
7.500000e-03,3.19369016e-01
7.812500e-03,3.12916162e-01
8.125000e-03,3.06839025e-01
8.437500e-03,3.01104041e-01
8.750000e-03,2.95676857e-01
9.062500e-03,2.90533406e-01
9.375000e-03,2.85650820e-01
9.687500e-03,2.81005086e-01
1.000000e-02,2.76576839e-01
1.031250e-02,2.72353947e-01
1.062500e-02,2.68318924e-01
1.093750e-02,2.64457258e-01
1.125000e-02,2.60759031e-01
1.156250e-02,2.57210328e-01
1.187500e-02,2.53803131e-01
1.218750e-02,2.50529935e-01
1.250000e-02,2.47378965e-01
1.281250e-02,2.44343177e-01
1.312500e-02,2.41418015e-01
1.343750e-02,2.38595154e-01
1.375000e-02,2.35868947e-01
1.437500e-02,2.30685582e-01
1.500000e-02,2.25829212e-01
1.562500e-02,2.21266917e-01
1.625000e-02,2.16969903e-01
1.687500e-02,2.12913454e-01
1.750000e-02,2.09076200e-01
1.812500e-02,2.05439243e-01
1.875000e-02,2.01985607e-01
1.937500e-02,1.98700140e-01
2.000000e-02,1.95570107e-01
2.066250e-02,1.92408682e-01
2.132500e-02,1.89395863e-01
2.198750e-02,1.86520270e-01
2.265000e-02,1.83771616e-01
2.331250e-02,1.81141434e-01
2.397500e-02,1.78621085e-01
2.463750e-02,1.76202984e-01
2.530000e-02,1.73880315e-01
2.611300e-02,1.71177439e-01
2.645780e-02,1.70033924e-01
2.692600e-02,1.68574710e-01
2.742270e-02,1.67030410e-01
2.761560e-02,1.66430710e-01
2.773910e-02,1.66068970e-01
2.855210e-02,1.63693326e-01
2.877340e-02,1.63048119e-01
2.936510e-02,1.61419156e-01
2.954530e-02,1.60924163e-01
2.993130e-02,1.59863970e-01
3.017810e-02,1.59222399e-01
3.099110e-02,1.57113647e-01
3.108910e-02,1.56859981e-01
3.180420e-02,1.55104639e-01
3.224690e-02,1.54020817e-01
3.311380e-02,1.52004172e-01
3.340470e-02,1.51329561e-01
3.379060e-02,1.50477468e-01
3.442340e-02,1.49080392e-01
3.456250e-02,1.48774197e-01
3.552740e-02,1.46741022e-01
3.573310e-02,1.46323852e-01
3.649220e-02,1.44788800e-01
3.704270e-02,1.43716457e-01
3.745700e-02,1.42911673e-01
3.803590e-02,1.41827329e-01
3.835240e-02,1.41234560e-01
3.842190e-02,1.41104742e-01
3.938670e-02,1.39365733e-01
3.966200e-02,1.38886450e-01
4.035160e-02,1.37689130e-01
4.097160e-02,1.36648322e-01
4.131640e-02,1.36070990e-01
4.228130e-02,1.34508446e-01
