Rank by Integral,Energy (eV),Rank by Energy,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
278,396.228,(217),4.4794,2.61,(229),42.0274,(272),['76-Os-186_n-tot']
279,583.594,(254),4.47326,1.168,(342),32.5639,(422),['76-Os-192_n-tot']
280,414.283,(224),4.2877,2.494,(237),38.668,(334),['76-Os-186_n-tot']
281,797.619,(305),4.28422,1.2,(340),32.7653,(419),['76-Os-188_n-tot']
282,621.719,(264),4.27386,0.901,(378),36.8244,(366),['76-Os-189_n-tot']
283,255.069,(144),4.20387,0.477,(444),54.4277,(127),['76-Os-189_n-tot']
284,2187.69,(400),4.15584,1.96,(274),43.9502,(242),['76-Os-189_n-tot']
285,758.578,(295),4.10299,0.769,(391),37.6768,(354),['76-Os-188_n-tot']
286,67.6445,(42),4.09916,1.152,(345),14.4615,(471),['76-Os-187_n-tot']
287,177.7,(96),4.04164,0.442,(448),71.8811,(34),['76-Os-188_n-tot']
288,1710.68,(374),4.02362,21.82,(48),50.3724,(159),['76-Os-187_n-tot']
289,1968.86,(389),4.01371,1.32,(323),50.3449,(160),['76-Os-189_n-tot']
290,1716.68,(375),3.98786,3.03,(206),49.9447,(164),['76-Os-189_n-tot']
291,714.453,(285),3.83065,3.872,(169),26.0682,(455),['76-Os-188_n-tot']
292,752.064,(293),3.81434,1.596,(303),32.8811,(414),['76-Os-188_n-tot']
293,176.211,(95),3.8036,0.425,(450),60.5321,(76),['76-Os-188_n-tot']
294,823.572,(310),3.78898,3.807,(173),55.3477,(118),['76-Os-189_n-tot']
295,3135.05,(447),3.78726,5.59,(135),38.1879,(342),['76-Os-189_n-tot']
296,755.849,(294),3.78213,2.259,(255),30.4985,(443),['76-Os-188_n-tot']
297,396.97,(218),3.7313,0.82,(387),42.1508,(269),['76-Os-188_n-tot']
298,246.983,(139),3.67481,1.205,(339),43.8369,(244),['76-Os-186_n-tot']
299,257.764,(145),3.65981,2.527,(234),44.1534,(239),['76-Os-186_n-tot']
300,695.807,(281),3.65842,2.497,(236),27.9262,(453),['76-Os-188_n-tot']
301,216.871,(115),3.4825,1.084,(356),54.3962,(128),['76-Os-188_n-tot']
302,1916.66,(385),3.41268,10.45,(99),48.103,(182),['76-Os-189_n-tot']
303,1954.37,(387),3.40353,13.46,(77),46.8846,(201),['76-Os-187_n-tot']
304,470.812,(236),3.36538,2.462,(242),36.1712,(372),['76-Os-188_n-tot']
305,1856.96,(382),3.36366,34.23,(30),47.5141,(191),['76-Os-187_n-tot']
306,827.849,(311),3.33667,3.046,(204),55.5561,(114),['76-Os-188_n-tot']
307,205.845,(109),3.32238,1.479,(312),46.6386,(205),['76-Os-188_n-tot']
308,163.414,(87),3.23126,0.572,(418),54.218,(130),['76-Os-188_n-tot']
309,117.542,(68),3.19634,2.019,(272),68.6613,(41),['76-Os-188_n-tot']
310,548.511,(248),3.19067,2.913,(209),38.2474,(341),['76-Os-188_n-tot']
311,1474.66,(364),3.17199,10.86,(96),53.6765,(134),['76-Os-187_n-tot']
